"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
1,-34.8010098700467,1.79195446917283
1.01,-34.8073153887915,1.59201811922024
1.02,-34.8137174069874,1.39206316364492
1.03,-34.8202150225617,1.19209021825808
1.04,-34.8268073803568,0.992099874971321
1.05,-34.8334936612013,0.792092703227167
1.06,-34.840273092037,0.592069251674994
1.07,-34.8471449324702,0.392030047527434
1.08,-34.8541084788818,0.191975599301391
1.09,-34.8611630651235,-0.00809360317392413
1.1,-34.86830804609,-0.208177087667413
1.11,-34.8755428238521,-0.40827439888628
1.12,-34.8828668107014,-0.608385097168007
1.13,-34.8902794554486,-0.808508758340268
1.14,-34.8977802364034,-1.00864497253648
1.15,-34.9053686444769,-1.20879334474571
1.16,-34.9130442077526,-1.40895349214825
1.17,-34.920806466052,-1.60912504525605
1.18,-34.9286549802545,-1.80930764658447
1.19,-34.936589339468,-2.00950095042665
1.2,-34.9446091376769,-2.20970462175614
1.21,-34.9527140050995,-2.4099183368396
1.22,-34.9609035713288,-2.61014178169096
1.23,-34.9691774946358,-2.81037465224626
1.24,-34.9775354468258,-3.01061665380478
1.25,-34.9859771050632,3.07231780639948
1.26,-34.9945021707916,2.87205839119746
1.27,-35.0031103573016,2.67179067652054
1.28,-35.0118013841294,2.47151492370625
1.29,-35.0205749927387,2.27123138504728
1.3,-35.0294309329379,2.07094030764523
1.31,-35.0383689597965,1.87064192983044
1.32,-35.0473888507052,1.6703364840631
1.33,-35.0564903757916,1.47002419589766
1.34,-35.0656733336458,1.26970528500356
1.35,-35.074937520042,1.06937996496666
1.36,-35.0842827512383,0.869048443219629
1.37,-35.0937088367822,0.668710922130111
1.38,-35.1032155991127,0.468367598737026
1.39,-35.1128028835424,0.268018664780334
1.4,-35.122470523265,0.0676643068189648
1.41,-35.1322183664184,-0.132695292969429
1.42,-35.1420462742668,-0.333059957277161
1.43,-35.1519541017265,-0.533429512814525
