"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
1,-29.8373011348542,1.6128554046124
1.01,-29.7762060869767,1.43758349147263
1.02,-29.7233928257477,1.26231858204445
1.03,-29.6787620795378,1.0870544435923
1.04,-29.6422295865154,0.911785103175399
1.05,-29.613725491165,0.736504791006283
1.06,-29.593193874225,0.561207886773662
1.07,-29.5805923550636,0.385888870764071
1.08,-29.5758917978329,0.210542274988705
1.09,-29.5790761207368,0.0351626362462149
1.1,-29.5901421816773,-0.140255548887584
1.11,-29.6090997553946,-0.315717870529703
1.12,-29.6359715881311,-0.491230052427277
1.13,-29.6707935557737,-0.666797999579607
1.14,-29.7136149041525,-0.842427848534206
1.15,-29.7644985664975,-1.01812602210743
1.16,-29.8235216021618,-1.19389928407865
1.17,-29.8907757168729,-1.3697548026861
1.18,-29.9663679140382,-1.5457002174992
1.19,-30.0504212339918,-1.72174371467391
1.2,-30.1430756572178,-1.89789410975901
1.21,-30.2444891242764,-2.07416094107119
1.22,-30.354838729615,-2.25055457539317
1.23,-30.4743220808601,-2.42708632721105
1.24,-30.6031588680351,-2.60376859726395
1.25,-30.7415926469852,-2.78061502872836
1.26,-30.889892879594,-2.95764069047144
1.27,-31.048357272686,-3.13486228925882
1.28,-31.2173144369906,2.97088688995525
1.29,-31.3971269192227,2.79321546421201
1.3,-31.5881947102902,2.61528545169065
1.31,-31.7909592177869,2.43707063643939
1.32,-32.0059078468358,2.25854138708153
1.33,-32.2335792721451,2.07966407650069
1.34,-32.4745695032622,1.90040037515053
1.35,-32.7295388535114,1.72070639896554
1.36,-32.9992200497081,1.5405316660359
1.37,-33.2844275452478,1.35981781467978
1.38,-33.5860683517961,1.17849701806535
1.39,-33.9051545734543,0.996490006458393
1.4,-34.2428178736363,0.813703586781796
1.41,-34.600326232214,0.630027496913272
1.42,-34.979103137263,0.445330397856135
1.43,-35.3807494783994,0.259454704575365
1.44,-35.8070680918198,0.0722098736904362
1.45,-36.2600905975465,-0.116636407495591
1.46,-36.7421054146506,-0.307369894563644
1.47,-37.2556844525482,-0.500345408063739
1.48,-37.8037032331271,-0.696007940700884
1.49,-38.3893443916409,-0.894921432722894
1.5,-39.0160651175919,-1.09780828463388
1.51,-39.6874919627659,-1.30560383387675
1.52,-40.4071742236427,-1.51953130072233
1.53,-41.1780674286816,-1.74120345777611
1.54,-42.0015101714788,-1.97275534811871
1.55,-42.8752712787025,-2.21700170979867
1.56,-43.7899674033294,-2.47757793793636
1.57,-44.7229037033187,-2.75893099802287
1.58,-45.6288090622787,-3.06582790499404
1.59,-46.4299176271644,2.88141264140487
1.6,-47.0159921056713,2.51735460820438
1.61,-47.273060864996,2.13413725988274
1.62,-47.1421336036536,1.74853119663306
1.63,-46.6595356412244,1.37842605752995
1.64,-45.9313175424939,1.03504105487111
1.65,-45.0728788736854,0.721065973637877
1.66,-44.1710216160054,0.433763121789663
1.67,-43.2784436412537,0.168476683525105
1.68,-42.4225776159454,-0.0793988690186693
1.69,-41.6154735216184,-0.313717145976361
1.7,-40.8607480205457,-0.537490498612398
1.71,-40.1577275579158,-0.753011205580517
1.72,-39.5037361904669,-0.962010921143323
1.73,-38.8953052029439,-1.16580104776271
1.74,-38.3287900191675,-1.36538207513144
1.75,-37.8006699414223,-1.5615247209326
1.76,-37.3076809891658,-1.75482903527397
1.77,-36.846862432661,-1.94576726159189
1.78,-36.4155601733053,-2.13471500560724
1.79,-36.0114095335592,-2.32197405111576
1.8,-35.6323096627574,-2.50778920944906
1.81,-35.2763954806501,-2.6923608752975
1.82,-34.9420104272416,-2.8758544816027
1.83,-34.6276812515425,-3.05840768647282
1.84,-34.3320954399235,3.04304941753952
1.85,-34.0540813423843,2.86204880097117
1.86,-33.7925908117746,2.68169300021151
1.87,-33.5466841875924,2.50191125438494
1.88,-33.3155172638384,2.32264272151666
1.89,-33.0983300613816,2.14383480116416
1.9,-32.8944371383894,1.96544178361124
1.91,-32.7032191842938,1.78742375153179
1.92,-32.5241157644305,1.60974568297747
1.93,-32.3566190321246,1.43237671262506
1.94,-32.2002682514014,1.25528952092489
1.95,-32.0546450517827,1.07845982583816
1.96,-31.9193692839431,0.901865955904456
1.97,-31.7940953958262,0.725488494865085
1.98,-31.6785092673845,0.54930997664278
1.99,-31.5723254467423,0.373314628873004
2,-31.4752847159673,0.197488153396181
