"Freq [GHz]","dB(S(p1,p1)) []","ang_rad(S(p1,p1)) [rad]"
3,-23.6531832276534,-1.50035214859344
3.002,-23.6678741922194,-1.51967240956803
3.004,-23.6841635665474,-1.53901073134904
3.006,-23.7020592085862,-1.55836597270955
3.008,-23.7215692062408,-1.57773707069767
3.01,-23.742701938516,-1.59712304247134
3.012,-23.7654661387495,-1.61652298690105
3.014,-23.7898709599064,-1.63593608593751
3.016,-23.8159260419129,-1.65536160574234
3.018,-23.8436415810179,-1.67479889758036
3.02,-23.8730284011814,-1.6942473984732
3.022,-23.9040980275012,-1.71370663161422
3.024,-23.9368627617009,-1.7331762065456
3.026,-23.9713357597196,-1.75265581909893
3.028,-24.0075311114559,-1.77214525110104
3.03,-24.0454639227386,-1.79164436984715
3.032,-24.0851503996126,-1.81115312734373
3.034,-24.1266079350513,-1.83067155932376
3.036,-24.1698551982224,-1.85019978403683
3.038,-24.2149122264644,-1.86973800081699
3.04,-24.2618005201473,-1.88928648843072
3.042,-24.3105431406239,-1.90884560320765
3.044,-24.3611648115023,-1.92841577695584
3.046,-24.4136920235013,-1.94799751466373
3.048,-24.4681531431843,-1.96759139198976
3.05,-24.5245785259013,-1.98719805254064
3.052,-24.5830006333087,-2.0068182049382
3.054,-24.643454155876,-2.02645261967431
3.056,-24.7059761408374,-2.04610212575232
3.058,-24.770606126094,-2.06576760711265
3.06,-24.8373862806292,-2.08544999883906
3.062,-24.9063615520594,-2.105150283141
3.064,-24.9775798220111,-2.12486948510613
3.066,-25.0510920700893,-2.14460866821573
3.068,-25.1269525472861,-2.16436892961421
3.07,-25.2052189597718,-2.18415139512197
3.072,-25.2859526641157,-2.20395721397949
3.074,-25.3692188751006,-2.22378755330774
3.076,-25.4550868874291,-2.24364359226827
3.078,-25.5436303127681,-2.26352651590346
3.08,-25.6349273337502,-2.28343750863434
3.082,-25.729060976741,-2.30337774739046
3.084,-25.8261194054034,-2.32334839434209
3.086,-25.9261962373421,-2.34335058920118
3.088,-26.0293908863948,-2.36338544105219
3.09,-26.1358089334729,-2.38345401966849
3.092,-26.2455625292287,-2.40355734626344
3.094,-26.3587708322674,-2.42369638361741
3.096,-26.4755604871272,-2.44387202551329
3.098,-26.5960661468373,-2.4640850854022
3.1,-26.7204310455478,-2.48433628420905
3.102,-26.8488076275177,-2.50462623717231
3.104,-26.9813582396785,-2.5249554395951
3.106,-27.1182558960796,-2.54532425136336
3.108,-27.2596851238023,-2.56573288006166
3.11,-27.4058429014403,-2.58618136248625
3.112,-27.5569397030321,-2.60666954431813
3.114,-27.7132006624545,-2.62719705767339
3.116,-27.8748668758178,-2.64776329619298
3.118,-28.0421968624306,-2.66836738726603
3.12,-28.2154682085405,-2.68900816089706
3.122,-28.3949794224454,-2.70968411462392
3.124,-28.581052034886,-2.73039337376362
3.126,-28.7740329851032,-2.75113364610206
3.128,-28.9742973408599,-2.77190216993982
3.13,-29.1822514104614,-2.79269565414894
3.132,-29.3983363168378,-2.81351020856784
3.134,-29.623032118716,-2.83434126264193
