"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
3,-11.7444037852592,-2.46382070575672
3.0175,-11.8452978038795,-2.5301057103789
3.035,-11.9526244601254,-2.5965414934124
3.0525,-12.066804759331,-2.66317895960653
3.07,-12.1882749946945,-2.73007155305565
3.0875,-12.3174876918726,-2.79727558514744
3.105,-12.4549124388645,-2.86485063270186
3.1225,-12.6010365501112,-2.93286001767465
3.14,-12.7563654974967,-3.00137138207572
3.1575,-12.9214230188267,-3.07045737441505
3.175,-13.096750784287,-3.14019646707239
3.1925,-13.2829074605495,3.07251137966704
3.21,-13.4804669567288,3.00120233696111
3.2275,-13.6900155611079,2.92895918667359
3.245,-13.9121475753787,2.85566848137257
3.2625,-14.1474589146446,2.78120395303609
3.28,-14.3965379540833,2.70542428459856
3.2975,-14.6599526506628,2.62817050810584
3.315,-14.9382326300439,2.54926299023046
3.3325,-15.2318444799639,2.46849797874664
3.35,-15.5411579046072,2.38564371144145
3.3675,-15.8663996449972,2.30043614195761
3.385,-16.2075911483743,2.21257443096548
3.4025,-16.5644649056313,2.12171650957716
3.42,-16.9363532917117,2.02747527925637
3.4375,-17.322042943016,1.92941641448922
3.455,-17.719587826697,1.82705933490226
3.4725,-18.1260764008864,1.71988375734055
3.49,-18.5373546716133,1.60734531755802
3.5075,-18.9477205574632,1.48890490973033
3.525,-19.349629394525,1.36407716069382
3.5425,-19.7334879183632,1.23250283665966
3.56,-20.0876608185039,1.09404633917453
3.5775,-20.3988522319525,0.94891093727659
3.595,-20.6530162333426,0.797750533727616
3.6125,-20.8368454043644,0.641741346736947
3.63,-20.9396627848461,0.482569980876868
3.6475,-20.9552680426329,0.322308720760223
3.665,-20.8831381536228,0.163187974056416
3.6825,-20.7285260299035,0.00732245496120891
3.7,-20.501417765909,-0.143528785716947
3.7175,-20.2147515326715,-0.28810571326529
3.735,-19.8824971481094,-0.425676293473913
3.7525,-19.5180838819817,-0.555975429810716
3.77,-19.1333958660151,-0.679096779151958
3.7875,-18.7383146897863,-0.795376116517735
3.805,-18.3406643626709,-0.905290040384838
3.8225,-17.9463931556067,-1.00937929297909
3.84,-17.5598606806036,-1.10819655168875
3.8575,-17.1841456482887,-1.20227423178295
3.875,-16.8213292766634,-1.29210685659881
3.8925,-16.472735806506,-1.37814317905363
3.91,-16.1391266996237,-1.46078437651214
3.9275,-15.8208524432442,-1.54038574928051
3.945,-15.5179686417042,-1.61726023773985
3.9625,-15.2303234431318,-1.69168271040411
3.98,-14.957622643167,-1.76389440541478
3.9975,-14.6994777424151,-1.83410718513177
4.015,-14.4554411550127,-1.90250743515747
4.0325,-14.2250318160556,-1.96925954143707
4.05,-14.0077536570208,-2.03450893729407
4.0675,-13.8031088052668,-2.09838474325523
4.085,-13.6106068928531,-2.16100203718056
4.1025,-13.4297715039382,-2.22246379739588
4.12,-13.2601445235293,-2.28286256144902
4.1375,-13.1012889520931,-2.34228184032298
4.155,-12.952790603557,-2.40079732393799
4.1725,-12.8142589954636,-2.45847790941267
4.19,-12.6853276596071,-2.51538657929594
4.2075,-12.5656540419759,-2.57158115305586
4.225,-12.4549191167807,-2.62711493161608
4.2425,-12.3528268067046,-2.68203725168452
4.26,-12.2591032772887,-2.73639396400469
4.2775,-12.1734961553765,-2.79022784743658
4.295,-12.0957737081564,-2.84357896889826
4.3125,-12.0257240093821,-2.89648499762295
4.33,-11.9631541119333,-2.94898148086709
4.3475,-11.9078892403555,-3.0011020871033
4.365,-11.8597720129077,-3.05287882181479
4.3825,-11.8186616995906,-3.10434222024384
4.4,-11.7844335203624,3.12766378636525
4.4175,-11.7569779860726,3.07674048475666
4.435,-11.7362002834097,3.02604607881882
4.4525,-11.7220197042487,2.97555432790781
4.47,-11.7143691191218,2.92523972991696
4.4875,-11.7131944940452,2.87507740413476
4.505,-11.7184544495723,2.82504297937775
4.5225,-11.7301198606689,2.77511248585124
4.54,-11.7481734957813,2.72526224930035
4.5575,-11.7726096932703,2.67546878609104
4.575,-11.8034340731907,2.62570869790839
4.5925,-11.8406632821773,2.57595856477995
4.61,-11.8843247689414,2.52619483512584
4.6275,-11.9344565875499,2.47639371150686
4.645,-11.9911072252454,2.42653103068484
4.6625,-12.0543354510136,2.37658213652781
4.68,-12.1242101804009,2.3265217441829
4.6975,-12.2008103511732,2.27632379380254
4.715,-12.284224803228,2.22596129194113
4.7325,-12.3745521546694,2.17540613853766
4.75,-12.4719006640308,2.12462893716308
4.7675,-12.576388066177,2.07359878593465
4.785,-12.6881413663021,2.02228304618221
4.8025,-12.8072965724799,1.97064708558938
4.82,-12.9339983422057,1.91865399212588
4.8375,-13.0683995120025,1.86626425463522
4.855,-13.2106604711106,1.81343540544921
4.8725,-13.3609483300734,1.7601216198766
4.89,-13.5194358221274,1.70627326687438
4.9075,-13.6862998589824,1.6518364046872
4.925,-13.8617196419678,1.59675221478227
4.9425,-14.0458742035383,1.5409563670905
4.96,-14.2389392214489,1.48437830950783
4.9775,-14.4410829069514,1.42694047499256
4.995,-14.6524607172874,1.36855740067914
5.0125,-14.873208579508,1.30913475560514
5.03,-15.1034342351138,1.24856827747873
5.0475,-15.3432062212829,1.18674262520325
5.065,-15.5925398934606,1.12353016375857
5.0825,-15.8513797665475,1.05878971308904
5.1,-16.1195773122218,0.992365314996835
5.1175,-16.3968632088889,0.92408510449062
5.135,-16.682812920282,0.853760418117233
5.1525,-16.9768044186387,0.781185335632456
5.17,-17.2779669359937,0.706136937183993
5.1875,-17.5851199298762,0.628376669132449
5.205,-17.8967021485826,0.547653347332937
5.2225,-18.2106920002622,0.463708478797384
5.24,-18.5245226492411,0.376284727752741
5.2575,-18.8349986712016,0.285138441795355
5.275,-19.1382258704605,0.190057103703473
5.2925,-19.429571814946,0.0908822580908657
5.31,-19.7036808583823,-0.0124622767777347
5.3275,-19.9545718026256,-0.119938398067813
5.345,-20.1758454326739,-0.231361252661062
5.3625,-20.3610186454876,-0.346371794590092
5.38,-20.5039786445377,-0.464421541151153
5.3975,-20.5995159993904,-0.584776886407792
5.415,-20.6438581114695,-0.706547980991771
5.4325,-20.6351006272261,-0.828742106085007
5.45,-20.5734396943121,-0.950334918931281
5.4675,-20.4611481454143,-1.07034746372735
5.485,-20.3023015964357,-1.18791496405057
5.5025,-20.1023208893108,-1.30233607397333
5.52,-19.8674315825031,-1.41309715145361
5.5375,-19.6041403963048,-1.51987256475327
5.555,-19.3188008103599,-1.62250667776682
5.5725,-19.0173022007565,-1.72098500352404
5.59,-18.7048838815231,-1.81540147297756
5.6075,-18.386054545717,-1.90592691773314
5.625,-18.0645891235357,-1.99278174209065
5.6425,-17.7435754208955,-2.07621399241367
5.66,-17.425487833303,-2.15648284207339
5.6775,-17.1122717118816,-2.233846859228
5.695,-16.8054277384606,-2.30855616741264
5.7125,-16.5060901912089,-2.38084759212797
5.73,-16.2150961574244,-2.45094199135573
5.7475,-15.933044784775,-2.51904311699075
5.765,-15.6603468501455,-2.58533750449487
5.7825,-15.3972655380148,-2.64999501962137
5.8,-15.1439495704741,-2.71316979735924
5.8175,-14.9004598690012,-2.77500138981027
5.835,-14.666790853105,-2.83561600001817
5.8525,-14.4428873544726,-2.89512772209776
5.87,-14.2286579832401,-2.95363973840158
5.8875,-14.0239856449352,-3.01124544530675
5.905,-13.828735781904,-3.06802949318307
5.9225,-13.6427628051639,-3.12406873523569
5.94,-13.4659150919189,3.10375222149114
5.9575,-13.2980388491551,3.04899901592573
5.975,-13.1389810828149,2.99479868539998
5.9925,-12.9885918629132,2.94109782028508
6.01,-12.8467260355851,2.88784732141671
6.0275,-12.7132445016454,2.83500191023735
6.045,-12.5880151562579,2.78251969218936
6.0625,-12.47091356449,2.73036176718664
6.08,-12.3618234318065,2.67849188151956
6.0975,-12.2606369160964,2.62687611608458
6.115,-12.1672548179541,2.5754826063467
6.1325,-12.0815866780967,2.52428128992623
6.15,-12.003550804578,2.47324367814211
6.1675,-11.9330742474976,2.42234264823891
6.185,-11.8700927349516,2.37155225337437
6.2025,-11.8145505807891,2.32084754774971
6.22,-11.7664005721786,2.27020442452902
6.2375,-11.725603842898,2.21959946442017
6.255,-11.6921297365385,2.16900979297977
6.2725,-11.6659556623665,2.11841294486377
6.29,-11.647066945342,2.06778673337408
6.3075,-11.6354566706914,2.01710912375418
6.325,-11.6311255224176,1.96635810876458
6.3425,-11.6340816141569,1.9155115851244
6.36,-11.6443403098214,1.86454722943963
6.3775,-11.6619240304434,1.81344237225408
6.395,-11.6868620425378,1.76217386885626
6.4125,-11.7191902220595,1.71071796545579
6.43,-11.7589507866214,1.65905015930901
6.4475,-11.8061919869868,1.60714505132473
6.465,-11.8609677469032,1.55497618962205
6.4825,-11.9233372380289,1.50251590244366
6.5,-11.9933643739256,1.44973511875462
6.5175,-12.0711172037618,1.39660317478381
6.535,-12.1566671823572,1.34308760469952
6.5525,-12.2500882883678,1.28915391356341
6.57,-12.3514559565964,1.23476533069184
6.5875,-12.4608457834168,1.17988254159071
6.605,-12.5783319559079,1.12446339674732
6.6225,-12.7039853452626,1.06846259579749
6.64,-12.8378711930846,1.01183134598981
6.6575,-12.9800463050604,0.954516994511082
6.675,-13.1305556499084,0.89646263521002
6.6925,-13.2894282422701,0.837606691683991
6.71,-13.4566721662214,0.77788248073835
6.7275,-13.6322685714773,0.717217763100737
6.745,-13.8161644476553,0.65553429224468
