"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.044976042834332,0.200582840860416
3.002,0.0591342757267789,0.197163594365931
3.004,0.0730591119155384,0.192957020751602
3.006,0.0867105999610304,0.187977059622238
3.008,0.100049545452346,0.182239561834868
3.01,0.113037598736696,0.175762251350465
3.012,0.125637340171789,0.168564683085737
3.014,0.137812364136807,0.160668196854209
3.016,0.149527360436581,0.152095867685531
3.018,0.160748193232493,0.142872452311721
3.02,0.171441978192554,0.133024332908989
3.022,0.18157715616208,0.122579456483735
3.024,0.191123564755318,0.11156727149148
3.026,0.200052506767402,0.100018661577599
3.028,0.208336815305051,0.0879658756290486
3.03,0.215950916133497,0.0754424555266057
3.032,0.222870886636271,0.0624831607875359
3.034,0.229074511183667,0.049123890989118
3.036,0.234541333204948,0.0354016051739576
3.038,0.239252703358651,0.0213542393886251
3.04,0.243191824094751,0.00702062211776834
3.042,0.24634379070184,-0.00755961253348329
3.044,0.248695627831999,-0.0223461133053189
3.046,0.250236322195577,-0.0372979018930298
3.048,0.250956851817744,-0.0523734645598277
3.05,0.25085021024832,-0.0675308449590013
3.052,0.249911427116155,-0.0827277381229641
3.054,0.248137584419126,-0.0979215853819872
3.056,0.245527828340632,-0.113069669914654
3.058,0.242083376983415,-0.128129212937314
3.06,0.237807523411442,-0.143057470211058
3.062,0.232705634690599,-0.157811828731995
3.064,0.224965284018978,-0.17187249723385
3.066,0.215863055637627,-0.185317206911201
3.068,0.206038502012744,-0.198239037880899
3.07,0.195519890980469,-0.210601951118538
3.072,0.184337193345624,-0.222371345336101
3.074,0.172522013625996,-0.233514134326215
3.076,0.160107517134029,-0.243998820867749
3.078,0.147128353488121,-0.253795567686798
3.08,0.133620577646074,-0.262876264566401
3.082,0.119621567453639,-0.271214591997688
3.084,0.105169938801575,-0.278786080864445
3.086,0.0903054575850856,-0.285568168752468
3.088,0.075068949560086,-0.291540251274377
3.09,0.0595022085213142,-0.296683730499957
3.092,0.0436479008879699,-0.300982058281439
3.094,0.0275494698432705,-0.304420775662533
3.096,0.011251036855085,-0.306987547759441
3.098,-0.00520269796434301,-0.308672194601485
3.1,-0.0217665570206665,-0.309466716318488
3.102,-0.0383949874477876,-0.309365315661515
3.104,-0.0550421643433183,-0.30836441374316
3.106,-0.0716620947030257,-0.30646266258316
3.108,-0.0882087219109138,-0.303660952544777
3.11,-0.104636030590282,-0.299962414647184
3.112,-0.120898151543709,-0.29537241863886
3.114,-0.136949466626448,-0.289898566017026
3.116,-0.152744713468159,-0.283550678378141
3.118,-0.168239089222302,-0.276340780884716
3.12,-0.183388354500843,-0.268283081034018
