"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00490040406166798,-0.075956383039584
3.002,-0.0067064671132211,-0.0752990824870689
3.004,-0.00847461178446158,-0.0745800747513979
3.006,-0.0102024735089696,-0.0738013490487619
3.008,-0.0118877924476539,-0.072964988926132
3.01,-0.0135284174033039,-0.0720731665135347
3.012,-0.0151223093682113,-0.071128136606263
3.014,-0.0166675447731932,-0.0701322305877909
3.016,-0.0181623182934188,-0.0690878502414695
3.018,-0.0196049454275072,-0.0679974614392787
3.02,-0.0209938645574462,-0.0668635877680113
3.022,-0.0223276387479203,-0.0656888040842647
3.024,-0.0236049571546824,-0.0644757300495196
3.026,-0.0248246360425983,-0.0632270236466012
3.028,-0.0259856194849488,-0.0619453747074514
3.03,-0.0270869796665031,-0.0606334984836943
3.032,-0.0281279168437294,-0.0592941292654641
3.034,-0.0291077590363326,-0.057930014081882
3.036,-0.0300259612350519,-0.0565439064940424
3.038,-0.030882104451349,-0.0551385605073749
3.04,-0.0316758943452491,-0.0537167246142317
3.042,-0.0324071596381597,-0.0522811359914833
3.044,-0.0330758501380014,-0.0508345148573189
3.046,-0.0336820345944232,-0.0493795590190298
3.048,-0.0342258982422559,-0.0479189386028277
3.05,-0.0347077401416803,-0.0464552910060013
3.052,-0.0351279702738446,-0.0449912160509641
3.054,-0.0354871063968737,-0.0435292713819872
3.056,-0.0357857708113676,-0.0420719680886541
3.058,-0.0360246868465846,-0.0406217665773142
3.06,-0.0362046752635578,-0.0391810726910584
3.062,-0.0363266504944013,-0.0377522341019945
3.064,-0.0363661963430224,-0.0364141884138496
3.066,-0.0363499064873731,-0.0351204923312008
3.068,-0.036288793863256,-0.0338474930508991
3.07,-0.0361842308375311,-0.0325966083485385
3.072,-0.0360376250683761,-0.0313691781461014
3.074,-0.0358504151390045,-0.0301664645062147
3.076,-0.0356240662799714,-0.0289896518077488
3.078,-0.0353600661948786,-0.0278398472167977
3.08,-0.0350599210138262,-0.0267180813564014
3.082,-0.034725151369661,-0.0256253092376878
3.084,-0.0343572886343252,-0.0245624114044448
3.086,-0.0339578713109145,-0.0235301952224679
3.088,-0.033528441600914,-0.0225293964343771
3.09,-0.0330705421586858,-0.0215606808399575
3.092,-0.0325857130370301,-0.0206246461114388
3.094,-0.0320754888387295,-0.0197218238025329
3.096,-0.031541396080915,-0.0188526814494406
3.098,-0.030984950778343,-0.018017624761485
3.1,-0.0304076562476665,-0.017216999938488
3.102,-0.0298110011407876,-0.0164510960115149
3.104,-0.0291964577143183,-0.0157201472531602
3.106,-0.0285654803200257,-0.0150243356111595
3.108,-0.0279195041399137,-0.0143637931697774
3.11,-0.0272599441422816,-0.0137386045601837
