"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.00853595309233202,-0.064993655569084
3.002,0.0072285051197789,-0.0651960005925689
3.004,0.00590984924953842,-0.0653565876132379
3.006,0.00458167481503035,-0.0654748223850619
3.008,0.00324569422334613,-0.065550188730632
3.01,0.00190363898469608,-0.0655822488542347
3.012,0.000557255822788717,-0.065570643438263
3.014,-0.000791697160193165,-0.0655150915337909
3.016,-0.00214145422241878,-0.0654153902514695
3.018,-0.00349024563550724,-0.0652714142762787
3.02,-0.00483630122744623,-0.0650831151920113
3.022,-0.00617785381792026,-0.0648505206582647
3.024,-0.00751314253868236,-0.0645737334295196
3.026,-0.00884041602259827,-0.0642529302344012
3.028,-0.0101579354709488,-0.0638883605289514
3.03,-0.0114639775855031,-0.0634803451403943
3.032,-0.0127568373637294,-0.063029274799464
3.034,-0.0140348307593326,-0.062535608589882
3.036,-0.0152962972060519,-0.0619998723130424
3.038,-0.016539602002349,-0.0614226567903749
3.04,-0.0177631385572491,-0.0608046161042317
3.042,-0.0189653305081597,-0.0601464657954833
3.044,-0.0201446336970014,-0.0594489810243189
3.046,-0.0212995380237232,-0.0587129947060298
3.048,-0.0224285691717559,-0.0579393956298278
3.05,-0.0235302902127803,-0.0571291265680013
3.052,-0.0246033030946446,-0.0562831823869641
3.054,-0.0256462500185737,-0.0554026081659872
3.056,-0.0266578147118877,-0.0544884973286541
3.058,-0.0276367236013846,-0.0535419897963142
3.06,-0.0285817468948578,-0.0525642701700584
3.062,-0.0294916995776013,-0.0515565659379945
3.064,-0.0303414101828224,-0.0505057917158496
3.066,-0.0311447659335731,-0.0494257156702007
3.068,-0.031908802745556,-0.0483229156488991
3.07,-0.0326327619905311,-0.0471987972905385
3.072,-0.0333159323493761,-0.0460547862421014
3.074,-0.0339576496540045,-0.0448923268882147
3.076,-0.0345572967239714,-0.0437128811687488
3.078,-0.0351143032038786,-0.0425179274797977
3.08,-0.0356281454229262,-0.0413089596634014
3.082,-0.036098346262361,-0.0400874860706878
3.084,-0.0365244750724252,-0.0388550287064448
3.086,-0.0369061476239145,-0.0376131224314679
3.088,-0.037243026104914,-0.0363633142403771
3.09,-0.0375348191846858,-0.0351071625829575
3.092,-0.0377812821400301,-0.0338462367334388
3.094,-0.0379822170567295,-0.032582116201733
3.096,-0.038137473105915,-0.0313163901649406
3.098,-0.038246946912343,-0.030050656917785
3.1,-0.0383105830046665,-0.028786523327488
3.102,-0.0383283743677876,-0.0275256042803149
3.104,-0.0383003630813183,-0.0262695221074602
3.106,-0.0382266410670257,-0.0250199059768595
3.108,-0.0381073509249137,-0.0237783912364774
3.11,-0.0379426868712816,-0.0225466186949937
3.112,-0.037732895767709,-0.0213262338246598
3.114,-0.0374782782464483,-0.0201188858712261
3.116,-0.0371791899171588,-0.0189262268557415
3.118,-0.0368360426503022,-0.0177499104529156
3.12,-0.0364493059338435,-0.016591590730518
3.122,-0.0360195082841706,-0.0154529207351636
3.124,-0.0355472387063839,-0.0143355509105408
3.126,-0.0350360409433103,-0.0132544631698132
3.128,-0.0344881299318066,-0.012210853711809
3.13,-0.0339018584141348,-0.0111927827825066
3.132,-0.033278027591454,-0.0102017680194562
3.134,-0.0326175023468016,-0.0092393160298419
3.136,-0.0319212127253619,-0.00830691967300172
3.138,-0.0311901553153785,-0.00740605510278802
3.14,-0.0304253945207799,-0.00653817856614948
3.142,-0.0296280636681185,-0.0057047229594743
3.144,-0.028799365949272,-0.00490709414640232
3.146,-0.0279405751480042,-0.00414666704321419
3.148,-0.0270530361308275,-0.00342478148238165
3.15,-0.0261381650692209,-0.00274273786801078
3.152,-0.0251974493636562,-0.00210179263928493
3.154,-0.0242324472403001,-0.00150315356406672
3.156,-0.0232447869928337,-0.000947974886018217
3.158,-0.0222361658429748,-0.000437352354374085
3.16,-0.0212083483961235,2.76818319960199E-05
3.162,-0.0201631646704897,0.000446164130440541
3.164,-0.0191025076818968,0.000817204772051284
3.166,-0.0180283305700831,0.00113999284815506
3.168,-0.0169426432553259,0.00141380132155371
3.17,-0.0158475086209511,0.00163799191581735
3.172,-0.014745038220227,0.00181201983315513
3.174,-0.0136373875127291,0.0019354382518733
3.176,-0.0125267506399109,0.00200790255144744
3.178,-0.0114153547567859,0.00202917421652835
3.18,-0.0103054539409869,0.00199912436842386
3.182,-0.00919932270747151,0.00191773687617132
3.184,-0.00809924916304174,0.00178511100226599
3.186,-0.00700752783956911,0.00160146353843432
3.188,-0.00592976277893176,0.00137467517532967
3.19,-0.00487331472728282,0.00112150524844911
3.192,-0.00382945816656277,0.000820511625579509
3.194,-0.00280026324874845,0.000472229892811052
3.196,-0.00178777647790856,7.73016579354723E-05
3.198,-0.0007940136307164,-0.000363526553129779
3.2,0.000179047269192905,-0.000849405009478255
3.202,0.00112947285950767,-0.00137938309330178
3.204,0.00205538116776531,-0.00195241221332174
3.206,0.0029549480993747,-0.00256734929728629
3.208,0.00382641362590316,-0.00322296083615142
3.21,0.00466808761741312,-0.00391792745134158
3.212,0.00547835526626107,-0.00465084894589417
3.214,0.00625568205531895,-0.00542024979612026
3.216,0.00699861822794515,-0.00622458503499632
3.218,0.00770580272318281,-0.00706224647400944
3.22,0.00837596654644529,-0.00793156920729781
3.222,0.00900793555255345,-0.00883083833622342
3.224,0.00960063262491085,-0.00975829585490405
3.226,0.0101530792422066,-0.010712147633066
3.228,0.010664396431051,-0.0116905704336311
3.23,0.011133805109405,-0.0126917189010178
3.232,0.0115606258344866,-0.0137137324672789
3.234,0.0119442779724365,-0.0147547421028533
3.236,0.012284278315628,-0.0158128768787211
3.238,0.0125802391775768,-0.0168862702704399
3.24,0.0128318660008553,-0.0179730661667915
3.242,0.0130389545176491,-0.0190714245395286
3.244,0.0132013875056149,-0.0201795267428336
3.246,0.0133191311847145,-0.0212955804025156
3.248,0.0133922313043792,-0.0224178238765559
3.25,0.013420808967722,-0.0235445302712811
3.252,0.0134101799024727,-0.0247328875540909
3.254,0.013349640566698,-0.0259237609962113
3.256,0.013239349864927,-0.0271151233293149
3.258,0.0130795508253801,-0.0283049794239566
3.26,0.0128705668900551,-0.0294913695895841
3.262,0.0126127981446202,-0.0306723724893258
3.264,0.0123067175159619,-0.0318461076910066
3.266,0.0119528669661035,-0.0330107378595782
3.268,0.0115518537273209,-0.034164470615027
3.27,0.0111043465941823,-0.0353055600699728
3.272,0.0106110723040131,-0.0364323080705549
3.274,0.0100728120259727,-0.0375430651633651
3.276,0.00949039797359597,-0.0386362313110086
3.278,0.00886471016333588,-0.0397102563827048
3.28,0.0081966733243939,-0.0407636404430931
3.282,0.00748725396597836,-0.0417949338657653
3.284,0.00673745762411501,-0.0428027372939029
3.286,0.00594832626927964,-0.0437857014747635
3.288,0.00512093589444362,-0.0447425269882538
3.29,0.00425639426264491,-0.0456719638938492
3.292,0.00335583883991507,-0.0465728113157998
3.294,0.00242043487032707,-0.0474439169848371
3.296,0.00145137362007105,-0.0482841767573197
3.298,0.000449870763824941,-0.0490925341245945
3.3,-0.000582835098761278,-0.0498679797304579
3.302,-0.00164548378687595,-0.0506095509067535
3.304,-0.0027367947811207,-0.0513163312417853
3.306,-0.00385546835217678,-0.0519874501899524
3.308,-0.00500018660959847,-0.0526220827281601
3.31,-0.00616961446230843,-0.0532194490700326
3.312,-0.00736240051576879,-0.0537788144409607
3.314,-0.0085771779250773,-0.0542994889166826
3.316,-0.00981256519338232,-0.054780827326806
3.318,-0.0110671669517659,-0.0552222292344584
3.32,-0.0123395747161947,-0.0556231389671004
3.322,-0.0136283676433108,-0.0559830457344435
3.324,-0.0149321132863502,-0.0563014837904026
3.326,-0.0162493683675062,-0.0565780326680664
3.328,-0.0175786795740664,-0.0568123174657951
3.33,-0.0189185843865575,-0.0570040091877486
3.332,-0.0202676119469156,-0.0571528251254105
3.334,-0.021624283974361,-0.0572585292849997
3.336,-0.0229871157346806,-0.0573209328400502
3.338,-0.024354617068259,-0.0573398946198832
3.34,-0.0257252934827756,-0.0573153216092023
3.342,-0.0270976473129814,-0.0572471694595909
3.344,-0.0284701789518521,-0.0571354430052947
3.346,-0.0298413881556954,-0.0569801967763198
3.348,-0.0312097754223843,-0.0567815354955616
3.35,-0.032573843449639,-0.0565396145534058
3.352,-0.0339320986654342,-0.0562546404570078
3.354,-0.0352830528385888,-0.0559268712382424
3.356,-0.0366252247566536,-0.0555566168221466
3.358,-0.0379571419902065,-0.0551442393325217
3.36,-0.0392773427102539,-0.0546901533482411
3.362,-0.0405843775910353,-0.0541948260847046
3.364,-0.0418768117651381,-0.0536587775018038
3.366,-0.0431532268414465,-0.0530825803277017
3.368,-0.0444122229810766,-0.052466860002687
3.37,-0.0456524210260764,-0.051812294516346
3.372,-0.0468724646603154,-0.0511196141542851
3.374,-0.0480710226306338,-0.0503896011361509
3.376,-0.0492182410439781,-0.049622843480421
3.378,-0.0503123931599051,-0.0488244008208849
3.38,-0.0513809673645159,-0.0479969161235907
3.382,-0.0524231604885452,-0.0471414365669113
3.384,-0.0534382125890201,-0.0462590320518963
3.386,-0.0544254077265921,-0.0453507935573193
3.388,-0.0553840746833415,-0.0444178314510165
3.39,-0.0563135876365595,-0.0434612737598346
3.392,-0.0572133667607311,-0.0424822643990554
3.394,-0.0580828787746631,-0.041481961363825
3.396,-0.0589216374184398,-0.0404615348828575
3.398,-0.0597292038626352,-0.0394221655375335
3.4,-0.0605051870489716,-0.0383650423527526
3.402,-0.0612492439433884,-0.0372913608498362
3.404,-0.0619610797242769,-0.0362023210835303
3.406,-0.0626404478844409,-0.0350991256474271
3.408,-0.0632871502401699,-0.0339829776657027
3.41,-0.0639010368696577,-0.0328550787653635
3.412,-0.0644820059468591,-0.031716627033505
3.414,-0.065030003491772,-0.0305688149793989
3.416,-0.0655450230270374,-0.0294128274755534
3.418,-0.066027105134688,-0.0282498397152286
3.42,-0.0664763369198354,-0.027081015169226
3.422,-0.0668928513750743,-0.0259075035531193
3.424,-0.0672768266453949,-0.024730438813438
3.426,-0.0676284851884373,-0.0235509371376626
3.428,-0.0679480928430904,-0.0223700949872353
3.43,-0.0682359577924366,-0.0211889871671284
3.432,-0.068492429423267,-0.0200086649368433
3.434,-0.0687178970918461,-0.0188301541590371
3.436,-0.0689127887880843,-0.0176544535072813
3.438,-0.06907756970234,-0.0164825327297553
3.44,-0.0692127406978266,-0.0153153309689493
3.442,-0.0693188366896285,-0.0141537551657182
3.444,-0.0693964249328498,-0.0129986785212582
3.446,-0.0694461032243098,-0.0118509390557925
3.448,-0.0694684980200559,-0.0107113382459452
3.45,-0.069464262471868,-0.00958063975793816
3.452,-0.0694340743926922,-0.00845956828088238
3.454,-0.069378634144951,-0.00734880846253504
3.456,-0.0692986624728364,-0.00624900395497305
3.458,-0.069194898260753,-0.00516075657466852
3.46,-0.0690680962571468,-0.00408462558146851
3.462,-0.0689190247352156,-0.0030211270779579
3.464,-0.068748463119359,-0.00197073354263561
3.466,-0.0685571995795787,-0.000933873484251995
3.468,-0.0683460285993812,8.90687624570344E-05
3.47,-0.0681157485230701,0.00109775311253772
3.472,-0.0678671590966287,0.00209188366115653
3.474,-0.0676010589996953,0.0030712084777667
3.476,-0.0673182433944122,0.00403551926257312
3.478,-0.0670195014751933,0.00498465085600309
3.48,-0.0667056140556863,0.00591848061114302
3.482,-0.0663773511734248,0.00683692762036963
3.484,-0.0660354697448502,0.00773995180959351
3.486,-0.0656807112645459,0.00862755288922087
3.488,-0.0653137995606644,0.00949976916815122
3.49,-0.0649354386206337,0.0103566762383338
3.492,-0.0645463104803151,0.0111983855271212
3.494,-0.0641470732098391,0.0120250427242767
3.496,-0.0637383589723759,0.0128368260865974
3.498,-0.0633207721951036,0.0136339446259372
3.5,-0.0628948878326182,0.0144166361854037
3.502,-0.0624782165039874,0.0151962389802108
3.504,-0.0620533672295879,0.0159638579100465
3.506,-0.0616206645777824,0.0167197461353983
3.508,-0.0611804011943951,0.0174641662471258
3.51,-0.060732837376821,0.0181973880537393
3.512,-0.0602782007864832,0.0189196863432487
3.514,-0.0598166862881958,0.0196313386293916
3.516,-0.0593484559198507,0.0203326228762211
3.518,-0.0588736390116714,0.0210238152182414
3.52,-0.0583923324221169,0.0217051876814292
3.522,-0.057904600924344,0.0223770059126315
3.524,-0.0574104777239554,0.0230395269249737
3.526,-0.0569099651115983,0.0236929968710094
3.528,-0.0564030352477829,0.0243376488344701
3.53,-0.0558896310891424,0.0249737006785363
3.532,-0.0553696674351643,0.025601352924649
3.534,-0.0548430321132762,0.0262207866929288
3.536,-0.0543095872800084,0.02683216169933
3.538,-0.0537691708608007,0.0274356143217036
3.54,-0.0532215980919928,0.0280312557349731
3.542,-0.0526666631952899,0.0286191701346727
3.544,-0.0521041411555934,0.0291994130391083
3.546,-0.0515337896119134,0.0297720096834471
3.548,-0.0509553508516083,0.0303369535180604
3.55,-0.0503685539048884,0.0308942048044678
3.552,-0.0497731167348555,0.0314436893252841
3.554,-0.0491687485179035,0.0319852971985864
3.556,-0.048555152009543,0.0325188818191921
3.558,-0.0479320259898648,0.0330442589223755
3.56,-0.047299067788188,0.0335612057686392
3.562,-0.0466559758677671,0.0340694604652329
3.564,-0.0460024524872708,0.034568721421212
3.566,-0.0453382064125853,0.0350586469399596
3.568,-0.0446629556838542,0.0355388549552166
3.57,-0.0439764304319849,0.0360089229148415
3.572,-0.0432783757357949,0.0364683878106909
3.574,-0.0425685545178748,0.0369167463622267
3.576,-0.0418467504681536,0.0373534553546782
3.578,-0.0411127709970177,0.0377779321378514
3.58,-0.040366450202696,0.0381895552829529
3.582,-0.0396076518634455,0.0385876654101062
3.584,-0.0388362724198471,0.0389715661785719
3.586,-0.0380522439802812,0.0393405254510382
3.588,-0.0372555373073318,0.0396937766327307
3.59,-0.0364461647975243,0.0400305201874913
3.592,-0.0356241834503677,0.0403499253383946
3.594,-0.0347896978081901,0.0406511319519042
3.596,-0.0339428628636862,0.0409332526180127
3.598,-0.033083886936436,0.0411953749167538
3.6,-0.0322130344989149,0.0414365638927147
3.602,-0.0313306289436523,0.0416558647290231
3.604,-0.0304370552922478,0.0418523056335234
3.606,-0.0295327628278564,0.0420249009389794
3.608,-0.0286182676385553,0.0421726544245308
3.61,-0.0276941550666627,0.0422945628638747
3.612,-0.0267610820435791,0.0423896198040695
3.614,-0.0258197792961174,0.0424568195841626
3.616,-0.0248710534164834,0.0424951615953845
3.618,-0.0239157887601691,0.0425036547892127
3.62,-0.0229549491759327,0.0424813224417492
3.622,-0.0219895795248398,0.042427207167376
3.624,-0.0210208069740106,0.0423403762005014
3.626,-0.0200195479892526,0.0422344217799572
3.628,-0.0189850027382546,0.0421038880910178
3.63,-0.0179485220263922,0.0419317666910264
3.632,-0.0169120303186161,0.0417171155282142
3.634,-0.0158775460622814,0.0414590769264194
3.636,-0.014847179257298,0.0411568848840325
3.638,-0.0138231285516243,0.0408098724825736
3.64,-0.012807677814007,0.0404174794197945
3.642,-0.0118031921700943,0.0399792596051171
3.644,-0.0108121134386625,0.0394948888184946
3.646,-0.00983695494489586,0.0389641723784805
3.648,-0.00888029566848797,0.0383870527853693
3.65,-0.00794477367889105,0.0377636172888139
3.652,-0.00703307884603909,0.0370941053223725
3.654,-0.00614794476186765,0.0363789157430592
3.656,-0.00529213986853752,0.0356186137953354
3.658,-0.0044684577578275,0.0348139377321742
3.66,-0.00367970662767222,0.0339658049890997
3.662,-0.00292869788986038,0.0330753178266222
3.664,-0.00221823392374256,0.032143768324559
3.666,-0.00155109500197125,0.031172642627626
3.668,-0.000930025404594978,0.0301636243207176
