"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00510312083866798,-0.080165953369584
3.002,-0.0071495299632211,-0.0794893780940689
3.004,-0.00915660583446158,-0.0787383360583979
3.006,-0.0111213497889696,-0.0779149013677619
3.008,-0.0130408716976539,-0.077021272145132
3.01,-0.0149123951933039,-0.0760597646895347
3.012,-0.0167332625682113,-0.075032807474263
3.014,-0.0185009393331932,-0.0739429349027909
3.016,-0.0202130183934188,-0.0727927808644695
3.018,-0.0218672239375072,-0.0715850721472787
3.02,-0.0234614148974462,-0.0703226217020113
3.022,-0.0249935880779203,-0.0690083217772647
3.024,-0.0264618809046824,-0.0676451369625196
3.026,-0.0278645738125983,-0.0662360971494012
3.028,-0.0292000922149488,-0.0647842904379514
3.03,-0.0304670082065031,-0.0632928560043943
3.032,-0.0316640417437294,-0.061764976959464
3.034,-0.0327900616163326,-0.060203873207982
3.036,-0.0338440859350519,-0.0586127943403424
3.038,-0.034825282341349,-0.0569950125633749
3.04,-0.0357329678552491,-0.0553538157002317
3.042,-0.0365666083381597,-0.0536925002694833
3.044,-0.0373258176680015,-0.0520143646683189
3.046,-0.0380103565944232,-0.0503227024630298
3.048,-0.0386201312722559,-0.0486207958258277
3.05,-0.0391551914816803,-0.0469119091020013
3.052,-0.0396157285938446,-0.0451992825489641
3.054,-0.0400020732108737,-0.0434861262449872
3.056,-0.0403146926193677,-0.0417756141876541
3.058,-0.0405541879365846,-0.0400708785773142
3.06,-0.0407212910085578,-0.0383750043410584
3.062,-0.0408168611994013,-0.0366910238019945
3.064,-0.0407932051210224,-0.0350878384938496
3.066,-0.0406911675523731,-0.0335294534812007
3.068,-0.040529568081256,-0.0319969467208991
3.07,-0.0403100720885311,-0.0304925149885385
3.072,-0.0400344204843761,-0.0290182616561014
3.074,-0.0397044245580045,-0.0275761945062147
3.076,-0.0393219608029714,-0.0261682239277488
3.078,-0.0388889657218786,-0.0247961612767977
3.08,-0.0384074306499262,-0.0234617176064014
3.082,-0.037879396591361,-0.0221665027076878
3.084,-0.0373069491094252,-0.0209120243244448
3.086,-0.0366922132609145,-0.0196996877524679
3.088,-0.036037348616714,-0.0185307956443771
3.09,-0.0353445443612858,-0.0174065480699575
3.092,-0.0346160145080301,-0.0163280428414388
3.094,-0.0338539932237295,-0.0152962761025329
3.096,-0.033060730297915,-0.0143121430394406
3.098,-0.032238486744343,-0.013376438931485
3.1,-0.0313895305716665,-0.012489860308488
3.102,-0.0305161327197876,-0.0116530063215149
3.104,-0.0296205631723183,-0.0108663802831602
