"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.00163531083033202,-0.064929473156984
3.002,0.000416247570778903,-0.0647314824496689
3.004,-0.000792977782461585,-0.0645007179840979
3.006,-0.00199134321696965,-0.0642376083327619
3.008,-0.00317785003365387,-0.063942617011132
3.01,-0.00435152422730392,-0.0636162408235347
3.012,-0.00551141772821128,-0.063259008146263
3.014,-0.00665660950719317,-0.0628714771537909
3.016,-0.00778620653441878,-0.0624542339934695
3.018,-0.00889934458850724,-0.0620078909412787
3.02,-0.00999518892644623,-0.0615330845240113
3.022,-0.0110729348009203,-0.0610304736492647
3.024,-0.0121318078346824,-0.0605007377295196
3.026,-0.0131710642565983,-0.0599445748304012
3.028,-0.0141899909909488,-0.0593626998479514
3.03,-0.0151879056155031,-0.0587558427223943
3.032,-0.0161641561967294,-0.058124746709464
3.034,-0.0171181209913326,-0.057470166708882
3.036,-0.0180492080370519,-0.0567928676670424
3.038,-0.018956854637549,-0.0560936230543749
3.04,-0.0198405267402491,-0.0553732134362317
3.042,-0.0206997182277597,-0.0546324251374833
3.044,-0.0215339501251014,-0.0538720490073189
3.046,-0.0223427697349232,-0.0530928792980298
3.048,-0.0231257497097858,-0.0522957126448277
3.05,-0.0238824870732803,-0.0514813471750013
3.052,-0.0246126021988446,-0.0506505817299641
3.054,-0.0253157377592737,-0.0498042152139872
3.056,-0.0259915576550677,-0.0489430460636541
3.058,-0.0266397459365846,-0.0480678718423142
3.06,-0.0272600057259578,-0.0471794889650584
3.062,-0.0278520581554013,-0.0462786925439945
3.064,-0.0284237600250224,-0.0453764694938496
3.066,-0.0289705083043731,-0.0444659023152007
3.068,-0.029489451427256,-0.0435441847898991
3.07,-0.0299802977175311,-0.0426120358835385
3.072,-0.0304427649673761,-0.0416701785361014
3.074,-0.0308765798960045,-0.0407193403662147
3.076,-0.0312814777099714,-0.0397602544667488
3.078,-0.0316572017548786,-0.0387936602737977
3.08,-0.0320035032879262,-0.0378203045044014
3.082,-0.032320141364361,-0.0368409421626878
3.084,-0.0326068828464252,-0.0358563375854448
3.086,-0.0328635025529145,-0.0348672655444679
3.088,-0.033089783539914,-0.0338745123673771
3.09,-0.0332855175286858,-0.0328788770809575
3.092,-0.0334505054850301,-0.0318811725659389
3.094,-0.0335845583457295,-0.0308822266996329
