"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.107676316174332,-0.012783538409584
3.002,0.108991441286779,-0.0190262324940689
3.004,0.109958996075538,-0.0253500921283979
3.006,0.11057518255103,-0.0317370589677619
3.008,0.110837086052346,-0.038168914915132
3.01,0.110742680736696,-0.0446273231695347
3.012,0.110290834771789,-0.051093869354263
3.014,0.109481312636807,-0.0575501029027909
3.016,0.108314776036581,-0.0639775784947695
3.018,0.106792782632493,-0.0703578974932787
3.02,0.104917783892554,-0.0766727493310113
3.022,0.10269311976208,-0.0829039527562647
3.024,0.100123012755318,-0.0890334968585196
3.026,0.0972125594674017,-0.0950435818124012
3.028,0.0939677204050512,-0.100916659250951
3.03,0.0903953086334969,-0.106635472213394
3.032,0.0865029758362706,-0.112183094562464
3.034,0.0822991972636674,-0.117542969850882
3.036,0.0777932543049481,-0.122698949466042
3.038,0.072995216178651,-0.127635330131375
3.04,0.0679159192947509,-0.132336890492232
3.042,0.0625669452818403,-0.136788926953483
3.044,0.0569605973319986,-0.140977288415319
3.046,0.0511098749655768,-0.14488841015303
3.048,0.0450284473177441,-0.148509346495828
3.05,0.0387306248883196,-0.151827802389001
3.052,0.0322313298761554,-0.154832163772964
3.054,0.0255460651391263,-0.157511526461987
3.056,0.0186908817406323,-0.159855724284654
3.058,0.0116823453534154,-0.161855354917314
3.06,0.00453750127144217,-0.163501804841058
3.062,-0.00272616163940129,-0.164787272931995
3.064,-0.0102878549310224,-0.16497754393385
3.066,-0.0179177096123731,-0.164531076011201
3.068,-0.025518673026256,-0.163687774480899
3.07,-0.0330707744845311,-0.162449492118538
3.072,-0.0405541501863761,-0.160819042436101
3.074,-0.0479490874940045,-0.158800193426215
3.076,-0.0552360689659714,-0.156397661167749
3.078,-0.0623958161718786,-0.153617099786798
3.08,-0.0694093329739262,-0.150465090266401
3.082,-0.076257948396361,-0.146949127797688
3.084,-0.0829233589984252,-0.143077606064445
3.086,-0.0893876704449145,-0.138859800552468
3.088,-0.095633438519914,-0.134305849794377
3.09,-0.101643709188686,-0.129426734319958
3.092,-0.10740205787203,-0.124234254541439
3.094,-0.11289262774673,-0.118741006302533
3.096,-0.118100166944915,-0.112960354919441
3.098,-0.123010064694343,-0.106906407481485
3.1,-0.127608386270666,-0.100593983528488
3.102,-0.131881906651788,-0.0940385840715149
3.104,-0.135818142863318,-0.0872563591431602
3.106,-0.139405384903026,-0.0802640737531595
3.108,-0.142632725310914,-0.0730790724747774
3.11,-0.145490086960282,-0.0657192425971838
3.112,-0.147968249443709,-0.0582029759388598
3.114,-0.150058873626448,-0.0505491294570261
3.116,-0.151754525168159,-0.0427769846081415
3.118,-0.153048694822302,-0.0349062055647156
3.12,-0.153935818300843,-0.026956796399018
3.122,-0.154411293990171,-0.0189490572857636
3.124,-0.154471497602384,-0.0109035397685408
3.126,-0.15358406994431,-0.0028889412336132
3.128,-0.151755810284807,0.00499917852019098
3.13,-0.149524162299135,0.0127635950654934
3.132,-0.146896106267454,0.0203844409487438
3.134,-0.143879571002802,0.0278422079456581
3.136,-0.140483416382362,0.0351177912653983
3.138,-0.136717414654379,0.042192533015912
3.14,-0.13259222999178,0.0490482649903505
3.142,-0.128119395362518,0.0556673505617257
3.144,-0.123311288015772,0.0620327256299977
3.146,-0.118181102622604,0.0681279385525858
3.148,-0.112742822829428,0.0739371890059183
3.15,-0.107011190902721,0.0794453655620892
3.152,-0.101001675423956,0.0846380820610151
3.154,-0.0947304372946001,0.0895017124847333
3.156,-0.0882142940424337,0.0940234244966818
3.158,-0.0814706823722748,0.0981912112850259
3.16,-0.0745176191165235,0.101993921835396
3.162,-0.0673736606637897,0.105421289414841
3.164,-0.0600578608471968,0.108463958215451
3.166,-0.0525897274277831,0.111113508103055
3.168,-0.0449891772427259,0.113362477353654
3.17,-0.0372764901028511,0.115204383118017
3.172,-0.029472261519027,0.116633740013055
3.174,-0.0215973543865291,0.117646076387373
3.176,-0.0136728496772109,0.118237947707847
3.178,-0.00571999635928589,0.118406948514128
3.18,0.00223983946141311,0.118151720988824
3.182,0.0101852259767285,0.117471961692671
3.184,0.0180947175220583,0.116368424916366
3.186,0.0259469068310309,0.114842924603834
3.188,0.0336014603256682,0.11268735820563
3.19,0.0407506208216172,0.109513289025749
3.192,0.0477038429704372,0.10598017983048
3.194,0.0544439781789516,0.102098964693811
3.196,0.0609544544623914,0.0978813851904355
3.198,0.0672193151555836,0.0933399613342702
3.2,0.0732232561947929,0.0884879598577217
