"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.00164033165433202,-0.064985598079884
3.002,0.000417815010778903,-0.0647872494072689
3.004,-0.000794811624461585,-0.0645559345047979
3.006,-0.00199651624596965,-0.0642920863027619
3.008,-0.00318629047165387,-0.063996173164132
3.01,-0.00436315094430392,-0.0636686972135347
3.012,-0.00552614059821128,-0.063310192600263
3.014,-0.00667432978219316,-0.0629212236927909
3.016,-0.00780681723741878,-0.0625023832414695
3.018,-0.00892273092550724,-0.0620542904972787
3.02,-0.0100212287144462,-0.0615775893240113
3.022,-0.0111014989059203,-0.0610729462872647
3.024,-0.0121627606286824,-0.0605410487635196
3.026,-0.0132042640815983,-0.0599826030584012
3.028,-0.0142252906319488,-0.0593983325539514
3.03,-0.0152251527885031,-0.0587889759033943
3.032,-0.0162031940327294,-0.058155285269464
3.034,-0.0171587885343326,-0.057498024625882
3.036,-0.0180913407430519,-0.0568179681350424
3.038,-0.019000284870749,-0.0561158986013749
3.04,-0.0198850842794491,-0.0553926060122317
3.042,-0.0207452307649597,-0.0546488861774833
3.044,-0.0215802437651014,-0.0538855394703189
3.046,-0.0223896694911232,-0.0531033696770298
3.048,-0.0231730799964758,-0.0523031829568277
3.05,-0.0239300721913803,-0.0514857869250013
3.052,-0.0246602668161446,-0.0506519898509641
3.054,-0.0253633073823737,-0.0498025999839872
3.056,-0.0260388590933677,-0.0489384250026541
3.058,-0.0266866077560846,-0.0480602715883142
3.06,-0.0273062586936578,-0.0471689451270584
3.062,-0.0278975356714013,-0.0462652495349945
3.064,-0.0284679961380224,-0.0453606255158496
3.066,-0.0290132932733731,-0.0444478959522007
3.068,-0.029530689090256,-0.0435241148478991
3.07,-0.0300198976925311,-0.0425900050375385
3.072,-0.0304806427853761,-0.0416462930241014
3.074,-0.0309126571210045,-0.0406937096842147
3.076,-0.0313156820389714,-0.0397329910567488
3.078,-0.0316894671098786,-0.0387648792107977
3.08,-0.0320337698929262,-0.0377901231844014
3.082,-0.032348355800361,-0.0368094799866878
3.084,-0.0326329981034252,-0.0358237156494448
3.086,-0.0328874780589145,-0.0348336063224679
3.088,-0.033111585182914,-0.0338399394013771
3.09,-0.0333051176596858,-0.0328435146689575
3.092,-0.0334678829130301,-0.0318451454537389
3.094,-0.0335996983137295,-0.0308456597744329
3.096,-0.033700392060915,-0.0298459014703406
3.098,-0.033769804209343,-0.028846731298085
3.1,-0.0338077878626665,-0.027849027980388
3.102,-0.0338142105247876,-0.0268536891937149
3.104,-0.0337889556113183,-0.0258616324776902
3.106,-0.0337319241150257,-0.0248737960512595
3.108,-0.0336430364339137,-0.0238911395191774
3.11,-0.0335222343342816,-0.0229146444524837
3.112,-0.033369483069709,-0.0219453148264598
3.114,-0.0331847736264483,-0.0209841772998261
3.116,-0.0329681250981588,-0.0200322813173415
3.118,-0.0327195871743022,-0.0190906990217156
3.12,-0.0324392427288435,-0.018160524958018
3.122,-0.0321272104951706,-0.0172428755497636
3.124,-0.0317836478193839,-0.0163388883495408
3.126,-0.0314146335843103,-0.0154450670576132
3.128,-0.0310197528518066,-0.014561790647809
3.13,-0.0305931392351348,-0.0136946896245066
3.132,-0.030135067158454,-0.0128450348332562
3.134,-0.0296458671858016,-0.0120141140513419
3.136,-0.029125928921362,-0.0112032293926017
3.138,-0.0285757038123785,-0.010413694393088
3.14,-0.0279957078177799,-0.00964683079364948
3.142,-0.0273865239115185,-0.0089039650032743
3.144,-0.026748804393772,-0.00818642426500231
3.146,-0.0260832729716042,-0.00749553252241419
3.148,-0.0253907265796275,-0.00683260599708165
3.15,-0.0246720369003209,-0.00619894849891078
3.152,-0.0239281515660562,-0.00559584649198493
3.154,-0.0231600949957001,-0.00502456391526672
3.156,-0.0223689688442337,-0.00448633682431822
3.158,-0.0215559520343748,-0.00398236784197408
3.16,-0.0207223003446045,-0.00351382048360398
3.162,-0.0198693455296897,-0.00308181338415946
3.164,-0.0189984939541968,-0.00268741446154872
3.166,-0.0181112247224831,-0.00233163507094494
3.168,-0.0172090872936259,-0.00201542419834629
3.17,-0.0162936985734511,-0.00173966272898265
3.172,-0.015366739482427,-0.00150515785794487
3.174,-0.0144299510025291,-0.0013126376886267
3.176,-0.0134851297132109,-0.00116274607115256
3.178,-0.0125341228272859,-0.00105603773787165
3.18,-0.0115788227565869,-0.000992973786176137
3.182,-0.0106211612292715,-0.000973917562328681
3.184,-0.00966310298394174,-0.000999130987634014
3.186,-0.00870663910496911,-0.00106877138516568
3.188,-0.00775124890233176,-0.00117969142937033
3.19,-0.00679313991038282,-0.00132603927125089
3.192,-0.00584153002456277,-0.00151766044952049
3.194,-0.00489851281104845,-0.00175435288018895
3.196,-0.00396617577660856,-0.00203579856356453
3.198,-0.0030465923194164,-0.00236156379472978
3.2,-0.00214181367520709,-0.00273110003627825
3.202,-0.00125386094489233,-0.00314374548960178
3.204,-0.000384717270534685,-0.00359872733432174
3.206,0.000463679787574701,-0.00409516462688629
3.208,0.00128944559510316,-0.00463207184075142
3.21,0.00209075544451312,-0.00520836300774158
3.212,0.00286585117484107,-0.00582285643029417
3.214,0.00361304732940895,-0.00647427991972026
3.216,0.00433073682489515,-0.00716127650991632
3.218,0.00501739607625281,-0.00788241059490944
3.22,0.00567158955754129,-0.00863617443119781
3.222,0.00629197374872345,-0.00942099494392343
3.224,0.00687730046073085,-0.010235240773404
3.226,0.00742641952750657,-0.011077229498166
3.228,0.00793828084815101,-0.0119452349685311
3.23,0.00841193578160498,-0.0128374946860178
3.232,0.00884653791138662,-0.0137522171642789
3.234,0.00924134317963649,-0.0146875892158533
3.236,0.00959570942302802,-0.0156417830987211
3.238,0.00990909533287682,-0.0166129634684399
3.24,0.0101810588649553,-0.0175992940987915
3.242,0.0104112551480491,-0.0185989443045286
3.244,0.0105994339191149,-0.0196100950408336
3.246,0.0107454365340145,-0.0206309446405156
3.248,0.0108491925951792,-0.0216597141525559
3.25,0.010910716251222,-0.0226946522702811
3.252,0.0109422594474727,-0.0237591099600909
3.254,0.010929531729698,-0.0248273484112113
3.256,0.010872717672927,-0.025897578550315
3.258,0.0107720764723801,-0.0269680516119566
3.26,0.0106279373556551,-0.0280370620575841
3.262,0.0104406949494202,-0.0291029500373258
3.264,0.0102108046309619,-0.0301641034068066
3.266,0.00993877791790349,-0.0312189593218781
3.268,0.0096251779237209,-0.032266005420327
3.27,0.00927061491658226,-0.0333037806233728
3.272,0.0088757420096731,-0.0343308755650549
3.274,0.00844125101107273,-0.0353459327014651
3.276,0.00796786845419597,-0.0363476460932087
3.278,0.00745635183033589,-0.0373347609225048
3.28,0.0069074860375939,-0.0383060727489931
3.282,0.00632208006037836,-0.0392604265525983
3.284,0.00570096388721501,-0.0401967155738029
3.286,0.00504498567527964,-0.0411138800013635
3.288,0.00435500916444362,-0.0420109055149538
3.29,0.00363191133864491,-0.0428868217284492
3.292,0.00287658033991507,-0.0437407005425998
3.294,0.00208991362332707,-0.0445716544477371
3.296,0.00127281635607105,-0.0453788347949197
