"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00390947861066798,-0.074812384271584
3.002,-0.0056556708362211,-0.0742165145430689
3.004,-0.00736741226046158,-0.0735618076793979
3.006,-0.00904246389096965,-0.0728500692557619
3.008,-0.0106786818576539,-0.072083194377132
3.01,-0.0122740212033039,-0.0712631624705347
3.012,-0.0138265393582113,-0.070392031893263
3.014,-0.0153343993031932,-0.0694719343867909
3.016,-0.0167958723734188,-0.0685050693984695
3.018,-0.0182093408375072,-0.0674936982842787
3.02,-0.0195732999674462,-0.0664401384240113
3.022,-0.0208863599479203,-0.0653467572612647
3.024,-0.0221472473146824,-0.0642159662945196
3.026,-0.0233548061225983,-0.0630502150417012
3.028,-0.0245079987649488,-0.0618519850002114
3.03,-0.0256059063965031,-0.0606237836144943
3.032,-0.0266477291437294,-0.0593681382844641
3.034,-0.0276327858363326,-0.058087590425882
3.036,-0.0285605135750519,-0.0567846896050424
3.038,-0.029430466851349,-0.0554619877703749
3.04,-0.0302423164452491,-0.0541220335862317
3.042,-0.0309958480281597,-0.0527673669064833
3.044,-0.0316909604080014,-0.0514005133823189
3.046,-0.0323276636444232,-0.0500239792410298
3.048,-0.0329060767322559,-0.0486402462248277
3.05,-0.0334264252016803,-0.0472517667370013
3.052,-0.0338890383918446,-0.0458609591689641
3.054,-0.0342943465468737,-0.0444702034579872
3.056,-0.0346428777123677,-0.0430818368516541
3.058,-0.0349352544475846,-0.0416981499163142
3.06,-0.0351721903765578,-0.0403213827770584
3.062,-0.0353544865844013,-0.0389537216099945
3.064,-0.0354635476380224,-0.0376684974638496
3.066,-0.0355212301883731,-0.0364220949412007
3.068,-0.035536298680256,-0.0351924851408991
3.07,-0.0355099435195311,-0.0339809978485385
3.072,-0.0354433881953761,-0.0327888920661014
3.074,-0.0353378850770045,-0.0316173558462147
3.076,-0.0351947112699714,-0.0304675064177488
3.078,-0.0350151645588786,-0.0293403905867977
3.08,-0.0348005594501262,-0.0282369853464014
3.082,-0.034552223333651,-0.0271581987776878
3.084,-0.0342714927810252,-0.0261048711044448
3.086,-0.0339597099909145,-0.0250777760824679
3.088,-0.033618219401914,-0.0240776224843771
3.09,-0.0332483644836858,-0.0231050558599575
3.092,-0.0328514847200301,-0.0221606603914388
3.094,-0.0324289127997295,-0.0212449610225329
3.096,-0.031981972023915,-0.0203584256394406
3.098,-0.031511973933343,-0.019501467406485
3.1,-0.0310202161806665,-0.018674447234488
3.102,-0.0305079806387876,-0.0178776763155149
3.104,-0.0299765317573183,-0.0171114187341602
3.106,-0.0294271151820257,-0.0163758941281595
3.108,-0.0288609566159137,-0.0156712803667774
3.11,-0.0282792609512816,-0.0149977162471837
3.112,-0.027683211648709,-0.0143553041578598
3.114,-0.0270739703794483,-0.0137441127090261
3.116,-0.0264526769061588,-0.0131641792971415
3.118,-0.0258204492183022,-0.0126155125727156
3.12,-0.0251783838938435,-0.012098094810018
3.122,-0.0245275566901706,-0.0116118841317636
3.124,-0.0238690233223839,-0.0111568165825408
3.126,-0.0232412517143103,-0.0107262761276132
3.128,-0.0226440775248066,-0.010314968874809
3.13,-0.0220402983891348,-0.00992768100750664
3.132,-0.021430453867454,-0.00956442484725619
3.134,-0.0208150795028016,-0.0092252232239419
3.136,-0.0201947097623619,-0.00891010965440172
3.138,-0.0195698810443785,-0.00861912818388802
3.14,-0.0189411346317799,-0.00835233288004948
3.142,-0.0183090196825185,-0.0081097869802743
3.144,-0.017674096005772,-0.00789156168900232
3.146,-0.0170369368726042,-0.00769773463341419
3.148,-0.0163981315324275,-0.00752838798108165
3.15,-0.0157582876677209,-0.00738360622891078
3.152,-0.0151180335069562,-0.00726347368298493
3.154,-0.0144780197486001,-0.00716807165326672
3.156,-0.0138389211574337,-0.00709747536731822
3.158,-0.0132014378352748,-0.00705175066097409
