"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0864571485653872,-0.101500441604587
3.002,0.0851378192969999,-0.102474137751128
3.004,0.0838076937069265,-0.103405975672213
3.006,0.0824702684495175,-0.104313138501833
3.008,0.0811321463710517,-0.105181340563078
3.01,0.0797830285392745,-0.106015586011891
3.012,0.0784442386309965,-0.106811618281245
3.014,0.0770963926497069,-0.10758127780484
3.016,0.0757430536821895,-0.108322337119087
3.018,0.0743977569632424,-0.109032287252679
3.02,0.0730563359173935,-0.109699633228505
3.022,0.0717165173536598,-0.110356707887112
3.024,0.0703801983603809,-0.110961729291568
3.026,0.0690438407471175,-0.111546660435792
3.028,0.0677267735395956,-0.112110862280353
3.03,0.0664257942327071,-0.112637116383811
3.032,0.0651266809146373,-0.113147157858385
3.034,0.0638241552450112,-0.11362775366826
3.036,0.0625493782121525,-0.114085418356279
3.038,0.0612794154934368,-0.114518416671175
3.04,0.0600222828457017,-0.114931179449268
3.042,0.058777023470807,-0.115319102862676
3.044,0.05755848765924,-0.115693060735039
3.046,0.0563443993648701,-0.116047439366736
3.048,0.055139103635786,-0.116382599018716
3.05,0.0539501391612692,-0.116702481011954
3.052,0.052782976740858,-0.117004153383805
3.054,0.05163202376255,-0.117299579662539
3.056,0.0505069770691328,-0.117594286264182
3.058,0.0493789254926504,-0.117853375019212
3.06,0.0482780302339762,-0.11812572022334
3.062,0.0471981367485629,-0.118380563440313
3.064,0.0461286209602852,-0.118632148655263
3.066,0.0450750849894716,-0.118872626807194
3.068,0.0440291166660752,-0.119114420192156
3.07,0.0430083599929626,-0.1193406948089
3.072,0.0419977918034154,-0.119575170420082
3.074,0.0410036559077382,-0.119813217861131
3.076,0.0400240270580651,-0.120042717668602
3.078,0.0390514125313133,-0.120277761191142
3.08,0.0381000176572896,-0.120517105737073
3.082,0.0371546946210308,-0.12076095970049
3.084,0.036217249509247,-0.121014380264999
3.086,0.0353009104399667,-0.121264997797127
3.088,0.0343878668144046,-0.121519823799151
3.09,0.0334819551039499,-0.121790534186669
3.092,0.032578085818368,-0.122067288695825
3.094,0.0316837353312107,-0.122347561389958
3.096,0.0307949555484003,-0.122643945498094
3.098,0.0299150544959856,-0.122930258710897
3.1,0.0290286834561464,-0.123257859937316
3.102,0.0281440209503232,-0.12358148592308
3.104,0.0272643031003112,-0.123916181005592
3.106,0.026379015689991,-0.124262579767469
3.108,0.0254893162560803,-0.124618996726813
3.11,0.0246013485044295,-0.124986503546959
3.112,0.0236961411932531,-0.125367613766783
3.114,0.0227980836495584,-0.125754967886964
3.116,0.0218810108027158,-0.126153760424707
3.118,0.0209778080018076,-0.12656658805327
3.12,0.0200322374811886,-0.126990137738144
3.122,0.0191016590728488,-0.127422785503856
3.124,0.0181300028198793,-0.127868829385503
3.126,0.0171548192782858,-0.128322394148957
3.128,0.0161723308219227,-0.128783771152773
3.13,0.0151653235737671,-0.129252057095722
3.132,0.0141429561243201,-0.129719222123102
3.134,0.013101931126284,-0.130200831820731
3.136,0.012041476709521,-0.130689901160617
3.138,0.0109572156701748,-0.131177640428332
3.14,0.0098480555920765,-0.131661064572134
3.142,0.00872321082334423,-0.13215254333681
3.144,0.00757481428530222,-0.132644731644205
3.146,0.00639879571654882,-0.133136769691471
3.148,0.00519741592036578,-0.133619790931098
