"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.134665717812387,-0.093126803604887
3.002,0.133763268563,-0.0968692993071278
3.004,0.132702923061926,-0.100599732997213
3.006,0.131481356525518,-0.104307404353832
3.008,0.130084654900052,-0.107982731046078
3.01,0.128471478793275,-0.111558081132891
3.012,0.126797870675996,-0.115201762717245
3.014,0.124878489003707,-0.11868083588384
3.016,0.122837391198189,-0.122139996133087
3.018,0.120693166249242,-0.125588410246679
3.02,0.118341513056393,-0.128883616052505
3.022,0.11586207648066,-0.132099619889112
3.024,0.113234326766381,-0.135208520189568
3.026,0.110473298163118,-0.138214976924792
3.028,0.107580504167596,-0.141109924896353
3.03,0.104577964905707,-0.143896109368811
3.032,0.101449888354637,-0.146540399801385
3.034,0.0982057491550112,-0.14899297316926
3.036,0.0948769828231525,-0.151449145864279
3.038,0.0914429105834368,-0.153689573575175
3.04,0.0879236957207017,-0.155774515617268
3.042,0.084339232262807,-0.157723456181676
3.044,0.08065349995324,-0.159499396814039
3.046,0.0769230846938701,-0.161128573742736
3.048,0.073132263303786,-0.162595337326616
3.05,0.0693011452442692,-0.163887646152254
3.052,0.065435980341858,-0.165030888840705
3.054,0.06153271842355,-0.165992651113839
3.056,0.0576173066081328,-0.166802035300182
3.058,0.0536963935016504,-0.167419525200212
3.06,0.0498146862239762,-0.16781586654134
3.062,0.0458476969445629,-0.168174335182313
3.064,0.0419421793592852,-0.168297210647263
3.066,0.0380777580764716,-0.168262598389194
3.068,0.0342309677480752,-0.168059481603156
3.07,0.0304324921239626,-0.1676815451789
3.072,0.0266886441194154,-0.167157525273082
3.074,0.0230157220297382,-0.166475772251131
3.076,0.0193961894350651,-0.165647095168602
3.078,0.0159353538053133,-0.164631276872142
3.08,0.0124768245752896,-0.163527833110073
3.082,0.0090388308500308,-0.16229360184249
3.084,0.005777750720247,-0.160909392220999
3.086,0.0026932808679667,-0.159379919458127
3.088,-0.000440372427595405,-0.157766739796151
3.09,-0.0033552135840501,-0.156029880885669
3.092,-0.006156400289632,-0.154185423683825
3.094,-0.0087771047067893,-0.152241457461958
3.096,-0.0114045998855997,-0.150212512793094
3.098,-0.0138142818570144,-0.148097828788897
3.1,-0.0160915001158536,-0.145916000286316
3.102,-0.0181957340236768,-0.14366783447408
3.104,-0.0201825071211888,-0.141370109515592
3.106,-0.022010862071109,-0.139003147256469
3.108,-0.0237104642999197,-0.136599758239813
3.11,-0.0252176812200705,-0.134190069947259
3.112,-0.0266071281917469,-0.131725331906783
3.114,-0.0278315123744416,-0.129268048216964
3.116,-0.0288994161882842,-0.126798923155707
3.118,-0.0298067800851924,-0.12434787841327
3.12,-0.0305821750198114,-0.121891097530144
3.122,-0.0311963734701512,-0.119466351224856
3.124,-0.0316588235981207,-0.117076266406503
3.126,-0.0319865721597142,-0.114714497013957
3.128,-0.0321658526250773,-0.112409283077773
3.13,-0.0322001308882329,-0.110158867491722
3.132,-0.0321028381766799,-0.107982782564102
3.134,-0.031881875680716,-0.105862635868731
3.136,-0.031508987052479,-0.103883903935617
3.138,-0.0310624491048252,-0.101857959231332
3.14,-0.0304882811899235,-0.099994338599134
3.142,-0.0297895167476558,-0.09823582372881
3.144,-0.0289924214736978,-0.096588638396205
3.146,-0.0281069720974512,-0.095026960892471
3.148,-0.0271234952396342,-0.093617155703098
3.15,-0.0260645337397121,-0.092284510066622
3.152,-0.024928579443063,-0.091098978943115
3.154,-0.023737263637823,-0.09003368906237
3.156,-0.0224831987815792,-0.089133269511885
3.158,-0.0211780782577657,-0.088327715094539
3.16,-0.0198241609578068,-0.087666734826072
3.162,-0.018465553251004,-0.087183236032263
3.164,-0.0170563846452148,-0.08680749072596
3.166,-0.0156332023852991,-0.08657128350377
3.168,-0.0142152796177878,-0.086491206932574
3.17,-0.0128049673017379,-0.086558868425821
3.172,-0.011432603053365,-0.086829763079584
3.174,-0.010052515060902,-0.087181644198355
3.176,-0.0086554883405904,-0.087620059470713
3.178,-0.0073185616855646,-0.088235763604705
3.18,-0.0060378087133719,-0.088999525503031
3.182,-0.0048409746143407,-0.089912908248046
3.184,-0.0036746193146394,-0.090951052976555
3.186,-0.0025756943890488,-0.092084741004373
3.188,-0.0015690006535233,-0.09337529179075
3.19,-0.000721429117435904,-0.094815560822557
3.192,0.000163189844388303,-0.096301888368312
3.194,0.000918101239942404,-0.097918625991998
3.196,0.0014637838285625,-0.099667905426725
3.198,0.0020516663997039,-0.101463750058217
3.2,0.0023640323420238,-0.103384037508068
3.202,0.0026951000226509,-0.105357889796932
3.204,0.002766871466816,-0.107432952477445
3.206,0.0028553046676901,-0.109558636517038
3.208,0.0027179328665001,-0.111754411400586
3.21,0.0024270953829216,-0.11399664421289
3.212,0.0019963996857259,-0.116281524191009
3.214,0.0013497039537237,-0.118585853286442
3.216,0.000711071216921697,-0.120951920895167
3.218,-0.000177955141980199,-0.123316057505524
3.22,-0.00119953473588959,-0.125686456148005
3.222,-0.0023770046813105,-0.128053558679615
3.224,-0.0037293360461017,-0.130428160893418
3.226,-0.0052180734969182,-0.13278367405185
3.228,-0.0068754260964161,-0.135088965101954
3.23,-0.00867816506020649,-0.137375796482507
3.232,-0.0107013785234913,-0.139552974822175
3.234,-0.0127520021274804,-0.141784723808403
3.236,-0.015010278305483,-0.143905111086159
3.238,-0.0174089029488185,-0.145966047020569
3.24,-0.0199546244123694,-0.147937464687458
3.242,-0.0226400725499061,-0.149817878853793
3.244,-0.0254470432491684,-0.151595820897981
3.246,-0.028401771606613,-0.153284100120128
3.248,-0.0314937434819803,-0.154778997002137
3.25,-0.0346746390024992,-0.156223037547781
3.252,-0.0379476559969234,-0.157633029072633
3.254,-0.0413401643292231,-0.158842305353938
3.256,-0.0448350940620309,-0.159903554300383
3.258,-0.0484289115998637,-0.160819859321805
3.26,-0.052096646562013,-0.161498094518794
3.262,-0.0558538460952309,-0.162226748902253
3.264,-0.0596523992661025,-0.162673858232867
3.266,-0.0635258045831733,-0.162982705320483
3.268,-0.0674423709688425,-0.163109000603469
3.27,-0.0713993881509247,-0.163069517017985
3.272,-0.07540521868603,-0.162878048467156
3.274,-0.0794222797325963,-0.162506334590265
3.276,-0.0834465311927412,-0.161942962331829
3.278,-0.0874849968569944,-0.161213077220619
3.28,-0.0915279132655796,-0.160315684098684
3.282,-0.0955394549404739,-0.159239911960279
3.284,-0.0995438876381423,-0.157996443300745
3.286,-0.103507574739069,-0.156563171775387
3.288,-0.107352627482811,-0.154888922088274
3.29,-0.111300483954976,-0.153191428361023
3.292,-0.115103181413971,-0.151260902751529
3.294,-0.118869411312459,-0.149152058102683
3.296,-0.122529769655602,-0.146885665071055
3.298,-0.126130791549017,-0.144465072675541
3.3,-0.129609648846485,-0.141879846855977
3.302,-0.132993840067401,-0.139154467531783
3.304,-0.136281338803971,-0.136285463100499
3.306,-0.139442470338186,-0.133281200266395
3.308,-0.142472344528481,-0.130144828989012
3.31,-0.145389313436183,-0.126880643621678
3.312,-0.148176074171738,-0.1234973990001
3.314,-0.150780881030602,-0.12000798087082
3.316,-0.153170724378956,-0.116406619499782
3.318,-0.155579786289156,-0.112715105180832
3.32,-0.157668353874918,-0.108941910224234
3.322,-0.159738195256244,-0.10508460226519
3.324,-0.161574109654161,-0.101152225442371
3.326,-0.163251780225144,-0.0971608768664426
3.328,-0.164731957125334,-0.0931233876035907
3.33,-0.166036054124514,-0.0890441295101052
3.332,-0.167171583409803,-0.0849305645788989
3.334,-0.168138491859151,-0.0807835178243291
3.336,-0.168904808664604,-0.0766352013797856
3.338,-0.169500495335247,-0.0724712384112834
3.34,-0.169919837830002,-0.0683119195801442
3.342,-0.170152224090126,-0.0641718073696365
3.344,-0.170203831461499,-0.0600500078924825
3.346,-0.170092270916659,-0.0559549523645703
3.348,-0.169799096476631,-0.0519114705057129
3.35,-0.169325379192474,-0.047925689291455
3.352,-0.168686081456631,-0.0439909415318617
3.354,-0.167845490414032,-0.0402036265104176
3.356,-0.166929135462974,-0.0363357396128962
3.358,-0.165816472415741,-0.0326311085563293
3.36,-0.164550165229048,-0.0290169225979887
3.362,-0.163136520494194,-0.0255118131844171
3.364,-0.161564389777034,-0.0221951781905198
3.366,-0.159909062727697,-0.0188158827486916
3.368,-0.158103273880099,-0.0156650680380128
3.37,-0.156159315531204,-0.0127165506134807
3.372,-0.154126091670098,-0.0097214518253162
3.374,-0.151990367346788,-0.0070594285083304
3.376,-0.149748538950842,-0.0043559554813154
3.378,-0.147431833629772,-0.0019785887465588
3.38,-0.14501462744718,0.000427266970640501
3.382,-0.142564798630734,0.0024838715223324
3.384,-0.140018122599887,0.0045706377882556
3.386,-0.137427496126414,0.006392098556065
3.388,-0.134798158893689,0.0080607044615255
3.39,-0.132185231032798,0.0094578531086169
3.392,-0.129502276213399,0.0108019055995237
3.394,-0.126751548602402,0.0120400381646161
3.396,-0.124055596548427,0.0130224705222964
3.398,-0.121353070406031,0.0138534896088007
3.4,-0.118686893947788,0.0144991039978735
3.402,-0.116086807301073,0.0149173444103988
3.404,-0.113399417251757,0.0153113895139165
3.406,-0.110815985058559,0.0154888833120758
3.408,-0.108290391228336,0.01548541365395
3.41,-0.105823215801074,0.0153386338133111
3.412,-0.103439469674713,0.0150291576877845
3.414,-0.101109480989788,0.0145794884979009
3.416,-0.09888171326385,0.0139931858660564
3.418,-0.096820571605692,0.0132474187553919
3.42,-0.094790323309408,0.0123890702485235
3.422,-0.092768668088225,0.0114439653862195
3.424,-0.090948853638167,0.010351393635937
3.426,-0.089266649171508,0.0091444907702775
3.428,-0.087688927090079,0.0078466027453154
3.43,-0.086361362458331,0.0064468468888038
3.432,-0.084972370376248,0.0049618449383076
3.434,-0.083816306742069,0.0034053630091964
3.436,-0.082817099984843,0.0017718774925132
3.438,-0.081968656966747,9.19097927546009E-05
3.44,-0.081264588075315,-0.0016569926145102
3.442,-0.080731727255395,-0.0034460423840755
3.444,-0.080348601391002,-0.0052549150757369
3.446,-0.080142483096934,-0.00707941093398661
3.448,-0.080093500260294,-0.0089352725368652
3.45,-0.080197530371751,-0.0107886940779478
3.452,-0.080561616316694,-0.0125850460884222
3.454,-0.080986960566179,-0.0144135077383464
3.456,-0.081505143527762,-0.0162729589079808
3.458,-0.082252154786086,-0.0180684539953249
3.46,-0.083166352373375,-0.0197796754506916
3.462,-0.08425810959974,-0.0214424044675298
3.464,-0.085478031283315,-0.0230616466962831
3.466,-0.08684725567024,-0.02459399016846
3.468,-0.088372717194509,-0.0260518483907953
3.47,-0.09001450520762,-0.0274284402995774
3.472,-0.091801802868117,-0.0286918832851271
3.474,-0.09372251480093,-0.0298554569963834
3.476,-0.095760673216626,-0.0309177415356884
3.478,-0.097927356130446,-0.0318422718236532
3.48,-0.100191346421248,-0.0326465858942444
3.482,-0.102566082540277,-0.0332997108699487
3.484,-0.105027039919791,-0.0338470015571627
3.486,-0.107575015901562,-0.0342210334016594
3.488,-0.110213046835227,-0.0344518189642589
3.49,-0.112901093316493,-0.0345191746266426
3.492,-0.115664035505232,-0.0344298243073103
3.494,-0.118466018143395,-0.0341707716877207
3.496,-0.121322626982865,-0.033757601698537
3.498,-0.124213660821101,-0.0331712602261169
3.5,-0.127090769446695,-0.0322948195090681
3.502,-0.130049011729824,-0.0314587513850349
3.504,-0.132966159859003,-0.0303351427876262
3.506,-0.135871340039821,-0.0290448108434859
3.508,-0.138781626612933,-0.0275742938395658
3.51,-0.141652026323048,-0.0259217227305278
3.512,-0.144499136605218,-0.0241066384063632
3.514,-0.147265938437046,-0.0221236956301
3.516,-0.150016200801291,-0.0199548697657682
3.518,-0.152674136638324,-0.0176025968164669
3.52,-0.155268760022516,-0.0151020946326526
3.522,-0.157751843668488,-0.0124456951905486
3.524,-0.16017264153727,-0.0096264124107851
3.526,-0.162386172172351,-0.0066042192971545
3.528,-0.164685776505635,-0.0035441974355833
3.53,-0.166641007973279,-0.0002518034932655
3.532,-0.168700993241471,0.0031267063620371
3.534,-0.170487416712063,0.0066263822824984
3.536,-0.172154527788135,0.0102727196105535
3.538,-0.173680666989494,0.014042674129104
3.54,-0.17491545490802,0.0179002831014222
3.542,-0.176212128703001,0.0218503077710213
3.544,-0.17724087170631,0.0259063188212127
3.546,-0.17808193271755,0.0300195043245896
3.548,-0.178780743119099,0.0342308681522344
3.55,-0.179232260911067,0.0384874735928438
3.552,-0.179544425756199,0.0427835639315516
3.554,-0.179661985264678,0.0471346475586826
3.556,-0.179591208168874,0.0515162108252487
3.558,-0.179308859568016,0.0559178801402887
3.56,-0.178836364082794,0.0603426611654024
3.562,-0.178079758249887,0.0646884365347256
3.564,-0.177319579746437,0.0691580768597101
3.566,-0.176257233704482,0.0735261755816854
3.568,-0.17501389864527,0.0778772031872709
