"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.101670014312387,-0.099823230308587
3.002,0.100414063503,-0.101679071205128
3.004,0.0991018425719265,-0.103506406660213
3.006,0.0977342369955175,-0.105298313140833
3.008,0.0963045083000517,-0.107050321336078
3.01,0.0948261571232745,-0.108763179722891
3.012,0.0932813487959965,-0.110436829217245
3.014,0.0917007805037069,-0.11206185122384
3.016,0.0900559125311895,-0.113636426923087
3.018,0.0883832546952424,-0.115159941056679
3.02,0.0866498649583935,-0.116635881602505
3.022,0.0848843472726598,-0.118052450469112
3.024,0.0830810097083809,-0.119419210529568
3.026,0.0812341763511175,-0.120717745864792
3.028,0.0793594799535956,-0.121963022166353
3.03,0.0774542519507071,-0.123147704858811
3.032,0.0755242652036373,-0.124269110771385
3.034,0.0735688280530112,-0.12533240215926
3.036,0.0715964904721525,-0.126329097684279
3.038,0.0696040991549368,-0.127260052225175
3.04,0.0675986263023017,-0.128127782667268
3.042,0.065598476837807,-0.128941387411676
3.044,0.06356356795724,-0.129671398554039
3.046,0.0615296227768701,-0.130343339152736
3.048,0.059500206953786,-0.130951039276616
3.05,0.0574689479702692,-0.131497428172254
3.052,0.055450327383858,-0.131985843300705
3.054,0.05343477028155,-0.132400305133839
3.056,0.0514307465181328,-0.132764101860182
3.058,0.0494396945946504,-0.133054493100212
3.06,0.0474674504569762,-0.13329198431134
3.062,0.0455082323485629,-0.133480842392313
3.064,0.0435746003292852,-0.133614429427263
3.066,0.0416760389364716,-0.133679296719194
3.068,0.0397893300780752,-0.133712451063156
3.07,0.0379331999439626,-0.1336687562489
3.072,0.0361150760694154,-0.133587504886082
3.074,0.0343409244297382,-0.133448067312131
3.076,0.0325804036950651,-0.133290672318602
3.078,0.0308780987053133,-0.133060462615142
3.08,0.0291957075352896,-0.132839672258073
3.082,0.0275646085200308,-0.13254170735049
3.084,0.025988714010247,-0.132207672606999
3.086,0.0244283318179667,-0.131872725998127
3.088,0.0229264521724046,-0.131495595482151
3.09,0.0214916177659499,-0.131078315992669
3.092,0.020082354330368,-0.130654699806825
3.094,0.0186989174832107,-0.130223515415658
3.096,0.0173795494544003,-0.129765181726594
3.098,0.0161093815229856,-0.129294252149897
3.1,0.0148843082041464,-0.128821083205316
3.102,0.0137316738363232,-0.12831390318308
3.104,0.0125947054188112,-0.127831503928592
3.106,0.011520060888891,-0.127329097858469
3.108,0.0104566837400803,-0.126842765756813
3.11,0.0094843782999295,-0.126358056709959
3.112,0.0085076075282531,-0.125869063601783
3.114,0.0075987696355584,-0.125398597950964
3.116,0.0067271955817158,-0.124935760760707
3.118,0.0059230896048076,-0.12449887871327
3.12,0.0051061363101886,-0.124065288560144
3.122,0.0043501934698488,-0.123655371164856
3.124,0.0036276609118793,-0.123269955736503
3.126,0.0029370893682858,-0.122903870153957
3.128,0.0022755604919227,-0.122564443297773
3.13,0.0016430621247671,-0.122250486011722
3.132,0.00105644823632008,-0.121986602184102
3.134,0.000469803661284,-0.121729837948731
3.136,-0.00011520696947901,-0.121493800285617
3.138,-0.00066682007182517,-0.121305574401332
3.14,-0.0011914775299235,-0.121150972579134
3.142,-0.00170817250665577,-0.12102824418881
3.144,-0.00220480471969778,-0.120962267356205
3.146,-0.00272621352145118,-0.120893946082471
3.148,-0.00321149244853422,-0.120901669423098
3.15,-0.00370856479911211,-0.120904730806622
3.152,-0.00420314149106302,-0.120963174423115
3.154,-0.00471275441982304,-0.12106083158237
3.156,-0.0052047266885792,-0.121219761881885
3.158,-0.00572615602076567,-0.121360802854539
3.16,-0.0062558575258068,-0.121557580156072
3.162,-0.006797845078004,-0.121825844162263
3.164,-0.0073489199022148,-0.12209459070596
3.166,-0.0079292221801991,-0.12237410509377
3.168,-0.0085289952257878,-0.122709383012574
3.17,-0.0091613710427379,-0.123091399395821
3.172,-0.009809958209365,-0.123465696999584
3.174,-0.010491370580902,-0.123883099008355
3.176,-0.0112141694505904,-0.124350505760713
3.178,-0.0119503279255646,-0.124791478394705
3.18,-0.0127323993533719,-0.125276431743031
3.182,-0.0135691828143407,-0.125795598078046
3.184,-0.0144252964246394,-0.126321673700555
3.186,-0.0153090631790488,-0.126828890947373
3.188,-0.0162500437535233,-0.12737634536275
3.19,-0.0172360976674359,-0.127931214672557
3.192,-0.0182795801256117,-0.128513583443312
3.194,-0.0193317329000576,-0.129061659783998
3.196,-0.0204506119214375,-0.129636866446725
3.198,-0.0216138527402961,-0.130194219801217
3.2,-0.0228245925479762,-0.130754151748068
3.202,-0.0241055471973491,-0.131319502914932
3.204,-0.025391721833184,-0.131849925791345
3.206,-0.0267462431923099,-0.132382784477438
3.208,-0.0281477029634999,-0.132899145407586
3.21,-0.0296229825670784,-0.13340293016689
3.212,-0.0311186539642741,-0.133876154604009
3.214,-0.0326566754062763,-0.134322800807442
3.216,-0.0342473365030783,-0.134747542378167
3.218,-0.0358784369219802,-0.135139432640524
3.22,-0.0375533951258896,-0.135495712953005
3.222,-0.0392652564513105,-0.135821183148815
3.224,-0.0410245465661017,-0.136111373306418
3.226,-0.0428133143369182,-0.13635965867885
3.228,-0.0446496307064161,-0.136560907815954
3.23,-0.0465177980402065,-0.136720732742507
3.232,-0.0484213165034913,-0.136830395872175
3.234,-0.0503530765674804,-0.136896130828403
3.236,-0.052314623005483,-0.136905792526159
3.238,-0.0543024230068185,-0.136866595140569
3.24,-0.0563151869743694,-0.136775924967458
3.242,-0.0583509937309061,-0.136618692123793
3.244,-0.0604025128771684,-0.136405371547981
3.246,-0.062474096520613,-0.136141078390128
3.248,-0.0645527334949803,-0.135811033242137
3.25,-0.0666541302354992,-0.135414212677781
3.252,-0.0687571839099234,-0.134963287592633
3.254,-0.0708640493292231,-0.134445981203938
3.256,-0.0729722435140309,-0.133870560450383
3.258,-0.0750896044188637,-0.133225401841805
3.26,-0.077191514813313,-0.132517476008794
3.262,-0.0793062976871309,-0.131746973972253
3.264,-0.0813847567101025,-0.130914758432867
3.266,-0.0834664569021733,-0.130014372260483
3.268,-0.0855259145408425,-0.129046915063469
3.27,-0.0875688878769247,-0.128018625567985
3.272,-0.08959130507203,-0.126932311787156
3.274,-0.0915854928635963,-0.125779270330265
3.276,-0.0935558324707412,-0.124569113721829
3.278,-0.0954926068817944,-0.123294973940619
3.28,-0.0974003398465796,-0.121964412148684
3.282,-0.0992683432124739,-0.120584597230279
3.284,-0.101103788001142,-0.119147299890745
3.286,-0.102889397449069,-0.117653579435387
3.288,-0.104634501012811,-0.116110289928274
3.29,-0.106338856164976,-0.114517934771023
3.292,-0.107989178823971,-0.112881703731529
3.294,-0.109593640222459,-0.111196495375683
3.296,-0.111141713475602,-0.109470702908055
3.298,-0.112647958089017,-0.107711397286541
3.3,-0.114083573226485,-0.105898761541977
3.302,-0.115466411957401,-0.104064970890783
3.304,-0.116796888683971,-0.102193346319499
3.306,-0.118058461588186,-0.100293001735395
3.308,-0.119263441208481,-0.0983675283560116
3.31,-0.120408489066183,-0.096419827916678
3.312,-0.121488685931738,-0.0944472127541005
3.314,-0.122501705890602,-0.0924673141788205
3.316,-0.123457220408956,-0.0904654719720823
3.318,-0.124347331109156,-0.0884558175785324
3.32,-0.125177877954918,-0.0864314658422342
3.322,-0.125929761766244,-0.0844144425931902
3.324,-0.126628382264161,-0.0823876880883709
3.326,-0.127265980135144,-0.0803600306504426
3.328,-0.127838094135334,-0.0783429258435907
3.33,-0.128338315464514,-0.0763251139641052
3.332,-0.128779426319803,-0.0743240344728989
3.334,-0.129163737709151,-0.0723304380971291
3.336,-0.129489445054604,-0.0703566427067856
3.338,-0.129750377845247,-0.0684035835632834
3.34,-0.129960091400002,-0.0664648622131442
3.342,-0.130112552710126,-0.0645554626896365
3.344,-0.130212141841499,-0.0626665938124825
3.346,-0.130255839886659,-0.0608140669545703
3.348,-0.130254322936631,-0.0589822290757129
3.35,-0.130203836012474,-0.057196265241455
3.352,-0.130102647881631,-0.0554369785218617
3.354,-0.129964399873032,-0.0537184065404176
3.356,-0.129784587511974,-0.0520407374728962
3.358,-0.129566944895741,-0.0503961763863293
3.36,-0.129306980186048,-0.0488009616879887
3.362,-0.129019851046194,-0.0472470321344171
3.364,-0.128697864120034,-0.0457363922105198
3.366,-0.128348426573697,-0.0442786502386916
3.368,-0.127975480092099,-0.0428633427280128
3.37,-0.127581735070204,-0.0414917472134807
3.372,-0.127163493274198,-0.0401758157453162
3.374,-0.126736004945788,-0.0389066356383304
3.376,-0.126288930118842,-0.0376831380313154
3.378,-0.125830980599772,-0.0365076879965588
3.38,-0.12536717984218,-0.0353751120493595
3.382,-0.124902568114734,-0.0343077188476676
3.384,-0.124435519721887,-0.0332805603917444
3.386,-0.123969161845414,-0.032307638923935
3.388,-0.123503018804689,-0.0313710441184745
3.39,-0.123048508902798,-0.0304897499013831
3.392,-0.122594772206399,-0.0296426546804763
3.394,-0.122161612044402,-0.0288529596153839
3.396,-0.121744174447427,-0.0281003821677036
3.398,-0.121336795886031,-0.0273856384511993
3.4,-0.120961099407788,-0.0267144203421265
3.402,-0.120593124131073,-0.0260816385996012
3.404,-0.120258545641757,-0.0254854240960835
3.406,-0.119945172638559,-0.0249122910979242
3.408,-0.119665765688336,-0.02438910211705
3.41,-0.119412934941074,-0.0238856462326889
3.412,-0.119203569044713,-0.0234101240242155
3.414,-0.119015060409788,-0.0229634245280991
3.416,-0.11886653692385,-0.0225337976269436
3.418,-0.118748392845692,-0.0221246022056081
3.42,-0.118665402519408,-0.0217364623744765
3.422,-0.118631026898225,-0.0213599076257805
3.424,-0.118629080598167,-0.020997974122063
3.426,-0.118667143361508,-0.0206426950377225
3.428,-0.118750888860079,-0.0202932386532846
3.43,-0.118872651928331,-0.0199489519995962
3.432,-0.119040416206248,-0.0196077224856924
3.434,-0.119235501302069,-0.0192493157428036
3.436,-0.119482956384843,-0.0188999016004868
3.438,-0.119769405446747,-0.0185335250862454
3.44,-0.120092409865315,-0.0181624969715102
3.442,-0.120458679495395,-0.0177851328290755
3.444,-0.120852904401002,-0.0173783945847369
3.446,-0.121292307466934,-0.0169564463459866
3.448,-0.121774356920294,-0.0165076851548652
3.45,-0.122286162011751,-0.0160370033129477
3.452,-0.122832300326694,-0.0155433369954222
3.454,-0.123407092146179,-0.0150184625783464
3.456,-0.124015011597762,-0.0144559563879808
3.458,-0.124650841906086,-0.0138616622853249
3.46,-0.125311547493375,-0.0132382080406916
3.462,-0.12599569713974,-0.0125643850475298
3.464,-0.126711640323315,-0.0118593775762831
3.466,-0.12743309257824,-0.01109965138846
3.468,-0.128187930099509,-0.0103104784607953
3.47,-0.12894732349362,-0.0094698465495774
3.472,-0.129711925906117,-0.00857868061512708
3.474,-0.13049487125293,-0.00764547825638339
3.476,-0.131289148398626,-0.0066573629256884
3.478,-0.132078326811446,-0.0056264811536532
3.48,-0.132866701678248,-0.0045403133842444
3.482,-0.133662746649277,-0.0033965470999487
3.484,-0.134447230959391,-0.0022142469271627
3.486,-0.135225629461132,-0.000971181731659401
3.488,-0.135995355722227,0.000324400715741097
3.49,-0.136736403609493,0.0016704600633574
3.492,-0.137474550953232,0.0030635747726897
3.494,-0.138185783488395,0.0045154204222793
3.496,-0.138881076768865,0.006015970741463
3.498,-0.139543540477101,0.0075606748838831
3.5,-0.140192142321695,0.00916546506093186
3.502,-0.140786671853824,0.0108053825849651
3.504,-0.141354697560503,0.0124993907923738
3.506,-0.141888139519821,0.0142332727365141
3.508,-0.142372394288933,0.0160229268904342
3.51,-0.142823221413048,0.0178434422794722
3.512,-0.143222122655218,0.0197086867136368
3.514,-0.143573060427046,0.0216002162199
3.516,-0.143872638011291,0.0235505870142318
3.518,-0.144132657508324,0.0255344534335331
3.52,-0.144327653622516,0.0275416569173474
3.522,-0.144450458618488,0.0295609332714514
3.524,-0.14453602112727,0.0316165327622149
3.526,-0.144554600592351,0.0336948272298455
3.528,-0.144517516215635,0.0358105952494167
3.53,-0.144418002683279,0.0379035923937345
3.532,-0.144245951771471,0.0400649487950371
3.534,-0.144015551552063,0.0421904687374984
3.536,-0.143704717528135,0.0443424513305535
3.538,-0.143335296469494,0.046517800555104
3.54,-0.14291203770802,0.0486510643864222
3.542,-0.142401517203001,0.0508203779616213
3.544,-0.14183083874631,0.0529877059374127
3.546,-0.14119643843755,0.0551137170565896
3.548,-0.140488340829099,0.0572668422912344
3.55,-0.139708466981067,0.0593809342748438
3.552,-0.138879730076199,0.0614686939595516
3.554,-0.137970538524678,0.0635511780926826
3.556,-0.137006036248874,0.0656091837862487
3.558,-0.135984130648016,0.0676413731372887
3.56,-0.134868082572794,0.0696480426240024
3.562,-0.133716655149887,0.0715978481997256
3.564,-0.132485857376437,0.0735388366717101
3.566,-0.131221547364482,0.0754102880156854
3.568,-0.12988903469527,0.0772587357872709
3.57,-0.128504749873569,0.0790631689092099
3.572,-0.127064655041901,0.0808150643193531
3.574,-0.125563221634728,0.0825294590375179
3.576,-0.124042244512573,0.0841731404621303
3.578,-0.122463161206098,0.085761223526669
3.58,-0.120839658344155,0.0873062377759463
3.582,-0.119180368528755,0.0887917446921691
3.584,-0.117468969611027,0.090218668440838
3.586,-0.115753571387117,0.0915761159264247
3.588,-0.113976080521043,0.0928827592678896
3.59,-0.112186430514549,0.0941135146639944
3.592,-0.110392451676871,0.0952818905484159
3.594,-0.108557507684522,0.0963793623446786
3.596,-0.106708147329021,0.0974200782608876
3.598,-0.104845782756576,0.0983873629043024
3.6,-0.102966621951798,0.0992836819256428
3.602,-0.101084621990316,0.100121085653311
3.604,-0.099206358398454,0.100885514437309
3.606,-0.097310982977802,0.101576439403068
3.608,-0.095427222040851,0.102204305045005
3.61,-0.0935385435695481,0.102760434689927
