"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0885312989584872,-0.094760099861587
3.002,0.0875615611677999,-0.0958710031751278
3.004,0.0865750533299265,-0.096963414516213
3.006,0.0855701339681175,-0.0980388679458325
3.008,0.0845527861807517,-0.0990979638820777
3.01,0.0835177859576745,-0.100138874882891
3.012,0.0824688787531965,-0.101161427795245
3.014,0.0814067734144069,-0.10216648880884
3.016,0.0803308045201395,-0.103151178556087
3.018,0.0792434146647324,-0.104120341656679
3.02,0.0781438194046935,-0.105067450593505
3.022,0.0770330032383598,-0.105997698116112
3.024,0.0759134671535809,-0.106907812214568
3.026,0.0747830162668175,-0.107798293798792
3.028,0.0736454113196956,-0.108670788041353
3.03,0.0724979947160071,-0.109526229505811
3.032,0.0713447845553373,-0.110360185687385
3.034,0.0701829330510112,-0.11117806777126
3.036,0.0690161373255525,-0.111975972518279
3.038,0.0678440080214368,-0.112755653925175
3.04,0.0666659765517017,-0.113519520571268
3.042,0.065483469760807,-0.114265044668676
3.044,0.06429577780524,-0.114992780077639
3.046,0.0631059645338701,-0.115704547712036
3.048,0.061913190527786,-0.116399341651216
3.05,0.0607166023322692,-0.117079028156754
3.052,0.059519520542858,-0.117743087865305
3.054,0.05831829339455,-0.118391205372339
3.056,0.0571173477041328,-0.119024971499282
3.058,0.0559128388866504,-0.119644626020512
3.06,0.0547068989779762,-0.12025036604264
3.062,0.0535000386605629,-0.120842356236844
3.064,0.0522920004482852,-0.121420416246163
3.066,0.0510836071654716,-0.121986147468894
3.068,0.0498754699650752,-0.122540799959956
3.07,0.0486649807819626,-0.1230834113045
3.072,0.0474535090564154,-0.123614746110882
3.074,0.0462402449027382,-0.124134682462331
3.076,0.0450273066100651,-0.124643972535702
3.078,0.0438116610753133,-0.125143847205042
3.08,0.0425954326462896,-0.125632053438173
3.082,0.0413775349140308,-0.12611141973149
3.084,0.040158474887247,-0.126582237008999
3.086,0.0389372504649667,-0.127043483971127
3.088,0.0377155174050046,-0.127496843916151
3.09,0.0364897458184499,-0.127940050311669
3.092,0.035260487576968,-0.128375096983825
3.094,0.0340307866915107,-0.128803204888958
3.096,0.0327954903991003,-0.129222551748094
3.098,0.0315566057732856,-0.129631681929897
3.1,0.0303151643585464,-0.130036209586316
3.102,0.0290692428742232,-0.13043072152208
3.104,0.0278184148701112,-0.130817736764592
3.106,0.026563136168531,-0.131195656465469
3.108,0.0253017024761903,-0.131565642036813
3.11,0.0240365175200295,-0.131927324747959
3.112,0.0227642310518531,-0.132279435346783
3.114,0.0214864999589584,-0.132625713633964
3.116,0.0202015484898158,-0.132960327697707
3.118,0.0189116637655076,-0.13328688477527
3.12,0.0176142767370886,-0.133603412869144
3.122,0.0163106810221488,-0.133908760773856
3.124,0.0149997545457793,-0.134205060208503
3.126,0.0136796821291858,-0.134492767277957
3.128,0.0123537133603227,-0.134768525529773
3.13,0.0110212223857671,-0.135031105631922
3.132,0.00967939224632008,-0.135284821694102
3.134,0.008331430495284,-0.135525606414631
3.136,0.00697463529652099,-0.135751500511217
3.138,0.00561198385917483,-0.135967927415132
3.14,0.0042388409760765,-0.136167500279634
3.142,0.00285829518934423,-0.13635700022891
3.144,0.00147168856230222,-0.136530051172505
3.146,7.850231454882E-05,-0.136689088432371
3.148,-0.00132360241663422,-0.136831478398598
3.15,-0.00273165103171211,-0.136959729731422
3.152,-0.00414572228606302,-0.137070990178185
3.154,-0.00556753315882304,-0.13716578926553
3.156,-0.0069972861425792,-0.137244732653485
3.158,-0.00842870289376567,-0.137305035929039
3.16,-0.0098695234028068,-0.137347524689272
3.162,-0.011311572231004,-0.137373663418163
3.164,-0.0127620056372148,-0.13737957016926
3.166,-0.0142145774571991,-0.13736700518327
3.168,-0.0156715861207878,-0.137335312610874
3.17,-0.0171297991217379,-0.137285404028521
3.172,-0.018592068971065,-0.137214653149484
3.174,-0.020060417595702,-0.137123122823255
3.176,-0.0215268407711904,-0.137014268551913
3.178,-0.0229952635285646,-0.136882212712405
3.18,-0.0244644258861719,-0.136731162184631
3.182,-0.0259330547006407,-0.136560287858046
3.184,-0.0274021764588394,-0.136367271316555
3.186,-0.0288696752390488,-0.136154109239373
3.188,-0.0303351868755233,-0.13592239549575
3.19,-0.0318006505113359,-0.135668681983557
3.192,-0.0332616242947117,-0.135393173919312
3.194,-0.0347201497620576,-0.135099125997998
3.196,-0.0361756153116375,-0.134782979287725
3.198,-0.0376252142415361,-0.134446739928217
3.2,-0.0390709764459462,-0.134089345862068
3.202,-0.0405109777662491,-0.133714032524932
3.204,-0.041944324395384,-0.133317750556445
3.206,-0.0433726811590099,-0.132902358574038
3.208,-0.0447936281446999,-0.132467323467586
3.21,-0.0462069669892784,-0.13201404294969
3.212,-0.0476121416466741,-0.131539799287509
3.214,-0.0490099690136763,-0.131049324040042
3.216,-0.0503979882076783,-0.130539858893667
3.218,-0.0517781392383802,-0.130013383020124
3.22,-0.0531485227149896,-0.129468846278105
3.222,-0.0545097919377105,-0.128908080191615
3.224,-0.0558605034489017,-0.128330729730618
3.226,-0.0572007743594182,-0.12773729382325
3.228,-0.0585305453456161,-0.127127563424754
3.23,-0.0598497282337065,-0.126503069983507
3.232,-0.0611572574348913,-0.125862578340075
3.234,-0.0624553833372804,-0.125208105761603
3.236,-0.063741167785083,-0.124539546041559
3.238,-0.0650150489164185,-0.123858043064169
3.24,-0.0662796649913694,-0.123163041822058
3.242,-0.0675294618499061,-0.122454387784793
3.244,-0.0687704083919684,-0.121734808674121
3.246,-0.069999030160313,-0.121001440420578
3.248,-0.0712161497419803,-0.120257974097187
3.25,-0.0724202400327992,-0.119501097646581
3.252,-0.0736120715775234,-0.118734280614933
3.254,-0.0747953230138231,-0.117956451163538
3.256,-0.0759645551072309,-0.117168768959783
3.258,-0.0771235132858637,-0.116370047501305
3.26,-0.078269569373213,-0.115562434364894
3.262,-0.0794056856256309,-0.114745360758053
3.264,-0.0805301326142025,-0.113919010248867
3.266,-0.0816439185631733,-0.113083237964983
3.268,-0.0827459549692425,-0.112238744944069
3.27,-0.0838382391980247,-0.111386739270685
3.272,-0.08491996406053,-0.110525499100256
3.274,-0.0859904360084963,-0.109656003033865
3.276,-0.0870501691349412,-0.108777853837729
3.278,-0.0880999741309944,-0.107893160366819
3.28,-0.0891401323932796,-0.106999956865984
3.282,-0.0901698814650739,-0.106098830369679
3.284,-0.0911892999619423,-0.105189891389145
3.286,-0.0921996904506687,-0.104273383931787
3.288,-0.0931991433577109,-0.103348863876874
3.29,-0.0941904271740662,-0.102417349785423
3.292,-0.0951711921893412,-0.101479040376329
3.294,-0.0961429764606659,-0.100532584830283
3.296,-0.097105247835732,-0.099578482207155
3.298,-0.0980583017786866,-0.098617378555341
3.3,-0.0990016912925852,-0.097647555982477
3.302,-0.099936621447001,-0.0966716233901829
3.304,-0.100860149223971,-0.0956862759425987
3.306,-0.101778095079786,-0.0946961090699946
3.308,-0.102685263658381,-0.0936963196942116
3.31,-0.103582748779683,-0.092689180640078
3.312,-0.104471422724638,-0.0916749902395005
3.314,-0.105351595341902,-0.0906523595397205
3.316,-0.106221534072056,-0.0896213312651823
3.318,-0.107082405965156,-0.0885835863936324
3.32,-0.107934033786718,-0.0875371714029342
3.322,-0.108775392326944,-0.0864832305351902
3.324,-0.109607958432961,-0.0854215019874709
3.326,-0.110430953983044,-0.0843516315232426
3.328,-0.111242023420734,-0.0832738594948907
3.33,-0.112046348634614,-0.0821879256143052
3.332,-0.112839294698903,-0.0810935350917989
3.334,-0.113622049606951,-0.0799913315870291
3.336,-0.114393412893104,-0.0788820117388856
3.338,-0.115155522453647,-0.0777635258263834
3.34,-0.115905317101002,-0.0766393108711842
3.342,-0.116646595140326,-0.0755045048828265
3.344,-0.117375934221399,-0.0743629951577225
3.346,-0.118093708084159,-0.0732140864760503
3.348,-0.118800052875531,-0.0720575218908729
3.35,-0.119495318917774,-0.070892850743345
3.352,-0.120179017625031,-0.0697215382066017
3.354,-0.120850232461332,-0.0685424683460776
3.356,-0.121510111178874,-0.0673563449046962
3.358,-0.122157521941241,-0.0661628222679293
3.36,-0.122792475424748,-0.0649627715104887
3.362,-0.123415833359194,-0.0637562050721171
3.364,-0.124026806119634,-0.0625423575892198
3.366,-0.124623865345597,-0.0613217890153916
3.368,-0.125208343009199,-0.0600953764298128
3.37,-0.125780352588204,-0.0588626305928807
3.372,-0.126338664712798,-0.0576248182455162
3.374,-0.126883775362688,-0.0563798428957304
3.376,-0.127416351841342,-0.0551304813638154
3.378,-0.127934585483072,-0.0538754512143588
3.38,-0.12843976955848,-0.0526148007039595
3.382,-0.128931663118334,-0.0513498348637676
3.384,-0.129410696593687,-0.0500803902128444
3.386,-0.129874960879314,-0.048805882787235
3.388,-0.130325237451589,-0.0475268382918745
3.39,-0.130762324182198,-0.0462443048303831
3.392,-0.131185527545599,-0.0449569421792763
3.394,-0.131595254110102,-0.0436662885528839
3.396,-0.131991077960127,-0.0423718264103036
3.398,-0.132373925155931,-0.0410733418577993
3.4,-0.132741012989608,-0.0397740142225265
3.402,-0.133095685647433,-0.0384705012160012
3.404,-0.133436212426017,-0.0371635904915835
3.406,-0.133763792073149,-0.0358526543476242
3.408,-0.134076216676186,-0.03454260872605
3.41,-0.134376575486694,-0.0332281550841889
3.412,-0.134661024504188,-0.0319118865519155
3.414,-0.134932886608828,-0.0305935985511991
3.416,-0.13519103488483,-0.0292732683813436
3.418,-0.135435666775372,-0.0279512485954081
3.42,-0.135666729094648,-0.0266279774177765
3.422,-0.135883970660925,-0.0253019205545805
3.424,-0.136088150251417,-0.023975701091163
3.426,-0.136277634270908,-0.0226486829244225
3.428,-0.136454192661779,-0.0213193046589846
3.43,-0.136616878884231,-0.0199890339157962
3.432,-0.136766181005248,-0.0186583882387924
3.434,-0.136902401510869,-0.0173266430171036
3.436,-0.137024032685943,-0.0159947324407868
3.438,-0.137132408541847,-0.0146609406857454
3.44,-0.137227784668515,-0.0133285536258102
3.442,-0.137308972853095,-0.0119950165949755
3.444,-0.137376725975302,-0.0106610316240369
3.446,-0.137430737913034,-0.00932686991768661
3.448,-0.137471051258194,-0.0079923308075652
3.45,-0.137497472510051,-0.00665823136864775
3.452,-0.137510753571494,-0.00532457357612222
3.454,-0.137509657604979,-0.00399161965674643
3.456,-0.137495866286662,-0.00265750945258083
3.458,-0.137468183930986,-0.00132554152802494
3.46,-0.137425314677575,6.315018208374E-06
3.462,-0.13736930976694,0.00133790040137019
3.464,-0.137298957371215,0.00266774533891692
3.466,-0.13721516726234,0.00399673337824004
3.468,-0.137117311846109,0.00532421927110474
3.47,-0.13700558773392,0.0066501073731726
3.472,-0.136878877539917,0.00797469814773292
3.474,-0.13673808460073,0.00929755484630661
3.476,-0.136583492998026,0.0106184663554916
3.478,-0.136415224403546,0.0119360186378868
3.48,-0.136231111279848,0.0132528042304356
3.482,-0.136033136948677,0.0145662931193313
3.484,-0.135820900968891,0.0158761528857173
3.486,-0.135594610734862,0.0171843642617406
3.488,-0.135353794308927,0.0184883249730411
3.49,-0.135099068120093,0.0197890584331574
3.492,-0.134829242671132,0.0210851756987897
3.494,-0.134544783518795,0.0223783611841793
3.496,-0.134247072728265,0.023667252437963
3.498,-0.133935069567601,0.0249500415731831
3.5,-0.133609234516495,0.0262292938584319
3.502,-0.133267336521324,0.0275035653134651
3.504,-0.132912575320703,0.0287728876659738
3.506,-0.132544665251721,0.0300350401240141
3.508,-0.132161352230333,0.0312927912391342
3.51,-0.131764049856648,0.0325431456961722
3.512,-0.131353320036218,0.0337879317495368
3.514,-0.130930486371446,0.035025621303
3.516,-0.130492942634391,0.0362558853049318
3.518,-0.130042999042024,0.0374804299076331
3.52,-0.129579906637816,0.0386968863020474
3.522,-0.129103546263788,0.0399054641256514
3.524,-0.12861482788281,0.0411056656586149
3.526,-0.128113519635621,0.0422980814782455
3.528,-0.127599826806495,0.0434827871511167
