"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.199751187271988,-0.173831048907434
3.014,-0.208000341941047,-0.161680024492158
3.028,-0.215389803632788,-0.148885294148664
3.042,-0.221835452947043,-0.135537626271439
3.056,-0.22728035814247,-0.121739166866411
3.07,-0.231691470094212,-0.107590587360446
3.084,-0.235050824239208,-0.0931835021895507
3.098,-0.237345290244923,-0.078599907946934
3.112,-0.238559071817844,-0.0639179201211406
3.126,-0.238671999201139,-0.0492209519943518
3.14,-0.237664571203347,-0.0346063178605188
3.154,-0.235528343181555,-0.0201893710505428
3.168,-0.232278333517506,-0.00610064399865386
3.182,-0.227963201547203,0.0075243728386198
3.196,-0.222669302343114,0.0205608344168529
3.21,-0.216516249882221,0.0329117122244012
3.224,-0.209644937292461,0.044513794704461
3.238,-0.202206994556831,0.0553581359703824
3.252,-0.194323051683574,0.0655052687465694
3.266,-0.186068146717104,0.0750340994878589
3.28,-0.177464458666805,0.0840330663935899
3.294,-0.16848199722843,0.0925753163540662
3.308,-0.159050479910309,0.100696345199712
3.322,-0.149080144303654,0.108378994111419
3.336,-0.138487225569228,0.115549087027311
3.35,-0.127218821254919,0.122082641426218
3.364,-0.115272083272092,0.127823065834204
3.378,-0.102704031237812,0.132604670937992
3.392,-0.089630412346791,0.136277639574407
3.406,-0.0762144087194975,0.138729558737274
3.42,-0.0626480482627683,0.139899664429802
3.434,-0.049130449518004,0.13978377860056
3.448,-0.0358524835112896,0.138370464170272
3.462,-0.0230121757109594,0.135802157767271
3.476,-0.0107202670145457,0.132236369920953
3.49,0.000965356095217019,0.127812448421856
3.504,0.0120258385618384,0.122656172216251
3.518,0.0224694302638556,0.116871177699805
3.532,0.0323197046276852,0.110536428055097
3.546,0.0416063109265764,0.103707919716807
3.56,0.0503591367778998,0.096422158652111
3.574,0.0586052442291922,0.0886992042157648
3.588,0.0663669105412823,0.0805440941303505
3.602,0.0736588627530261,0.0719468362159078
3.616,0.0804833961365648,0.0628823895568388
3.63,0.0868232958822814,0.053312718999196
3.644,0.0926339226929702,0.0431928319675701
3.658,0.0978369813205738,0.0324816949556184
3.672,0.102318938519878,0.0211573421336502
3.686,0.1059365612298,0.0092337876922708
3.7,0.108530645181226,-0.00322393907343375
3.714,0.109947008283683,-0.016090758747054
3.728,0.110061736955058,-0.0291819897426146
3.742,0.10880606561005,-0.0422650956472817
3.756,0.106185618098514,-0.0550821950053926
3.77,0.102289299779443,-0.0673803009121631
3.784,0.0972848548017883,-0.0789442326590251
3.798,0.0914006511089628,-0.0896261099541818
3.812,0.0848960641135509,-0.0993655975815802
3.826,0.0780252582131344,-0.108196603669509
3.84,0.071000653903782,-0.116238630019081
3.854,0.0639625777977174,-0.123673882336539
3.868,0.056960485127938,-0.130713934911151
3.882,0.0500209270434101,-0.137630356914484
3.896,0.0429297477435742,-0.144644297330487
3.91,0.0353703361760696,-0.151735232494081
3.924,0.0271256945325686,-0.158819218328521
3.938,0.0180259142294362,-0.165723133830868
3.952,0.0079775517559602,-0.172210806472636
3.966,-0.00301972668501253,-0.178017062521572
3.98,-0.0148704795479598,-0.182884153842568
3.994,-0.027393915594559,-0.186595408271528
4.008,-0.0403449302027186,-0.189002018625009
4.022,-0.0534423394145417,-0.190040262880373
4.036,-0.0664005572957873,-0.189737823821086
4.05,-0.078961031555451,-0.188209069618866
4.064,-0.0909200431434315,-0.185640133364116
4.078,-0.102149872920077,-0.182265460604636
4.092,-0.112610840877819,-0.178338273853511
4.106,-0.12235242215981,-0.174098165780709
4.12,-0.131502654711551,-0.169739698704212
4.134,-0.14024642598011,-0.165386265842704
4.148,-0.148794871702664,-0.161073316776817
4.162,-0.157349786269633,-0.156744169671679
4.176,-0.166068255129143,-0.15225997956536
4.19,-0.17503327412015,-0.147423175622068
4.204,-0.184235621194322,-0.14201120931824
4.218,-0.193570616801909,-0.135815303961141
4.232,-0.202850861057582,-0.128677609334488
4.246,-0.211833049582686,-0.120520144252347
4.26,-0.220254196469131,-0.111360277416606
4.274,-0.227870690434953,-0.101310034669325
4.288,-0.234493065286593,-0.0905596975122931
4.302,-0.240010348551989,-0.0793492524214352
4.316,-0.244365696255292,-0.0679455263953847
4.33,-0.247585800008773,-0.0566594920180981
4.344,-0.249946528931048,-0.0456453444473334
4.358,-0.251631081875528,-0.0349814440783935
4.372,-0.252813886394819,-0.0246773054475781
4.386,-0.253639415986468,-0.0146883385386124
4.4,-0.254210458115979,-0.00493500878282639
4.414,-0.254585356163642,0.00467831846176465
4.428,-0.254781749702053,0.0142482390925784
4.442,-0.254783435619354,0.0238622446689363
4.456,-0.254547296399055,0.0335930897551796
4.47,-0.254008537642516,0.0434955941835164
4.484,-0.253084202030003,0.0536035623157862
4.498,-0.251676429024219,0.0639252480829671
4.512,-0.249677655302569,0.0744372796199067
4.526,-0.246979620283293,0.0850786059197424
4.54,-0.243486736387769,0.0957472057738978
4.554,-0.239132524901635,0.106302516717653
4.568,-0.233896033685079,0.116575614331571
4.582,-0.227814083693456,0.126387288522072
4.596,-0.22098528840099,0.135571838060487
4.61,-0.213563165795137,0.144002331598703
4.624,-0.20573804017207,0.151611929762889
4.638,-0.197710210639763,0.158406066385072
4.652,-0.189659286007666,0.16446191430242
4.666,-0.18171594815402,0.169914272700625
4.68,-0.173942265794143,0.174930143706979
4.694,-0.166324992136646,0.179677001916308
4.708,-0.158783420637819,0.184291363550943
4.722,-0.151190050604165,0.188854276405389
4.736,-0.143399379759588,0.193378738067596
4.75,-0.135278357846958,0.197811203824816
4.764,-0.126631955049416,0.202089342800829
4.778,-0.117510988381772,0.205966074119988
4.792,-0.107961853070316,0.209312678664282
4.806,-0.0980679876987082,0.212030426506652
4.82,-0.0879316394219982,0.214057612270066
4.834,-0.0776569837810768,0.215367522359354
4.848,-0.0673384342421028,0.215959967469655
4.862,-0.0570559362267507,0.215850342858698
4.876,-0.0468767082349786,0.215060257741509
4.89,-0.0368609415945065,0.213612665210505
4.904,-0.0270679373442791,0.211532513752011
4.918,-0.0175593015952604,0.208851828963764
4.932,-0.00839705500479537,0.205616456031773
4.946,0.000363557737797211,0.201890947091451
4.96,0.00868473654700271,0.197758484036292
4.974,0.0165569268302005,0.193314173238032
4.988,0.0240058659862117,0.188652120136477
5.002,0.0310926247137323,0.183848790469117
5.016,0.0379050649229265,0.178946675375762
5.03,0.0445414093238434,0.173942737487589
5.044,0.0510888767895036,0.168785345374528
5.058,0.057601956004853,0.163381560992832
5.072,0.064085400355815,0.157614182610166
5.086,0.0704862502628983,0.151365495607008
5.1,0.0766972849775772,0.144542887036376
5.114,0.0825717341459302,0.137100817140465
5.128,0.0879464797598954,0.129054302882639
5.142,0.092669003172596,0.120480904780031
5.156,0.0966224723393582,0.111510767202695
5.17,0.0997438272550413,0.102306910389722
5.184,0.102031374969879,0.0930400604469526
5.198,0.103540819037848,0.0838633359203787
5.212,0.104371210255723,0.0748918695759493
5.226,0.104644386824261,0.066191043619344
5.24,0.104482589885374,0.0577748573003401
5.254,0.103988879917963,0.0496136035224413
5.268,0.103233839295678,0.0416480977247818
5.282,0.102250198423891,0.0338066286030337
5.296,0.101035000024939,0.0260207818851577
5.31,0.0995572595251865,0.0182372267987625
5.324,0.0977681904674478,0.0104241002451385
5.338,0.0956111005618482,0.00257228611616332
5.352,0.0930289109463636,-0.00530681754846312
5.366,0.0899685676478631,-0.0131848631662197
5.38,0.086382944979957,-0.0210194952881549
5.394,0.0822317562182545,-0.0287556051152783
5.408,0.0774832105592866,-0.0363250415117795
5.422,0.0721176414693301,-0.0436460139337395
5.436,0.0661332726420926,-0.0506240130867609
5.45,0.0595530513710975,-0.05715594495256
5.464,0.0524304921365643,-0.0631383352886513
5.478,0.0448520915106538,-0.0684791541903126
5.492,0.0369342749922011,-0.0731114283367269
5.506,0.0288139583613891,-0.0770057844949417
5.52,0.0206333721911708,-0.0801787438229988
5.534,0.0125213882482189,-0.0826941131213023
5.548,0.00457475844594974,-0.0846561102024596
5.562,-0.00315690919714679,-0.0861946145663369
5.576,-0.0106791002979931,-0.0874447183499976
5.59,-0.0180512277055886,-0.0885241185253988
5.604,-0.0253761091087767,-0.0895124982990083
5.618,-0.0327817303792914,-0.0904367467594947
5.632,-0.0404248553852862,-0.0913015277822239
5.646,-0.0484474247221123,-0.0919853782140794
5.66,-0.0568796206242872,-0.092294599055315
5.674,-0.065703914209784,-0.0920683925429354
5.688,-0.0748443162820282,-0.0911580032121645
5.702,-0.0841759302591453,-0.0894464329719323
5.716,-0.0935403865272107,-0.0868625784340417
5.73,-0.102764411169793,-0.0833884729821665
