"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.198261895753988,-0.174873959293434
3.014,-0.206955977114747,-0.163291771881158
3.028,-0.215018068679588,-0.150868491386664
3.042,-0.222270699154036,-0.137600970257439
3.056,-0.22852507394627,-0.123544432826411
3.07,-0.233602356578212,-0.108814508932446
3.084,-0.237354387960208,-0.0935815733543507
3.098,-0.239681174873923,-0.078058137908494
3.112,-0.240542955348844,-0.0624809053412406
3.126,-0.239965368941139,-0.0470897133196518
3.14,-0.238037116649347,-0.0321059236682188
3.154,-0.234900383644855,-0.0177128382025428
3.168,-0.230735127651406,-0.00404046978765386
3.182,-0.225739034948773,0.0088434944166198
3.196,-0.220105458874314,0.0209353812798529
3.21,-0.214001938548221,0.0322895287783012
3.224,-0.207561043118461,0.042993960209961
3.238,-0.200867436491831,0.0531800925837824
3.252,-0.193906442550574,0.0630070948591694
3.266,-0.186609360208104,0.0725860062178589
3.28,-0.178859310605105,0.0819805466335899
3.294,-0.17051231594613,0.0911915978590662
3.308,-0.161422922146909,0.100150324320712
3.322,-0.151470919434654,0.108721158183419
3.336,-0.140585427910228,0.116714506624711
3.35,-0.128762875007919,0.123907629105718
3.364,-0.116076188819092,0.130070902129404
3.378,-0.102673761515812,0.134995845974992
3.392,-0.088768215441991,0.138520982768407
3.406,-0.0746164956068975,0.140551889875274
3.42,-0.0604940735902683,0.141072665337802
3.434,-0.046666874543004,0.14014729385456
3.448,-0.0334188266212896,0.137826855674272
3.462,-0.0209444233739594,0.134410748815171
3.476,-0.0093012154615457,0.130178496508553
3.49,0.00152981738221702,0.125361911360356
3.504,0.0116379154328384,0.120149876494251
3.518,0.0211601334159056,0.114668020856805
3.532,0.0302538571811852,0.108968178851097
3.546,0.0390681483012764,0.103028474285807
3.56,0.0477177117428998,0.096763427008111
3.574,0.0562626864921923,0.0900422415311648
3.588,0.0646965116422823,0.0827125413892505
3.602,0.0729429829240261,0.0746263342451878
3.616,0.0808624485915648,0.0656649381619388
3.63,0.0882660372673814,0.055759922268196
3.644,0.0949359650391702,0.0449077330755701
3.658,0.100649395304974,0.0331764924906184
3.672,0.105203046705678,0.0207043660386502
3.686,0.1084357578738,0.0076898202982708
3.7,0.110246499749226,-0.00562506017953375
3.714,0.110605841033683,-0.018976308581554
3.728,0.109559574436058,-0.0321024472741146
3.742,0.10722404428805,-0.0447687828072817
3.756,0.103773611668084,-0.0567888847953926
3.77,0.099421570192443,-0.0680407661391631
3.784,0.0943965944282883,-0.0784758166740251
3.798,0.0889173725459628,-0.0881193169651818
3.812,0.0831683658125509,-0.0970623031158802
3.826,0.0772795955841344,-0.105445567142509
3.84,0.071312966676782,-0.113437540976861
3.854,0.0652569229847174,-0.121208601956539
3.868,0.059030271259938,-0.128904844521151
3.882,0.0525224817409101,-0.136729813272484
3.896,0.0454493728270742,-0.144724834542487
3.91,0.0375667988830696,-0.152683195348081
3.924,0.0287400383595686,-0.160419328999521
3.938,0.0189041094834362,-0.167699730354768
3.952,0.0080764523099602,-0.174270227646036
3.966,-0.00364059076901254,-0.179885826630572
3.98,-0.0160677077029598,-0.184339484855568
3.994,-0.028965928295459,-0.187486335480528
4.008,-0.0420611679468186,-0.189260450021009
4.022,-0.0550730054655417,-0.189682136513373
4.036,-0.0677442008217873,-0.188854906371086
4.05,-0.079867372398451,-0.186952478728866
4.064,-0.0913055853614315,-0.184197385021416
4.078,-0.102004316933077,-0.180833754113136
4.092,-0.111993283550819,-0.177097582529511
4.106,-0.12137782790081,-0.173188138181709
4.12,-0.130320835940151,-0.169244061090212
4.134,-0.13901733857811,-0.165327208192704
4.148,-0.147664906373664,-0.161416387157817
4.162,-0.156433543767633,-0.157411929515679
4.176,-0.165438942393143,-0.15315070043116
4.19,-0.17472262055115,-0.148429793932468
4.204,-0.184241676867322,-0.14303599156824
4.218,-0.193869701945909,-0.136777231369141
4.232,-0.203408961431882,-0.129511969785488
4.246,-0.212612469251286,-0.121172493220347
4.26,-0.221213212878131,-0.111778947931606
4.274,-0.228956767392953,-0.101442030879325
4.288,-0.235632997780593,-0.0903537723772931
4.302,-0.241102591470989,-0.0787674443916852
4.316,-0.245272953430292,-0.0669884170513847
4.33,-0.248150026008773,-0.0554051574910981
4.344,-0.250053553892048,-0.0442157843293334
4.358,-0.251213808350783,-0.0335504050743935
4.372,-0.251877897144419,-0.0234487849855781
4.386,-0.252276930631468,-0.0138623750936124
4.4,-0.252596659619979,-0.00466768678982639
4.414,-0.252955296813642,0.00431118547186465
4.428,-0.253391120469053,0.0132742207344784
4.442,-0.253861041120354,0.0224152568579363
4.456,-0.254249805787055,0.0318939071951796
4.47,-0.254388135840516,0.0418131202585164
4.484,-0.254077028796103,0.0522049623287862
4.498,-0.253114826217919,0.0630259902619671
4.512,-0.251323511845569,0.0741622759329067
4.526,-0.248571033417293,0.0854429287847424
4.54,-0.244787152154769,0.0966599923762078
4.554,-0.239971285403635,0.107591967348553
4.568,-0.234191871226079,0.118027980194571
4.582,-0.227577805130457,0.127789760054072
4.596,-0.22030335998739,0.136749042835487
4.61,-0.212568620269117,0.144838701072703
4.624,-0.20457780280607,0.152056694541889
4.638,-0.196517899223763,0.158462750800072
4.652,-0.188539891139666,0.16416843284342
4.666,-0.18074440796002,0.169321872384225
4.68,-0.173173176298143,0.174088904693979
4.694,-0.165807006503646,0.178632617826308
4.708,-0.158570426482819,0.183093423019943
4.722,-0.151342450178865,0.187571671213389
4.736,-0.143972396345788,0.192114595008596
4.75,-0.136299188253958,0.196708962483816
4.764,-0.128014913758416,0.201344280035829
4.778,-0.119132816545772,0.205718566093588
4.792,-0.109635138347316,0.209656333163082
4.806,-0.0995629256547082,0.212980324546452
4.82,-0.0890134010789982,0.215530819194066
4.834,-0.0781311880740768,0.217183046983354
4.848,-0.0670942914100028,0.217860793386655
4.862,-0.0560963369322507,0.217544642107698
4.876,-0.0453270336163786,0.216273866884509
4.89,-0.0349530739095065,0.214141685419505
4.904,-0.0251016912872791,0.211284352910011
