"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201493884356488,-0.175797416101434
3.014,-0.210299120789747,-0.162948820278158
3.028,-0.217995064899388,-0.149310577958664
3.042,-0.224458972895436,-0.135051955645739
3.056,-0.22961593611227,-0.120367265334551
3.07,-0.233443389779212,-0.105458944394446
3.084,-0.235969568815208,-0.0905204683293507
3.098,-0.237266315964923,-0.075721188009334
3.112,-0.237437355274444,-0.0611949066072406
3.126,-0.236603721558839,-0.0470334861556518
3.14,-0.234888383463347,-0.0332860539742188
3.154,-0.232402138436555,-0.0199635693135428
3.168,-0.229232569745906,-0.00704774870415386
3.182,-0.225437284618773,0.0054972235520198
3.196,-0.221041910389314,0.0177120474968529
3.21,-0.216042565472221,0.0296305036664012
3.224,-0.210420527106461,0.041268388101461
3.238,-0.204139490331231,0.0526295573987824
3.252,-0.197131128939074,0.0636892511861694
3.266,-0.189343452492104,0.0743866353308589
3.28,-0.180737445848805,0.0846343854945899
3.294,-0.17129498530013,0.0943236810572662
3.308,-0.161024972287909,0.103330994427112
3.322,-0.149967464307654,0.111526225834419
3.336,-0.138195580740228,0.118781793147311
3.35,-0.125814908952919,0.124982242537718
3.364,-0.112960125826292,0.130033787166404
3.378,-0.0997886650279115,0.133872955822992
3.392,-0.086471541323791,0.136473335360407
3.406,-0.0731818678935975,0.137849326439274
3.42,-0.0600820880162683,0.138055984309402
3.434,-0.047311366403004,0.13718441231286
3.448,-0.0350434122722896,0.135333998630272
3.462,-0.0233025233709594,0.132705909393271
3.476,-0.0120566963785457,0.129445395327553
3.49,-0.00125486734588298,0.125654219862356
3.504,0.00917829557853844,0.121392622000251
3.518,0.0193248779298556,0.116673676047805
3.532,0.0292552347191852,0.111464394040097
3.546,0.0390110609412764,0.105693490666007
3.56,0.0485923178528998,0.099264808928611
3.574,0.0579497741361922,0.0920746580617648
3.588,0.0669841698302823,0.0840308384132505
3.602,0.0755521754002261,0.0750709554731878
3.616,0.0834785099231648,0.0651777394709388
3.63,0.0905728810662814,0.054389438399196
3.644,0.0966498620349702,0.0428038824825701
3.658,0.101549450878974,0.0305754762543184
3.672,0.105155883333678,0.0179051205454502
3.686,0.1074123152748,0.0050238632792708
3.7,0.108329285115226,-0.00782812615143376
3.714,0.107985434405683,-0.020424946279554
3.728,0.106519803068648,-0.0325778697161146
3.742,0.10411607093505,-0.0441546870392817
3.756,0.100980274811514,-0.0550925838633926
3.77,0.097314620141443,-0.0654022812391631
3.784,0.0932908297202883,-0.0751622384406251
3.798,0.0890268437889628,-0.0845031006771818
3.812,0.0845704809875509,-0.0935840694515802
3.826,0.0798928611911344,-0.102564228086509
3.84,0.074893067707782,-0.111572818187861
3.854,0.0694138823116174,-0.120682839017539
3.868,0.063266728046938,-0.129892035070151
3.882,0.0562031520774101,-0.139196467007484
3.896,0.0479912644290742,-0.148353384327487
3.91,0.0386211669880696,-0.156988935146481
3.924,0.0281546141045686,-0.164819198591521
3.938,0.0167482729754362,-0.171589630049868
3.952,0.0046365065779602,-0.177107533014036
3.966,-0.00789640202301253,-0.181265667203572
3.98,-0.0205504717819598,-0.184053850232568
