"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.202070858003088,-0.173292774558134
3.014,-0.209975190896747,-0.160290640154758
3.028,-0.216711198872288,-0.146831395369664
3.042,-0.222289065772136,-0.133115796274139
3.056,-0.22678398874215,-0.119309785451411
3.07,-0.230310642714412,-0.105519639573646
3.084,-0.232989065226708,-0.0917829121279507
3.098,-0.234910872147923,-0.078077192820374
3.112,-0.236114447433844,-0.0643440558752406
3.126,-0.236575244284939,-0.0505217239146518
3.14,-0.236213316433847,-0.0365779093292188
3.154,-0.234915760763755,-0.0225344845535428
3.168,-0.232568054475906,-0.00847794382095386
3.182,-0.229086228644773,0.0054466239005198
3.196,-0.224441884242314,0.0190561443189529
3.21,-0.218674116131121,0.0321593034512012
3.224,-0.211883038971461,0.044584909229461
3.238,-0.204221465670731,0.0562082715137824
3.252,-0.195865603736474,0.0669806354415694
3.266,-0.186970630927004,0.0769124347993589
3.28,-0.177652358588805,0.0860596997451199
3.294,-0.16797346986603,0.0944987888311662
3.308,-0.157943398509309,0.102298476229212
3.322,-0.147531097203754,0.109496068092419
3.336,-0.136686977152128,0.116082901596511
3.35,-0.125368378913419,0.122002089159318
3.364,-0.113562439298492,0.127158362525604
3.378,-0.101301176023212,0.131437076102692
3.392,-0.088665710810691,0.134727478595607
3.406,-0.0757792410488975,0.136944655425674
3.42,-0.0627909972051083,0.138045172484602
3.434,-0.049855386963604,0.13803319633456
3.448,-0.0371182263539896,0.136941456024272
3.462,-0.0246952108202594,0.134869550850701
3.476,-0.0126447285597457,0.131919989852753
3.49,-0.000987518440182981,0.128175459589756
3.504,0.0102780302357384,0.123690805393651
3.518,0.0211569296140856,0.118489104849505
3.532,0.0316402210074852,0.112567706685097
3.546,0.0416937857835764,0.105911778831707
3.56,0.0512560027016998,0.098511038729581
3.574,0.0602443441904923,0.0903747109318648
3.588,0.0685685109617823,0.0815405017258505
3.602,0.0761459608795161,0.0720752615133878
3.616,0.0829151562785718,0.0620674843021988
3.63,0.0888426626839014,0.051614172819907
3.644,0.0939221403232602,0.0408062103267821
3.658,0.0981657309069738,0.0297167718438184
3.672,0.101590650622578,0.0183963647752502
3.686,0.10420528755064,0.0068760756840708
3.7,0.105999324767316,-0.00482191035393375
3.714,0.106941282118483,-0.016669732565354
3.728,0.106984691572858,-0.0286198110007146
3.742,0.10608150644135,-0.0405959715259817
3.756,0.104199050114914,-0.0524930307229926
3.77,0.101335520604343,-0.0641857511732631
3.784,0.0975291967226783,-0.0755453204586251
3.798,0.0928580545757628,-0.0864591654683818
3.812,0.0874290982317509,-0.0968486835512802
3.826,0.0813596239260344,-0.106679750451109
3.84,0.074755046686482,-0.115962625976361
3.854,0.0676891167626174,-0.124740669757839
3.868,0.060191962745538,-0.133070342194951
3.882,0.0522569776561101,-0.141014666470484
3.896,0.0438122012916742,-0.148593227817187
3.91,0.0347820355863696,-0.155739484884681
3.924,0.0251318556215686,-0.162353825896821
3.938,0.0148736096640362,-0.168310482568468
3.952,0.0040735876600602,-0.173483139875136
3.966,-0.00715312375601254,-0.177770691987572
3.98,-0.0186595577335598,-0.181116760304568
3.994,-0.030290451883359,-0.183518544693528
4.008,-0.0419064490873186,-0.185023549332709
4.022,-0.0534031809335417,-0.18571583859557
4.036,-0.0647212607371873,-0.185695892406786
4.05,-0.075845809957851,-0.185059266488966
4.064,-0.0867967944237315,-0.183878952867516
4.078,-0.0976134404849773,-0.182194833494136
4.092,-0.108336889751119,-0.180011485009711
4.106,-0.11899495977451,-0.177303494130909
4.12,-0.129591684082251,-0.174025944751422
4.134,-0.14010270902201,-0.170127138427304
4.148,-0.150476164198564,-0.165560883762417
4.162,-0.160637691577033,-0.160296539973379
4.176,-0.170498052451143,-0.15432599614636
4.19,-0.17996199893745,-0.147667520852368
4.204,-0.188937582160122,-0.14036671944924
4.218,-0.197345423665509,-0.132494725693941
4.232,-0.205127470587282,-0.124143474876888
4.246,-0.212254379673286,-0.115417789512447
4.26,-0.218730150264931,-0.106424318246606
4.274,-0.224592312234249,-0.0972581647233253
4.288,-0.229906219459593,-0.0879891287252931
4.302,-0.234752975010089,-0.0786504498671852
4.316,-0.239221432463292,-0.0692376031010847
4.33,-0.243393800255773,-0.0596895715414981
4.344,-0.247247022285248,-0.0499049379836334
4.358,-0.250728699670828,-0.0398132953503935
4.372,-0.253745225994399,-0.0293753976715781
4.386,-0.256180422073268,-0.0186006894124124
4.4,-0.257921147145579,-0.00755418046182639
4.414,-0.258883914348642,0.00364989747526465
4.428,-0.259035771401053,0.0148669043783784
4.442,-0.258403755699054,0.0259489390918363
4.456,-0.257069943115455,0.0367736960171796
4.47,-0.255152822633116,0.0472675995716164
4.484,-0.252779445317603,0.0574169956139862
4.498,-0.250055455693319,0.0672641756732671
4.512,-0.247040907259269,0.0768890261039067
4.526,-0.243738386105093,0.0863810317724424
4.54,-0.240096727694369,0.0958091002627978
4.554,-0.236029371879365,0.105197390616453
4.568,-0.231442337890379,0.114513768241071
4.582,-0.226264076495356,0.123674052736072
4.596,-0.22046887788799,0.132560822134337
4.61,-0.214087288792917,0.141051425946103
4.624,-0.20720065374927,0.149047223863389
4.638,-0.199921422247873,0.156495688222972
4.652,-0.192364964728666,0.16339902981942
4.666,-0.18462112592712,0.169806879977995
4.68,-0.176733870787443,0.175795192762179
4.694,-0.168695074547346,0.181437587676108
4.708,-0.160454406835319,0.186777647434943
4.722,-0.151942524502865,0.191810520887989
4.736,-0.143100788334688,0.196479563200386
4.75,-0.133908634768858,0.200689391408216
4.764,-0.124401005222016,0.204306939125929
4.778,-0.114694691855372,0.207272086652788
4.792,-0.104910208031716,0.209564482585282
4.806,-0.0951625711836082,0.211217157619752
4.82,-0.0855349747848982,0.212305931217766
4.834,-0.0760617799613768,0.212926854855254
4.848,-0.0667255617833528,0.213168212219855
4.862,-0.0574689361326507,0.213085039769598
4.876,-0.0482177458513786,0.212683332829309
4.89,-0.0389090511121065,0.211918324834605
4.904,-0.0295160972987791,0.210707273635211
4.918,-0.0200633427066604,0.208953170596864
4.932,-0.0106274300599954,0.206572813042673
4.946,-0.00132387795990279,0.20352154735255
4.96,0.00771683427840271,0.199807976725992
4.974,0.0163772768079005,0.195494726538132
4.988,0.0245776370604117,0.190685175445877
5.002,0.0322903377106323,0.185499836373317
5.016,0.0395409624232265,0.180048786813961
5.03,0.0463954639292434,0.174407492175389
5.044,0.0529372757903036,0.168602324754928
5.058,0.059240548578453,0.162609380941932
5.072,0.065346613313315,0.156366604872856
5.086,0.0712497496373983,0.149795721760608
5.1,0.0768957297954772,0.142828000068876
5.114,0.0821931615949703,0.135427029182665
5.128,0.0870343052357954,0.127602688183639
5.142,0.091319674015096,0.119412970671631
5.156,0.0949799395246582,0.110953610921465
5.17,0.0979896005827413,0.102338633566422
5.184,0.100369230239879,0.0936771883476526
5.198,0.102176211721028,0.0850527793567787
5.212,0.103486867432323,0.0765101173344493
5.226,0.104374992139961,0.068052612960744
5.24,0.104892506059174,0.05965062646304
5.254,0.105057122235263,0.0512577872844413
5.268,0.104849859654578,0.0428307283699818
5.282,0.104222527960291,0.0343469217437837
5.296,0.103112702222639,0.0258160667505577
5.31,0.101461877232086,0.0172824009259625
5.324,0.0992318832857478,0.00881781608143847
5.338,0.0964153596330481,0.000508079365763321
5.352,0.0930378651057636,-0.00756385030386312
5.366,0.0891515362371631,-0.0153328653354197
5.38,0.084822440818597,-0.0227612388330549
5.394,0.0801153340903545,-0.0298404290152783
5.408,0.0750800267141866,-0.0365851140145995
5.422,0.0697429352586301,-0.0430214880218295
5.436,0.0641058277083926,-0.0491732902906609
5.45,0.0581517508406075,-0.05504949115986
5.464,0.0518561886476643,-0.0606369459556513
5.478,0.0452001604659538,-0.0658998533850826
5.492,0.0381815563594011,-0.0707859423840169
5.506,0.0308216019071891,-0.0752374818446417
5.52,0.0231647553641008,-0.0792039425966988
5.534,0.0152721706469489,-0.0826527587532023
5.548,0.00721061546284974,-0.0855752146999696
5.562,-0.000960046655346795,-0.0879858509040069
5.576,-0.0091973303953931,-0.0899155620183976
5.59,-0.0174816415546086,-0.0914002803227988
5.604,-0.0258152512426767,-0.0924683455085083
5.618,-0.0342149149636914,-0.0931300448300947
5.632,-0.0427071648069862,-0.0933727555904139
5.646,-0.0513001286488123,-0.0931507729332794
5.66,-0.0599654346475872,-0.092413056933615
5.674,-0.068656019186604,-0.0911171230225354
5.688,-0.0773053309723382,-0.0892371395681645
5.702,-0.0858373776604453,-0.0867717169300323
5.716,-0.0941793319083107,-0.0837458175983417
5.73,-0.102273518628493,-0.0802062873799864
5.744,-0.110085763139153,-0.0762121007872643
5.758,-0.117607979196724,-0.0718217349255542
5.772,-0.124854298450151,-0.0670808167825939
5.786,-0.131851646149114,-0.0620131498355278
5.8,-0.138627063714145,-0.0566174205568537
5.814,-0.145194923836657,-0.0508705010301012
5.828,-0.151547262341659,-0.0447366310497311
5.842,-0.157649729788537,-0.0381802795998395
5.856,-0.163440935722657,-0.0311756837468902
5.87,-0.168848003067707,-0.0237321172151958
5.884,-0.173799699553814,-0.0158833208120776
5.898,-0.1782377052577,-0.00768764598988559
5.912,-0.182127213911944,0.000780022323923074
5.926,-0.185461846711617,0.00944101976373629
5.94,-0.188261794842695,0.0182264782582231
5.954,-0.190565623663406,0.0270883135103471
5.968,-0.192417793677737,0.0360048515200307
5.982,-0.193855056292038,0.044979680895699
5.996,-0.194895172150875,0.0540340486700903
6.01,-0.195530796902086,0.0631947668052361
6.024,-0.195730041757233,0.0724807310002482
6.038,-0.195443498759288,0.0818914766670185
6.052,-0.194615877944363,0.0914006310250844
6.066,-0.193197179857854,0.100955628813944
6.08,-0.191155552145103,0.110479331334995
6.094,-0.188498622089786,0.11989045881981
6.108,-0.185253328507637,0.129116650864573
6.122,-0.181465085955625,0.138102246249359
6.136,-0.177187651425537,0.14681366479123
6.15,-0.172472141394403,0.155239279071084
6.164,-0.167357898457915,0.163384299552607
6.178,-0.161867188770784,0.171262371380475
6.192,-0.1560045655437,0.178886198692964
6.206,-0.149760511818072,0.18625947065838
6.22,-0.143118011740074,0.193371755238964
6.234,-0.136060214623836,0.200197091802297
6.248,-0.128577405962757,0.206696052103682
6.262,-0.120671978283068,0.212820313753858
6.276,-0.112360788564233,0.218518451557504
6.29,-0.103674958625993,0.223741707012975
6.304,-0.0946576371886806,0.228448827752649
6.318,-0.0853604230713692,0.232609495152984
6.332,-0.0758390917981377,0.236206208986009
6.346,-0.0661490984798024,0.239234676340834
6.36,-0.0563411923115717,0.241702764768912
6.374,-0.0464574682370723,0.243628021725331
6.388,-0.0365283035362919,0.245033765932586
6.402,-0.0265707907726461,0.245943923313973
6.416,-0.0165893371294501,0.246377126703105
6.43,-0.00657891761806131,0.246341033012941
6.444,0.00346901056504114,0.245828158079662
6.458,0.0135586363040148,0.244814590584381
6.472,0.0236814219550087,0.243262584372654
6.486,0.0338092197697879,0.241127234327744
6.5,0.0438909346906205,0.23836636565387
6.514,0.0538534371206087,0.23493755568992
6.528,0.0635989441290731,0.230852805846271
6.542,0.0730416246083233,0.226144845184078
6.556,0.0821118272974426,0.220872837024661
6.57,0.0907669037606657,0.215112449713272
6.584,0.098996072932617,0.208941457487899
6.598,0.106817618431038,0.202424344646837
6.612,0.114268685282505,0.195599921474365
6.626,0.121389987941429,0.188475400413457
6.64,0.128209267879703,0.181028812677022
6.654,0.13472787444971,0.173219459480557
6.668,0.140914179615147,0.165003882440717
6.682,0.146705807779668,0.156353235291104
6.696,0.152020314660964,0.147267426268293
6.71,0.156771629042299,0.137782162976585
6.724,0.160887937842586,0.127966892923283
6.738,0.164326229871281,0.117914094974742
6.752,0.16707957505731,0.107722755723066
6.766,0.169175184669049,0.0974804848984571
6.78,0.170663833205499,0.0872491151438411
6.794,0.171603612582355,0.0770576682089395
6.808,0.172042554897397,0.066904512919788
6.822,0.172004951687946,0.0567679669918313
6.836,0.171485126991272,0.0466222341993891
6.85,0.170450290430156,0.0364540930606786
6.864,0.168851511962627,0.0262755842777737
6.878,0.166639560364355,0.0161291290769146
6.892,0.16378099045098,0.00608370812220804
6.906,0.160269836253793,-0.00377669126524396
6.92,0.156131573360981,-0.0133689342107227
6.934,0.151418274493774,-0.0226262575327255
6.948,0.146199173674594,-0.0315027705574872
6.962,0.14054404787238,-0.0399992866885696
6.976,0.13449411203874,-0.0481361759887285
6.99,0.128063111458497,-0.0559356872571476
7.004,0.121240991105001,-0.063408720167513
7.018,0.114004771384543,-0.0705435404645431
7.032,0.106333615999908,-0.077302062317294
7.046,0.0982235061485708,-0.0836246776091442
7.06,0.0896971477796828,-0.0894421022836299
7.074,0.0808061995457739,-0.0946906988172978
7.088,0.0716251710547594,-0.0993267782367465
7.102,0.0622387446611928,-0.103335728437072
7.116,0.0527261391532728,-0.106733330370076
7.13,0.0431469495566249,-0.109558858922549
7.144,0.0335324588416569,-0.111861882010474
7.158,0.0238848721247622,-0.113686425302895
7.172,0.0141847201046201,-0.115056888819523
7.186,0.00440443246582865,-0.115969608834168
7.2,-0.00547559457074792,-0.11639241154145
7.214,-0.0154527778044773,-0.116272341795729
7.228,-0.0254938106108557,-0.115549562462687
