"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.198655657234988,-0.173440709741534
3.014,-0.206742883007747,-0.161836961577158
3.028,-0.214254515567388,-0.149641045359664
3.042,-0.221110102735136,-0.136795814061439
3.056,-0.22718126167657,-0.123268082887411
3.07,-0.232303081411212,-0.109072194386446
3.084,-0.236296517736208,-0.0942870392353507
3.098,-0.238997767659923,-0.079061555637334
3.112,-0.240288492867844,-0.0636062002452406
3.126,-0.240120122191139,-0.0481711474686518
3.14,-0.238526520289347,-0.0330151852162188
3.154,-0.235621822553555,-0.0183715891995428
3.168,-0.231583569582376,-0.00441806774765386
3.182,-0.226624577316773,0.0087430291076198
3.196,-0.220959419985314,0.0210903987768529
3.21,-0.214772396598221,0.0326747250454012
3.224,-0.208200781168461,0.043589614328371
3.238,-0.201318436299831,0.0539653205557824
3.252,-0.194104364926574,0.0639371418151694
3.266,-0.186493325946104,0.0735863354458589
3.28,-0.178389799922305,0.0829430544035899
3.294,-0.16969154814263,0.0919823407690662
3.308,-0.160310621728909,0.100629237897712
3.322,-0.150188973122654,0.108770207473419
3.336,-0.139307627105228,0.116267558372811
3.35,-0.127689938231919,0.122974036538818
3.364,-0.115400410556092,0.128745753925404
3.378,-0.102540753791812,0.133452797519992
3.392,-0.089244428511791,0.136987743476407
3.406,-0.0756702062105975,0.139272659044274
3.42,-0.0619946092660683,0.140264985084802
3.434,-0.048402795914004,0.13996213969756
3.448,-0.0350942911202896,0.138330837324272
3.462,-0.0222823141549594,0.135523649959471
3.476,-0.0100940398905457,0.131715608302753
3.49,0.00139840835521702,0.127074890318356
3.504,0.0121775802188384,0.121768509178251
3.518,0.0222761063228556,0.115943348337805
3.532,0.0317653205443852,0.109710040318097
3.546,0.0407386631112764,0.103132166711807
3.56,0.0492923196158998,0.096222384308111
3.574,0.0575059459081923,0.0889459304987648
3.588,0.0654261835962823,0.0812308044058505
3.602,0.0730550820410261,0.0729829996601878
3.616,0.0803447010775648,0.0641046235839388
3.63,0.0871982871972814,0.054512593896196
3.644,0.0934776589285702,0.0441557719625701
3.658,0.0990158785410738,0.0330287340226184
3.672,0.103633908928678,0.0211807753136502
3.686,0.1071596822848,0.0087191252692708
3.7,0.109447767389226,-0.00419425852383375
3.714,0.110397593701683,-0.017352484135554
3.728,0.109968029786058,-0.0305196588141146
3.742,0.10818614214305,-0.0434517336502817
3.756,0.105148315742514,-0.0559201615063926
3.77,0.101012686758792,-0.0677354851361631
3.784,0.0959830002642884,-0.0787674997370251
3.798,0.0902854054309628,-0.0889586864021818
3.812,0.0841410680375509,-0.0983283078675802
3.826,0.0777384937421344,-0.106965860266709
3.84,0.071209833608782,-0.115014281161861
3.854,0.0646150309087174,-0.122645091350539
3.868,0.057936493440938,-0.130029112997151
3.882,0.0511350324604101,-0.137388229801484
3.896,0.0439764653053742,-0.144844478850487
3.91,0.0361962465950696,-0.152289592890081
3.924,0.0276324784125686,-0.159595693674521
3.938,0.0181783895524362,-0.166572795459868
3.952,0.0078004062609602,-0.172993701876936
3.966,-0.00345420292001253,-0.178622838897572
3.98,-0.0154602839419598,-0.183245030107568
3.994,-0.028027183684559,-0.186690716458528
4.008,-0.0409184587764186,-0.188854965678009
4.022,-0.0538762913645417,-0.189708572980373
4.036,-0.0666478243277873,-0.189300458157086
4.05,-0.079010662841451,-0.187751350451866
4.064,-0.0907949311254315,-0.185239448613116
4.078,-0.101899499454077,-0.181979417602136
4.092,-0.112300363986819,-0.178196780680511
4.106,-0.12204976904281,-0.174100455424709
4.12,-0.131265583851751,-0.169856740484212
4.134,-0.14011167137781,-0.165568297158704
4.148,-0.148771378227664,-0.161261396238817
4.162,-0.157417577528633,-0.156883806767679
4.176,-0.166183596527143,-0.15231422714736
4.19,-0.17513957341815,-0.147382310084668
4.204,-0.184278155360322,-0.14189646341724
4.218,-0.193512007967909,-0.135675131680141
4.232,-0.202683601656582,-0.128576541350488
4.246,-0.211585580834986,-0.120522132181347
4.26,-0.219988179768131,-0.111510078391606
4.274,-0.227669034199953,-0.101617174273325
4.288,-0.234440586642593,-0.0909894938612931
4.302,-0.240171091410989,-0.0798241475062852
4.316,-0.244759645018292,-0.0683541930643847
4.33,-0.248164567541773,-0.0568813903970981
4.344,-0.250614166805048,-0.0456004570083334
4.358,-0.252259794041928,-0.0346404578243935
4.372,-0.253270651583919,-0.0240725397725781
4.386,-0.253815229129468,-0.0139110317856124
4.4,-0.254045435704979,-0.00411918627382639
4.414,-0.254083851930642,0.00538196773976465
