"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201869720961388,-0.173211054675534
3.014,-0.209772471574147,-0.160459105632268
3.028,-0.216679201586988,-0.147201408132864
3.042,-0.222542829127536,-0.133544686539039
3.056,-0.22733834285987,-0.119607016903511
3.07,-0.231068272669012,-0.105508662539046
3.084,-0.233762933792008,-0.0913602605851507
3.098,-0.235474423097223,-0.077251547791134
3.112,-0.236265252733644,-0.0632440089158406
3.126,-0.236194267395139,-0.0493699407418518
3.14,-0.235303526681347,-0.0356386832492188
3.154,-0.233609778265755,-0.0220486980318428
3.168,-0.231102977066106,-0.00860241785265386
3.182,-0.227752354983373,0.0046800878716198
3.196,-0.223518406946314,0.0177522955278529
3.21,-0.218367493549821,0.0305395351091012
3.224,-0.212284025352561,0.042946529687161
3.238,-0.205279492749131,0.0548635043304824
3.252,-0.197399470492774,0.0661806734425694
3.266,-0.188711274378804,0.0768071777388589
3.28,-0.179295169966005,0.0866721607083899
3.294,-0.16923479211473,0.0957244740500662
3.308,-0.158610338992499,0.103928041598212
3.322,-0.147496121768954,0.111255399872419
3.336,-0.135962347117528,0.117682241293611
3.35,-0.124079475728219,0.123185105175218
3.364,-0.111922642304292,0.127742970045104
3.378,-0.0995737036537115,0.131341900698242
3.392,-0.087119443568491,0.133980648290807
3.406,-0.0746459575363975,0.135674614202674
3.42,-0.0622307506385683,0.136456025795502
3.434,-0.049935097447004,0.13636938392616
3.448,-0.0378130028168096,0.135485212486272
3.462,-0.0258541271115594,0.133838385805471
3.476,-0.0140531950666457,0.131433674511153
3.49,-0.00241563597578298,0.128258018563656
3.504,0.00903720817183844,0.124279267006151
3.518,0.0202589770621556,0.119455637614005
3.532,0.0311744815583852,0.113748672051197
3.546,0.0416822666146764,0.107136781900807
3.56,0.0516630892852998,0.099626340171111
3.574,0.0609924735898923,0.0912578983317648
3.588,0.0695546304438823,0.0821063015820505
3.602,0.0772548557010261,0.0722748976303878
3.616,0.0840280368235648,0.0618853141088388
3.63,0.0898419236339814,0.051065112562896
3.644,0.0946950528505702,0.0399358517192701
3.658,0.0986103390623738,0.0286037199526184
3.672,0.101626100279338,0.0171540868546502
3.686,0.103786541966,0.0056503271047708
3.7,0.105133489957626,-0.00586364924983375
3.714,0.105700571562283,-0.017358359969554
3.728,0.105510297467058,-0.0288126508538246
3.742,0.10457380476405,-0.0402078403339817
3.756,0.102892545864414,-0.0515230050983926
3.77,0.100461028759643,-0.0627317782833631
3.784,0.0972698189954884,-0.0738005563140251
3.798,0.0933083153071628,-0.0846877094431818
3.812,0.0885671794412509,-0.0953433218810802
3.826,0.0830406041043344,-0.105709132996609
3.84,0.076728742513782,-0.115718632169561
3.854,0.0696405574557174,-0.125297561617719
3.868,0.061797101155938,-0.134365287058751
3.882,0.0532103254291101,-0.142828610386884
3.896,0.0439477142095742,-0.150580384384487
3.91,0.0341248102916696,-0.157553662721081
3.924,0.0238445220257686,-0.163701109628521
3.938,0.0132168158625362,-0.168999370693868
3.952,0.0023508442529602,-0.173450964239436
3.966,-0.00865363264401254,-0.177083166270972
3.98,-0.0197142621439598,-0.179943588566568
3.994,-0.030772157486559,-0.182092731549528
4.008,-0.0417947641910186,-0.183594418991209
4.022,-0.0527747488580417,-0.184505548754373
4.036,-0.0637248031782773,-0.184866884406086
4.05,-0.074669033391851,-0.184696568735866
4.064,-0.0856323126856315,-0.183987636165916
4.078,-0.0966294416890773,-0.182710097968836
4.092,-0.107656066505819,-0.180817313221651
4.106,-0.11868300296281,-0.178255528507509
4.12,-0.129654966806751,-0.174974860774412
4.134,-0.14049385678841,-0.170939750442704
4.148,-0.151105876380763,-0.166137077471817
4.162,-0.161391104767033,-0.160580660427679
4.176,-0.171253780048843,-0.15431160894636
4.19,-0.18061158928015,-0.147394787425368
4.204,-0.189402624079322,-0.13991229235498
4.218,-0.197589231767909,-0.131955222398341
4.232,-0.205158608685582,-0.123615088750988
4.246,-0.212120496979786,-0.114976019646347
4.26,-0.218502666897531,-0.106108564425606
4.274,-0.224344976338153,-0.0970655256323253
4.288,-0.229692748632293,-0.0878799433602931
4.302,-0.234590085955989,-0.0785651708561852
4.316,-0.239084060257292,-0.0691206016320847
4.33,-0.243222198244773,-0.0595171812606681
4.344,-0.246970968409048,-0.0497064765030334
4.358,-0.250304945122728,-0.0396651463733935
4.372,-0.253183101371919,-0.0293801331395781
4.386,-0.255553211166738,-0.0188539041566124
4.4,-0.257357967322979,-0.00810797155582639
4.414,-0.258542140601242,0.00281595570026465
4.428,-0.259059814590053,0.0138575299093784
4.442,-0.258880609094354,0.0249419296256363
4.456,-0.257993917823055,0.0359860503846796
4.47,-0.256410524912516,0.0469057618995164
4.484,-0.254161447026403,0.0576231013534862
4.498,-0.251294344574519,0.0680723524799671
4.512,-0.247868226173619,0.0782042575539067
4.526,-0.243947345969293,0.0879880254277424
4.54,-0.239595145862869,0.0974112056290978
4.554,-0.234868879336635,0.106477785208653
4.568,-0.229815274799079,0.115204975225601
4.582,-0.224467366248457,0.123619102915572
4.596,-0.21884251422199,0.131750890411887
4.61,-0.212941672824317,0.139630286027703
4.624,-0.20675007350427,0.147281008082889
4.638,-0.200239592202963,0.154715098528072
4.652,-0.193373038382066,0.16192802649342
4.666,-0.18611038756002,0.168895130075225
4.68,-0.178416580966143,0.175570309145179
4.694,-0.170270023937646,0.181887772225208
4.708,-0.161670474191819,0.187767249456643
4.722,-0.152644782333165,0.193122453298389
4.736,-0.143249052335088,0.197871828311596
4.75,-0.133566270032616,0.201949967222816
4.764,-0.123730113756316,0.205265245263829
4.778,-0.113854422390772,0.207891384335588
4.792,-0.104028977582316,0.209872029833682
4.806,-0.0943200124017082,0.211272142698352
4.82,-0.0847643730899982,0.212166971878766
4.834,-0.0753687095910768,0.212629700774954
4.848,-0.0661137409217028,0.212720031251655
4.862,-0.0569626416912507,0.212475733599698
4.876,-0.0478718265749786,0.211908530361509
4.89,-0.0388020384661065,0.211004760184505
4.904,-0.0297277399383791,0.209730306130911
4.918,-0.0206433180962604,0.208038492681064
4.932,-0.0115653931757954,0.205879222631873
4.946,-0.00253136809320279,0.20320760973365
4.96,0.00640493555040271,0.199990727620892
4.974,0.0151792934510005,0.196211710222032
4.988,0.0237234262037317,0.191871120712477
5.002,0.0319706211760323,0.186986072286617
5.016,0.0398600364122265,0.181587901654662
5.03,0.0473395969217434,0.175719216727289
5.044,0.0543677748629036,0.169430907989028
5.058,0.060914699076153,0.162779347873432
5.072,0.066962943738015,0.155823657151166
5.086,0.0725080657462983,0.148622729081408
5.1,0.0775586254684772,0.141231747195476
5.114,0.0821351863102003,0.133698201229765
5.128,0.0862677660742954,0.126057803670939
5.142,0.089991456168096,0.118331087121231
5.156,0.0933403899478582,0.110521663334595
5.17,0.0963408017510413,0.102617036210819
5.184,0.0990043985510789,0.0945924562097526
5.198,0.101323496838648,0.0864176558277787
5.212,0.103269247448723,0.0780655731529493
5.226,0.104793767564831,0.069521553754344
5.24,0.105836217077474,0.0607912059393401
5.254,0.106331978135163,0.0519051858585413
5.268,0.106223343388678,0.0429197146537819
5.282,0.105469689818891,0.0339124732938237
5.296,0.104055133090939,0.0249744865922577
5.31,0.101992131244886,0.0161994639398625
5.324,0.0993203287532478,0.00767260290113847
5.338,0.0961009071760181,-0.000539044314836679
5.352,0.0924076056254636,-0.00839290708846312
5.366,0.0883161874231631,-0.0158729265973197
5.38,0.083894330793957,-0.0229871731399549
5.394,0.0791936907332545,-0.0297618045448783
5.408,0.0742453024732866,-0.0362327465240795
5.422,0.0690587379933301,-0.0424367480686395
5.436,0.0636246789194926,-0.0484033598458609
5.45,0.0579200021329975,-0.05414897356256
5.464,0.0519141933478643,-0.0596734853626513
5.478,0.0455759275576538,-0.0649595700493126
5.492,0.0388789204148011,-0.0699741158454269
5.506,0.0318065428943891,-0.0746711534863417
5.52,0.0243550688661708,-0.0789956254965488
5.534,0.0165356821072189,-0.0828875200631023
5.548,0.00837545120394974,-0.0862861344461596
5.562,-8.26004885467949E-05,-0.0891344242103369
5.576,-0.0087803775469931,-0.0913834545749976
