"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.202475730886988,-0.172169189138534
3.014,-0.209827829860547,-0.159213514592158
3.028,-0.216138354734288,-0.146037917348664
3.042,-0.221504032837336,-0.132740778793439
3.056,-0.22602302516257,-0.119362539428411
3.07,-0.229768889340212,-0.105895110669646
3.084,-0.232772489714208,-0.0923018333075007
3.098,-0.235015661247923,-0.078542899561634
3.112,-0.236437559250144,-0.0646000462486406
3.126,-0.236951602437439,-0.0504947152967518
3.14,-0.236468471909747,-0.0362956440128188
3.154,-0.234919343231755,-0.0221145382134428
3.168,-0.232273692852506,-0.00809142441415386
3.182,-0.228547565258673,0.0056262524614798
3.196,-0.223800706102514,0.0189053215500529
3.21,-0.218123815882521,0.0316439057946012
3.224,-0.211619195914561,0.043779302026461
3.238,-0.204382851274601,0.0552865718683824
3.252,-0.196486484673224,0.0661685342696694
3.266,-0.18796868356879,0.0764345188952689
3.28,-0.178840284804605,0.0860819288382899
3.294,-0.16909736111073,0.0950825721728062
3.308,-0.158739375064709,0.103377900543012
3.322,-0.147787229324454,0.110884518481119
3.336,-0.136295980158598,0.117508490962611
3.35,-0.124358427934419,0.123164540248818
3.364,-0.112098268852992,0.127794831532904
3.378,-0.0996543341504115,0.131382071164792
3.392,-0.087159905282291,0.133953081229207
3.406,-0.0747225228039975,0.135571498778274
3.42,-0.0624097171169683,0.136321130746502
3.434,-0.050244664341984,0.13628402273056
3.448,-0.0382184508806896,0.135540005025072
3.462,-0.0262717260710594,0.134096596796371
3.476,-0.0143691251695457,0.131906838596953
3.49,-0.00251521801578298,0.128893213894156
3.504,0.00923460103963844,0.124964414368151
3.518,0.0207716184812556,0.120042396712805
3.532,0.0319446935905652,0.114087443790097
3.546,0.0425818542722764,0.107115034951807
3.56,0.0525172823493998,0.099200457865511
3.574,0.0616171360171923,0.0904702020920648
3.588,0.0697980926862823,0.0810824481981505
3.602,0.0770344474762261,0.0712015705945878
3.616,0.0833525308365648,0.0609728691509388
3.63,0.0888143404582314,0.050503450224196
3.644,0.0934948200489702,0.0398534249065701
3.658,0.0974585440921738,0.0290388816724184
3.672,0.100741401161378,0.0180451478376502
3.686,0.1033413205093,0.0068464337155708
3.7,0.105219618500426,-0.00457335849843375
3.714,0.106311828494683,-0.016203808766154
3.728,0.106544624517768,-0.0279989279219146
3.742,0.10585420359555,-0.0398774553421817
3.756,0.104201509746514,-0.0517316250099926
3.77,0.101580875268543,-0.0634414770190631
3.784,0.0980206300661883,-0.0748906637138551
3.798,0.0935764131591628,-0.0859797151929818
3.812,0.0883197198284509,-0.0966337974405802
3.826,0.0823251833340344,-0.106803750987009
3.84,0.075660028423032,-0.116461111179461
3.854,0.0683781457385674,-0.125589348601739
3.868,0.060519671284018,-0.134174336997751
3.882,0.0521152013523101,-0.142191856964684
3.896,0.0431957801851742,-0.149614945726287
3.91,0.0337955598855696,-0.156413792183661
3.924,0.0239577465740686,-0.162551513172181
3.938,0.0137357312301362,-0.167995934685518
3.952,0.0031896278341602,-0.172724437569536
3.966,-0.00761892912991254,-0.176725801491672
3.98,-0.0186317032249598,-0.179998869119248
3.994,-0.029796849701359,-0.182548976784628
4.008,-0.0410692463826786,-0.184383766914909
4.022,-0.0524084937559317,-0.185510025765273
4.036,-0.0637757689625173,-0.185932617803586
4.05,-0.075131065811351,-0.185655656355566
4.064,-0.0864320931863315,-0.184685112478416
4.078,-0.0976353498747773,-0.183031465450836
4.092,-0.108698929831819,-0.180710959324241
4.106,-0.11958579783151,-0.177744573078749
