"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.198117314874988,-0.171286168400434
3.014,-0.205468849213747,-0.159900279978758
3.028,-0.212316639159388,-0.148178946076564
3.042,-0.218675218663436,-0.136047597770439
3.056,-0.22451013732227,-0.123416872531411
3.07,-0.229731605662212,-0.110204060975446
3.084,-0.234197424094008,-0.0963569849753507
3.098,-0.237725994681923,-0.081876159518334
3.112,-0.240118324163844,-0.0668309256842406
3.126,-0.241186079146139,-0.0513659378566518
3.14,-0.240781333916347,-0.0356958611659188
3.154,-0.238822972002555,-0.0200881364265428
3.168,-0.235314941592906,-0.00483583182465386
3.182,-0.230352721571773,0.0097754915346198
3.196,-0.224116246649114,0.0235016990398529
3.21,-0.216849833449521,0.0361692124274012
3.224,-0.208825590500461,0.047674380939461
3.238,-0.200342843497831,0.0580142803577824
3.252,-0.191661025422574,0.0673380071321694
3.266,-0.182941543101104,0.0758295995099589
3.28,-0.174253390202805,0.0837014690765899
3.294,-0.16557156982413,0.0911567600700662
3.308,-0.156789930880909,0.098354645865712
3.322,-0.147745849327934,0.105383802297419
3.336,-0.138252413395228,0.112247729374311
3.35,-0.128132829242919,0.118863496354718
3.364,-0.117251766785092,0.125073262121404
3.378,-0.105539249868812,0.130665975169592
3.392,-0.093004235200791,0.135405309547407
3.406,-0.0797368884275975,0.139059332435274
3.42,-0.0659003872842683,0.141427648498802
3.434,-0.051714535669004,0.14236269085456
3.448,-0.0373629053089896,0.141692513065272
3.462,-0.0232360928229594,0.139425223645271
3.476,-0.0096411213345457,0.135684404341553
3.49,0.00319426327721702,0.130637304320356
3.504,0.0151040798868384,0.124496295552051
3.518,0.0259917197398556,0.117497089933805
3.532,0.0358308061061852,0.109876914728097
3.546,0.0446600890882764,0.101854276736807
3.56,0.0525733089828998,0.093611489774111
3.574,0.0597049504634923,0.0852808350587648
3.588,0.0662127773782823,0.0769350938022505
3.602,0.0722581045610261,0.0685831765721878
3.616,0.0779849892975648,0.0601715584779388
3.63,0.0834998907952814,0.051592079216826
3.644,0.0888537518409702,0.0426962778635701
3.658,0.0940287496649738,0.0333157677656184
3.672,0.0989319780586782,0.0232872706386502
3.686,0.1033979320001,0.0124799628852708
3.7,0.107200820921226,0.000821945306566246
3.714,0.110076494181683,-0.011677848657554
3.728,0.111752285783058,-0.0249159557141146
3.742,0.11198162096305,-0.0386918789182817
3.756,0.110579057495514,-0.0527184792849926
3.77,0.107450820446443,-0.0666452178321631
3.784,0.102616013246288,-0.0800922458460251
3.798,0.0962146099719628,-0.0926914968001818
