"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.342447009,-0.06041941809
3.014,0.2936009778,-0.1056976814
3.028,0.238346579,-0.1215232684
3.042,0.1921499563,-0.1088058285
3.056,0.1684307752,-0.07595314103
3.07,0.1751354747,-0.03716229821
3.084,0.2124582726,-0.009234326627
3.098,0.2723000746,-0.007604645273
3.112,0.3396666393,-0.04249140958
3.126,0.3957601502,-0.1160672974
3.14,0.4221165083,-0.2213524165
3.154,0.4048787351,-0.3431510473
3.168,0.3382381276,-0.4608965171
3.182,0.2262363857,-0.5528306904
3.196,0.0824705348,-0.6006279462
3.21,-0.07229859659,-0.5934521305
3.224,-0.2141668128,-0.5305389032
3.238,-0.32089911,-0.4217043064
3.252,-0.376509479,-0.285625849
3.266,-0.3746194273,-0.1462266418
3.28,-0.3198607704,-0.02790877855
3.294,-0.2270046823,0.04936298147
3.308,-0.117986271,0.07408872752
3.322,-0.01744486278,0.04552161703
3.336,0.05228387972,-0.02626199322
3.35,0.07567525695,-0.1225160703
3.364,0.04708711312,-0.219736739
3.378,-0.0282265247,-0.2945006611
3.392,-0.1353399591,-0.3282144797
3.406,-0.2528252789,-0.3107960054
3.42,-0.3571718389,-0.2425521482
3.434,-0.4275161709,-0.1339139371
3.448,-0.4497044344,-0.003146349574
3.462,-0.4188802953,0.1274304308
3.476,-0.3401281555,0.2358808005
3.49,-0.2271263751,0.3048231061
3.504,-0.09918237963,0.3244961465
3.518,0.022659452,0.2941630787
3.532,0.1195911171,0.221672413
3.546,0.1782849943,0.1213938209
3.56,0.1928069801,0.01107430985
3.574,0.1649244147,-0.09165126837
3.588,0.1029001439,-0.1723471088
3.602,0.01918330093,-0.221865588
3.616,-0.07239007517,-0.2371189494
3.63,-0.1592272201,-0.2205402317
3.644,-0.2318910858,-0.1785376435
3.658,-0.2849778095,-0.1194462035
3.672,-0.3169297734,-0.05154026496
3.686,-0.3290245557,0.0184152554
3.7,-0.323964908,0.08579792764
3.714,-0.3045522948,0.1479256425
3.728,-0.2728481642,0.2032434894
3.742,-0.2300399972,0.250289438
3.756,-0.1769880363,0.2868735003
3.77,-0.1152014252,0.309819836
3.784,-0.04784272039,0.3154312855
3.798,0.01967024321,0.3005945219
3.812,0.07979615919,0.2642189745
3.826,0.1238616149,0.2085578433
3.84,0.1437811702,0.1399385073
3.854,0.1341358459,0.06854409224
3.868,0.09408409241,0.007113889308
3.882,0.02855453772,-0.03128669016
3.896,-0.05170945402,-0.03600746672
3.91,-0.1314393894,-0.001463912694
3.924,-0.1933388425,0.07095104918
3.938,-0.221354876,0.1722294968
3.952,-0.2040654082,0.2866695626
3.966,-0.1374405924,0.3943022036
3.98,-0.02632130281,0.4744238846
3.994,0.115800349,0.5095602422
4.008,0.2687644691,0.4890497128
4.022,0.4091766151,0.4114757628
4.036,0.5146507201,0.2853887601
4.05,0.5680249967,0.1281008926
4.064,0.5606937454,-0.03726331933
4.078,0.4943618172,-0.1859096267
4.092,0.3808430721,-0.2959014814
4.106,0.2399225078,-0.3521756145
4.12,0.09569797406,-0.3492492236
4.134,-0.02787356342,-0.2920892111
4.148,-0.1113441078,-0.1949898331
4.162,-0.1432044108,-0.07870875253
4.176,-0.1217270149,0.03354314556
4.19,-0.05490748686,0.1204475357
4.204,0.04142211415,0.1664063175
4.218,0.1468719513,0.1641305531
4.232,0.2404705548,0.1155455307
4.246,0.3045371683,0.03092150847
4.26,0.3277109352,-0.07350395358
4.274,0.3066067753,-0.1788626686
4.288,0.2458729111,-0.2672468785
4.302,0.1567567131,-0.3248481846
4.316,0.05457276043,-0.3440802229
4.33,-0.04434751099,-0.3243680438
4.344,-0.1255932436,-0.2715795253
4.358,-0.178949689,-0.1963465292
4.372,-0.1996510523,-0.1117196714
4.386,-0.1884945578,-0.030685258
4.4,-0.1509430639,0.0359619139
4.414,-0.0955329513,0.08103152741
4.428,-0.03200326057,0.1014740829
4.442,0.03044135828,0.09808478199
4.456,0.08441531161,0.07458857342
4.47,0.1250183707,0.03641760375
4.484,0.1498862663,-0.0104962353
4.498,0.1587705004,-0.06065813827
4.512,0.1528764852,-0.109540833
4.526,0.1342007748,-0.1537085739
4.54,0.1050527368,-0.1906488932
4.554,0.06784596241,-0.2184905622
4.568,0.02513253773,-0.2357876222
4.582,-0.02023757349,-0.2414928756
4.596,-0.06499379487,-0.2351506744
4.61,-0.1055065397,-0.2172383387
4.624,-0.1381143514,-0.1895092734
4.638,-0.1596993856,-0.1551624899
4.652,-0.1683933598,-0.1186927491
4.666,-0.1642237927,-0.08535636422
4.68,-0.1494896208,-0.06029857578
4.694,-0.128695634,-0.047499057
4.708,-0.1079696586,-0.04877106845
4.722,-0.09401306894,-0.0630728582
4.736,-0.09276250817,-0.08634655968
4.75,-0.1080353059,-0.1119964257
4.764,-0.1404664686,-0.1319768416
4.778,-0.1870084012,-0.1383139103
4.792,-0.241160035,-0.1247680339
4.806,-0.293940908,-0.08828858887
4.82,-0.3354610685,-0.02993201716
4.834,-0.3567970667,0.04498947169
4.848,-0.3518010596,0.1276085393
4.862,-0.3184651881,0.2069552165
4.876,-0.2595405483,0.2719005775
4.89,-0.1822545186,0.3132183268
4.904,-0.09715195101,0.3253548512
4.918,-0.01626607056,0.3075477009
4.932,0.04903479712,0.2640579651
4.946,0.09010851802,0.2034575086
4.96,0.1026074769,0.1371006154
4.974,0.08724988627,0.07707178
4.988,0.04964807783,0.034003702
5.002,-0.0007664251297,0.01518158839
5.016,-0.0525062234,0.02328846739
5.03,-0.09413606847,0.05601567647
5.044,-0.116324148,0.1065912782
5.058,-0.1134578175,0.1651026878
5.072,-0.08454056475,0.2203437503
5.086,-0.03323345232,0.2618287259
5.1,0.03292982371,0.2816007333
