"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.6473345301,-0.124001926
3.014,0.5566705469,-0.2939505703
3.028,0.4162321301,-0.4115061259
3.042,0.2526223981,-0.4642449198
3.056,0.09379048252,-0.4520516553
3.07,-0.03621625277,-0.3859272985
3.084,-0.1212298423,-0.2847529438
3.098,-0.154969422,-0.1708637941
3.112,-0.1408626441,-0.06547248209
3.126,-0.08996125459,0.01508037789
3.14,-0.01762595472,0.06154898911
3.154,0.06013720506,0.072195881
3.168,0.1298237085,0.05156088362
3.182,0.1824173182,0.008119193838
3.196,0.2139321907,-0.04843190674
3.21,0.2246236704,-0.1095152617
3.224,0.2173149829,-0.1690901514
3.238,0.1954752416,-0.2239057511
3.252,0.1616861008,-0.2727124206
3.266,0.116958872,-0.3148517559
3.28,0.06106617988,-0.3488105434
3.294,-0.006282278771,-0.3713114899
3.308,-0.08386802922,-0.3773320304
3.322,-0.1675882929,-0.3611442394
3.336,-0.2498386318,-0.3181372187
3.35,-0.3200177397,-0.2469107029
3.364,-0.36620384,-0.1509921596
3.378,-0.3777042885,-0.03957136928
3.392,-0.3478922936,0.07313837192
3.406,-0.2765972191,0.1699645613
3.42,-0.1713537402,0.2339393748
3.434,-0.04703914379,0.2519163592
3.448,0.0762107164,0.2178148923
3.462,0.1765022846,0.1346839111
3.476,0.2344311665,0.01499325384
3.49,0.2371776993,-0.1210657667
3.504,0.1815282228,-0.2490425995
3.518,0.07508856799,-0.3448087696
3.532,-0.06467577315,-0.3893287617
3.546,-0.2134718274,-0.3726060803
3.56,-0.344722519,-0.2959319162
3.574,-0.4347119332,-0.1719056635
3.588,-0.4672686871,-0.02216499094
3.602,-0.4370010834,0.1267453642
3.616,-0.350392908,0.248532334
3.63,-0.2245177668,0.3222805374
3.644,-0.08363388477,0.3364881031
3.658,0.04563119305,0.2911866168
3.672,0.1395040314,0.1977285387
3.686,0.1816206189,0.07632054998
3.7,0.1659951815,-0.04814700238
3.714,0.09783615295,-0.1510789887
3.728,-0.007891353523,-0.2129212795
3.742,-0.1297823854,-0.2227130571
3.756,-0.2444339421,-0.1797694966
3.77,-0.3310521796,-0.0932378993
3.784,-0.375274293,0.02027167071
3.798,-0.3714672921,0.1403853773
3.812,-0.3231277231,0.2471508711
3.826,-0.2414308028,0.3248132658
3.84,-0.1423674967,0.3644315355
3.854,-0.04317893983,0.3648853327
3.868,0.04110468932,0.3322019996
3.882,0.1003010929,0.2775029334
3.896,0.1304102089,0.2141445699
3.91,0.1334982845,0.1547551378
3.924,0.1163219639,0.1088249905
3.938,0.08814915285,0.08131736669
3.952,0.05837086298,0.07248300318
3.966,0.03448326781,0.0787599043
3.98,0.02086635558,0.09439276994
3.994,0.01854201525,0.1132711684
4.008,0.02582677546,0.1304871425
4.022,0.03957155157,0.1432415863
4.036,0.05655646741,0.1509432823
4.05,0.07460913652,0.1545840262
4.064,0.09313256983,0.1556734454
4.078,0.1129267641,0.1551265547
4.092,0.1354092594,0.152490167
4.106,0.1615234114,0.145776788
4.12,0.1907192986,0.1319815306
4.134,0.2203757285,0.1081433746
4.148,0.2459078323,0.07263617217
4.162,0.2616070216,0.02628602352
4.176,0.2620421353,-0.02706433298
4.19,0.2436717661,-0.08079094399
4.204,0.2062274711,-0.1265627512
4.218,0.1534529367,-0.1560632479
4.232,0.09292251229,-0.1629766757
4.246,0.03488194713,-0.1447537575
4.26,-0.009698973937,-0.103689639
4.274,-0.03145971316,-0.04698421965
4.288,-0.02484265424,0.01431770375
4.302,0.01037880171,0.06734511813
4.316,0.06863677,0.09997964964
4.33,0.1393414276,0.1034436497
