"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.6428107276,0.03571910359
3.014,0.6219763452,-0.1401128989
3.028,0.5423508527,-0.2918268371
3.042,0.4197244228,-0.3996407934
3.056,0.2760090656,-0.4523989241
3.07,0.1349429881,-0.4490975424
3.084,0.01765813891,-0.3984030864
3.098,-0.06100111021,-0.3163452616
3.112,-0.09470944836,-0.2227378721
3.126,-0.08607439461,-0.1371197259
3.14,-0.04526191682,-0.0750696954
3.154,0.01276185309,-0.0456258654
3.168,0.07169758802,-0.05026155351
3.182,0.1173032694,-0.08350782737
3.196,0.1399924687,-0.1349476074
3.21,0.1361507729,-0.1920233357
3.224,0.1080048335,-0.2429600297
3.238,0.06222084927,-0.2791341731
3.252,0.007689149837,-0.296400765
3.266,-0.04689277282,-0.295176104
3.28,-0.09502643072,-0.2793903046
3.294,-0.1335435343,-0.2546942885
3.308,-0.1626530531,-0.2264673284
3.322,-0.1849899983,-0.1981879135
3.336,-0.2040127258,-0.1706030208
3.35,-0.2222575632,-0.1418952553
3.364,-0.2399845158,-0.1087653208
3.378,-0.2546306776,-0.06809169892
3.392,-0.261261026,-0.01866587796
3.406,-0.253928151,0.03752891526
3.42,-0.2275945944,0.0949167536
3.434,-0.1800994556,0.1450023135
3.448,-0.1136107631,0.1780317191
3.462,-0.03510875409,0.1852837932
3.476,0.04432929266,0.1614452691
3.49,0.1113789897,0.1064654976
3.504,0.1530996122,0.02637680004
3.518,0.159776006,-0.06721146422
3.532,0.1273153017,-0.1589342193
3.546,0.0586096376,-0.2324829091
3.56,-0.03651383694,-0.2738349583
3.574,-0.1428272568,-0.2742019869
3.588,-0.2424570082,-0.2320316893
3.602,-0.3183104179,-0.1535858968
3.616,-0.3574572054,-0.05191975689
3.63,-0.3537395357,0.05556396735
3.644,-0.309038345,0.1504946951
3.658,-0.2329077957,0.2171453863
3.672,-0.1406409009,0.2455147794
3.686,-0.05016938924,0.2332296216
3.7,0.02154691078,0.185869533
3.714,0.06187736788,0.1156582441
3.728,0.06492047112,0.03881749724
3.742,0.03245649126,-0.02783451715
3.756,-0.02671660948,-0.07030365777
3.77,-0.09887983792,-0.08013281821
3.784,-0.1684314855,-0.05585161632
3.798,-0.2211844955,-0.002896897814
3.812,-0.2472042974,0.06791993862
3.826,-0.2425929554,0.1430068571
3.84,-0.2098783709,0.2090346588
3.854,-0.1569887247,0.2557415698
3.868,-0.09510826392,0.2778903168
3.882,-0.03594983393,0.2759836078
3.896,0.01091052214,0.2556409133
3.91,0.04003265385,0.2258488851
3.924,0.05101987536,0.1965475638
3.938,0.04818062349,0.1761484735
3.952,0.03908687279,0.1695712807
3.966,0.03242493107,0.1772396362
3.98,0.03568564204,0.1952326326
3.994,0.05325832633,0.2165061186
4.008,0.08537628167,0.2328455137
4.022,0.1281423202,0.2370469458
4.036,0.1745951716,0.2247833576
4.05,0.2165259708,0.1957031128
4.064,0.2465783102,0.1535065066
4.078,0.2601061322,0.1050005355
4.092,0.2563329485,0.05838196152
4.106,0.2385341258,0.02118299363
4.12,0.2132063587,-0.001609859681
4.134,0.1884357191,-0.008801658642
4.148,0.1718683163,-0.003296583536
4.162,0.1687805461,0.008605822962
4.176,0.1807184268,0.01875395605
4.19,0.2050359237,0.01915399212
4.204,0.2354448543,0.003963104377
4.218,0.2634466832,-0.02901098434
4.232,0.2803071988,-0.07766142596
4.246,0.2791082346,-0.1359384613
4.26,0.256395231,-0.1951263577
4.274,0.2130378059,-0.245741403
4.288,0.1541078413,-0.2796086352
4.302,0.08781051026,-0.2916379687
4.316,0.02372302352,-0.2808960063
4.33,-0.02924742175,-0.2507384928
4.344,-0.06471659619,-0.2079891399
4.358,-0.08006914774,-0.1613710871
4.372,-0.07682793254,-0.1195658265
4.386,-0.0600855936,-0.08935249535
4.4,-0.03715558967,-0.0742514331
4.414,-0.01577709771,-0.07396881757
4.428,-0.002303682289,-0.08474550282
4.442,-0.000298506826,-0.1004995796
4.456,-0.009852908951,-0.1144691411
4.47,-0.02776721859,-0.1209516562
4.484,-0.0485262032,-0.1167234592
4.498,-0.06581531537,-0.1018080634
4.512,-0.07420133633,-0.07942341577
4.526,-0.07056946427,-0.05513639556
4.54,-0.05497421036,-0.03544062106
4.554,-0.03070620793,-0.02610690989
4.568,-0.003565831855,-0.03070459946
4.582,0.01947757092,-0.04964630471
4.596,0.03191907435,-0.07998092141
4.61,0.02925714165,-0.1159811314
4.624,0.01007733429,-0.150385019
4.638,-0.02357011515,-0.1760003085
4.652,-0.06658319659,-0.1872986559
4.666,-0.1119122924,-0.1816338114
4.68,-0.1520986243,-0.1598082428
4.694,-0.1808938846,-0.1258654927
