"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.487861874,0.003631225733
3.014,0.4472076767,-0.1288160929
3.028,0.3657883813,-0.2318853613
3.042,0.2594522858,-0.2937585261
3.056,0.1467806317,-0.3101841438
3.07,0.04573949164,-0.2846605317
3.084,-0.02932952961,-0.227230291
3.098,-0.06984438716,-0.1522043453
3.112,-0.07391311604,-0.07531950909
3.126,-0.04598797777,-0.010906466
3.14,0.004573616917,0.03040440315
3.154,0.06566026007,0.04306482792
3.168,0.1247855093,0.02692113173
3.182,0.1712178383,-0.01346959209
3.196,0.1974910008,-0.07025508167
3.21,0.2000979162,-0.1340554205
3.224,0.1793677842,-0.1956824273
3.238,0.1386994791,-0.2474811523
3.252,0.0834367066,-0.2841001447
3.266,0.01970129699,-0.3026605235
3.28,-0.04654839499,-0.3024426931
3.294,-0.1100775587,-0.2843082839
3.308,-0.1665340496,-0.2501025288
3.322,-0.2123125796,-0.202238426
3.336,-0.2443108081,-0.1435652643
3.35,-0.2597801969,-0.07750167142
3.364,-0.2564240367,-0.008302895808
3.378,-0.2327936004,0.05873404816
3.392,-0.1889114532,0.1173259818
3.406,-0.1269430186,0.1606548901
3.42,-0.05167685754,0.1822350115
3.434,0.02941878068,0.1770815989
3.448,0.1067196687,0.1429489064
3.462,0.169574302,0.081335811
3.476,0.207906341,-0.002037732422
3.49,0.2140185035,-0.09749827725
3.504,0.1842350065,-0.192499338
3.518,0.1200082363,-0.2734038495
3.532,0.02819117892,-0.3276870403
3.546,-0.07967176707,-0.3461558662
3.56,-0.188985038,-0.3247397908
3.574,-0.284421386,-0.2654627789
3.588,-0.3525094548,-0.1763500703
3.602,-0.3839983132,-0.07022874124
3.616,-0.3755289546,0.0373943548
3.63,-0.3302644807,0.1309983576
3.644,-0.2573301897,0.1977567295
3.658,-0.1701506236,0.2297661044
3.672,-0.08399389595,0.2253605894
3.686,-0.01319602904,0.1892556584
3.7,0.03139629065,0.1314994651
3.714,0.04427131362,0.06544858389
3.728,0.02604038835,0.005179038944
3.742,-0.0169595385,-0.03714938689
3.756,-0.07413599274,-0.05345883369
3.77,-0.1328571382,-0.04104075975
3.784,-0.1809467714,-0.002747208686
3.798,-0.2089511839,0.05390092622
3.812,-0.2117390697,0.1184549878
3.826,-0.1891530154,0.1797325035
3.84,-0.1456409691,0.2279948735
3.854,-0.08901132526,0.2566694804
3.868,-0.02862969224,0.2632987222
3.882,0.02652824106,0.2495826521
3.896,0.06955279904,0.2205831745
3.91,0.09667909954,0.1833317624
3.924,0.1075975669,0.1451929835
3.938,0.1050080104,0.1123596844
3.952,0.09359558325,0.08879367493
3.966,0.07872134795,0.07579688903
3.98,0.06515779363,0.07223578605
3.994,0.05615725027,0.07528770851
4.008,0.05303467375,0.08146638898
4.022,0.05530359657,0.08763870056
4.036,0.06126230136,0.09177403049
4.05,0.0688216126,0.09325923286
4.064,0.07632001515,0.09273970111
4.078,0.08309425044,0.09157669845
4.092,0.08965493644,0.09111023263
4.106,0.09743432662,0.09196128705
4.12,0.1081948119,0.09358750049
4.134,0.1232810036,0.09423024383
4.148,0.1429415863,0.09127889989
4.162,0.1659286272,0.08196041281
4.176,0.1895080455,0.06416973497
4.19,0.2099049744,0.03721313535
4.204,0.2230905464,0.002252725072
4.218,0.2257222157,-0.03768750522
4.232,0.2160023677,-0.07818409039
4.246,0.194232409,-0.114255486
4.26,0.1629085418,-0.141394047
4.274,0.1263144235,-0.1565464506
4.288,0.08968803017,-0.158805702
4.302,0.05814562957,-0.1496414099
4.316,0.03560832728,-0.1326021113
4.33,0.02398081943,-0.1125476886
4.344,0.02277655045,-0.09458226296
4.358,0.02928054551,-0.08293054991
4.372,0.03921657304,-0.08001596667
4.386,0.04776748174,-0.08595414566
4.4,0.05071423643,-0.09857985189
4.414,0.04543108465,-0.1140018874
4.428,0.03150686684,-0.1275585187
4.442,0.01084868409,-0.1349531391
4.456,-0.01275653917,-0.1333087195
4.47,-0.03452300037,-0.1218984563
4.484,-0.04978873201,-0.1023842147
4.498,-0.05512474233,-0.07850702488
4.512,-0.04917933833,-0.05529814857
4.526,-0.03306711856,-0.03798692362
4.54,-0.01021538663,-0.03084853078
4.554,0.0142977002,-0.03624612497
4.568,0.03476695926,-0.05407608517
4.582,0.04602219479,-0.08173391442
4.596,0.04447796263,-0.1146029925
4.61,0.02884970242,-0.1469548369
4.624,0.0003920856377,-0.1730634124
4.638,-0.03737841112,-0.1882957939
4.652,-0.07940380516,-0.1899538588
4.666,-0.1200834807,-0.1777024625
4.68,-0.1543350748,-0.1535136189
4.694,-0.1784976288,-0.1211613903
4.708,-0.190901435,-0.08539472013
4.722,-0.1920083967,-0.05097614578
4.736,-0.1841228698,-0.02179142442
4.75,-0.170763308,-0.0002065875067
4.764,-0.1558498394,0.01321560129
4.778,-0.1428898569,0.01961195251
4.792,-0.134329472,0.0213839719
4.806,-0.1311893083,0.02155345455
4.82,-0.1330314131,0.02306390302
4.834,-0.1382286818,0.02817947125
4.848,-0.1444458609,0.03809693697
4.862,-0.1492045772,0.05282719962
4.876,-0.1504011719,0.07133694113
4.89,-0.1466722395,0.09188454518
4.904,-0.1375503961,0.1124485198
4.918,-0.1234089325,0.1311390179
4.932,-0.1052436681,0.1465022899
4.946,-0.08437286838,0.1576666932
4.96,-0.06214461665,0.1643264678
4.974,-0.03972533424,0.1666024696
4.988,-0.01800973256,0.1648467797
5.002,0.002348348763,0.1594647078
5.016,0.02082175754,0.1508132623
5.03,0.03687378297,0.139204525
5.044,0.0498651554,0.1250045004
5.058,0.05905343526,0.1087843747
5.072,0.06370305677,0.09146088899
5.086,0.06328721927,0.07436105879
5.1,0.05772988084,0.0591644698
5.114,0.04761656561,0.04770910813
