"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.198479663758393,-0.160354851627326
3.0175,-0.205795687917113,-0.146466662628994
3.035,-0.212587889481577,-0.132237577307135
3.0525,-0.218795055149528,-0.117426265592154
3.07,-0.224216787281973,-0.101842962829774
3.0875,-0.228551013229316,-0.0854083313023111
3.105,-0.231453527169493,-0.0681892039026729
3.1225,-0.232606743247642,-0.0504041717149398
3.14,-0.231783319894517,-0.0323985431761418
3.1575,-0.228891922721542,-0.01459457038533
3.175,-0.223996594366947,0.0025723661016243
3.1925,-0.217306918432567,0.018718623389697
3.21,-0.209142077584843,0.0335657168578935
3.2275,-0.199862642510898,0.046951263400907
3.245,-0.189867191005488,0.0588661467555647
3.2625,-0.179490112291122,0.0694772397270738
3.28,-0.168924138579695,0.0790226654004707
3.2975,-0.158220909371446,0.0877648958910073
3.315,-0.147297124768238,0.0959278573207836
3.3325,-0.135965814260474,0.103642816504347
3.35,-0.12398678648853,0.110912075756248
3.3675,-0.111127535222088,0.117596359358012
3.385,-0.0972244829305257,0.123427992631413
3.4025,-0.0822344748306052,0.128048057430757
3.42,-0.0662678024281445,0.131062086563361
3.4375,-0.0495965751310872,0.132105904389451
3.455,-0.0325344132965284,0.130831619352013
3.4725,-0.015777169116579,0.127128836002226
3.49,9.36354582785131E-05,0.121122212953546
3.5075,0.0145751139675487,0.113138730479348
3.525,0.0273208554790739,0.103660904982772
3.5425,0.0381935666871429,0.0932500249491344
3.56,0.0472811536932276,0.0824520477516442
3.5775,0.0548709469463105,0.0717030726722556
3.595,0.0613844682329724,0.0612527276265434
3.6125,0.067283115200613,0.0511217339325833
3.63,0.0729617871092797,0.041104357625055
3.6475,0.0786512547634567,0.0308181896681825
3.665,0.0844529579625196,0.0197689057232499
3.6825,0.0900533180028762,0.00739085336827588
3.7,0.0947689760029312,-0.00657285161504572
3.7175,0.0979207048610535,-0.0220719687663002
3.735,0.0988691924117256,-0.0387460425171986
3.7525,0.0971522876669017,-0.0559660540562919
3.77,0.0925917677416299,-0.0729342699699587
3.7875,0.0853460734431248,-0.0888234784945199
3.805,0.0758960365960687,-0.102927815212246
3.8225,0.0649643365450634,-0.114793996458711
3.84,0.0533834297083762,-0.124304923139784
3.8575,0.0419379914221956,-0.131696816969082
3.875,0.0312139958713063,-0.13750450166763
3.8925,0.0217977579510333,-0.1426074955853
3.91,0.0130971842002703,-0.147816933956277
3.9275,0.00456752697984257,-0.153581721529269
3.945,-0.0044777925956892,-0.160023991488373
3.9625,-0.0147046199010443,-0.166913838752447
3.98,-0.026602714148502,-0.17371847376905
3.9975,-0.0403694744735682,-0.179714289151147
4.015,-0.0558559756981807,-0.184137638323408
4.0325,-0.072585316839359,-0.186342665809456
4.05,-0.0898382938051466,-0.185933716417087
4.0675,-0.106787769082123,-0.182845690047049
4.085,-0.122653577272618,-0.177356838689608
4.1025,-0.136846208182241,-0.170032519754902
4.12,-0.149070418441759,-0.161612407882821
4.1375,-0.159368573503726,-0.152864805089431
4.155,-0.168096018048065,-0.144437819273412
4.1725,-0.175834508970562,-0.136737219036485
4.19,-0.183261954365005,-0.12985488287346
4.2075,-0.191005011120315,-0.123561276898789
4.225,-0.199503977636167,-0.117362512244537
4.2425,-0.20891646617738,-0.110609842716886
4.26,-0.21907829226987,-0.10263943244155
4.2775,-0.229528580209481,-0.092914719905592
4.295,-0.239593553805024,-0.0811436610510934
4.3125,-0.248512290363881,-0.0673484035760176
4.33,-0.255260841977705,-0.0517140672603655
4.3475,-0.259571448508056,-0.035307096355522
4.365,-0.261402836231581,-0.0189121332870522
4.3825,-0.26102391498543,-0.00324299614799181
4.4,-0.258949020261727,0.0111765226326782
4.4175,-0.255831535903044,0.0240914277486563
4.435,-0.252337286201116,0.0355415044203901
4.4525,-0.249021607240435,0.0458323032489779
4.47,-0.246232131348239,0.0554588738506535
4.4875,-0.244053656831216,0.0649980237888658
4.505,-0.242303254433207,0.0749897022801633
4.5225,-0.240574561022515,0.0858290924120541
4.54,-0.238321661913458,0.0976882076498309
4.5575,-0.234966471382841,0.110479923734871
4.575,-0.230010052121566,0.12386959084168
4.5925,-0.223128275628067,0.137331051508428
4.61,-0.214235448091411,0.150236418222137
4.6275,-0.203505340459317,0.161963501347902
4.645,-0.191346437339872,0.172002106880599
4.6625,-0.178335945664147,0.180040864967165
4.68,-0.165123971048064,0.186019648967152
4.6975,-0.152324236405744,0.190138418910509
4.715,-0.140410041970839,0.192820561731553
4.7325,-0.129633494975118,0.194636393420432
4.75,-0.119982446289468,0.196199272587609
4.7675,-0.111214734208455,0.198420000405773
4.785,-0.102513902240277,0.201262440836492
4.8025,-0.0933310262191192,0.204666154599443
4.82,-0.0831993647182895,0.208334036455483
4.8375,-0.0718241360105009,0.21178876288525
4.855,-0.0591410790510797,0.214460765429508
4.8725,-0.0453336015941133,0.215792285240945
4.89,-0.0308054529431593,0.215339117719687
4.9075,-0.0161136881481405,0.21285186228114
4.925,-0.0018738571609066,0.208321934416167
4.9425,0.0113454576356301,0.201983778882452
4.96,0.0231194400762632,0.194272617580309
4.9775,0.0332371794350577,0.185745274744144
4.995,0.0417318612508626,0.176978620166487
5.0125,0.0488650366711308,0.168464595478735
5.03,0.0550676095549055,0.160521715331859
5.0475,0.0608484742493529,0.153240083638656
5.065,0.0666881018165996,0.146470781231011
5.0825,0.0729375235497459,0.139862079030924
5.1,0.0797424064286856,0.132935893180746
5.1175,0.0870073146271929,0.125189976976713
5.135,0.0944076232771779,0.116206114094038
5.1525,0.101447331192138,0.105743118696816
5.17,0.107551988356388,0.0937961193139518
5.1875,0.112178890420443,0.0806099554978456
5.205,0.114923020084554,0.066643365879102
5.2225,0.115597715578425,0.0524902964905642
5.24,0.114273693553479,0.0387732254741276
5.2575,0.111268006436232,0.026029181155098
5.275,0.107084268077563,0.0146109391209234
5.2925,0.102315152553507,0.00462329218128873
5.31,0.0975258569998538,-0.00409227916313489
5.3275,0.0931413705145827,-0.011920537125473
5.345,0.0893601180774454,-0.0193893343204889
5.3625,0.0861118083104344,-0.0270559888770674
5.38,0.0830689375040566,-0.0353852166863153
5.3975,0.079710952861197,-0.04464286185598
5.415,0.0754295648757697,-0.0548271275067799
5.4325,0.0696551979715566,-0.0656520968711256
5.45,0.0619798175059112,-0.0765882986246465
5.4675,0.0522514175268184,-0.0869538132551214
5.485,0.0406204262509024,-0.0960391412286569
5.5025,0.0275273391411373,-0.103241834311073
5.52,0.0136323368742837,-0.10818426035527
5.5375,-0.000300731390399498,-0.110790492380302
5.555,-0.0135441446955439,-0.111305815410856
5.5725,-0.0255426728554911,-0.110253365691536
5.59,-0.0360192428623677,-0.108334840238778
5.6075,-0.0450280682956019,-0.106293575936661
5.625,-0.052943343889742,-0.104766275846896
5.6425,-0.0603956337396086,-0.104492404831251
5.66,-0.0683884993218226,-0.105137156393048
5.6775,-0.0775461477597964,-0.106269303352808
5.695,-0.0882338897166867,-0.107218575172082
5.7125,-0.100483084571813,-0.107212449134782
5.73,-0.113982596076,-0.105530122296091
5.7475,-0.128136811711565,-0.101643398577834
5.765,-0.142177328741691,-0.0953175475842316
5.7825,-0.155305335671145,-0.0866536996703394
5.8,-0.166836428343322,-0.0760662047883716
5.8175,-0.176319987464006,-0.0642011538901683
5.835,-0.183611036175793,-0.0518133974826766
5.8525,-0.188882353668472,-0.0396267753012676
5.87,-0.192576455182807,-0.0282046077809935
5.8875,-0.195308477998814,-0.0178545620138878
5.905,-0.197739854253953,-0.00858460620078544
5.9225,-0.200447344399443,-0.000116544646343177
5.94,-0.203811880768436,0.00804733365797357
5.9575,-0.20794702207402,0.016518560023327
5.975,-0.212678773293146,0.0258983537024481
5.9925,-0.217578760839806,0.0366581349269522
6.01,-0.222043139298265,0.04904598260153
6.0275,-0.225401839355147,0.0630348877317622
6.045,-0.227038079527859,0.0783207324540283
6.0625,-0.226497054527567,0.0943690497204774
6.08,-0.223354982140794,0.110528242813796
6.0975,-0.217902753595116,0.125884706778055
6.115,-0.210576128079495,0.139840128733457
6.1325,-0.201993198155025,0.152029205947443
6.15,-0.192840805506508,0.162368735377846
6.1675,-0.18375285848648,0.171055754764836
6.185,-0.175201714627381,0.178516688831477
6.2025,-0.167420895469651,0.185317574307513
6.22,-0.1603716647314,0.192051637182835
6.2375,-0.153758420586203,0.199223896225541
6.255,-0.147089648513575,0.207152633033906
6.2725,-0.139773624499957,0.215904544428342
6.29,-0.131232304684736,0.225274681755913
6.3075,-0.121013773445128,0.234814775812655
6.325,-0.108883743375799,0.243905409099327
6.3425,-0.0948799336738673,0.251860008598787
6.36,-0.0793192323243586,0.258043008075556
6.3775,-0.062755458801115,0.261981736864889
6.395,-0.0458940415153478,0.263452187512489
6.4125,-0.0294776058729966,0.262522825267555
6.43,-0.0141619958908665,0.259547487294866
6.4475,-0.000404579339717829,0.255107120005856
6.465,0.0116147384243582,0.249909187759836
6.4825,0.0220244699796387,0.244661475433461
6.5,0.0312372012902054,0.239942242648988
6.5175,0.0398487244960139,0.236424015579494
6.535,0.0488660684861921,0.233767606638715
6.5525,0.0588934009258551,0.231516506194096
6.57,0.0702682699995904,0.228982467879472
6.5875,0.0829870785106483,0.225381518509847
6.605,0.0966951648832246,0.219989178232186
6.6225,0.110743867098668,0.21228574056392
6.64,0.124304335875412,0.20206400096765
6.6575,0.136516992800874,0.189478614266874
6.675,0.146648505636175,0.175027114329489
6.6925,0.154226391925379,0.159465541762162
6.71,0.159125291838827,0.143674154187003
6.7275,0.161587905890092,0.128498423607239
6.745,0.162175921497645,0.1145955426617
6.7625,0.161659623317058,0.102315938011197
6.78,0.160866732700852,0.0916428964253089
6.7975,0.160519054611342,0.0822025186935611
6.815,0.161088146667619,0.0733428802378632
6.8325,0.162697916109557,0.0642680342285727
6.85,0.165093389224892,0.0542018777969874
6.8675,0.167682505642762,0.0425509542992466
6.885,0.169644005040863,0.0290351363857695
6.9025,0.170081898743284,0.0137608718116398
6.92,0.168198025408951,-0.00277778707581506
6.9375,0.163450470541896,-0.0197717715958646
6.955,0.155244737741566,-0.0360577671634855
6.9725,0.1444651269104,-0.0504928907545988
6.99,0.131914649525978,-0.062415790436422
7.0075,0.118574395026724,-0.0715541133782591
7.025,0.10542335026586,-0.0780574495234676
7.0425,0.0932631494152222,-0.082451840875099
7.06,0.0825797701840219,-0.0855259248421834
7.0775,0.0734667912532321,-0.0881709466682555
7.095,0.0656232023300477,-0.0912047844411194
7.1125,0.0584250644580339,-0.0952125048729345
7.13,0.0510569947082505,-0.100432522399607
7.1475,0.0426788098951374,-0.106708883438721
7.165,0.0325965118558928,-0.113518108748977
7.1825,0.0204061452869211,-0.120065535098091
7.2,0.0060839802426488,-0.125433549501834
