"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.195898189755393,-0.161375183507426
3.0175,-0.203945911145113,-0.148521106266694
3.035,-0.211848408595577,-0.134893054728135
3.0525,-0.219314237081528,-0.120128512900154
3.07,-0.225883359076273,-0.104030146068774
3.0875,-0.231017507390216,-0.0866259395103111
3.105,-0.234207755080493,-0.0681828914506729
3.1225,-0.235076712157642,-0.0491717358259398
3.14,-0.233454261464517,-0.0301905610488418
3.1575,-0.229411722272542,-0.01186363620333
3.175,-0.223248326608947,0.0052635112636243
3.1925,-0.215433853037667,0.020811559635697
3.21,-0.206520036439643,0.0346204158058935
3.2275,-0.197035251241898,0.046723172664907
3.245,-0.187442218324488,0.0573862875362647
3.2625,-0.177986563338122,0.0670580105674737
3.28,-0.168667300165695,0.0761752414194707
3.2975,-0.159274252071446,0.0850925793170073
3.315,-0.149448334132238,0.0940002923207836
3.3325,-0.138769909686174,0.102876825901347
3.35,-0.12685769842053,0.111483646799248
3.3675,-0.113459548476088,0.119402122365012
3.385,-0.0985186381315257,0.126104541076613
3.4025,-0.0822037188176052,0.131045589615757
3.42,-0.0648987916961445,0.133757505525361
3.4375,-0.0471548502767872,0.133932083695451
3.455,-0.0295354167310284,0.131332317094013
3.4725,-0.012886475264579,0.126200835894226
3.49,0.00223878140827851,0.118974934498746
3.5075,0.0155035332265487,0.110246317407848
3.525,0.0268281260590739,0.100657699552772
3.5425,0.0363843401411429,0.0907924999371344
3.56,0.0445446225533276,0.0810772862346442
3.5775,0.0517955499889105,0.0717142499292556
3.595,0.0586309370819724,0.0626557577875434
3.6125,0.065443574087613,0.0536258115091833
3.63,0.0724350204032797,0.044185201566455
3.6475,0.0795601144004567,0.0338295185281825
3.665,0.0866159952195196,0.0220294801882499
3.6825,0.0929669689518762,0.00838441676927588
3.7,0.0977687655679312,-0.00702403634904572
3.7175,0.100346618886053,-0.0238265245073002
3.735,0.100206655063726,-0.0413859018403986
3.7525,0.0971364034839017,-0.0588955762404919
3.77,0.09125479426463,-0.0755126091169587
3.7875,0.0830009271361248,-0.0905011810195199
3.805,0.0730621070120687,-0.103359325020246
3.8225,0.0622532392990634,-0.113904093467711
3.84,0.0513695007483762,-0.122297435035784
3.8575,0.0410402416801956,-0.129005952185147
3.875,0.0316128993803063,-0.13470047746263
3.8925,0.0233456478470333,-0.1403805940183
3.91,0.0153831259492703,-0.146577461245277
3.9275,0.00706305621174257,-0.153506987633269
3.945,-0.0023033680636892,-0.161040479789373
3.9625,-0.0132769379190443,-0.168730612556447
3.98,-0.026163638634502,-0.17590173850195
3.9975,-0.0409407064925682,-0.181785680326147
4.015,-0.0572497107391807,-0.185675106868408
4.0325,-0.074457053823959,-0.187063363471456
4.05,-0.0917685692085466,-0.185742884484086
4.0675,-0.108374180559123,-0.181843295647049
4.085,-0.123593098020618,-0.175802990972608
4.1025,-0.136990787302241,-0.168281541406202
4.12,-0.148445561527759,-0.160031856570821
4.1375,-0.158153453011726,-0.151758244976431
4.155,-0.166572545249065,-0.143988150755412
4.1725,-0.174319515106562,-0.136981425456485
4.19,-0.182039510171005,-0.13069273161546
4.2075,-0.190274310214315,-0.124792059766789
4.225,-0.199352711745167,-0.118737607108547
4.2425,-0.20932192655238,-0.111886379049886
4.26,-0.21993086180987,-0.10362216438155
4.2775,-0.230667074400781,-0.093478554800592
4.295,-0.240840480834024,-0.0812362825210935
4.3125,-0.249699726597881,-0.0669787024850176
4.33,-0.256198911462705,-0.0509667525223655
4.3475,-0.260165694698056,-0.034294193235722
4.365,-0.261592061925581,-0.0177587142620522
4.3825,-0.26077782415543,-0.00208677294099181
4.4,-0.258274533211827,0.0121843668736782
4.4175,-0.254786327873044,0.0247925706376563
4.435,-0.251043375976116,0.0357897041083901
4.4525,-0.247668782553435,0.0455253197329779
4.47,-0.245062184202239,0.0545759037586535
4.4875,-0.243321868672216,0.0636300854358658
4.505,-0.242221769470207,0.0733490205731633
4.5225,-0.241250501172215,0.0842272666060541
4.54,-0.239708054498458,0.0964812093308309
4.5575,-0.236843987865841,0.109988520353871
4.575,-0.232011461564566,0.12429334628368
4.5925,-0.224806602525067,0.138679326750228
4.61,-0.215163986555411,0.152298550776137
4.6275,-0.203386702218317,0.164332210658902
4.645,-0.190102246409672,0.174150895008599
4.6625,-0.176150828880147,0.181441213420165
4.68,-0.162427214357064,0.186271378315152
4.6975,-0.149707713679744,0.189080450366509
4.715,-0.138497880414839,0.190591685541153
4.7325,-0.128932847591118,0.191666402910432
4.75,-0.120751728882468,0.193127510591609
4.7675,-0.113260672330465,0.196057827161773
4.785,-0.105363445174277,0.200099174771492
4.8025,-0.0963466172611192,0.204916323552443
4.82,-0.0857254279302895,0.209896430652483
4.8375,-0.0733335292955009,0.21427833038825
4.855,-0.0593477533720797,0.217303582251508
4.8725,-0.0442469559871133,0.218359487844945
4.89,-0.0287164671511593,0.217087742968687
4.9075,-0.0135190452307405,0.21344051766714
4.925,0.000641967818093401,0.207676616850167
4.9425,0.0132418125276301,0.200301743017452
4.96,0.0240150660502632,0.191966698766209
4.9775,0.0329853023050577,0.183344068184144
4.995,0.0404407005468626,0.175006626970487
5.0125,0.0468623064780308,0.167329301505735
5.03,0.0528196785762055,0.160431431103859
5.0475,0.0588538406453529,0.154168399655657
5.065,0.0653690936645996,0.148172739521011
5.0825,0.0725531548517459,0.141936058075224
5.1,0.0803396927286856,0.134916024571745
5.1175,0.0884195311211929,0.126648357360713
5.135,0.0962979191976079,0.116843011154038
5.1525,0.103386841711338,0.105446749836816
5.17,0.109114881112388,0.0926605316089518
5.1875,0.113033855459443,0.0789085575728456
5.205,0.114902018781554,0.064764924331402
5.2225,0.114727995752425,0.0508518746125642
5.24,0.112767063332479,0.0377290982261276
5.2575,0.109470499655132,0.025795302127098
5.275,0.105397742952563,0.0152209520739234
5.2925,0.101108274850507,0.00592510575628873
5.31,0.0970540478828538,-0.00239923650913489
5.3275,0.0934931491715827,-0.010216179412373
5.345,0.0904412704064455,-0.0180476557084889
5.3625,0.0876702706284344,-0.0263628636170674
5.38,0.0847541159208566,-0.0354775367353153
5.3975,0.081153507526197,-0.04548221798098
5.415,0.0763232657857697,-0.0562131761117799
5.4325,0.0698223424165566,-0.0672715901171256
5.45,0.0614058974539112,-0.0780876639634465
5.4675,0.0510821982978184,-0.0880180713991214
5.485,0.0391235046059024,-0.0964590323586569
5.5025,0.0260284079508373,-0.102954423271073
5.52,0.0124418282682837,-0.10727907846427
5.5375,-0.000953470386399498,-0.109481682007302
5.555,-0.0135546886945439,-0.109878645988856
5.5725,-0.0249449417154911,-0.108998955322936
5.59,-0.0349677830833677,-0.107488710525778
5.6075,-0.0437558064396019,-0.105991553029661
5.625,-0.051706596291642,-0.105026013782896
5.6425,-0.0594429135136086,-0.105209364611251
5.66,-0.0678581670218226,-0.106129290885048
5.6775,-0.0774827605547964,-0.107329111581808
5.695,-0.0885941299786867,-0.108154203386483
5.7125,-0.101156717615813,-0.107878999333782
5.73,-0.114821656998,-0.105847167667091
5.7475,-0.128986066761365,-0.101598263016834
5.765,-0.142900385762691,-0.0949567120052316
5.7825,-0.155802908120145,-0.0860663134693394
5.8,-0.167055493237322,-0.0753640844003716
5.8175,-0.176254408609006,-0.0634991266483683
5.835,-0.183295412103793,-0.0512128135306766
5.8525,-0.188381403188472,-0.0392038420592676
5.87,-0.191972323678807,-0.0280041415499935
5.8875,-0.194688108874814,-0.0178888913698878
5.905,-0.197184137448953,-0.00883670246378544
5.9225,-0.200023170723443,-0.000545988904343177
5.94,-0.203567516153436,0.00749716825477357
5.9575,-0.20791043601602,0.015913641735327
5.975,-0.212857869976146,0.0253084934604481
5.9925,-0.217962102473806,0.0361530783829522
6.01,-0.222599937483265,0.04869234200153
6.0275,-0.226080800536147,0.0628924004977622
6.045,-0.227765959801859,0.0784361859160283
6.0625,-0.227179078298567,0.0947669566244774
6.08,-0.223858373483794,0.111189743052796
6.0975,-0.218118682208116,0.126737587153055
6.115,-0.210423179561495,0.140761833539457
6.1325,-0.201443540210825,0.152857419853443
6.15,-0.191941578008508,0.162926602362846
6.1675,-0.18263441659348,0.171188957467836
6.185,-0.174066279244381,0.178134885295177
6.2025,-0.166509676869651,0.184429360181513
6.22,-0.1599146296124,0.190781626682835
6.2375,-0.153916903274203,0.197803373289541
6.255,-0.147906064668575,0.205881205822906
6.2725,-0.141143070486957,0.215088009733342
6.29,-0.132907127553736,0.225151801193913
6.3075,-0.122644776048128,0.235490624062455
6.325,-0.110092224356799,0.245309596035327
6.3425,-0.0953457309548673,0.253743692360787
6.36,-0.0788639605123586,0.260019888579556
6.3775,-0.0613992036702109,0.263607158056889
6.395,-0.0438686325283478,0.264323944377489
6.4125,-0.0271893836009966,0.262380220132555
6.43,-0.0121094242688665,0.258343804670866
6.4475,0.000932068709282171,0.253035748017856
6.465,0.0118862952123582,0.247374128095836
6.4825,0.0211010921716386,0.242196424700461
6.5,0.0292495348897054,0.238095364055988
6.5175,0.0372465944760139,0.235690502281494
6.535,0.0462261565041922,0.234300301502715
6.5525,0.0567953572478551,0.233187922127096
6.57,0.0691665538065904,0.231416645087472
6.5875,0.0831130559726483,0.228040484981847
6.605,0.0980105729022246,0.222293180593186
6.6225,0.112954343798068,0.21373952652292
6.64,0.126927899261412,0.20236125832765
6.6575,0.138990455900874,0.188562849860874
6.675,0.148447488123175,0.173097915131689
6.6925,0.154973149446379,0.156931497811162
6.71,0.158662831912827,0.141064799251003
6.7275,0.160007274038092,0.126355038015239
6.745,0.159793824834845,0.1133633548377
6.7625,0.158953313259058,0.102258210048197
