"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.197422072998393,-0.161879125814526
3.0175,-0.205571591635113,-0.148273933235694
3.035,-0.213216950984577,-0.133912160289135
3.0525,-0.220106144112528,-0.118598055507154
3.07,-0.225893735647673,-0.102267528943774
3.0875,-0.230208302161216,-0.0850157275693111
3.105,-0.232723801761493,-0.0670923120136729
3.1225,-0.233220458491642,-0.0488667731679398
3.14,-0.231623642171517,-0.0307720628748418
3.1575,-0.228014310014542,-0.01323867724833
3.175,-0.222610630703947,0.0033675426906243
3.1925,-0.215726097979567,0.018792266099697
3.21,-0.207713613791643,0.0329163890308935
3.2275,-0.198898147984898,0.045734410603907
3.245,-0.189569516137488,0.0573612655988647
3.2625,-0.179908039978122,0.0680178072664738
3.28,-0.169952484349695,0.0779240502244707
3.2975,-0.159626650498446,0.0872587387980073
3.315,-0.148771056330538,0.0961154512137836
3.3325,-0.137188664258174,0.104476289489347
3.35,-0.12469622410353,0.112206532477248
3.3675,-0.111172606805088,0.119070049004512
3.385,-0.0965966318305257,0.124762132526013
3.4025,-0.0810689567736052,0.128954112720757
3.42,-0.0648151684871445,0.131342793225361
3.4375,-0.0481698991309872,0.131697451011451
3.455,-0.0314682644900284,0.129810032869013
3.4725,-0.015312412830579,0.125732979475226
3.49,-0.000145910758721487,0.119674348749546
3.5075,0.0136891046775487,0.111971547944048
3.525,0.0259936072040739,0.103042094814772
3.5425,0.0367309083051429,0.0933213895531344
3.56,0.0460196884268276,0.0831970954386442
3.5775,0.0541009636939105,0.0729507292702556
3.595,0.0612832791899724,0.0627165720635434
3.6125,0.067874301749613,0.0524659043845833
3.63,0.0741099455372797,0.042020947257655
3.6475,0.0800935751054567,0.0310981228091825
3.665,0.0858428762915196,0.0193419239822499
3.6825,0.0910503132733762,0.00637245410127588
3.7,0.0951513378669312,-0.00791704430704572
3.7175,0.0976215756850535,-0.0234097484413002
3.735,0.0979860913027256,-0.0397603177761986
3.7525,0.0959169776229017,-0.0564295602713919
3.77,0.0913093471156299,-0.0727595892229587
3.7875,0.0843193106951248,-0.0880773823245199
3.805,0.0753538776992687,-0.101808117040246
3.8225,0.0650116229390634,-0.113576337495711
3.84,0.0539828387073762,-0.123273895569784
3.8575,0.0429267476791956,-0.131078893513082
3.875,0.0323492517593063,-0.13741880398563
3.8925,0.0227758544220333,-0.1430383915393
3.91,0.0137166245932703,-0.148605176220277
3.9275,0.00473307356944257,-0.154506464779269
3.945,-0.0047465004246892,-0.160861368910373
3.9625,-0.0152924887740443,-0.167488837663447
3.98,-0.027338471023502,-0.17393850869405
3.9975,-0.0410727311175682,-0.179578797620147
4.015,-0.0563796454501807,-0.183724679980408
4.0325,-0.072843770486359,-0.185779094822456
4.05,-0.0898165654202466,-0.185358692281086
4.0675,-0.106532605810123,-0.182377539603049
4.085,-0.122251647622618,-0.177070877247608
4.1025,-0.136397248751241,-0.169953359996502
4.12,-0.148663101160759,-0.161719857394821
4.1375,-0.159064735041726,-0.153108948826431
4.155,-0.167925495911065,-0.144757170060412
4.1725,-0.175799320705562,-0.137074156614485
4.19,-0.183345989042005,-0.13016462531846
4.2075,-0.191184439059315,-0.123813512580789
4.225,-0.199754339498167,-0.117537563101747
4.2425,-0.20921445272038,-0.110692961725886
4.26,-0.21939877734787,-0.10261707468255
4.2775,-0.229839620977481,-0.092775388256592
4.295,-0.239853095464024,-0.0808837062610935
4.3125,-0.248669867635881,-0.0669807476020176
4.33,-0.255266326079705,-0.0512940888173655
4.3475,-0.259401524841056,-0.034898169319122
4.365,-0.261062930940581,-0.0185910122400522
4.3825,-0.26055613750943,-0.00308490905299181
4.4,-0.258431492720927,0.0111170243366782
4.4175,-0.255367236229044,0.0237986935256563
