"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201485421198293,-0.161863665126626
3.0175,-0.209221488861613,-0.146527781228194
3.035,-0.215762199853677,-0.130776150918635
3.0525,-0.221059704973528,-0.114671777421634
3.07,-0.225064396940573,-0.0983047454047044
3.0875,-0.227743953900216,-0.0817875223016211
3.105,-0.229093386890193,-0.0652391479017729
3.1225,-0.229131252086642,-0.0487675097917398
3.14,-0.227884621479087,-0.0324596711326418
3.1575,-0.225371438089882,-0.01638584034633
3.175,-0.221590444768947,-0.000615279500075704
3.1925,-0.216525152075967,0.014764045662097
3.21,-0.210161164213443,0.0296326387451995
3.2275,-0.202506368342298,0.043842462940007
3.245,-0.193613988865188,0.0572258108986647
3.2625,-0.183591750284752,0.0696295225616737
3.28,-0.172578239722395,0.0809403334875707
3.2975,-0.160720545506446,0.0910897141360073
3.315,-0.148151967402038,0.100045616455304
3.3325,-0.134980751569574,0.107793832497547
3.35,-0.12129298062743,0.114318648485748
3.3675,-0.107165736695488,0.119591593320412
3.385,-0.0926822930566257,0.123571924359213
3.4025,-0.0779414162482052,0.126216068536557
3.42,-0.0630573170800445,0.127489038824261
3.4375,-0.0481526302335872,0.127370974127931
3.455,-0.0333443125180284,0.125864680862563
3.4725,-0.018753034194179,0.122956760344826
3.49,-0.00450885949012149,0.118647632816646
3.5075,0.0092437140622487,0.112947387125048
3.525,0.0223438900264739,0.105888014360072
3.5425,0.0346227020805429,0.0975369227630344
3.56,0.0459204132466276,0.0880038950582742
3.5775,0.0561068894182105,0.0774359352232556
3.595,0.0650960970579724,0.0660001451226434
3.6125,0.072847946923513,0.0538608596404833
3.63,0.0793564808169797,0.041160422670155
3.6475,0.0846298861680567,0.0280114023684825
3.665,0.0886752256130196,0.0145083032323499
3.6825,0.0914869195191762,0.000725060829815882
3.7,0.0930362666000312,-0.0132610856664457
3.7175,0.0932958384639535,-0.0273484754959002
3.735,0.0922507750093356,-0.0414214331548986
3.7525,0.0899039124998017,-0.0553597719978919
3.77,0.0862723601632299,-0.0690470450856587
3.7875,0.0813799768426248,-0.0823717122797199
3.805,0.0752530681274687,-0.0952206529895399
3.8225,0.0679248139199634,-0.107470265219111
3.84,0.0594483381428762,-0.118983257280584
3.8575,0.0499120615593056,-0.129617219818782
3.875,0.0394477080576063,-0.13924492041653
3.8925,0.0282427420377333,-0.1477577757767
3.91,0.0164747875817703,-0.155170591754377
3.9275,0.00428685661914257,-0.161521121523469
3.945,-0.0082276769395892,-0.166873177576473
3.9625,-0.0210280452943443,-0.171284315853647
3.98,-0.034109372303402,-0.17477780788005
3.9975,-0.0474728270705682,-0.177330100464847
4.015,-0.0610947646175807,-0.178878441709008
4.0325,-0.074907124003559,-0.179344825948156
4.05,-0.0887961313180466,-0.178665827099786
4.0675,-0.102618330231823,-0.176816171157449
4.085,-0.116225916798418,-0.173817567220908
4.1025,-0.129490410981041,-0.169731348087902
4.12,-0.142315856222459,-0.164640397396121
4.1375,-0.154638526941226,-0.158629502718823
4.155,-0.166416475542965,-0.151772329237012
4.1725,-0.177616117303462,-0.144128642621485
4.19,-0.188202897117805,-0.13574986292106
4.2075,-0.198139511759918,-0.126687344730189
4.225,-0.207390422284767,-0.116997549952147
4.2425,-0.21592807505418,-0.106741164837986
4.26,-0.22373592026687,-0.0959772901707502
4.2775,-0.230805785752681,-0.084756759531882
4.295,-0.237130754645424,-0.0731189418215935
4.3125,-0.242697288360081,-0.0610941776378176
4.33,-0.247485315846105,-0.0486950771452655
4.3475,-0.251442016723996,-0.035969667893222
4.365,-0.254525379251081,-0.0229718400176522
4.3825,-0.25669747140783,-0.00977010549149181
4.4,-0.257930317035627,0.0035546285306082
4.4175,-0.258209762045344,0.0169127561929563
4.435,-0.257537980617716,0.0302098842641901
4.4525,-0.255935626972435,0.0433511266082779
4.47,-0.253443564705749,0.0562469937448535
4.4875,-0.250122425544916,0.0688216898631658
4.505,-0.246047378273207,0.0810226982593633
4.5225,-0.241296526029215,0.0928281346443841
4.54,-0.235934288976458,0.104247144672531
4.5575,-0.229994670558141,0.115309908351671
4.575,-0.223471440315746,0.12604762801088
4.5925,-0.216321353465867,0.136467759924028
4.61,-0.208482297374311,0.146533334403037
4.6275,-0.199902169469817,0.156155383961712
4.645,-0.190569004512872,0.165203569872699
4.6625,-0.180531003913347,0.173533318174265
4.68,-0.169897945848214,0.181020923793252
4.6975,-0.158822147726944,0.187594227613609
4.715,-0.147465040156839,0.193247527289353
4.7325,-0.135961135132218,0.198035132594532
4.75,-0.124392222083068,0.202046094511409
4.7675,-0.112797940136055,0.205402182327073
4.785,-0.101103647766077,0.208134743326892
4.8025,-0.0892710545739192,0.210231435380443
4.82,-0.0772851246528895,0.211641886039083
4.8375,-0.0651681148451009,0.21229930584125
4.855,-0.0529787273466797,0.212143440841338
4.8725,-0.0407999008178133,0.211136493292845
4.89,-0.0287224457754593,0.209268053011987
4.9075,-0.0168317650636305,0.20655035735034
4.925,-0.0052018296029266,0.203008898782667
4.9425,0.00610372116753012,0.198674123824752
4.96,0.0170268322985632,0.193577879347609
4.9775,0.0275110876138577,0.187754825715374
4.995,0.0375015262955626,0.181246150930397
5.0125,0.0469483743709308,0.174101944825835
5.03,0.0558123470430055,0.166379743713659
5.0475,0.0640682443682929,0.158139146625356
5.065,0.0717044779848996,0.149434634925211
5.0825,0.0787182294213459,0.140309668862424
5.1,0.0851079569842856,0.130794477542945
5.1175,0.0908659437675929,0.120908261816743
5.135,0.0959732184466779,0.110664799531338
5.1525,0.100397941790938,0.100079521075316
5.17,0.104097072865869,0.0891762425102518
5.1875,0.107020476818843,0.0779924897065456
5.205,0.109116720869554,0.066583015789102
5.2225,0.110340178513625,0.0550212201862442
5.24,0.110659085807779,0.0433977893814276
5.2575,0.110063535503932,0.031815572355998
5.275,0.108571331386563,0.0203801520729234
5.2925,0.106228944376807,0.00918703344068873
5.31,0.103105345039154,-0.00169162612473489
5.3275,0.0992785322238827,-0.012216314527673
5.345,0.0948175639681454,-0.0223811600233689
5.3625,0.0897655259179344,-0.0322044737859674
5.38,0.0841297143168566,-0.0417104107294153
5.3975,0.077883568623767,-0.05090711270098
5.415,0.0709809259071697,-0.0597688059735799
5.4325,0.0633784803385566,-0.0682285585292256
5.45,0.0550589247994112,-0.0761848024316765
5.4675,0.0460467134203184,-0.0835196551703214
5.485,0.0364110824302024,-0.0901226533459569
5.5025,0.0262558149067173,-0.0959116529919727
5.52,0.0157001541732837,-0.10084414167877
5.5375,0.0048581521327005,-0.104916323378202
5.555,-0.00617656163844388,-0.108152177021056
5.5725,-0.0173367351250911,-0.110588089701036
5.59,-0.0285786331390677,-0.112259237928978
5.6075,-0.0398742135394019,-0.113191671319061
5.625,-0.051203154293372,-0.113400431874796
5.6425,-0.0625522997192086,-0.112910845175851
5.66,-0.0739150930999226,-0.111693727936948
5.6775,-0.0852698064276964,-0.109729372901508
5.695,-0.0965870251467867,-0.106988038882653
5.7125,-0.107822030711313,-0.103431336647082
5.73,-0.1189070367757,-0.0990198104110912
5.7475,-0.129748473045874,-0.0937263425001344
5.765,-0.140233242257291,-0.0875510362806316
5.7825,-0.150243977570145,-0.0805311009015394
5.8,-0.159678753992122,-0.0727403837994416
5.8175,-0.168467896635306,-0.0642772671382683
5.835,-0.176581096069093,-0.0552447508269766
5.8525,-0.184021892729472,-0.0457301466920676
5.87,-0.190811934054407,-0.0357920604825935
5.8875,-0.196971651504114,-0.0254590650357878
5.905,-0.202505097999053,-0.0147392706524854
5.9225,-0.207394171080043,-0.00363543685010118
5.94,-0.211602686806736,0.00784145830747357
5.9575,-0.21508622978802,0.019665459011827
5.975,-0.217801663302846,0.0317967143617481
5.9925,-0.219711546587466,0.0441871218739522
6.01,-0.220782554821665,0.05678517260573
6.0275,-0.220981098587347,0.0695358475758622
6.045,-0.220271355202359,0.0823751516224283
6.0625,-0.218619673984267,0.0952229756169774
6.08,-0.215991739577594,0.107977456799396
6.0975,-0.212410973969816,0.120515809996155
6.115,-0.207925897733485,0.132730764887257
6.1325,-0.202612810648425,0.144540411383043
6.15,-0.196558747964808,0.155899642045346
6.1675,-0.18984018152238,0.166799587110166
6.185,-0.182505723270181,0.177254679933377
6.2025,-0.174569488681551,0.187282268272113
6.22,-0.16601720982405,0.196882651858035
6.2375,-0.156821917140703,0.206026772374241
6.255,-0.146962537112475,0.214655030436406
6.2725,-0.136438550467957,0.222685857664442
6.29,-0.125276677329236,0.230029119812743
6.3075,-0.113529673783128,0.236598705133155
6.325,-0.101270521369999,0.242320709002027
6.3425,-0.0885860601310173,0.247136961546787
6.36,-0.0755724224837586,0.251006218170156
6.3775,-0.0623318348039109,0.253905720633189
6.395,-0.0489683894446478,0.255834010777189
6.4125,-0.0355805992631966,0.256813181379925
6.43,-0.0222509070851665,0.256887086632466
6.4475,-0.00903543007361783,0.256112751439056
6.465,0.00404092912082417,0.254545265387336
6.4825,0.0169797262549387,0.252220327417561
6.5,0.0297938659055054,0.249141144001888
6.5175,0.0425061568228139,0.245287737071744
6.535,0.0550744551689921,0.240571722085315
6.5525,0.0674154699805551,0.234934219467796
6.57,0.0794110063103904,0.228345248930472
6.5875,0.0909276941427483,0.220817720839347
6.605,0.101840132970625,0.212408056243286
6.6225,0.112049185739468,0.20320466037482
6.64,0.121489971920812,0.19331000068141
6.6575,0.130128936927874,0.182823643668574
6.675,0.137953823805175,0.171831812371789
6.6925,0.144962401992519,0.160405037343862
6.71,0.151154725262427,0.148601474678703
6.7275,0.156530430003492,0.136471466672039
6.745,0.161089134022045,0.1240597357724
6.7625,0.164830301105358,0.111404477682567
6.78,0.167749864024952,0.0985357079017089
6.7975,0.169833799260242,0.0854766147637611
6.815,0.171051940565739,0.0722504695210632
6.8325,0.171356684345957,0.0588924209137727
6.85,0.170689877665992,0.0454620244774874
6.8675,0.168997581198262,0.0320506306564466
6.885,0.166248323037463,0.0187789390695695
6.9025,0.162448027569984,0.00578378193683982
6.92,0.157645393984551,-0.00680217400701506
6.9375,0.151925009102596,-0.0188708410506646
6.955,0.145400313264566,-0.0303299707578855
6.9725,0.1381787001074,-0.0411844044120988
6.99,0.130330393996078,-0.051440308237747
7.0075,0.121895897837624,-0.0611094660044591
7.025,0.11289187725206,-0.0701934908669676
7.0425,0.103323133893162,-0.0786749779751991
7.06,0.0931954104659219,-0.0865166592452834
7.0775,0.0825248589992321,-0.0936664391001555
7.095,0.0713425921522477,-0.100064684128619
7.1125,0.0596953055780339,-0.105650692121434
7.13,0.0476442217942505,-0.110367168840807
7.1475,0.0352641483931374,-0.114163479745521
7.165,0.0226428546434928,-0.116999257721877
7.1825,0.00987943141732115,-0.118849250287591
7.2,-0.0029201213282512,-0.119708630870434
7.2175,-0.0156507856661441,-0.119596505490605
7.235,-0.0282186304611095,-0.118555058070045
7.2525,-0.0405501006286132,-0.11664305000019
7.27,-0.0525969755593158,-0.11392468631451
7.2875,-0.064334688064802,-0.110457039934379
7.305,-0.0757541162108235,-0.106280154275851
7.3225,-0.0868494704190059,-0.101413105934317
7.34,-0.0976063157111853,-0.095857074119259
7.3575,-0.107993468410424,-0.0896038888319372
7.375,-0.117960725538035,-0.0826467987559326
7.3925,-0.127448467363309,-0.0749731108778223
7.41,-0.13635990047221,-0.0666186356011168
7.4275,-0.144618379068928,-0.0576335906444337
7.445,-0.152157404970904,-0.0480860280732081
7.4625,-0.158925531900568,-0.0380572174056378
7.48,-0.164889398747991,-0.027636300278114
7.4975,-0.170035240421968,-0.0169144534762065
7.515,-0.174368707449497,-0.00597847834188121
7.5325,-0.177912286342878,0.00509588115152449
7.55,-0.18069965019184,0.0162497302795137
7.5675,-0.182767128788679,0.0274440501673073
7.585,-0.184143874166326,0.0386581612040493
7.6025,-0.184843494703936,0.0498829636215889
7.62,-0.184860177419727,0.061110175461796
7.6375,-0.184171238573836,0.0723206052496339
