"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,5.452257969E-06,-8.209748288E-05
3.014,-6.602550425E-06,-8.108930726E-05
3.028,-1.825384247E-05,-7.835921763E-05
3.042,-2.926232926E-05,-7.400077191E-05
3.056,-3.94067922E-05,-6.813988306E-05
3.07,-4.848834317E-05,-6.093166164E-05
3.084,-5.633416935E-05,-5.255671064E-05
3.098,-6.280069343E-05,-4.321695231E-05
3.112,-6.777609182E-05,-3.313107568E-05
3.126,-7.118212636E-05,-2.252970023E-05
3.14,-7.297525901E-05,-1.165035666E-05
3.154,-7.314703338E-05,-7.32388731E-07
3.168,-7.172372202E-05,9.988118673E-06
3.182,-6.876525306E-05,2.028328095E-05
3.196,-6.436344479E-05,2.993812358E-05
3.21,-5.863959052E-05,3.875496423E-05
3.224,-5.174144988E-05,4.655737843E-05
3.238,-4.383971428E-05,5.31936688E-05
3.252,-3.512402562E-05,5.853976887E-05
3.266,-2.579863598E-05,6.250152434E-05
3.28,-1.607780365E-05,6.501630834E-05
3.294,-6.181025946E-06,6.60539414E-05
3.308,3.671787641E-06,6.561690202E-05
3.322,1.326509742E-05,6.373982887E-05
3.336,2.23923676E-05,6.048833112E-05
3.35,3.086045306E-05,5.59571384E-05
3.364,3.849364527E-05,5.026763585E-05
3.378,4.513729163E-05,4.356484348E-05
3.392,5.066091242E-05,3.601391053E-05
3.406,5.496075091E-05,2.77962062E-05
3.42,5.796170522E-05,1.91050965E-05
3.434,5.961860437E-05,1.014150352E-05
3.448,5.991680613E-05,1.109347738E-06
3.462,5.887210915E-05,-7.789024143E-06
3.476,5.652998786E-05,-1.635732329E-05
3.49,5.296417336E-05,-2.440961528E-05
3.504,4.827461843E-05,-3.177433427E-05
3.518,4.258489851E-05,-3.829792705E-05
3.532,3.603911265E-05,-4.38480484E-05
3.546,2.879835986E-05,-4.831623984E-05
3.56,2.103687489E-05,-5.162003639E-05
3.574,1.293791483E-05,-5.370445924E-05
3.588,4.689493125E-06,-5.454286709E-05
3.602,-3.519940379E-06,-5.413715332E-05
3.616,-1.150577357E-05,-5.251729204E-05
3.63,-1.909136327E-05,-4.974025055E-05
3.644,-2.611193019E-05,-4.588830048E-05
3.658,-3.241813087E-05,-4.106677345E-05
3.672,-3.787922826E-05,-3.540131962E-05
3.686,-4.238579265E-05,-2.903473837E-05
3.7,-4.585187641E-05,-2.212345952E-05
3.714,-4.821661884E-05,-1.483376098E-05
3.728,-4.94452514E-05,-7.337813865E-06
3.742,-4.952948768E-05,1.903511367E-07
3.756,-4.848729743E-05,7.578861267E-06
3.77,-4.636207817E-05,1.466190998E-05
3.784,-4.322125201E-05,2.128346658E-05
3.798,-3.915432839E-05,2.730070353E-05
3.812,-3.427048564E-05,3.258706562E-05
3.826,-2.869573476E-05,3.703491454E-05
3.84,-2.256973778E-05,4.055769338E-05
3.854,-1.604236038E-05,4.309156757E-05
3.868,-9.270043479E-06,4.459651209E-05
3.882,-2.412081474E-06,4.505682782E-05
3.896,4.373104145E-06,4.448108413E-05
3.91,1.093160834E-05,4.29014982E-05
3.924,1.711751919E-05,4.037277472E-05
3.938,2.279614871E-05,3.69704422E-05
3.952,2.784694629E-05,3.278873338E-05
3.966,3.216603143E-05,2.793806719E-05
3.98,3.566829313E-05,2.25421985E-05
3.994,3.828901387E-05,1.67351082E-05
4.008,3.998498869E-05,1.065771168E-05
4.022,4.073512195E-05,4.454466119E-06
4.036,4.054049734E-05,-1.730041654E-06
4.05,3.942392924E-05,-7.754446003E-06
4.064,3.742901567E-05,-1.348381447E-05
4.078,3.461872459E-05,-1.879264783E-05
4.092,3.107355579E-05,-2.356760177E-05
4.106,2.688932994E-05,-2.77098715E-05
4.12,2.217466408E-05,-3.113718979E-05
4.134,1.704819935E-05,-3.378539932E-05
4.148,1.163565105E-05,-3.560957063E-05
4.162,6.066754204E-06,-3.6584649E-05
4.176,4.721784801E-07,-3.670562453E-05
4.19,-5.019514203E-06,-3.598723153E-05
4.204,-1.028479889E-05,-3.446319426E-05
4.218,-1.520793713E-05,-3.218504636E-05
4.232,-1.968348622E-05,-2.922056103E-05
4.246,-2.361851443E-05,-2.565183727E-05
4.26,-2.693447673E-05,-2.157309476E-05
4.274,-2.95687147E-05,-1.708823555E-05
4.288,-3.147555376E-05,-1.23082351E-05
4.302,-3.26269815E-05,-7.348427553E-06
4.316,-3.301290051E-05,-2.325751372E-06
4.33,-3.264096003E-05,2.643979335E-06
4.344,-3.153598013E-05,7.448714621E-06
4.358,-2.97389915E-05,1.198266002E-05
4.372,-2.730592253E-05,1.614856483E-05
4.386,-2.430597297E-05,1.985975883E-05
4.4,-2.081971944E-05,2.304189618E-05
4.414,-1.693700377E-05,2.563437309E-05
4.428,-1.275465859E-05,2.75913943E-05
4.442,-8.374127065E-06,2.888267261E-05
4.456,-3.899034765E-06,2.949375426E-05
4.47,5.672288764E-07,2.942597233E-05
4.484,4.923863686E-06,2.869603872E-05
4.498,9.074893777E-06,2.733529356E-05
4.512,1.293123592E-05,2.538863831E-05
4.526,1.641255792E-05,2.291318545E-05
4.54,1.944888977E-05,1.997666352E-05
4.554,2.198195715E-05,1.665562052E-05
4.568,2.396621399E-05,1.303347257E-05
4.582,2.536955878E-05,9.198446671E-06
4.596,2.617372658E-05,5.241467539E-06
4.61,2.637435695E-05,1.254038424E-06
4.624,2.598074494E-05,-2.673835593E-06
4.638,2.50152898E-05,-6.455635698E-06
4.652,2.351266235E-05,-1.001018609E-05
4.666,2.151871767E-05,-1.326334092E-05
4.68,1.908918525E-05,-1.614946801E-05
4.694,1.628817216E-05,-1.861270158E-05
4.708,1.318651861E-05,-2.06079423E-05
4.722,9.860047144E-06,-2.210158933E-05
4.736,6.387747643E-06,-2.307199577E-05
4.75,2.849940985E-06,-2.350964511E-05
4.764,-6.735371672E-07,-2.341705296E-05
4.778,-4.105092395E-06,-2.280840419E-05
4.792,-7.371030076E-06,-2.170894126E-05
4.806,-1.040308245E-05,-2.015412471E-05
4.82,-1.313977424E-05,-1.818859089E-05
4.834,-1.552760141E-05,-1.586493619E-05
