"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-7.237770519E-06,-0.0001032953418
3.014,-2.228178642E-05,-9.959025895E-05
3.028,-3.639372435E-05,-9.376780187E-05
3.042,-4.928703433E-05,-8.60196601E-05
3.056,-6.071072714E-05,-7.65744735E-05
3.07,-7.045383759E-05,-6.569166083E-05
3.084,-7.834886838E-05,-5.365476101E-05
3.098,-8.427417107E-05,-4.07644489E-05
3.112,-8.815524518E-05,-2.733138922E-05
3.126,-8.99649608E-05,-1.366909042E-05
3.14,-8.972273363E-05,-8.691557907E-08
3.154,-8.749270337E-05,1.311660166E-05
3.168,-8.338098655E-05,2.565999905E-05
3.182,-7.753209291E-05,3.728456276E-05
3.196,-7.012460984E-05,4.775933308E-05
3.21,-6.136627208E-05,5.688535014E-05
3.224,-5.148854356E-05,6.449907081E-05
3.238,-4.07408447E-05,7.047490796E-05
3.252,-2.938456215E-05,7.472686401E-05
3.266,-1.768697811E-05,7.72092514E-05
3.28,-5.915253851E-06,7.791651261E-05
3.294,5.669403502E-06,7.68821715E-05
3.308,1.681726998E-05,7.417696569E-05
3.322,2.729521896E-05,6.990622563E-05
3.336,3.689132266E-05,6.420658048E-05
3.35,4.541885702E-05,5.724208271E-05
3.364,5.271964177E-05,4.919985295E-05
3.378,5.866666389E-05,4.028535389E-05
3.392,6.316594986E-05,3.071740629E-05
3.406,6.615766907E-05,2.072306245E-05
3.42,6.761646819E-05,1.053245149E-05
3.434,6.75510523E-05,3.737081084E-07
3.448,6.600304478E-05,-9.531908894E-06
3.462,6.304517165E-05,-1.89746096E-05
3.476,5.877882965E-05,-2.776028772E-05
3.49,5.333110825E-05,-3.571427843E-05
3.504,4.685134516E-05,-4.268459258E-05
3.518,3.950730269E-05,-4.854457388E-05
3.532,3.148105716E-05,-5.319493942E-05
3.546,2.296469713E-05,-5.656517822E-05
3.56,1.415592731E-05,-5.861429657E-05
3.574,5.253673835E-06,-5.933091344E-05
3.588,-3.546216124E-06,-5.87327223E-05
3.602,-1.205509221E-05,-5.686534879E-05
3.616,-2.009535453E-05,-5.380064548E-05
3.63,-2.750396936E-05,-4.963447517E-05
3.644,-3.41355822E-05,-4.448404378E-05
3.658,-3.986517398E-05,-3.848485114E-05
3.672,-4.459021711E-05,-3.178733408E-05
3.686,-4.823229968E-05,-2.455328056E-05
3.7,-5.073819802E-05,-1.695209603E-05
3.714,-5.208038998E-05,-9.157003855E-06
3.728,-5.225701267E-05,-1.341261115E-06
3.742,-5.129128008E-05,6.325531833E-06
3.756,-4.923038655E-05,1.368095348E-05
3.77,-4.614393198E-05,2.057304586E-05
3.784,-4.212191348E-05,2.686329952E-05
3.798,-3.727233595E-05,3.242928402E-05
3.812,-3.171850056E-05,3.716687806E-05
3.826,-2.559603512E-05,4.099206256E-05
3.84,-1.904973415E-05,4.384224995E-05
3.854,-1.223027858E-05,4.567713279E-05
3.868,-5.2909058E-06,4.647904551E-05
3.882,1.615899705E-06,4.62528426E-05
3.896,8.341627134E-06,4.502530678E-05
3.91,1.474480683E-05,4.284410967E-05
3.924,2.069386421E-05,3.977635625E-05
3.938,2.606970559E-05,3.590675215E-05
3.952,3.076798811E-05,3.13354396E-05
3.966,3.470103319E-05,2.61755537E-05
3.98,3.779935106E-05,2.055055538E-05
3.994,4.001275266E-05,1.459140071E-05
4.008,4.131103392E-05,8.433608506E-06
4.022,4.168422634E-05,2.214288972E-06
4.036,4.114241708E-05,-3.930804145E-06
4.05,3.971515006E-05,-9.870137143E-06
4.064,3.745042843E-05,-1.547911767E-05
4.078,3.441334611E-05,-2.06426197E-05
4.092,3.06843835E-05,-2.525726298E-05
4.106,2.635740874E-05,-2.92334038E-05
4.12,2.153743124E-05,-3.249680027E-05
4.134,1.633815844E-05,-3.498992286E-05
4.148,1.087941038E-05,-3.667288854E-05
4.162,5.284448309E-06,-3.752400498E-05
4.176,-3.227250682E-07,-3.753991971E-05
4.19,-5.820036639E-06,-3.673537704E-05
4.204,-1.108992939E-05,-3.514259405E-05
4.218,-1.602181117E-05,-3.281027446E-05
4.232,-2.051431596E-05,-2.980228664E-05
4.246,-2.447733275E-05,-2.619603851E-05
4.26,-2.783376213E-05,-2.208058828E-05
4.274,-3.052096739E-05,-1.755453481E-05
4.288,-3.249189351E-05,-1.272373545E-05
4.302,-3.371583476E-05,-7.698902564E-06
4.316,-3.417883934E-05,-2.593131468E-06
4.33,-3.388374739E-05,2.480586308E-06
4.344,-3.284986638E-05,7.411811017E-06
4.358,-3.111229572E-05,1.209501194E-05
4.372,-2.872091965E-05,1.643178436E-05
4.386,-2.573909448E-05,2.03328804E-05
4.4,-2.224206248E-05,2.372001225E-05
4.414,-1.831513013E-05,2.652739172E-05
4.428,-1.405165333E-05,2.870297616E-05
4.442,-9.550875637E-06,3.02093975E-05
4.456,-4.915668522E-06,3.102455809E-05
4.47,-2.50223971E-07,3.114188465E-05
4.484,4.342249497E-06,3.057023916E-05
4.498,8.76177713E-06,2.933349282E-05
4.512,1.291376593E-05,2.746977677E-05
4.526,1.671100449E-05,2.503043001E-05
4.54,2.007547259E-05,2.207867152E-05
4.554,2.29399231E-05,1.868802921E-05
4.568,2.524920427E-05,1.494056353E-05
4.582,2.696129636E-05,1.092492754E-05
4.596,2.804804341E-05,6.73430845E-06
4.61,2.84955679E-05,2.464297721E-06
4.624,2.830436302E-05,-1.789261972E-06
4.638,2.748906489E-05,-5.932404864E-06
4.652,2.607791374E-05,-9.875098227E-06
4.666,2.411192042E-05,-1.353318161E-05
4.68,2.164376054E-05,-1.683014748E-05
4.694,1.873642472E-05,-1.969872558E-05
4.708,1.546165834E-05,-2.208223816E-05
4.722,1.189822874E-05,-2.393569897E-05
4.736,8.130061009E-06,-2.522663463E-05
4.75,4.244286105E-06,-2.593561414E-05
4.764,3.292463646E-07,-2.605647834E-05
4.778,-3.527496045E-06,-2.559626871E-05
4.792,-7.241102968E-06,-2.457486128E-05
4.806,-1.073131323E-05,-2.302431819E-05
4.82,-1.392416429E-05,-2.098797568E-05
4.834,-1.675354554E-05,-1.851929303E-05
4.848,-1.916255087E-05,-1.568049204E-05
4.862,-2.110460268E-05,-1.2541021E-05
4.876,-2.254432568E-05,-9.175880585E-06
4.89,-2.345815436E-05,-5.6638518E-06
4.904,-2.383466472E-05,-2.085667593E-06
4.918,-2.367462705E-05,1.47782946E-06
4.932,-2.299078304E-05,4.947501425E-06
4.946,-2.180735685E-05,8.247660504E-06
4.96,-2.015931562E-05,1.13077073E-05
4.974,-1.809140033E-05,1.406362643E-05
4.988,-1.565695302E-05,1.645930796E-05
5.002,-1.291657037E-05,1.844766766E-05
5.016,-9.936617388E-06,1.999154404E-05
