"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-7.558506535E-06,2.239400481E-05
3.014,-3.609072055E-06,2.266273501E-05
3.028,2.162120092E-07,2.227322661E-05
3.042,3.813662254E-06,2.127372517E-05
3.056,7.091927835E-06,1.972779172E-05
3.07,9.974068933E-06,1.771161327E-05
3.084,1.239909947E-05,1.531106721E-05
3.098,1.432297254E-05,1.261863961E-05
3.112,1.5719005E-05,9.730297805E-06
3.126,1.657775465E-05,6.74241424E-06
3.14,1.690637962E-05,3.748832977E-06
3.154,1.672752416E-05,8.381616185E-07
3.168,1.607778731E-05,-1.908639048E-06
3.182,1.500584148E-05,-4.420307784E-06
3.196,1.357027549E-05,-6.636931794E-06
3.21,1.183724214E-05,-8.511160053E-06
3.224,9.877992454E-06,-1.000896429E-05
3.238,7.766378996E-06,-1.110994557E-05
3.252,5.576407627E-06,-1.180719878E-05
3.266,3.379912232E-06,-1.210676039E-05
3.28,1.244419686E-06,-1.202667707E-05
3.294,-7.687366358E-07,-1.159574271E-05
3.308,-2.606006909E-06,-1.08519599E-05
3.322,-4.222882093E-06,-9.84078823E-06
3.336,-5.584794146E-06,-8.61324554E-06
3.35,-6.667647466E-06,-7.223930315E-06
3.364,-7.457982119E-06,-5.729032712E-06
3.378,-7.952781197E-06,-4.184399246E-06
3.392,-8.158945608E-06,-2.643711569E-06
3.406,-8.0924693E-06,-1.156833421E-06
3.42,-7.777356259E-06,2.316278994E-07
3.434,-7.244327233E-06,1.48350823E-06
3.448,-6.529368977E-06,2.567993893E-06
3.462,-5.672181744E-06,3.46223252E-06
3.476,-4.714581746E-06,4.151640702E-06
3.49,-3.698914464E-06,4.629912068E-06
3.504,-2.666531969E-06,4.898739259E-06
3.518,-1.65638316E-06,4.967272202E-06
3.532,-7.037600212E-07,4.851343038E-06
3.546,1.607639266E-07,4.572494665E-06
3.56,9.121747445E-07,4.156855051E-06
3.574,1.531619065E-06,3.633903012E-06
3.588,2.006754182E-06,3.035173136E-06
3.602,2.331845427E-06,2.392947768E-06
3.616,2.507617727E-06,1.738982678E-06
3.63,2.540876456E-06,1.103310153E-06
3.644,2.44392006E-06,5.13159062E-07
3.658,2.233773402E-06,-7.974009737E-09
3.672,1.931275964E-06,-4.410748275E-07
3.686,1.560062992E-06,-7.721622059E-07
3.7,1.145480152E-06,-9.926263744E-07
3.714,7.134733312E-07,-1.099349882E-06
3.728,2.894948243E-07,-1.094613693E-06
3.742,-1.025346573E-07,-9.85798584E-07
3.756,-4.411717853E-07,-7.848988995E-07
3.77,-7.082721178E-07,-5.07871835E-07
3.784,-8.896604333E-07,-1.738506523E-07
3.798,-9.756290517E-07,1.957456965E-07
3.812,-9.612498978E-07,5.78171167E-07
3.826,-8.464929934E-07,9.503424805E-07
3.84,-6.361510955E-07,1.289822981E-06
3.854,-3.395770785E-07,1.575764232E-06
3.868,2.975282206E-08,1.789771298E-06
3.882,4.548308578E-07,1.916661035E-06
3.896,9.15840494E-07,1.945087011E-06
3.91,1.390981564E-06,1.868009868E-06
3.924,1.857366216E-06,1.682997751E-06
3.938,2.29195197E-06,1.392347621E-06
3.952,2.672477339E-06,1.003024773E-06
3.966,2.978365828E-06,5.264242766E-07
3.98,3.19156559E-06,-2.203567429E-08
3.994,3.297294669E-06,-6.234727517E-07
4.008,3.284665319E-06,-1.256230857E-06
4.022,3.147165372E-06,-1.896676493E-06
4.036,2.88297976E-06,-2.520072274E-06
4.05,2.495141008E-06,-3.101496225E-06
4.064,1.991503475E-06,-3.616774125E-06
4.078,1.38454228E-06,-4.043391881E-06
4.092,6.909838601E-07,-4.361355752E-06
4.106,-6.871913014E-08,-4.553970174E-06
4.12,-8.710505661E-07,-4.608505864E-06
4.134,-1.690208619E-06,-4.516734673E-06
4.148,-2.498972027E-06,-4.275312282E-06
4.162,-3.269625422E-06,-3.885994983E-06
4.176,-3.974912287E-06,-3.355682424E-06
4.19,-4.588983239E-06,-2.696284039E-06
4.204,-5.088307469E-06,-1.924412816E-06
4.218,-5.452516415E-06,-1.060915781E-06
4.232,-5.665150994E-06,-1.302560492E-07
4.246,-5.714286845E-06,8.4023381E-07
4.26,-5.593016107E-06,1.821203062E-06
4.274,-5.299768862E-06,2.782211248E-06
4.288,-4.838462669E-06,3.692703714E-06
4.302,-4.21847415E-06,4.523002557E-06
4.316,-3.454432406E-06,5.245280775E-06
4.33,-2.565839771E-06,5.834487859E-06
4.344,-1.576531049E-06,6.269196582E-06
4.358,-5.139875392E-07,6.532343186E-06
4.372,5.914730895E-07,6.611836523E-06
4.386,1.707606028E-06,6.50101583E-06
4.4,2.801219389E-06,6.198941575E-06
4.414,3.839194488E-06,5.710509082E-06
4.428,4.789514399E-06,5.046380205E-06
4.442,5.62226847E-06,4.222734047E-06
4.456,6.310601157E-06,3.260843425E-06
4.47,6.831575207E-06,2.186489245E-06
4.484,7.166921793E-06,1.029230048E-06
4.498,7.303653663E-06,-1.784514404E-07
4.512,7.234521561E-06,-1.40209906E-06
4.526,6.958298971E-06,-2.606302488E-06
4.54,6.479885507E-06,-3.75575405E-06
4.554,5.810224826E-06,-4.816310884E-06
4.568,4.966038649E-06,-5.75603E-06
4.582,3.969384089E-06,-6.546144554E-06
4.596,2.84704691E-06,-7.161951372E-06
4.61,1.629788388E-06,-7.583582417E-06
4.624,3.514679103E-07,-7.796636341E-06
4.638,-9.519327336E-07,-7.792650503E-06
4.652,-2.243354377E-06,-7.569398583E-06
4.666,-3.485743703E-06,-7.131004218E-06
4.68,-4.643142343E-06,-6.487866577E-06
4.694,-5.681749308E-06,-5.656399452E-06
4.708,-6.570924961E-06,-4.658591071E-06
4.722,-7.284106457E-06,-3.521397174E-06
4.736,-7.7996072E-06,-2.275984926E-06
4.75,-8.101276285E-06,-9.568496968E-07
4.764,-8.178998076E-06,3.991694575E-07
4.778,-8.029016779E-06,1.753946756E-06
4.792,-7.654076075E-06,3.069168057E-06
4.806,-7.063369361E-06,4.307438368E-06
4.82,-6.272301727E-06,5.433365957E-06
4.834,-5.302070374E-06,6.414591204E-06
4.848,-4.179075538E-06,7.222729977E-06
4.862,-2.934178947E-06,7.834203837E-06
4.876,-1.601831338E-06,8.230932688E-06
4.89,-2.190943903E-07,8.400869588E-06
4.904,1.175414505E-06,8.338362023E-06
4.918,2.542623962E-06,8.044329079E-06
4.932,3.844124808E-06,7.526249311E-06
4.946,5.043268396E-06,6.797959661E-06
4.96,6.1062152E-06,5.879271268E-06
4.974,7.002903345E-06,4.795413356E-06
4.988,7.707909122E-06,3.576321343E-06
5.002,8.201174704E-06,2.255789843E-06
5.016,8.468582184E-06,8.705150968E-07
5.03,8.502357545E-06,-5.409454726E-07
5.044,8.30129313E-06,-1.939266531E-06
5.058,7.870782464E-06,-3.285469438E-06
5.072,7.222666697E-06,-4.542026128E-06
5.086,6.374897392E-06,-5.673920616E-06
