"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-5.816867181E-05,-6.265843919E-05
3.014,-6.60313138E-05,-5.224318774E-05
3.028,-7.211969806E-05,-4.093038748E-05
3.042,-7.634806734E-05,-2.901010668E-05
3.056,-7.867637111E-05,-1.677717562E-05
3.07,-7.910968859E-05,-4.524235459E-06
3.084,-7.76966326E-05,7.464928005E-06
3.098,-7.452680633E-05,1.892162208E-05
3.112,-6.972740445E-05,2.959792794E-05
3.126,-6.34590664E-05,3.927171339E-05
3.14,-5.591110296E-05,4.775088586E-05
3.154,-4.729622731E-05,5.48768148E-05
3.168,-3.784492825E-05,6.052687398E-05
3.182,-2.77996268E-05,6.461607655E-05
3.196,-1.74087568E-05,6.709779684E-05
3.21,-6.920907069E-06,6.796359474E-05
3.224,3.42084376E-06,6.724217753E-05
3.238,1.338427793E-05,6.499755311E-05
3.252,2.275296436E-05,6.132644449E-05
3.266,3.133066294E-05,5.635504989E-05
3.28,3.894512595E-05,5.023524431E-05
3.294,4.545123189E-05,4.314032767E-05
3.308,5.073340431E-05,3.526043111E-05
3.322,5.470728617E-05,2.679769618E-05
3.336,5.732065792E-05,1.796134323E-05
3.35,5.855360491E-05,8.962742896E-06
3.364,5.841795633E-05,1.060081289E-08
3.378,5.69560331E-05,-8.693641175E-06
3.392,5.423875649E-05,-1.696009238E-05
3.406,5.036318098E-05,-2.461430475E-05
3.42,4.5449526E-05,-3.150069591E-05
3.434,3.963778872E-05,-3.748544384E-05
3.448,3.308402704E-05,-4.245880749E-05
3.462,2.59564054E-05,-4.633684145E-05
3.476,1.843109824E-05,-4.906248749E-05
3.49,1.068814539E-05,-5.060603967E-05
3.504,2.907351571E-06,-5.096499377E-05
3.518,-4.735682156E-06,-5.01633045E-05
3.532,-1.207331302E-05,-4.825008593E-05
3.546,-1.894932287E-05,-4.529780147E-05
3.56,-2.522203037E-05,-4.139999897E-05
3.574,-3.076699333E-05,-3.666865421E-05
3.588,-3.547925585E-05,-3.123119256E-05
3.602,-3.927510635E-05,-2.522726265E-05
3.616,-4.209332386E-05,-1.880533905E-05
3.63,-4.38959017E-05,-1.211923177E-05
3.644,-4.466824895E-05,-5.324579915E-06
3.658,-4.4418881E-05,1.424595361E-06
3.672,-4.317862087E-05,7.979207149E-06
3.686,-4.099934256E-05,1.419822174E-05
3.7,-3.795229618E-05,1.995151996E-05
3.714,-3.412606208E-05,2.512244766E-05
3.728,-2.962418741E-05,2.961001032E-05
3.742,-2.456256384E-05,3.333067519E-05
3.756,-1.906660822E-05,3.621975377E-05
3.77,-1.326831092E-05,3.823234668E-05
3.784,-7.303216965E-06,3.934384242E-05
3.798,-1.307405087E-06,3.95499711E-05
3.812,4.585472158E-06,3.886642289E-05
3.826,1.024702671E-05,3.732805018E-05
3.84,1.555679543E-05,3.498767968E-05
3.854,2.040467118E-05,3.191456878E-05
3.868,2.469305911E-05,2.819254634E-05
3.882,2.833871925E-05,2.391788373E-05
3.896,3.12742638E-05,1.919694666E-05
3.91,3.344928519E-05,1.414368125E-05
3.924,3.483109911E-05,8.876990378E-06
3.938,3.540509464E-05,3.518057326E-06
3.952,3.517469198E-05,-1.812326357E-06
3.966,3.416091611E-05,-6.996372906E-06
3.98,3.240160253E-05,-1.192179679E-05
3.994,2.995025833E-05,-1.648414921E-05
4.008,2.687460855E-05,-2.058894262E-05
4.022,2.325486377E-05,-2.415352414E-05
4.036,1.918175002E-05,-2.710866264E-05
4.05,1.475434634E-05,-2.939982068E-05
4.064,1.007777866E-05,-3.098808939E-05
4.078,5.260820973E-06,-3.185077162E-05
4.092,4.134561022E-07,-3.198160616E-05
4.106,-4.355551746E-06,-3.13906335E-05
4.12,-8.941020931E-06,-3.010371097E-05
4.134,-1.324360336E-05,-2.816169229E-05
4.148,-1.717187584E-05,-2.561929362E-05
