"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
1,-1.49676397423658,-3.01262951782042
1.035,-2.07684170413513,3.0614554372685
1.07,-2.95314726488052,2.82873539987629
1.105,-4.27419532754782,2.57142062091645
1.14,-6.254614034417,2.29060878458006
1.175,-9.23503230871711,1.98620673769541
1.21,-13.9481187958395,1.63743143856355
1.245,-22.9762265417353,1.00997409594202
1.28,-23.102656740249,-1.24088601235267
1.315,-15.8387107363401,-1.79348958419295
1.35,-12.4698589167835,-2.0714320940363
1.385,-10.5171576822549,-2.28993909063388
1.42,-9.26941245475525,-2.48108002618609
1.455,-8.43401924848372,-2.65573217203671
1.49,-7.86421136357614,-2.81932700762812
1.525,-7.47734893954694,-2.97518221807043
1.56,-7.22325385784371,-3.12555519138338
1.595,-7.06977511337285,3.01110498054725
1.63,-6.99544230379588,2.86719603497831
1.665,-6.98541592030668,2.72494781645638
1.7,-7.02911316233015,2.58360170840495
1.735,-7.11874389250023,2.44254329839177
1.77,-7.24836727974345,2.30126614232392
1.805,-7.41325912629856,2.15934628317688
1.84,-7.6094714347984,2.0164242383712
1.875,-7.83351518353682,1.87219249700333
1.91,-8.0821253414341,1.72638736685466
1.945,-8.35208394088024,1.57878450837579
1.98,-8.6400876626588,1.42919779131527
2.015,-8.94265355739518,1.2774812508825
2.05,-9.25606160527182,1.12353391390311
2.085,-9.57633637828376,0.967307107244412
2.12,-9.89927214801908,0.808813550468128
2.155,-10.2205060227632,0.648137096087459
2.19,-10.5356415632853,0.485441484342288
2.225,-10.8404204187476,0.32097605720294
2.26,-11.1309320280917,0.155076214935539
2.295,-11.403842546324,-0.0118433071618196
2.33,-11.6566162207921,-0.17930339826015
2.365,-11.8876984672859,-0.346783448127338
2.4,-12.0966324081248,-0.513750223793327
2.435,-12.2840903012256,-0.679689472212588
2.47,-12.4518161263583,-0.844136307434427
2.505,-12.6024914617461,-1.00670070440529
2.54,-12.739549083114,-1.16708552072267
2.575,-12.8669643606627,-1.32509602216029
2.61,-12.9890530367399,-1.48064141667503
2.645,-13.110297193632,-1.63373002727761
2.68,-13.2352121265727,-1.78446029644019
2.715,-13.3682581465166,-1.93300986341753
2.75,-13.5137947393907,-2.07962466459097
2.785,-13.6760705313925,-2.2246095751402
2.82,-13.8592408330217,-2.36832169827124
2.855,-14.0674044149235,-2.51116711514991
2.89,-14.3046517645479,-2.65360178178
2.925,-14.5751175900421,-2.79613731518894
2.96,-14.8830300094341,-2.93935265855301
2.995,-15.2327467823985,-3.08391306719821
3.03,-15.6287637382623,3.05258676939821
3.065,-16.0756698297279,2.9028405803186
3.1,-16.5780026013051,2.74888479065711
3.135,-17.1399192944642,2.58927793782142
3.17,-17.7645283807744,2.42217991228804
3.205,-18.4526025469784,2.2452188131523
3.24,-19.2001949254844,2.05534745163738
3.275,-19.9944283699389,1.8487550026966
3.31,-20.8066640506352,1.62101559805616
3.345,-21.5832999262402,1.36786987845604
3.38,-22.2386961517289,1.08722103974296
3.415,-22.6631576202264,0.78242665745838
3.45,-22.7608731984189,0.464828963861037
3.485,-22.504349281401,0.15149361897687
3.52,-21.9532782206661,-0.142068069555127
3.555,-21.2153792502938,-0.40770767421539
3.59,-20.3936651073357,-0.644613168807049
3.625,-19.5610633626054,-0.856043504249214
3.66,-18.7604172347699,-1.04645620715657
3.695,-18.0134169664483,-1.22005104744683
3.73,-17.3290851783971,-1.3802988819002
3.765,-16.7095245789889,-1.52991808494986
3.8,-16.1533261367218,-1.67099692198274
3.835,-15.6574653957702,-1.80513650300739
3.87,-15.2183198429782,-1.93357366205907
3.905,-14.8321986195027,-2.05727620711703
3.94,-14.4956077332373,-2.17701368612574
