"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.05573950654,-0.2400480332
1.01,-0.06472915104,-0.2378296769
1.02,-0.07366662988,-0.2352540784
1.03,-0.08253549157,-0.2323212388
1.04,-0.09131926616,-0.2290320057
1.05,-0.1000015066,-0.2253880689
1.06,-0.1085658295,-0.2213919539
1.07,-0.1169959556,-0.2170470153
1.08,-0.1252757495,-0.2123574266
1.09,-0.1333892589,-0.2073281698
1.1,-0.141320753,-0.2019650231
1.11,-0.1490547605,-0.1962745462
1.12,-0.1565761065,-0.1902640652
1.13,-0.1638699483,-0.1839416552
1.14,-0.1709218109,-0.1773161215
1.15,-0.1777176211,-0.1703969798
1.16,-0.1842437405,-0.1631944343
1.17,-0.1904869975,-0.1557193547
1.18,-0.1964347182,-0.1479832525
1.19,-0.2020747559,-0.1399982545
1.2,-0.2073955194,-0.1317770769
1.21,-0.2123860002,-0.1233329969
1.22,-0.2170357977,-0.1146798235
1.23,-0.2213351437,-0.1058318679
1.24,-0.2252749251,-0.09680391164
1.25,-0.228846705,-0.0876111753
1.26,-0.2320427422,-0.07826928512
1.27,-0.2348560097,-0.06879423947
1.28,-0.2372802107,-0.05920237449
1.29,-0.2393097938,-0.04951032898
1.3,-0.2409399661,-0.03973500881
1.31,-0.2421667043,-0.02989355084
1.32,-0.2429867652,-0.02000328638
1.33,-0.243397693,-0.01008170431
1.34,-0.2433978263,-0.0001464139879
1.35,-0.2429863022,0.009784892085
1.36,-0.2421630593,0.01969447567
1.37,-0.2409288393,0.02956459024
1.38,-0.2392851855,0.03937751838
1.39,-0.2372344413,0.04911560903
1.4,-0.2347797456,0.05876131459
1.41,-0.2319250274,0.06829722764
1.42,-0.2286749981,0.07770611739
1.43,-0.2250351424,0.08697096566
1.44,-0.2210117077,0.09607500231
1.45,-0.2166116918,0.1050017402
1.46,-0.2118428286,0.1137350092
1.47,-0.2067135728,0.1222589902
1.48,-0.2012330831,0.130558247
1.49,-0.1954112033,0.138617759
1.5,-0.1892584427,0.1464229514
1.51,-0.1827859546,0.1539597259
1.52,-0.1760055139,0.1612144886
1.53,-0.168929493,0.1681741785
1.54,-0.1615708369,0.174826294
1.55,-0.1539430365,0.1811589179
1.56,-0.1460601017,0.1871607418
1.57,-0.1379365323,0.1928210891
1.58,-0.1295872895,0.1981299357
1.59,-0.1210277644,0.2030779309
1.6,-0.1122737478,0.2076564154
1.61,-0.1033413974,0.2118574385
1.62,-0.09424720572,0.215673774
1.63,-0.08500796629,0.2190989338
1.64,-0.07564073991,0.2221271808
1.65,-0.06616282023,0.2247535396
1.66,-0.05659169883,0.2269738059
1.67,-0.04694503006,0.2287845541
1.68,-0.03724059553,0.2301831433
1.69,-0.02749626849,0.231167722
1.7,-0.017729978,0.2317372307
1.71,-0.007959673086,0.2318914028
1.72,0.001796713042,0.2316307647
1.73,0.01152129871,0.2309566329
1.74,0.02119628931,0.2298711107
1.75,0.03080401253,0.228377083
1.76,0.04032695335,0.2264782085
1.77,0.04974778852,0.2241789121
1.78,0.05904942066,0.2214843742
1.79,0.06821501179,0.218400519
1.8,0.07722801621,0.2149340017
1.81,0.08607221273,0.2110921938
1.82,0.09473173619,0.2068831666
1.83,0.1031911081,0.2023156745
1.84,0.1114352665,0.1973991355
1.85,0.1194495948,0.1921436114
1.86,0.1272199496,0.1865597867
1.87,0.1347326877,0.1806589453
1.88,0.1419746917,0.1744529473
1.89,0.1489333947,0.1679542041
1.9,0.1555968037,0.1611756523
1.91,0.1619535217,0.1541307267
1.92,0.1679927688,0.1468333327
1.93,0.1737044014,0.1392978174
1.94,0.1790789307,0.1315389402
1.95,0.1841075397,0.1235718424
1.96,0.188782098,0.1154120162
1.97,0.1930951765,0.1070752731
1.98,0.1970400593,0.09857771206
1.99,0.200610755,0.08993568637
2,0.2038020062,0.08116577111
2.01,0.2066092973,0.07228472956
2.02,0.2090288611,0.0633094796
2.03,0.2110576836,0.05425705993
2.04,0.2126935074,0.0451445961
2.05,0.2139348335,0.03598926654
2.06,0.2147809215,0.02680826853
2.07,0.2152317884,0.01761878438
