"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.003602764564,-0.1675583787
1.01,-0.008890482083,-0.1670098643
1.02,-0.01416651019,-0.1662958901
1.03,-0.01942455111,-0.1654163294
1.04,-0.02465836126,-0.1643713593
1.05,-0.02986176402,-0.1631614497
1.06,-0.03502866137,-0.1617873512
1.07,-0.04015304464,-0.1602500835
1.08,-0.04522900425,-0.1585509235
1.09,-0.05025073848,-0.1566913934
1.1,-0.05521256132,-0.1546732489
1.11,-0.06010890943,-0.1524984674
1.12,-0.06493434822,-0.1501692359
1.13,-0.06968357706,-0.14768794
1.14,-0.07435143371,-0.1450571523
1.15,-0.07893289797,-0.1422796214
1.16,-0.08342309454,-0.1393582609
1.17,-0.08781729528,-0.1362961391
1.18,-0.09211092069,-0.1330964691
1.19,-0.09629954088,-0.1297625986
1.2,-0.1003788759,-0.1262980008
1.21,-0.1043447956,-0.1227062657
1.22,-0.108193319,-0.1189910916
1.23,-0.111920613,-0.1151562771
1.24,-0.1155229913,-0.1112057137
1.25,-0.1189969124,-0.1071433791
1.26,-0.1223389773,-0.1029733306
1.27,-0.1255459275,-0.09869969947
1.28,-0.1286146426,-0.09432668532
1.29,-0.1315421372,-0.08985855166
1.3,-0.1343255586,-0.08529962145
1.31,-0.1369621838,-0.08065427339
1.32,-0.1394494169,-0.07592693868
1.33,-0.1417847861,-0.07112209824
1.34,-0.1439659413,-0.06624428045
1.35,-0.1459906516,-0.06129805934
1.36,-0.1478568028,-0.05628805311
1.37,-0.1495623955,-0.05121892318
1.38,-0.1511055429,-0.04609537357
1.39,-0.1524844695,-0.04092215055
1.4,-0.1536975093,-0.03570404269
1.41,-0.1547431056,-0.03044588116
1.42,-0.1556198094,-0.02515254022
1.43,-0.15632628,-0.01982893797
1.44,-0.1568612843,-0.01448003722
1.45,-0.1572236981,-0.009110846494
1.46,-0.1574125063,-0.003726421095
1.47,-0.1574268049,0.001668135792
1.48,-0.1572658021,0.007067671993
1.49,-0.1569288211,0.01246698531
1.5,-0.1564153023,0.01786082259
1.51,-0.1557248066,0.02324387886
1.52,-0.1548570186,0.02861079679
1.53,-0.1538117505,0.03395616621
1.54,-0.1525889465,0.039274524
1.55,-0.1511886869,0.04456035424
1.56,-0.1496111935,0.04980808872
1.57,-0.1478568345,0.0550121078
1.58,-0.1459261301,0.06016674169
1.59,-0.1438197582,0.06526627219
1.6,-0.1415385603,0.07030493487
1.61,-0.1390835478,0.07527692173
1.62,-0.1364559079,0.08017638446
1.63,-0.1336570105,0.0849974382
1.64,-0.1306884143,0.08973416581
1.65,-0.1275518734,0.09438062279
1.66,-0.1242493435,0.09893084279
1.67,-0.1207829887,0.1033788437
1.68,-0.1171551871,0.1077186342
1.69,-0.1133685377,0.1119442214
1.7,-0.1094258654,0.1160496184
1.71,-0.1053302272,0.120028853
1.72,-0.1010849171,0.1238759768
1.73,-0.09669347152,0.1275850746
1.74,-0.09215967304,0.1311502754
1.75,-0.08748755508,0.1345657622
1.76,-0.0826814052,0.1378257842
1.77,-0.0777457681,0.1409246683
1.78,-0.07268544806,0.1438568313
1.79,-0.06750551067,0.1466167929
1.8,-0.06221128398,0.1491991886
1.81,-0.05680835883,0.1515987835
1.82,-0.05130258852,0.1538104859
1.83,-0.04570008768,0.1558293618
1.84,-0.0400072303,0.1576506489
1.85,-0.03423064695,0.1592697711
1.86,-0.02837722114,0.1606823536
1.87,-0.0224540848,0.1618842375
1.88,-0.01646861284,0.1628714945
1.89,-0.01042841685,0.1636404416
1.9,-0.0043413378,0.1641876561
1.91,0.001784562121,0.1645099899
1.92,0.00794100862,0.1646045838
1.93,0.01411952536,0.1644688819
1.94,0.02031144491,0.1641006449
1.95,0.02650792066,0.1634979636
1.96,0.03269993958,0.1626592722
1.97,0.03887833593,0.16158336
1.98,0.04503380576,0.1602693838
1.99,0.05115692231,0.158716879
2,0.05723815218,0.1569257698
2.01,0.06326787234,0.1548963793
2.02,0.06923638776,0.1526294386
2.03,0.07513394988,0.1501260945
2.04,0.08095077566,0.1473879173
2.05,0.08667706721,0.1444169065
2.06,0.0923030321,0.1412154968
2.07,0.09781890402,0.1377865618
2.08,0.103214964,0.1341334178
2.09,0.1084815621,0.1302598254
2.1,0.113609139,0.1261699908
2.11,0.1185882485,0.1218685656
2.12,0.1234095799,0.1173606453
2.13,0.1280639803,0.1126517672
