"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.06224380834,-0.222153139
1.01,-0.07077688784,-0.2197888525
1.02,-0.07925242649,-0.2170771992
1.03,-0.08765428838,-0.2140184445
1.04,-0.09596632327,-0.2106136779
1.05,-0.1041724066,-0.20686481
1.06,-0.1122564791,-0.2027745673
1.07,-0.1202025859,-0.1983464854
1.08,-0.1279949158,-0.193584901
1.09,-0.1356178388,-0.1884949418
1.1,-0.1430559444,-0.183082515
1.11,-0.1502940783,-0.1773542944
1.12,-0.1573173786,-0.1713177057
1.13,-0.1641113117,-0.1649809103
1.14,-0.1706617065,-0.1583527877
1.15,-0.1769547885,-0.1514429165
1.16,-0.1829772123,-0.1442615539
1.17,-0.1887160935,-0.1368196134
1.18,-0.1941590395,-0.1291286421
1.19,-0.1992941787,-0.1212007957
1.2,-0.204110189,-0.1130488131
1.21,-0.2085963248,-0.104685989
1.22,-0.2127424429,-0.09612614579
1.23,-0.2165390266,-0.08738360464
1.24,-0.2199772092,-0.07847315495
1.25,-0.2230487951,-0.06941002317
1.26,-0.2257462799,-0.06020984071
1.27,-0.2280628695,-0.05088861091
1.28,-0.2299924964,-0.04146267533
1.29,-0.2315298359,-0.03194867929
1.3,-0.232670319,-0.02236353679
1.31,-0.2334101456,-0.01272439487
1.32,-0.2337462941,-0.003048597516
1.33,-0.2336765307,0.006646350893
1.34,-0.2331994167,0.01634282244
1.35,-0.2323143136,0.0260231028
1.36,-0.2310213867,0.03566942853
1.37,-0.2293216076,0.04526402447
1.38,-0.2272167539,0.0547891412
1.39,-0.2247094083,0.06422709242
1.4,-0.2218029549,0.07356029215
1.41,-0.2185015746,0.08277129188
1.42,-0.2148102385,0.09184281723
1.43,-0.2107346996,0.1007578044
1.44,-0.2062814827,0.1094994362
1.45,-0.2014578732,0.1180511775
1.46,-0.1962719036,0.1263968098
1.47,-0.1907323388,0.1345204662
1.48,-0.1848486599,0.142406664
1.49,-0.1786310462,0.150040338
1.5,-0.1720903559,0.1574068723
1.51,-0.1652381055,0.164492131
1.52,-0.1580864475,0.1712824883
1.53,-0.1506481469,0.1777648571
1.54,-0.1429365563,0.1839267173
1.55,-0.1349655903,0.1897561419
1.56,-0.1267496978,0.1952418225
1.57,-0.1183038337,0.2003730934
1.58,-0.1096434298,0.2051399544
1.59,-0.100784364,0.2095330922
1.6,-0.09174292927,0.2135439003
1.61,-0.08253580102,0.2171644976
1.62,-0.07318000431,0.2203877453
1.63,-0.06369287993,0.2232072625
1.64,-0.05409204997,0.22561744
1.65,-0.04439538272,0.2276134527
1.66,-0.03462095709,0.2291912705
1.67,-0.02478702656,0.2303476671
1.68,-0.01491198277,0.2310802276
1.69,-0.005014318804,0.231387354
1.7,0.004887407772,0.2312682699
1.71,0.01477461196,0.2307230223
1.72,0.02462871849,0.2297524823
1.73,0.03443119897,0.2283583447
1.74,0.04416360892,0.2265431248
1.75,0.05380762469,0.224310154
1.76,0.06334508007,0.2216635743
1.77,0.07275800266,0.21860833
1.78,0.08202864978,0.215150159
1.79,0.09113954398,0.2112955813
1.8,0.100073508,0.2070518866
1.81,0.1088136989,0.2024271204
1.82,0.117343642,0.1974300683
1.83,0.1256472638,0.1920702386
1.84,0.1337089236,0.1863578439
1.85,0.1415134452,0.180303781
1.86,0.1490461468,0.1739196093
1.87,0.1562928707,0.1672175282
1.88,0.1632400109,0.160210353
1.89,0.1698745405,0.1529114895
1.9,0.1761840376,0.1453349073
1.91,0.1821567098,0.1374951127
1.92,0.1877814175,0.1294071192
1.93,0.1930476961,0.1210864185
1.94,0.1979457767,0.1125489491
1.95,0.2024666051,0.1038110653
1.96,0.2066018597,0.09488950433
1.97,0.2103439679,0.08580135339
1.98,0.2136861209,0.07656401571
1.99,0.2166222866,0.06719517603
2,0.2191472217,0.05771276559
2.01,0.2212564814,0.04813492656
2.02,0.2229464282,0.03847997614
2.03,0.2242142385,0.02876637028
2.04,0.2250579076,0.01901266718
2.05,0.2254762538,0.00923749058
2.06,0.2254689195,-0.0005405070394
2.07,0.225036372,-0.01030268129
2.08,0.224179902,-0.02003043266
2.09,0.22290162,-0.02970524318
2.1,0.2212044521,-0.03930871291
2.11,0.2190921333,-0.04882259613
2.12,0.2165691998,-0.05822883719
2.13,0.2136409789,-0.06750960599
2.14,0.2103135784,-0.0766473329
2.15,0.2065938734,-0.08562474321
2.16,0.2024894923,-0.09442489084
2.17,0.1980088008,-0.1030311915
2.18,0.193160885,-0.1114274549
2.19,0.1879555327,-0.1195979164
