"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.007879068752,0.05080489121
1.01,0.01200002991,0.04957166065
1.02,0.02974793193,0.04090148003
1.03,0.04271611228,0.02623356402
1.04,0.04903178618,0.007894727841
1.05,0.04787067631,-0.01127476956
1.06,0.039561741,-0.02836738908
1.07,0.02551108615,-0.04085499239
1.08,0.007961295151,-0.04696613143
1.09,-0.01037192273,-0.04593685106
1.1,-0.02672566584,-0.03809954886
1.11,-0.03871027419,-0.02480108588
1.12,-0.04465937058,-0.008168478919
1.13,-0.04385802667,0.009236307814
1.14,-0.03661860509,0.0248153086
1.15,-0.02419873939,0.03632415379
1.16,-0.008580511425,0.04219350183
1.17,0.007849738519,0.04173672221
1.18,0.02266836718,0.03521783411
1.19,0.03377122041,0.02377617816
1.2,0.03966794552,0.009225965133
1.21,0.03967373242,-0.006233584817
1.22,0.03397581191,-0.02035071226
1.23,0.02357163065,-0.03114597449
1.24,0.01009429849,-0.03718340619
1.25,-0.00444399843,-0.03775238192
1.26,-0.01795027653,-0.03293934302
1.27,-0.02854707564,-0.0235851438
1.28,-0.03482610085,-0.0111397272
1.29,-0.03602667769,0.002560945527
1.3,-0.03211845279,0.0155618207
1.31,-0.02378157242,0.02606171236
1.32,-0.01229133665,0.03265564884
1.33,0.000673627458,0.03451568616
1.34,0.01327162256,0.03148852942
1.35,0.02375340378,0.02409978013
1.36,0.03069895959,0.01346687137
1.37,0.03320487216,0.001134331355
1.38,0.03099856467,-0.01114536813
1.39,0.02446551089,-0.02165552806
1.4,0.01458687549,-0.02895081874
1.41,0.002796730853,-0.0320533398
1.42,-0.009221448525,-0.03058299211
1.43,-0.01977120956,-0.02480469988
1.44,-0.02738010056,-0.01558612035
1.45,-0.03100453976,-0.00427161045
1.46,-0.03017403174,0.007510202959
1.47,-0.02505434276,0.01807848622
1.48,-0.01642042451,0.02593926854
1.49,-0.005542595442,0.02999753807
1.5,0.005998038497,0.02971188739
1.51,0.01653855312,0.0251692289
1.52,0.02457448949,0.01706853564
1.53,0.02897645605,0.006615812475
1.54,0.02915131872,-0.004654394049
1.55,0.02512430585,-0.01510467645
1.56,0.01753005258,-0.02323425992
1.57,0.007514198591,-0.02789682366
1.58,-0.003439442317,-0.02846443507
1.59,-0.013729979,-0.02491356212
1.6,-0.02187549955,-0.01782097178
1.61,-0.02672874905,-0.008270990374
1.62,-0.02764047634,0.002311034353
1.63,-0.02454674768,0.0123732468
1.64,-0.01796831647,0.02046704042
1.65,-0.008923596494,0.02545751775
1.66,0.001230203705,0.0266836185
1.67,0.01100267867,0.02404506565
1.68,0.01899094973,0.01800478271
1.69,0.02408237261,0.009508403378
1.7,0.025609629,-0.0001651133231
1.71,0.02343653339,-0.009597824456
1.72,0.0179638569,-0.0174421558
1.73,0.01005669811,-0.02261401818
1.74,0.0009065094708,-0.02444187442
1.75,-0.008149916651,-0.02275141121
1.76,-0.01582667703,-0.01787567928
1.77,-0.02107120141,-0.01059186213
1.78,-0.0232070596,-0.00199648252
1.79,-0.02201808012,0.006660695738
1.8,-0.01776399456,0.01415870176
1.81,-0.01112806949,0.01947676194
1.82,-0.003106873248,0.02193119397
1.83,0.005139918675,0.02125987543
1.84,0.01245695249,0.01764458099
1.85,0.01785375969,0.01167063969
1.86,0.02063642798,0.004232125423
1.87,0.0204933785,-0.003602042459
1.88,0.01752535867,-0.01074104354
1.89,0.01221785497,-0.016222423
1.9,0.005362049381,-0.01933932347
1.91,-0.002062873,-0.01972837196
1.92,-0.009028634169,-0.01740794277
1.93,-0.01459849449,-0.01276361701
1.94,-0.01805073042,-0.006484830816
1.95,-0.01896916471,0.000536998162
1.96,-0.01728996082,0.007333925118
1.97,-0.01330007532,0.01299308511
1.98,-0.007589264239,0.01677690984
1.99,-0.0009635132429,0.01821656704
2,0.00566752754,0.01716727782
2.01,0.01141361384,0.0138194963
2.02,0.01552116973,0.008665823153
2.03,0.0174697065,0.00242920717
2.04,0.01703549312,-0.00403723254
2.05,0.01431509646,-0.009865114452
2.06,0.00970671466,-0.01428528321
2.07,0.003852634933,-0.01672716695
2.08,-0.002449007731,-0.01689055041
2.09,-0.008351284929,-0.01478106195
2.1,-0.01307030433,-0.01070542091
2.11,-0.01598740582,-0.005227638264
2.12,-0.01672873668,0.0009077231518
2.13,-0.01521222994,0.006875031736
2.14,-0.01165622705,0.01187683559
2.15,-0.006548887275,0.01524875143
2.16,-0.0005825108062,0.01654648868
2.17,0.005438638952,0.01560381091
2.18,0.01070504389,0.01255395186
2.19,0.01450931467,0.007811674675
2.2,0.01634025245,0.002018217688
2.21,0.01595123272,-0.004043820819
2.22,0.01339379553,-0.00955465112
2.23,0.00901177914,-0.01376692162
2.24,0.003396452662,-0.01610635715
2.25,-0.002691758785,-0.01624996336
2.26,-0.00842487137,-0.01417114223
2.27,-0.01301893313,-0.01014530673
2.28,-0.01584073875,-0.004714757136
2.29,-0.01649521053,0.00138297298
2.3,-0.01488134643,0.007314095966
2.31,-0.01120867959,0.01226180367
2.32,-0.005971421849,0.01553850424
2.33,0.0001167997262,0.01668166176
2.34,0.006219232519,0.01551980035
2.35,0.01149048865,0.01219909777
2.36,0.0151936412,0.007166279314
2.37,0.01680367509,0.001109530758
2.38,0.01608265096,-0.005134945467
2.39,0.01311565088,-0.01069814463
2.4,0.008301914765,-0.01479937329
2.41,0.002301820176,-0.01685629694
2.42,-0.004053370835,-0.01656826502
2.43,-0.009876685149,-0.01396083059
2.44,-0.01434951179,-0.009384748934
2.45,-0.016837099,-0.003469148491
2.46,-0.01697904253,0.0029648996
2.47,-0.01474175425,0.00901848418
2.48,-0.01042522354,0.01384066677
2.49,-0.004622846579,0.01674827994
2.5,0.001860235747,0.01732276098
2.51,0.008118948847,0.01547027265
2.52,0.0132746146,0.01143652598
2.53,0.01659810875,0.005774096521
2.54,0.01761259591,-0.000733304301
2.55,0.01616145622,-0.007179123367
2.56,0.01243187565,-0.01265982051
2.57,0.006930725568,-0.01640085796
2.58,0.000415941783,-0.01786539156
2.59,-0.006207274789,-0.01683060807
2.6,-0.01201129435,-0.01342106562
2.61,-0.0161748942,-0.008094231042
2.62,-0.01809845198,-0.001579882834
2.63,-0.01748960436,0.005218691714
2.64,-0.01440735246,0.0113485478
2.65,-0.00925809132,0.01593930676
2.66,-0.002743460417,0.01832573326
2.67,0.004233563556,0.01814367831
2.68,0.01069212395,0.01538571196
2.69,0.01571000339,0.01040798161
2.7,0.018554545,0.003886314863
2.71,0.01878960775,-0.003273475807
2.72,0.0163429974,-0.0100596448
2.73,0.01152386462,-0.01549634596
2.74,0.004986262101,-0.01878365021
2.75,-0.002357450917,-0.01941576695
2.76,-0.009462390066,-0.01725992073
2.77,-0.01529913748,-0.01258338277
2.78,-0.0190031605,-0.006023225568
2.79,-0.02000393969,0.001498472309
2.8,-0.01811431144,0.008903143141
2.81,-0.01356573797,0.01511031305
2.82,-0.006982771231,0.01919613017
2.83,0.0007011600323,0.0205324064
2.84,0.008375635184,0.0188849285
2.85,0.01491427368,0.01445529465
2.86,0.01934144411,0.007858629752
2.87,0.02097968091,3.906659429E-05
2.88,0.01955514307,-0.007865589212
2.89,0.01524432287,-0.01469055911
2.9,0.008653839622,-0.01941747953
2.91,0.0007352513058,-0.02132828505
2.92,-0.007353173103,-0.020115919
2.93,-0.01441744031,-0.01593445983
2.94,-0.01940598287,-0.00938031956
2.95,-0.02156797437,-0.00140666253
2.96,-0.02056759246,0.006816532092
2.97,-0.01653658336,0.01407590504
2.98,-0.01005683138,0.0192955382
2.99,-0.002075310309,0.02169782266
