"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.04359534455,0.06493463377
1.01,-0.0163264094,0.07589268656
1.02,0.01283488568,0.07597566979
1.03,0.03974756656,0.06534223654
1.04,0.06065488619,0.04565742311
1.05,0.07270580948,0.01983286944
1.06,0.07434014837,-0.008403067008
1.07,0.06548614167,-0.03504203593
1.08,0.04754634984,-0.05636242201
1.09,0.02317755827,-0.06944654228
1.1,-0.004101164558,-0.07257707306
1.11,-0.03041485952,-0.06545940593
1.12,-0.05208115187,-0.04924161468
1.13,-0.0661236573,-0.02633223544
1.14,-0.07067910438,-4.418375605E-05
1.15,-0.06524269379,0.02588299976
1.16,-0.05071949999,0.04781402726
1.17,-0.02927727272,0.06272669367
1.18,-0.004023941462,0.06862746827
1.19,0.02144247004,0.06481662646
1.2,0.04354638587,0.05196762742
1.21,0.05923653721,0.03201215629
1.22,0.06640649326,0.007849887059
1.23,0.06417576153,-0.01707339969
1.24,0.05299402954,-0.03925770891
1.25,0.03455682571,-0.05564019188
1.26,0.01154781288,-0.06401677122
1.27,-0.01275283072,-0.06333602199
1.28,-0.0349363872,-0.05382652662
1.29,-0.0519428739,-0.03694321111
1.3,-0.06148078644,-0.01514390051
1.31,-0.06233210981,0.008469209093
1.32,-0.05450276428,0.03059052531
1.33,-0.03920104987,0.0481717529
1.34,-0.01865078148,0.05883845354
1.35,0.00423171864,0.06120628157
1.36,0.0262497831,0.05505577636
1.37,0.04436978186,0.04134476167
1.38,0.05613492314,0.02205979654
1.39,0.0599939725,-7.028745721E-05
1.4,0.05550190109,-0.02195773049
1.41,0.04336735903,-0.04058285459
1.42,0.02534269302,-0.05340656677
1.43,0.003973257592,-0.05871292894
1.44,-0.01775867982,-0.05583633566
1.45,-0.03684641272,-0.04524366548
1.46,-0.05067143934,-0.02846137887
1.47,-0.05736034127,-0.007858385076
1.48,-0.05603766132,0.01368512068
1.49,-0.04694069608,0.03317728838
1.5,-0.03138089171,0.04792787976
1.51,-0.01155745601,0.05591845419
1.52,0.009750935292,0.05607860153
1.53,0.02957363485,0.04843021126
1.54,0.0451609992,0.03407995372
1.55,0.05436550471,0.01506118874
1.56,0.05593803865,-0.005952514118
1.57,0.04969821499,-0.02602211922
1.58,0.03655519816,-0.04235366241
1.59,0.01837649091,-0.05268714493
1.6,-0.002276526718,-0.05560948537
1.61,-0.02250887316,-0.05074803267
1.62,-0.0394973137,-0.03881805247
1.63,-0.05088394225,-0.02151818383
1.64,-0.05510309334,-0.001289176967
1.65,-0.05159630953,0.01902975508
1.66,-0.04088598081,0.03659856557
1.67,-0.02449812918,0.04897237147
1.68,-0.004745821059,0.05444078718
1.69,0.01559607078,0.05226375326
1.7,0.03367918986,0.04277159718
1.71,0.04697906457,0.02731596185
1.72,0.053646465,0.008078840271
1.73,0.0527641952,-0.01223353834
1.74,0.04447386772,-0.03076943402
1.75,0.0299551153,-0.04493042325
1.76,0.01126000283,-0.05273499448
1.77,-0.008974608886,-0.05309629755
1.78,-0.02789701807,-0.04597510139
1.79,-0.04284158048,-0.03238611903
1.8,-0.05170451256,-0.01425614037
1.81,-0.05324162447,0.005846859003
1.82,-0.04724551647,0.02507614862
1.83,-0.0345764057,0.04070943191
1.84,-0.01704129359,0.05053571735
1.85,0.002862205088,0.05317055937
1.86,0.02230146335,0.04825410419
1.87,0.0385132948,0.03650286415
1.88,0.04919918369,0.0196070934
1.89,0.05285414185,-1.196791357E-05
1.9,0.04898139154,-0.01955018659
1.91,0.03816156714,-0.03622361562
1.92,0.02196636512,-0.04766801981
1.93,0.00272938446,-0.05227678338
1.94,-0.01679215542,-0.04942824198
1.95,-0.03381522308,-0.03956985353
1.96,-0.04593023395,-0.02414776604
1.97,-0.05144386526,-0.005393040392
1.98,-0.04961626761,0.01400338349
1.99,-0.04075938594,0.0312790188
2,-0.02618364036,0.04399487682
2.01,-0.008002301038,0.05038039549
2.02,0.01117674937,0.04957942482
2.03,0.02862645842,0.04176334174
2.04,0.04188893324,0.02809685059
2.05,0.04912133515,0.01056319545
2.06,0.04935087154,-0.008324675477
2.07,0.04260397221,-0.02588474782
2.08,0.02989294778,-0.03964663559
2.09,0.01306366682,-0.04769847441
2.1,-0.005472774846,-0.04895157875
2.11,-0.02308544491,-0.04328651178
2.12,-0.03729670714,-0.03156120451
2.13,-0.04613036952,-0.01548126542
2.14,-0.04838608298,0.002648063675
2.15,-0.04380196188,0.0202523887
2.16,-0.03308339257,0.03485382728
2.17,-0.01779500755,0.0444199588
2.18,-0.0001321582462,0.0476468597
2.19,0.01739481452,0.04413667631
2.2,0.03231805265,0.03444542489
2.21,0.04256031751,0.01999534751
2.22,0.04672444133,0.002865504037
2.23,0.04428354705,-0.01450845563
2.24,0.03564606168,-0.02968172023
2.25,0.02208772463,-0.04054505756
2.26,0.005561890364,-0.04561797105
2.27,-0.01158335853,-0.04424940391
2.28,-0.02693991948,-0.03669890943
2.29,-0.03837814184,-0.02408864459
2.3,-0.04434132322,-0.00823502724
2.31,-0.04405560948,0.00861427137
2.32,-0.03762739441,0.02409952459
2.33,-0.02601665723,0.03607880387
2.34,-0.01089221424,0.04292245751
