"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.001419510028,-0.01248495967
1.01,-0.007313072852,-0.01047559888
1.02,-0.01165765263,-0.005899737164
1.03,-0.01342461832,0.0002705238793
1.04,-0.01212965984,0.006691201189
1.05,-0.007946902189,0.01192839908
1.06,-0.001685547357,0.01476371611
1.07,0.005367898687,0.01445949975
1.08,0.01171079073,0.01092799393
1.09,0.01593608126,0.004767711444
1.1,0.01703072984,-0.002842604465
1.11,0.01459887515,-0.01037281183
1.12,0.008962586405,-0.01624790886
1.13,0.001117519442,-0.01917075434
1.14,-0.007449875201,-0.01839543587
1.15,-0.01504876821,-0.01389504002
1.16,-0.02011786194,-0.006388314147
1.17,-0.02154055663,0.002782278088
1.18,-0.01887827001,0.01189895455
1.19,-0.01247456053,0.01919597163
1.2,-0.003407913852,0.0232024737
1.21,0.006699316664,0.02303391869
1.22,0.01598015065,0.01857487578
1.23,0.02267356242,0.01051688991
1.24,0.02545949187,0.0002430274974
1.25,0.02371428328,-0.01041983488
1.26,0.01763775987,-0.01953466674
1.27,0.008227586709,-0.02541134129
1.28,-0.002894545709,-0.02692033946
1.29,-0.01377263603,-0.02370479023
1.3,-0.02246832613,-0.01625183909
1.31,-0.02741034614,-0.005810674317
1.32,-0.02767777933,0.005827150777
1.33,-0.02316626792,0.01664448734
1.34,-0.01460816025,0.02475474005
1.35,-0.003444330178,0.02873340623
1.36,0.008428018169,0.02786642289
1.37,0.01898562002,0.0222725301
1.38,0.02642862337,0.01287988942
1.39,0.02948819742,0.001263133358
1.4,0.02763978114,-0.01062881867
1.41,0.02118694777,-0.02080564371
1.42,0.01120387078,-0.02757138216
1.43,-0.0006512554886,-0.02980618188
1.44,-0.0124179835,-0.02714766896
1.45,-0.02216161071,-0.02004362621
1.46,-0.0282920328,-0.009669835713
1.47,-0.02982105783,0.002270603318
1.48,-0.02651728513,0.01383115226
1.49,-0.01893543459,0.02314096203
1.5,-0.008317937866,0.02870687065
1.51,0.003612810767,0.02964999966
1.52,0.01493615234,0.02584034358
1.53,0.02384254748,0.0179098276
1.54,0.02892109481,0.00714394049
1.55,0.02938015471,-0.004728894153
1.56,0.02516742521,-0.01581546239
1.57,0.01697209666,-0.02435882477
1.58,0.006110294583,-0.02901491206
1.59,-0.005686946492,-0.02906176309
1.6,-0.01654913967,-0.02450947479
1.61,-0.02476178539,-0.01609459662
1.62,-0.0290356502,-0.005160660374
1.63,-0.02870808627,0.0065559115
1.64,-0.02384528354,0.01720075351
1.65,-0.01522975882,0.02509426974
1.66,-0.004235200947,0.02899630159
1.67,0.00739168078,0.02830126456
1.68,0.0178080898,0.02313302587
1.69,0.02536730094,0.01432439568
1.7,0.02887988016,0.003284194032
1.71,0.02780242677,-0.00822735246
1.72,0.02232354257,-0.01837943777
1.73,0.01333292027,-0.02556306526
1.74,0.002278077071,-0.02864816363
1.75,-0.009068618696,-0.02716393815
1.76,-0.01889531293,-0.02137308947
1.77,-0.02564235183,-0.01222757447
1.78,-0.0282529059,-0.001212827488
1.79,-0.02634161776,0.00989434182
1.8,-0.02025364681,0.01931465947
1.81,-0.01100446124,0.02555473723
1.82,-0.0001104328121,0.02764747586
1.83,0.01066158146,0.02530504236
1.84,0.01958401825,0.01895950204
1.85,0.02524960692,0.009684970874
1.86,0.02679708053,-0.0009850181828
1.87,0.02404458959,-0.01131375745
1.88,0.01750955113,-0.01964789686
1.89,0.008312939312,-0.02468622973
1.9,-0.002014502504,-0.02568618628
1.91,-0.01179033534,-0.02257454054
1.92,-0.01945863045,-0.01594547843
1.93,-0.02384147909,-0.006948470927
1.94,-0.02432235336,0.002913029656
1.95,-0.02093223917,0.01203640906
1.96,-0.01432656601,0.01898432604
1.97,-0.005659727035,0.02271433108
1.98,0.003618879539,0.02273633378
1.99,0.01201078915,0.01917388617
2,0.01821395359,0.01272227582
