"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.0004649267722,0.04107926847
1.01,0.01580270441,0.03854406677
1.02,0.02999197968,0.02969328424
1.03,0.0396998039,0.01577548437
1.04,0.04318719418,-0.001067060838
1.05,0.03970198581,-0.01812961881
1.06,0.02964268971,-0.03258784855
1.07,0.01452758511,-0.04197809811
1.08,-0.003232950309,-0.04463097988
1.09,-0.0207271282,-0.0399792841
1.1,-0.03503086406,-0.0286813975
1.11,-0.0437108149,-0.01253311903
1.12,-0.04525199299,0.005821518903
1.13,-0.03933218669,0.02333306344
1.14,-0.02689164446,0.03706690341
1.15,-0.009982721175,0.0447094918
1.16,0.008576192135,0.04497037049
1.17,0.02568251877,0.03780778132
1.18,0.03848228888,0.02443701036
1.19,0.04485956998,0.007119626817
1.2,0.04379601355,-0.01122880494
1.21,0.0355375746,-0.02754247149
1.22,0.02154040454,-0.03913088788
1.23,0.004207678357,-0.04413358571
1.24,-0.01353369926,-0.04182496644
1.25,-0.02873977419,-0.03271825616
1.26,-0.03894943506,-0.01845412763
1.27,-0.04259043509,-0.001498043283
1.28,-0.03922314402,0.01529636551
1.29,-0.02958409212,0.02917846527
1.3,-0.01542772138,0.03795967371
1.31,0.000799782691,0.04036219539
1.32,0.01639253022,0.03620130551
1.33,0.02884470349,0.02637622696
1.34,0.03625833592,0.0126789451
1.35,0.03763188353,-0.002538569996
1.36,0.03298611368,-0.01677572841
1.37,0.02331397882,-0.02779990138
1.38,0.01037199007,-0.03399783391
1.39,-0.003643345836,-0.0346065464
1.4,-0.01647351357,-0.02979209385
1.41,-0.02616443329,-0.02057220783
1.42,-0.03136161036,-0.008605344305
1.43,-0.03149021106,0.004110536052
1.44,-0.02679851451,0.01557419772
1.45,-0.01826735094,0.02409541863
1.46,-0.007409923912,0.02853837444
1.47,0.003997684709,0.02846063245
1.48,0.0142071784,0.02413393295
1.49,0.02176249401,0.01645308175
1.5,0.02569905338,0.006756490744
1.51,0.02565270176,-0.003406369949
1.52,0.02186967669,-0.01252044318
1.53,0.015125039,-0.01932527321
1.54,0.006570166798,-0.02297941096
1.55,-0.002461577988,-0.02315006642
1.56,-0.01065879992,-0.02002210326
1.57,-0.01691550547,-0.01423285063
1.58,-0.02047013302,-0.006749115293
1.59,-0.0209851768,0.001290914855
1.6,-0.01856226646,0.008745874333
1.61,-0.01369685472,0.01462594924
1.62,-0.007184191675,0.01821493897
1.63,6.702930823E-06,0.01914677084
1.64,0.00687207815,0.0174307179
1.65,0.01250683562,0.01342651443
1.66,0.01621609362,0.007776535164
1.67,0.01759284606,0.001306678005
1.68,0.01655464254,-0.005089708101
1.69,0.01333753548,-0.01056963697
