"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,0.01253799986,-0.02133225625
1.01,0.003015410103,-0.02443308597
1.02,-0.006907473465,-0.02350238327
1.03,-0.01560343571,-0.01872983776
1.04,-0.02165994553,-0.01093158588
1.05,-0.02410823685,-0.001411870394
1.06,-0.02257826081,0.00825402434
1.07,-0.01735467667,0.01647961097
1.08,-0.009325350638,0.0219270718
1.09,0.0001685473519,0.02372465431
1.1,0.009555707865,0.02160626001
1.11,0.01729410662,0.01595082835
1.12,0.02212394743,0.007715656059
1.13,0.02327267233,-0.001724787749
1.14,0.02057866993,-0.01080755007
1.15,0.01451383102,-0.018039448
1.16,0.006101811846,-0.02224229118
1.17,-0.003253984572,-0.02274483245
1.18,-0.0120039298,-0.01949016193
1.19,-0.01870843961,-0.01304131674
1.2,-0.02227467752,-0.004484706564
1.21,-0.02213479253,0.004752220482
1.22,-0.0183365941,0.01313859337
1.23,-0.01153212455,0.01929355517
1.24,-0.002866489347,0.02221361467
1.25,0.006214240553,0.02143647751
1.26,0.01420394485,0.01711455729
1.27,0.01978612708,0.009986396199
1.28,0.02205097734,0.001251157685
1.29,0.02064400002,-0.007632614504
1.3,0.01582184458,-0.01519029564
1.31,0.008406451648,-0.02017599677
1.32,-0.0003544603032,-0.02177823787
1.33,-0.008997002836,-0.01975245351
1.34,-0.01608567097,-0.0144585892
1.35,-0.02045199021,-0.006797921014
1.36,-0.02138752645,0.001939954044
1.37,-0.01875927802,0.01029406325
1.38,-0.01302854119,0.01687646423
1.39,-0.005170539788,0.02060318498
1.4,0.003491286978,0.02087318323
1.41,0.01150822101,0.01766566763
1.42,0.01754884954,0.01153992225
1.43,0.02062060244,0.003538184433
1.44,0.02023327526,-0.004991625174
1.45,0.0164774927,-0.01262316692
1.46,0.01000548729,-0.01809056502
1.47,0.001918037022,-0.02049880685
1.48,-0.006422863712,-0.01947058546
1.49,-0.01362368205,-0.01520541237
1.5,-0.01849256232,-0.008441726407
1.51,-0.02023695326,-0.0003290828981
1.52,-0.01859279277,0.007767443899
1.53,-0.01386414987,0.01449730265
1.54,-0.00686743299,0.01875009909
1.55,0.001209652724,0.01983904328
1.56,0.009009997196,0.01761184797
1.57,0.01523543762,0.01247117056
1.58,0.01886307051,0.005302036756
1.59,0.01931341984,-0.002680690863
1.6,0.01654279321,-0.01013846364
1.61,0.01104514889,-0.01583376844
1.62,0.003764111186,-0.01883563245
1.63,-0.00406919109,-0.01867175159
1.64,-0.0111445463,-0.01540239466
1.65,-0.01629200176,-0.009604602889
1.66,-0.01867536544,-0.002270336233
1.67,-0.01792785594,0.005363441051
1.68,-0.01420793392,0.0120235863
1.69,-0.008166941327,0.01661321893
1.7,-0.0008349975281,0.01839230566
1.71,0.006554839823,0.01709667291
1.72,0.01277409568,0.01297636838
1.73,0.01680312481,0.006747978557
1.74,0.01799812118,-0.0005300849634
1.75,0.01619356541,-0.007637603953
1.76,0.01172389025,-0.01339722599
1.77,0.005361800386,-0.0168694403
1.78,-0.001815419082,-0.01750557561
1.79,-0.008608450226,-0.01523395115
1.8,-0.01389638442,-0.01046575836
1.81,-0.01682154854,-0.004020768918
1.82,-0.0169282606,0.003013724736
1.83,-0.01423313123,0.00946643606
1.84,-0.00921619782,0.01427707668
1.85,-0.002735455823,0.01667035307
1.86,0.004119992388,0.01628045239
1.87,0.01021300733,0.0132061156
1.88,0.01454691228,0.007988175145
1.89,0.01642819271,0.001514378223
1.9,0.01557689598,-0.00513173819
1.91,0.0121672687,-0.01085216761
1.92,0.00679294671,-0.01471560552
1.93,0.0003635400341,-0.01610861752
