"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,0.04217389256,-0.05273925693
1.01,0.01774456182,-0.06471003295
1.02,-0.009252113713,-0.06604256707
1.03,-0.03442167747,-0.05665717699
1.04,-0.05372026087,-0.03820096552
1.05,-0.06409874827,-0.01376138756
1.06,-0.06397977067,0.01264658411
1.07,-0.05349381797,0.03673527587
1.08,-0.03443977916,0.05463529448
1.09,-0.009979221225,0.0635123516
1.1,0.01588423164,0.06201251399
1.11,0.03895550918,0.05046657491
1.12,0.05552391595,0.03082302661
1.13,0.06295619186,0.006322411544
1.14,0.06011272564,-0.0190331835
1.15,0.04752151404,-0.04112947559
1.16,0.02728335895,-0.05640368615
1.17,0.002724746244,-0.06241626888
1.18,-0.02214493875,-0.05823939855
1.19,-0.04328409317,-0.04460049859
1.2,-0.05727262877,-0.02375842558
1.21,-0.06186357428,0.0008671841818
1.22,-0.05634385652,0.02525329094
1.23,-0.04164627834,0.04542743043
1.24,-0.02019476666,0.05811259748
1.25,0.00449202541,0.06125872761
1.26,0.02837460994,0.05437466823
1.27,0.04755107485,0.03860667759
1.28,0.05889315985,0.01655046266
1.29,0.06055652358,-0.00817301263
1.3,0.05228191023,-0.03150923623
1.31,0.03543772803,-0.04963319181
1.32,0.01279655947,-0.05957562565
1.33,-0.01191845803,-0.05971007164
1.34,-0.03464368948,-0.0500205792
1.35,-0.05164192443,-0.03210570297
1.36,-0.06011689411,-0.008917384935
1.37,-0.05867429446,0.01572312773
1.38,-0.04755305668,0.0377533741
1.39,-0.02858810829,0.05353881414
1.4,-0.0049099464,0.06047286456
1.41,0.01957022931,0.05740864514
1.42,0.04080547628,0.04485062719
1.43,0.05528197529,0.02487376559
1.44,0.06060123745,0.0007826456827
1.45,0.05587899685,-0.02343372729
1.46,0.0418941342,-0.0437617852
1.47,0.02096217978,-0.05682882823
1.48,-0.003446434501,-0.06046362013
1.49,-0.02728072706,-0.05405874275
1.5,-0.04658122923,-0.0386739219
1.51,-0.05813827403,-0.0168624127
1.52,-0.06002693426,0.007751427869
1.53,-0.05192921214,0.03107371289
1.54,-0.03518925044,0.04922198781
1.55,-0.0125916877,0.05917227337
1.56,0.01210055343,0.05926419231
1.57,0.03477248585,0.04947955616
1.58,0.05164311333,0.03144738618
1.59,0.05989686269,0.008173929604
1.6,0.05815476335,-0.01645779347
1.61,0.04670627967,-0.03833571452
1.62,0.02746255934,-0.05380566696
1.63,0.003638404772,-0.0602826971
1.64,-0.02078427835,-0.05668427936
1.65,-0.04172207813,-0.04361259644
1.66,-0.0556734305,-0.0232549512
1.67,-0.06030524713,0.0009814264883
1.68,-0.05484434299,0.02503933834
1.69,-0.04020776456,0.0448910406
1.7,-0.01884982901,0.0572132986
1.71,0.005648790693,0.059944793
1.72,0.02918124117,0.05263218527
1.73,0.0478033394,0.03650652173
1.74,0.05839547872,0.01427689349
1.75,0.05918635612,-0.01032421747
1.76,0.05005039301,-0.03316768147
1.77,0.03252869334,-0.05042130152
1.78,0.009569849828,-0.05919362924
1.79,-0.01496594239,-0.05801968556
1.8,-0.03695612075,-0.04710678374
1.81,-0.05270910816,-0.02829899444
1.82,-0.05958505098,-0.004766163839
1.83,-0.05643938106,0.01953018352
1.84,-0.04381445803,0.04050409192
1.85,-0.02384699827,0.05463312082
1.86,9.307372984E-05,0.05955101671
1.87,0.0239713985,0.05444519
1.88,0.04376957874,0.04019201101
1.89,0.05616235649,0.01920720276
1.9,0.05907728289,-0.004963276105
1.91,0.05204246842,-0.02824263171
1.92,0.0362638426,-0.04671156149
1.93,0.01441909863,-0.05726916303
1.94,-0.009796591518,-0.0581547823
1.95,-0.03229604667,-0.04924275328
1.96,-0.04929078731,-0.03206047412
1.97,-0.05793010217,-0.009527130006
1.98,-0.05678045218,0.01454233639
1.99,-0.04606435792,0.03608371049
2,-0.02761876192,0.05147078252
2.01,-0.004580442035,0.05812700348
2.02,0.01914770673,0.05495811519
2.03,0.03955865859,0.0425328812
2.04,0.05321908004,0.0229818968
2.05,0.05784811277,-0.0003676706685
2.06,0.05269930399,-0.02355880844
2.07,0.03868151357,-0.04267622454
2.08,0.01819909239,-0.05450859319
2.09,-0.005260668988,-0.0570892275
2.1,-0.02772200455,-0.05002390816
2.11,-0.0453955762,-0.03455103241
2.12,-0.05531903283,-0.01332489348
