"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,0.1141573308,0.1323721741
1.01,0.145104496,0.07584856394
1.02,0.1615567669,0.005153690568
1.03,0.1343240426,-0.06485650286
1.04,0.08785385171,-0.09595156689
1.05,0.06093052198,-0.1137799649
1.06,0.0218623979,-0.1520853508
1.07,-0.06543316772,-0.168531682
1.08,-0.1577278122,-0.1136267793
1.09,-0.1950161002,-0.01081469805
1.1,-0.1681359309,0.09121778776
1.11,-0.08865209967,0.1598349818
1.12,0.01232051992,0.1597814101
1.13,0.06370101959,0.09982080383
1.14,0.04801370761,0.06978199995
1.15,0.06725340825,0.1075623216
1.16,0.1816497505,0.09565614364
1.17,0.2622571715,-0.06399868546
1.18,0.1594760554,-0.2564378233
1.19,-0.06441293227,-0.291288212
1.2,-0.2194797053,-0.1528010424
1.21,-0.2218917968,0.02116353162
1.22,-0.1260486906,0.1207410602
1.23,-0.01965930176,0.121470845
1.24,0.024055638,0.06100065409
1.25,-0.008643379551,0.03012730713
1.26,-0.02579401598,0.08283572603
1.27,0.0600416842,0.1312131847
1.28,0.1728772973,0.0540356541
1.29,0.1615412671,-0.1016809918
1.3,0.02656133579,-0.173639929
1.31,-0.08954365044,-0.1131207609
1.32,-0.1072701281,-0.01546800425
1.33,-0.06584400391,0.03969981834
1.34,-0.01911125728,0.046966168
1.35,0.003437416295,0.02442872911
1.36,-0.01202072347,0.009878383855
1.37,-0.02517700146,0.04217704041
1.38,0.02626095504,0.07987678699
1.39,0.1054193254,0.03486095039
1.4,0.1003251588,-0.07296231802
1.41,0.001737796232,-0.1205004165
1.42,-0.07696126938,-0.06750717465
1.43,-0.07711227056,0.0006201940599
1.44,-0.05073459454,0.02769014688
1.45,-0.03441143048,0.04152201482
1.46,-0.008866616592,0.05428071383
1.47,0.02010842993,0.04407661548
1.48,0.02641958895,0.02549644823
1.49,0.02945969486,0.02469429832
1.5,0.05318506642,0.01575065226
1.51,0.0636401491,-0.02619865385
1.52,0.03035928023,-0.0632602454
1.53,-0.01347894744,-0.0597409627
1.54,-0.03485029187,-0.03753507631
1.55,-0.04573021163,-0.01600148992
1.56,-0.04503876257,0.01598880798
1.57,-0.01136582466,0.03841741632
1.58,0.02450455886,0.01239482197
1.59,0.005234902092,-0.03082528401
1.6,-0.0462559268,-0.01960117806
1.61,-0.05132757265,0.03723435954
1.62,-0.002808713032,0.06288631076
1.63,0.03259675371,0.03656594462
1.64,0.0259372728,0.009935986779
1.65,0.01310723168,0.01509757337
1.66,0.0277918286,0.03131960016
1.67,0.06709723238,0.0229216967
1.68,0.09682234451,-0.0317726651
1.69,0.06598231382,-0.1117275908
1.7,-0.03384285512,-0.1423950693
1.71,-0.1228598219,-0.07575607306
1.72,-0.1183965226,0.02555193741
1.73,-0.05244380649,0.06251896147
1.74,-0.02027486257,0.03807691925
1.75,-0.03720393773,0.03291748473
1.76,-0.03816895392,0.07176429552
1.77,0.008867813087,0.105081461
1.78,0.0755010925,0.09483320679
1.79,0.126913044,0.04066888027
1.8,0.1351276956,-0.04269678109
1.81,0.08146021211,-0.1150081339
1.82,-0.003375854485,-0.1262139153
1.83,-0.055113381,-0.08428257743
1.84,-0.06267062504,-0.04851099169
1.85,-0.07297569892,-0.03486482108
1.86,-0.09667744282,-0.002707759424
1.87,-0.09078754022,0.05516157699
1.88,-0.04301652037,0.09364224056
1.89,0.008842597447,0.09209054499
1.9,0.04310362122,0.07257173978
1.91,0.06774630111,0.04654254698
1.92,0.07964948212,0.01017775262
1.93,0.07119321246,-0.02474818445
