"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.1657219015,-0.0256731164
1.01,-0.1515014536,0.1009109942
1.02,-0.03596554081,0.1606003152
1.03,0.05617104882,0.111477638
1.04,0.06781491418,0.05214337209
1.05,0.06736813487,0.03443228746
1.06,0.08916847651,0.009113373111
1.07,0.09158767808,-0.04402808244
1.08,0.0582831793,-0.09191123814
1.09,0.00170370774,-0.1201766796
1.1,-0.07835807542,-0.1113249249
1.11,-0.1401979704,-0.03258311657
1.12,-0.1103064295,0.06956933099
1.13,-0.02023041486,0.08942321202
1.14,0.01011995924,0.03607072064
1.15,-0.02754665176,0.02950438576
1.16,-0.01707141021,0.08798902781
1.17,0.06928872244,0.09861212983
1.18,0.1269279462,0.01913792902
1.19,0.09861603513,-0.0676396464
1.2,0.03167622199,-0.1009072618
1.21,-0.02898193763,-0.08998101726
1.22,-0.06600745597,-0.04840199464
1.23,-0.05891168994,-0.003741360867
1.24,-0.03552789062,-0.003208346932
1.25,-0.06334172324,-0.0192822674
1.26,-0.1145069033,0.03710909282
1.27,-0.07423315697,0.1456100848
1.28,0.06023665,0.1706594377
1.29,0.1522070473,0.07535160847
1.3,0.1368493353,-0.02802542146
1.31,0.08754738271,-0.06972407538
1.32,0.05434889826,-0.09039550151
1.33,0.009868133275,-0.110969612
1.34,-0.04645724754,-0.1025699182
1.35,-0.08591450602,-0.07157661795
1.36,-0.1202619322,-0.03419857076
1.37,-0.1473684344,0.03995932217
1.38,-0.1040511022,0.142195711
1.39,0.01691768904,0.1786925805
1.4,0.1126320551,0.1121372146
1.41,0.123085677,0.02852394303
1.42,0.1063370847,-0.01302384298
1.43,0.09974181395,-0.05269832756
1.44,0.061753606,-0.102680069
1.45,-0.006654025834,-0.1093167478
1.46,-0.04410820237,-0.07404539235
1.47,-0.05084778394,-0.05511781528
1.48,-0.07758311457,-0.04634699179
1.49,-0.1077584439,0.0004295034004
1.5,-0.09036793966,0.06339561665
1.51,-0.04362088652,0.09258232895
1.52,-0.004826706547,0.1015682817
1.53,0.04555294224,0.1074625887
1.54,0.1102266698,0.07195560217
1.55,0.130354825,-0.008259480425
1.56,0.0920493604,-0.06597917123
1.57,0.05618652481,-0.08148064015
1.58,0.03424776297,-0.1064921024
1.59,-0.02768962447,-0.1364565467
1.6,-0.1173893613,-0.1026711169
1.61,-0.1530453431,-0.007138469647
1.62,-0.1162969604,0.07339340257
1.63,-0.0582583656,0.1090892782
1.64,0.001619449138,0.1197006542
1.65,0.06501898926,0.09721215331
1.66,0.09691894301,0.03807991198
1.67,0.08196660623,-0.01017960984
1.68,0.06660081202,-0.02577130535
1.69,0.06788604425,-0.05265432699
1.7,0.03630821547,-0.09950105962
1.71,-0.03569556496,-0.1060190744
1.72,-0.08281959176,-0.05654912611
1.73,-0.08130095001,-0.008948615502
1.74,-0.07414011349,0.01541515201
1.75,-0.06895897923,0.0489889682
1.76,-0.03305238198,0.08375895177
1.77,0.01783622901,0.08070048877
1.78,0.04245111026,0.05508829546
1.79,0.05599540799,0.04203497771
1.8,0.08523173173,0.01873652991
1.81,0.09492456444,-0.04063248716
1.82,0.05093908107,-0.09436102328
1.83,-0.01198203572,-0.1002126528
1.84,-0.05606140368,-0.07714440932
1.85,-0.08944803724,-0.04285729464
1.86,-0.1041654513,0.01567416525
1.87,-0.06866848613,0.07366121192
1.88,-0.009451037713,0.07981665529
1.89,0.01214249824,0.05360488376
1.9,0.01092725403,0.05687941564
1.91,0.04876288747,0.07308676136
1.92,0.1077977636,0.03412880668
1.93,0.1116004847,-0.05086650097
1.94,0.04972644327,-0.1070133868
1.95,-0.02243189864,-0.1044230872
1.96,-0.06970465462,-0.06558181316
1.97,-0.08236918337,-0.01170256033
1.98,-0.05593115909,0.02799474865
1.99,-0.02524877911,0.02374078636
2,-0.03896737378,0.00957369752
2.01,-0.06443841036,0.04978672042
2.02,-0.01998150189,0.1160235978
2.03,0.08004111243,0.1097103521
2.04,0.1305008393,0.02018578572
2.05,0.09386270368,-0.05953137873
2.06,0.03480496496,-0.07691969264
2.07,0.002063575774,-0.06468905514
2.08,-0.01394715975,-0.05435830416
2.09,-0.02554160307,-0.04804855034
2.1,-0.04195736145,-0.04830594606
2.11,-0.07973420054,-0.03692984929
2.12,-0.1122127821,0.02256245573
2.13,-0.07724151507,0.104568517
2.14,0.01531202192,0.1255709136
2.15,0.07631361388,0.0713156902
2.16,0.07289341941,0.0190971889
2.17,0.0633328803,0.005356848474
2.18,0.07547946793,-0.01494872604
2.19,0.06774797654,-0.06018590885
2.2,0.02434031561,-0.08956601646
2.21,-0.02116216585,-0.08605988984
2.22,-0.05616398836,-0.06924381155
2.23,-0.08852473329,-0.03725488742
2.24,-0.09858457816,0.01698505609
2.25,-0.07092806151,0.06421598616
2.26,-0.03192327857,0.08304807756
2.27,0.003245491529,0.09266030722
2.28,0.05543703185,0.09211347783
2.29,0.110646129,0.04493494858
2.3,0.1113863725,-0.03639139581
2.31,0.05492921904,-0.08238229708
2.32,0.006757758759,-0.0736956296
2.33,-0.007636389737,-0.06207289899
2.34,-0.02889063208,-0.06796574072
2.35,-0.0708348804,-0.05316649339
2.36,-0.09457577709,-0.003017104338
2.37,-0.07832344945,0.0501633446
2.38,-0.03674271165,0.08121366125
2.39,0.01408579733,0.08308711575
2.4,0.05249101857,0.05150111452
2.41,0.05185443419,0.01069117686
2.42,0.03134239746,0.003567598209
2.43,0.04423452305,0.01640053804
2.44,0.08113838001,-0.01401976712
2.45,0.06733788148,-0.08694472349
2.46,-0.01393025344,-0.1207383713
2.47,-0.08784863625,-0.07649627215
2.48,-0.1007460692,-0.006435736502
2.49,-0.07578459635,0.03818551596
2.5,-0.04618529395,0.05890967668
2.51,-0.01789323969,0.06703869015
2.52,0.005626747054,0.06748803732
2.53,0.03084551011,0.07102163209
2.54,0.07785703744,0.06257513765
2.55,0.1234191453,0.002468895493
2.56,0.101286786,-0.09050253132
2.57,0.00893726087,-0.1302493547
