"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.1296606284,-0.05837562239
1.01,-0.1262475703,0.04827913607
1.02,-0.04525808178,0.095115662
1.03,0.01046927652,0.06547014189
1.04,0.01272983886,0.04046871938
1.05,0.02094280729,0.0455473351
1.06,0.05192515657,0.034801218
1.07,0.06799750633,-0.003961190776
1.08,0.05626872707,-0.04519288235
1.09,0.02132889864,-0.07794595994
1.1,-0.03924606656,-0.08222247179
1.11,-0.08832531826,-0.03032570428
1.12,-0.06998920073,0.03813051598
1.13,-0.01431215348,0.04687810876
1.14,-0.006058021478,0.01370062421
1.15,-0.0352920724,0.02464027491
1.16,-0.01495204211,0.07374613271
1.17,0.05494393627,0.07161363633
1.18,0.08654612419,0.007038434484
1.19,0.05607507543,-0.04356805978
1.2,0.01893631459,-0.05064773953
1.21,-0.000955135308,-0.04629400447
1.22,-0.01771521605,-0.04051013075
1.23,-0.02623662631,-0.0306631279
1.24,-0.0338221395,-0.0351368214
1.25,-0.07450197918,-0.03474237918
1.26,-0.1197095145,0.02819466291
1.27,-0.08228460974,0.1280499119
1.28,0.03211018921,0.1544518218
1.29,0.1092092029,0.08432782738
1.3,0.1054195626,0.0150845907
1.31,0.09388288978,-0.00910609714
1.32,0.1036421952,-0.04691363405
1.33,0.07518888621,-0.1128282797
1.34,-0.004487115796,-0.1421894028
1.35,-0.07733000987,-0.1142411234
1.36,-0.1221700321,-0.0645268837
1.37,-0.1493896623,0.005089826672
1.38,-0.1270944089,0.09574722329
1.39,-0.04166178376,0.1465265276
1.4,0.03712470081,0.1224970991
1.41,0.06355248473,0.08460068345
1.42,0.08887058382,0.07125752852
1.43,0.1363580952,0.02778013829
1.44,0.1370072601,-0.06226210936
1.45,0.06783552061,-0.1192683673
1.46,0.004666629635,-0.1106697808
1.47,-0.02101082611,-0.09866651322
1.48,-0.06198598448,-0.1011860716
1.49,-0.1220059896,-0.06303455746
1.5,-0.1392826335,0.01674785321
1.51,-0.1061847212,0.08021097784
1.52,-0.0614339864,0.1185600368
1.53,0.002923124524,0.1477439659
1.54,0.09455234741,0.1294190866
1.55,0.1495562773,0.04345068545
1.56,0.1269767896,-0.04108503259
1.57,0.08279531036,-0.07361317554
1.58,0.05775725824,-0.09596265755
1.59,0.009988868215,-0.129740054
1.6,-0.0711344356,-0.1199392065
1.61,-0.1194934097,-0.05154068968
1.62,-0.1097517892,0.01332130547
1.63,-0.08697833061,0.04866766635
1.64,-0.06245823483,0.08375521896
1.65,-0.009831415618,0.1092904565
