"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.04610022809,-0.1260330501
1.01,-0.08070827061,-0.1064534967
1.02,-0.1079054597,-0.07770866128
1.03,-0.1253748891,-0.0424149317
1.04,-0.1316788996,-0.003737130527
1.05,-0.1263758134,0.03489561864
1.06,-0.1100479083,0.07009401776
1.07,-0.08423918457,0.09880584055
1.08,-0.05130937362,0.1185803144
1.09,-0.0142178986,0.1277767928
1.1,0.02374249735,0.1256999815
1.11,0.05923850425,0.1126506001
1.12,0.08918933365,0.08988791704
1.13,0.1110343142,0.05950839918
1.14,0.1229516733,0.02425210153
1.15,0.1240097462,-0.01274530045
1.16,0.114238049,-0.04823229744
1.17,0.09461291815,-0.07912804388
1.18,0.06696007712,-0.1027901663
1.19,0.03378385651,-0.117240476
1.2,-0.001960820762,-0.121329253
1.21,-0.03713272664,-0.1148245203
1.22,-0.06868104079,-0.09841961163
1.23,-0.09390994999,-0.07365969707
1.24,-0.1107081155,-0.04279509218
1.25,-0.1177235368,-0.008575489474
1.26,-0.114469541,0.02599583983
1.27,-0.1013539708,0.0579257222
1.28,-0.07963052299,0.08448941584
1.29,-0.05127797664,0.1034613787
1.3,-0.01881915014,0.1132991523
1.31,0.01490368038,0.1132655372
1.32,0.04697685082,0.1034798655
1.33,0.07466530913,0.08489542486
1.34,0.09564334338,0.05920638911
1.35,0.1081869526,0.02869344697
1.36,0.1113124112,-0.003977779206
1.37,0.104850378,-0.03598782896
1.38,0.0894504346,-0.06460425117
1.39,0.06651674857,-0.08741202156
1.4,0.03808117028,-0.1025145553
1.41,0.006625073677,-0.1086890322
1.42,-0.02513473638,-0.1054836867
1.43,-0.054477982,-0.09324956769
1.44,-0.07891137797,-0.07310466254
1.45,-0.09637849714,-0.04683379666
1.46,-0.1054316883,-0.01673294126
1.47,-0.1053518395,0.01458890299
1.48,-0.09620606744,0.04443358674
1.49,-0.07883852598,0.07024462937
1.5,-0.05479507911,0.0898254926
1.51,-0.02618813413,0.1015267751
1.52,0.004486968369,0.1043862943
1.53,0.03456839541,0.09820991313
1.54,0.0614585316,0.08358595675
1.55,0.08284899898,0.06183175269
1.56,0.09692035084,0.03487673949
1.57,0.1024988647,0.005092203007
1.58,0.09915652043,-0.02491749283
1.59,0.08724521874,-0.05254377634
1.6,0.0678621386,-0.07540252105
1.61,0.04274933361,-0.09154208762
1.62,0.01413663651,-0.09961216481
1.63,-0.01545788275,-0.09897836153
1.64,-0.04345178767,-0.08977246501
1.65,-0.06742617163,-0.07287419893
1.66,-0.08533700051,-0.04982662424
1.67,-0.09569098423,-0.02269341114
1.68,-0.09767049697,0.00612851775
1.69,-0.09119693118,0.03412352546
1.7,-0.07692767638,0.05887928191
1.71,-0.05618808005,0.07829621136
1.72,-0.03084566775,0.09076584448
1.73,-0.00313900273,0.09530278933
1.74,0.02452262072,0.09161961488
1.75,0.04977025801,0.08013937819
1.76,0.0704783492,0.06194627138
1.77,0.08494219883,0.03868035685
1.78,0.09201523918,0.01238709181
1.79,0.09119545836,-0.01466408767
1.8,0.08265517383,-0.04017571603
1.81,0.06721340665,-0.06201577704
