"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.04394192998,-0.08350321173
1.01,-0.06667817886,-0.06664589851
1.02,-0.08337023335,-0.04378996325
1.03,-0.09249563829,-0.01700878767
1.04,-0.09322166412,0.0112575277
1.05,-0.08548680966,0.03842673235
1.06,-0.07001021101,0.0620145327
1.07,-0.04822708617,0.07986726668
1.08,-0.02215565238,0.09036450736
1.09,0.005792136311,0.09257162197
1.1,0.03303792227,0.0863270859
1.11,0.05708026825,0.07225576525
1.12,0.07573016913,0.05170677103
1.13,0.08731568333,0.02662207043
1.14,0.09083574767,-0.00065100163
1.15,0.08604843348,-0.02758460186
1.16,0.07348559761,-0.05171026635
1.17,0.05439334804,-0.07085021286
1.18,0.03060517436,-0.0833176271
1.19,0.004361195917,-0.08806697217
1.2,-0.02190792957,-0.08478070434
1.21,-0.04581081759,-0.07388538317
1.22,-0.0652164716,-0.05649730041
1.23,-0.07844577423,-0.03430465526
1.24,-0.08441596554,-0.009399265201
1.25,-0.08272585516,0.01592475399
1.26,-0.0736756521,0.03938536477
1.27,-0.05822176288,0.05891959334
1.28,-0.03787303803,0.07286420875
1.29,-0.0145401512,0.08009445205
1.3,0.009646382241,0.0801097579
1.31,0.03253187904,0.07306078308
1.32,0.05212878344,0.05971765042
1.33,0.0667867815,0.04138459186
1.34,0.07532763502,0.01977066751
1.35,0.07713442076,-0.003170398963
1.36,0.07218931024,-0.02541620605
1.37,0.06105870225,-0.04505180901
1.38,0.04482901147,-0.06043107468
1.39,0.02500036558,-0.07031025849
1.4,0.0033485958,-0.07394367755
1.41,-0.01823196414,-0.07113487247
1.42,-0.03789131769,-0.06224050319
1.43,-0.05397879194,-0.04812810179
1.44,-0.06517776705,-0.03009242683
1.45,-0.07060972937,-0.009738282979
1.46,-0.06989992962,0.01115990759
1.47,-0.06320013032,0.03080991428
1.48,-0.05116739468,0.04755236567
1.49,-0.03490135577,0.05999805543
1.5,-0.01584566122,0.06714089195
1.51,0.004337916124,0.06843755656
1.52,0.0239120871,0.06384767888
1.53,0.04121146982,0.05383156698
1.54,0.05478257919,0.03930600162
1.55,0.06350477593,0.02156204899
1.56,0.06668216489,0.002151986659
1.57,0.06409886684,-0.01724498997
1.58,0.05603317399,-0.03496683461
1.59,0.04322958325,-0.0495102246
1.6,0.0268312911,-0.05965760043
1.61,0.008279114875,-0.06457889105
1.62,-0.01081431997,-0.06389934594
1.63,-0.02880418061,-0.05772784718
1.64,-0.04415472134,-0.04664351731
1.65,-0.05557009371,-0.03164206496
1.66,-0.06210348087,-0.01404679443
1.67,-0.06323532905,0.004607764842
1.68,-0.05891420752,0.02270934684
1.69,-0.04955712754,0.0387069087
1.7,-0.03600968823,0.05124306457
1.71,-0.0194698774,0.05926869537
