"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.02118522087,0.007805049432
1.01,-0.01763582084,0.01405534106
1.02,-0.01229186645,0.01885898958
1.03,-0.005708091649,0.02171771521
1.04,0.001428670522,0.02233805515
1.05,0.00837327148,0.02066388531
1.06,0.01440294701,0.01688278708
1.07,0.0188957587,0.01140531643
1.08,0.02139777436,0.004819428208
1.09,0.02167126477,-0.002174732571
1.1,0.01971843229,-0.008842121088
1.11,0.01577810651,-0.01449319624
1.12,0.0102960707,-0.01855815891
1.13,0.003872808503,-0.02064658064
1.14,-0.002804917164,-0.02058584238
1.15,-0.009040449196,-0.0184344455
1.16,-0.01420263584,-0.01446932833
1.17,-0.01779166668,-0.009149418994
1.18,-0.01948817789,-0.003060384746
1.19,-0.01918069652,0.003152436507
1.2,-0.01696924069,0.00885484561
1.21,-0.01314577995,0.01349019673
1.22,-0.008154915055,0.01663421218
1.23,-0.002540235914,0.01803274179
1.24,0.003116869952,0.01761930954
1.25,0.008258773405,0.01551181226
1.26,0.01240681311,0.0119901488
1.27,0.01520468039,0.007458570018
1.28,0.01644627496,0.002397932651
1.29,0.01608637134,-0.002686301998
1.3,0.01423447019,-0.007314569558
1.31,0.01113398437,-0.01107718891
1.32,0.007130236871,-0.0136680448
1.33,0.002631521298,-0.0149056813
1.34,-0.001932325147,-0.01474108054
1.35,-0.006149700711,-0.01325281945
1.36,-0.009661945037,-0.01063142758
1.37,-0.01219049934,-0.007155523689
1.38,-0.01355508497,-0.003162670819
1.39,-0.0136824465,0.0009821039714
1.4,-0.01260603083,0.004917447664
1.41,-0.01045758834,0.008314242182
1.42,-0.007452076582,0.01089987074
1.43,-0.003867450067,0.01247698271
1.44,-2.098436972E-05,0.01293600195
1.45,0.003756234836,0.01226099786
1.46,0.00714507603,0.01052884596
1.47,0.009862849947,0.007901874591
1.48,0.01168504329,0.004614461591
1.49,0.0124628894,0.0009543382178
1.5,0.01213548976,-0.002760314825
1.51,0.01073541491,-0.006206545171
1.52,0.008387050128,-0.009083314266
1.53,0.005297420877,-0.01113716377
1.54,0.001739818689,-0.01218470829
1.55,-0.00196879506,-0.01212985943
1.56,-0.005494972175,-0.01097396798
1.57,-0.008518337063,-0.008817581135
1.58,-0.01076090615,-0.005853221067
1.59,-0.0120133868,-0.002349436935
1.6,-0.01215580044,0.001372723712
1.61,-0.01117020026,0.004968842474
1.62,-0.009143952764,0.008103201695
1.63,-0.006262957929,0.01048072623
1.64,-0.002795199591,0.0118756196
1.65,0.0009339690169,0.01215375959
1.66,0.004572506381,0.01128648596
1.67,0.007775365054,0.009354250807
1.68,0.01023784787,0.006539620447
1.69,0.01172529847,0.003110205746
1.7,0.0120961276,-0.0006068650066
1.71,0.01131583494,-0.004256442536
1.72,0.009460589091,-0.007489717274
1.73,0.006709979816,-0.009998043277
1.74,0.003329643885,-0.01154287732
1.75,-0.0003545231715,-0.01197887746
1.76,-0.003988024745,-0.01126789272
1.77,-0.007222173289,-0.009482483896
1.78,-0.009747876591,-0.006798652184
1.79,-0.01132549851,-0.00347851191
1.8,-0.01180788933,0.0001553754586
1.81,-0.01115435762,0.003751482049
1.82,-0.009434244433,0.006963526842
1.83,-0.006819775373,0.009484081214
1.84,-0.003568909576,0.01107429161
1.85,1.225063922E-07,0.0115868255
1.86,0.003540090454,0.01097980813
1.87,0.006708773277,0.009320397382
1.88,0.009202363747,0.006777658249
1.89,0.0107849786,0.003605451873
1.9,0.01131136406,0.0001170424717
1.91,0.01074055616,-0.003346047665
1.92,0.009139153876,-0.00644782538
1.93,0.006673903978,-0.00889087554
1.94,0.003594374758,-0.01044536159
1.95,0.0002075020076,-0.01097107728
1.96,-0.003153381508,-0.01043035971
1.97,-0.006161861456,-0.00889061496
1.98,-0.008530700202,-0.006516281634
1.99,-0.01003976306,-0.003551150712
2,-0.01055681109,-0.0002929547854
2.01,-0.01004912835,0.002937073249
2.02,-0.008584932826,0.005826478352
2.03,-0.006324604756,0.008102358302
2.04,-0.00350283318,0.009557510152
2.05,-0.0004037126905,0.0100693712
2.06,0.002668484328,0.009609993385
2.07,0.005419752318,0.008246277434
2.08,0.007594870641,0.006130736958
2.09,0.009001157137,0.003484045052
2.1,0.009525220186,0.0005714276586
2.11,0.009141290453,-0.002324475041
2.12,0.007910647758,-0.004931407553
2.13,0.005972598637,-0.007013156026
2.14,0.003528300905,-0.008390625075
2.15,0.0008193852897,-0.008956497102
2.16,-0.001896269073,-0.008682391906
2.17,-0.004369115653,-0.007618259688
2.18,-0.006380522243,-0.005884521867
2.19,-0.007761360329,-0.003658139817
2.2,-0.008405140244,-0.001154281064
2.21,-0.008274856139,0.001394468152
2.22,-0.007403349444,0.00375933141
2.23,-0.005887594509,0.005735131865
2.24,-0.003877802238,0.007157053174
2.25,-0.001562593299,0.00791317802
2.26,0.0008483006846,0.007952060064
2.27,0.003142285793,0.007285038253
2.28,0.005121641472,0.005983420024
2.29,0.006619434776,0.00417101611
2.3,0.007512524619,0.002012791436
2.31,0.007730826079,-0.0002993975968
2.32,0.007262282166,-0.00256287395
2.33,0.00615327394,-0.004580840657
2.34,0.004504483092,-0.00617851588
2.35,0.002462501171,-0.007217542124
2.36,0.0002077535194,-0.007607599041
2.37,-0.002060433068,-0.007314298417
2.38,-0.004140554464,-0.006362654218
2.39,-0.005846189648,-0.004835702447
2.4,-0.007022419406,-0.002868189805
2.41,-0.007559996281,-0.0006356416619
2.42,-0.007405945179,0.001660468338
2.43,-0.006569488787,0.003810329513
2.44,-0.005122534445,0.005614734244
2.45,-0.003194412215,0.006903666353
2.46,-0.0009610830323,0.007552774294
2.47,0.001370408479,0.007496056092
2.48,0.003580939665,0.006733355823
2.49,0.005460051193,0.00533171435
2.5,0.006826429424,0.00342019458
2.51,0.007546061377,0.001178458273
2.52,0.00754614132,-0.001179962768
2.53,0.006823174212,-0.003428159932
2.54,0.005444276566,-0.005348106723
2.55,0.003541365245,-0.006752428332
2.56,0.001298675358,-0.007503410667
2.57,-0.001065224615,-0.007527213221
2.58,-0.003319134226,-0.006821718889
2.59,-0.005242417879,-0.005457108473
2.6,-0.006647279342,-0.003569017305
2.61,-0.007397765097,-0.001344929758
2.62,-0.007423478533,0.0009947966983
2.63,-0.006726544971,0.003219298061
2.64,-0.005381090639,0.005110609039
2.65,-0.003525305256,0.006485642391
2.66,-0.001346956102,0.007214437639
2.67,0.00093607915,0.007232787927
2.68,0.003098171526,0.006547972635
2.69,0.0049288151,0.005237075838
2.7,0.006253616605,0.003438170607
2.71,0.006951239746,0.001335405967
2.72,0.006964614151,-0.0008603366411
2.73,0.006305363353,-0.002933115019
2.74,0.005051148627,-0.004683626174
2.75,0.00333638135,-0.005948691099
2.76,0.001337441695,-0.006616577186
2.77,-0.00074591695,-0.0066367072
2.78,-0.002710955036,-0.006022938167
2.79,-0.004371987317,-0.004850291858
2.8,-0.005578054939,-0.0032457021
2.81,-0.006226532688,-0.001373939375
2.82,-0.006271464418,0.000579680203
2.83,-0.005726012775,0.002427937321
2.84,-0.004659036965,0.003999789253
2.85,-0.003186405611,0.005156124438
2.86,-0.001458149624,0.005801754349
2.87,0.0003570844524,0.005892658897
2.88,0.00208863523,0.005438027937
2.89,0.003579829526,0.00449718044
2.9,0.004701895713,0.00317193746
2.91,0.005364592712,0.001595427523
2.92,0.005522753379,-8.142066483E-05
2.93,0.005178382409,-0.001704310745
2.94,0.004378389679,-0.003129561071
2.95,0.003208436175,-0.004236403547
2.96,0.001783686622,-0.004936611079
2.97,0.0002374779656,-0.00518078023
2.98,-0.001290983691,-0.004960941694
2.99,-0.002668790217,-0.00430951272
3,-0.003780355582,-0.003294911833
3.01,-0.004536464679,-0.002014404226
3.02,-0.004880738812,-0.0005849221654
3.03,-0.004793158258,0.0008672961288
3.04,-0.00429053169,0.002217380298
3.05,-0.003424033895,0.003351985142
3.06,-0.002274133599,0.004178194269
3.07,-0.0009433942779,0.004630564054
3.08,0.0004522509454,0.004675858831
3.09,0.001793074128,0.00431520006
3.1,0.002965267239,0.003583529772
3.11,0.003870092776,0.002546464931
3.12,0.004431809459,0.001294788642
3.13,0.004603791473,-6.30193298E-05
3.14,0.004372373648,-0.001409672798
3.15,0.003758101404,-0.002628739248
3.16,0.002814239219,-0.00361434305
3.17,0.001622587857,-0.004280153313
3.18,0.0002868680724,-0.004566918266
3.19,-0.001075867041,-0.004447886191
3.2,-0.002345144701,-0.00393159009
3.21,-0.00340751813,-0.003061665341
3.22,-0.004166664357,-0.001913605765
3.23,-0.004552235607,-0.0005886269277
3.24,-0.004526628943,0.0007949265344
3.25,-0.004088984601,0.002111945945
3.26,-0.00327594496,0.003241813444
3.27,-0.002158987227,0.004079537373
3.28,-0.0008384597407,0.004545722947
3.29,0.0005652259289,0.004594398237
3.3,0.001922500194,0.004217881926
3.31,0.003106656545,0.003448135865
3.32,0.004005860649,0.0023543703
3.33,0.00453398131,0.001037032259
3.34,0.004639156234,-0.0003813285046
3.35,0.004309198898,-0.001767494726
3.36,0.003573244513,-0.00299024292
3.37,0.002499395955,-0.003933004528
3.38,0.001188528574,-0.004505271658
3.39,-0.0002351951051,-0.004651592066
3.4,-0.001636205312,-0.004357219915
3.41,-0.002880644956,-0.003649812258
3.42,-0.00384943057,-0.002596954263
3.43,-0.004449943362,-0.001299718577
3.44,-0.004625163675,0.0001171282337
3.45,-0.004359311614,0.001517310084
3.46,-0.003679406502,0.002766401608
3.47,-0.002652572433,0.003745020679
3.48,-0.001379352952,0.004360520363
3.49,1.62912569E-05,0.004555997553
3.5,0.001399285789,0.004315710016
3.51,0.002636794877,0.003666363708
3.52,0.003611265413,0.002674158942
3.53,0.004231842926,0.001437921641
3.54,0.004443015875,7.904769318E-05
3.55,0.004229639964,-0.001270688663
3.56,0.003617876523,-0.002482201701
3.57,0.002672006561,-0.0034417008
3.58,0.001487508489,-0.004061568142
3.59,0.0001811666382,-0.004288438654
3.6,-0.00112073071,-0.004107722506
3.61,-0.002294870986,-0.003544193636
3.62,-0.00323280204,-0.002658682068
3.63,-0.00385104467,-0.00154130743
3.64,-0.004098472712,-0.0003020330807
3.65,-0.003960311625,0.0009404307726
3.66,-0.003458475075,0.002070214796
3.67,-0.00264834262,0.002985204103
3.68,-0.001612437985,0.003606230305
3.69,-0.0004517590397,0.003883716216
3.7,0.0007242909452,0.003801243607
3.71,0.001808332277,0.00337584911
3.72,0.002704783077,0.00265518781
3.73,0.003338089823,0.001712002401
3.74,0.003658732634,0.0006365683543
3.75,0.003646583928,-0.0004720671722
3.76,0.003311479631,-0.001515181262
3.77,0.002691131625,-0.002402971257
3.78,0.001846741317,-0.00306192993
3.79,0.0008568475962,-0.003440449254
3.8,-0.0001899525287,-0.003512304745
3.81,-0.001202736974,-0.003277882304
3.82,-0.002095798987,-0.002763205077
3.83,-0.002795425704,-0.002016982825
3.84,-0.003245456441,-0.001106030941
3.85,-0.00341129035,-0.0001094878535
3.86,-0.003282144196,0.0008876991252
3.87,-0.002871484915,0.001801541487
3.88,-0.00221567265,0.002555569954
3.89,-0.001370946746,0.003086761356
3.9,-0.0004089713385,0.003350452127
3.91,0.0005887685003,0.003323914739
3.92,0.001537362392,0.003008339914
3.93,0.002355245608,0.002429047389
3.94,0.00297088144,0.001633844364
3.95,0.003328861648,0.0006895652805
3.96,0.003394929181,-0.0003230426869
3.97,0.003159461119,-0.001315783541
3.98,0.002639027244,-0.002200382002
3.99,0.001875763785,-0.002896193165
4,0.0009344696101,-0.003337599815
4.01,-0.0001024669427,-0.003480409916
4.02,-0.001141985777,-0.00330659732
4.03,-0.002088583221,-0.002826831813
4.04,-0.00285314066,-0.002080418524
4.05,-0.003361526364,-0.001132499898
4.06,-0.003562105646,-6.864494182E-05
4.07,-0.003431349345,0.001012768404
4.08,-0.002976880084,0.002009713765
4.09,-0.002237529937,0.002826353601
4.1,-0.001280280234,0.003382569441
4.11,-0.0001942831024,0.003622187722
4.12,0.0009175125332,0.003519002297
4.13,0.001948329078,0.003079899127
4.14,0.002798122023,0.002344679753
4.15,0.003383641996,0.001382526687
4.16,0.00364693167,0.000285416803
4.17,0.003561340714,-0.0008408741057
4.18,0.003134396459,-0.001887261277
4.19,0.002407200418,-0.002752248669
4.2,0.00145039333,-0.00335209497
4.21,0.0003571012598,-0.003629182587
4.22,-0.0007664002279,-0.003557716711
4.23,-0.001811324723,-0.003146169946
4.24,-0.00267720464,-0.002436238772
4.25,-0.003281790564,-0.001498450757
4.26,-0.003569011628,-0.0004249136147
4.27,-0.003514208222,0.0006800100209
4.28,-0.003126148437,0.001710116166
4.29,-0.00244568455,0.002567783646
4.3,-0.001541256463,0.003173356306
4.31,-0.0005017668825,0.00347256602
4.32,0.0005723946643,0.003441305739
4.33,0.001579239356,0.003087351664
4.34,0.002424978914,0.002448953096
4.35,0.003032782979,0.001590523024
4.36,0.003349677952,0.0005959395499
4.37,0.003350984789,-0.0004398182848
4.38,0.003041955932,-0.001419844879
4.39,0.002456554287,-0.002254395385
4.4,0.001653590865,-0.002869035344
4.41,0.0007106765034,-0.003211127227
4.42,-0.000283373664,-0.003254115148
4.43,-0.001236930226,-0.002999295684
4.44,-0.002063942254,-0.00247500571
4.45,-0.002691575863,-0.001733394268
4.46,-0.00306644215,-0.000845154005
4.47,-0.003158911268,0.0001072479596
4.48,-0.002965198393,0.001037191172
4.49,-0.002507113941,0.001861679128
4.5,-0.001829575899,0.002508591197
4.51,-0.000996169712,0.002922798915
4.52,-8.31962408E-05,0.003070655313
4.53,0.0008272397897,0.002942520544
4.54,0.001654486711,0.002553162891
4.55,0.002326324859,0.001940056409
