"Freq [GHz]","re(S(Rx_p1,Tx_p1)) []","im(S(Rx_p1,Tx_p1)) []"
1,-0.06481194972,-0.00523369516
1.01,-0.06302057935,0.01445942443
1.02,-0.05540101515,0.03260221005
1.03,-0.04271810433,0.04751230306
1.04,-0.02621066136,0.05782500493
1.05,-0.007469851984,0.06262348324
1.06,0.0117171259,0.06152432686
1.07,0.02954197429,0.05470962385
1.08,0.04435071372,0.0429025134
1.09,0.05480150952,0.02728929189
1.1,0.05998894532,0.009396878843
1.11,0.05952268465,-0.009060925568
1.12,0.053553631,-0.026351968
1.13,0.04274646963,-0.04089157999
1.14,0.02820313893,-0.05138918523
1.15,0.01134667201,-0.05696183933
1.16,-0.006221550602,-0.05720492015
1.17,-0.0228761124,-0.05221503157
1.18,-0.03711814002,-0.04256521007
1.19,-0.04770817238,-0.02923715874
1.2,-0.05376995404,-0.01351901326
1.21,-0.05485727799,0.003120237495
1.22,-0.05097991269,0.0191672313
1.23,-0.04258854065,0.03319910925
1.24,-0.03052214365,0.04400532699
1.25,-0.01592413633,0.05068683186
1.26,-0.0001356287543,0.05272550072
1.27,0.01542455131,0.0500194905
1.28,0.02938298843,0.04288297297
1.29,0.04052812628,0.03201142365
1.3,0.04791105729,0.01841608584
1.31,0.05092305369,0.003333344447
1.32,0.04934403552,-0.01188354585
1.33,0.04335831275,-0.02588169129
1.34,0.03353634241,-0.03742535433
1.35,0.0207838028,-0.0455028181
1.36,0.006261869519,-0.04941439244
1.37,-0.008714993018,-0.04883390576
1.38,-0.02279534024,-0.04383798735
1.39,-0.03471127735,-0.03490000588
1.4,-0.04339261167,-0.02284852836
1.41,-0.04806423304,-0.008793354496
1.42,-0.04831752087,0.005974732641
1.43,-0.04414871996,0.02010170472
1.44,-0.03596016401,0.03229480558
1.45,-0.02452369461,0.04144221395
1.46,-0.01090928079,0.04671643338
1.47,0.003614697497,0.04765137463
1.48,0.01770015901,0.04418553593
1.49,0.03004570744,0.03666694831
1.5,0.03951853886,0.02581929779
1.51,0.0452601135,0.01267246865
1.52,0.04676543241,-0.001535739285
1.53,0.04392838412,-0.01547714919
1.54,0.03704899378,-0.02785859849
1.55,0.02680215799,-0.03754310521
1.56,0.01417119111,-0.04365526582
1.57,0.0003528651822,-0.04566100176
1.58,-0.01335672945,-0.04341436531
1.59,-0.02568448182,-0.0371673621
1.6,-0.03549908802,-0.02754231321
1.61,-0.0419152857,-0.01546981713
1.62,-0.04437390822,-0.002098549953
1.63,-0.0426905682,0.01131432139
1.64,-0.03706879628,0.02352165732
1.65,-0.02807681041,0.0334026449
1.66,-0.01659046871,0.04006606241
1.67,-0.003708064562,0.04293101046
1.68,0.009354816774,0.04177778383
1.69,0.02138036823,0.03676438781
1.7,0.03126268205,0.02840743604
1.71,0.03811019114,0.0175295118
1.72,0.04132684766,0.005178226762
1.73,0.04066450955,-0.007475124866
1.74,0.0362417831,-0.01924750018
1.75,0.02852781329,-0.02905583448
1.76,0.01829291342,-0.03601783644
1.77,0.00653114587,-0.03953225324
1.78,-0.005637320853,-0.03933108873
1.79,-0.01707433011,-0.03549909102
1.8,-0.02673165245,-0.02845912101
1.81,-0.03374818784,-0.01892542766
1.82,-0.03752718785,-0.007830025086
1.83,-0.03778641297,0.003770045582
1.84,-0.03457701397,0.01479505324
1.85,-0.02827017014,0.02424429081
1.86,-0.01951376942,0.03128732025
1.87,-0.009164321641,0.03533628741
1.88,0.001798448521,0.03609305199
1.89,0.01236549484,0.03356763045
1.9,0.02159158289,0.02806742199
1.91,0.02867896743,0.02015954521
1.92,0.03304430754,0.01061105775
1.93,0.03436353172,0.000313633331
1.94,0.03259174681,-0.009799703452
1.95,0.02795775121,-0.01883796917
1.96,0.02093500395,-0.0260284572
1.97,0.01219281248,-0.03077967697
1.98,0.002532897674,-0.0327264253
1.99,-0.007182684737,-0.03175421205
2,-0.01610602796,-0.02800209242
2.01,-0.0234742641,-0.02184467137
2.02,-0.02867150048,-0.01385553344
2.03,-0.03127737584,-0.004755553289
2.04,-0.03109893924,0.004649565789
2.05,-0.02818380116,0.01353759127
2.06,-0.02281381261,0.02113867436
2.07,-0.01547985223,0.02679964776
2.08,-0.006839606965,0.03003876346
2.09,0.002338527568,0.03058650774
2.1,0.01124118649,0.02840902017
2.11,0.01908026926,0.0237118362
2.12,0.02516192507,0.01692313748
2.13,0.02894835961,0.008657355895
2.14,0.03010683815,-0.000338279329
2.15,0.02854110443,-0.009249997301
2.16,0.02440180812,-0.01727088456
2.17,0.01807435357,-0.0236748083
2.18,0.01014470055,-0.02788388568
2.19,0.001345850877,-0.02952286487
2.2,-0.007510200686,-0.02845485076
2.21,-0.01560863817,-0.02479452905
2.22,-0.02220869879,-0.01889725608
2.23,-0.02671360157,-0.01132485103
2.24,-0.02872649131,-0.002791371362
2.25,-0.02808676043,0.005905721375
2.26,-0.02488315274,0.01396204827
2.27,-0.01944250157,0.02064271269
2.28,-0.01229551819,0.02535095177
2.29,-0.004123423125,0.02768230312
2.3,0.004308875056,0.02745919656
2.31,0.01222611201,0.02474303857
2.32,0.01891512846,0.01982325755
2.33,0.02378944659,0.01318513367
2.34,0.02644004374,0.005460282189
2.35,0.02666805556,-0.002634817064
2.36,0.02449712326,-0.01036597953
2.37,0.02016517024,-0.01704772181
2.38,0.01409732267,-0.02210293862
2.39,0.006863290813,-0.02511087525
2.4,-0.0008763218304,-0.02583978863
2.41,-0.008429670389,-0.02426224864
2.42,-0.01513402367,-0.02055260963
2.43,-0.02041185529,-0.01506764012
2.44,-0.02381834148,-0.008312537584
2.45,-0.02507681917,-0.0008955196968
2.46,-0.02409979258,0.006525143499
2.47,-0.02099418481,0.01329740401
2.48,-0.01605065693,0.0188306421
2.49,-0.009717920957,0.02264555506
2.5,-0.00256402247,0.02441484224
2.51,0.004772471383,0.02399139679
2.52,0.01163761859,0.02142154449
2.53,0.0174191971,0.01694192061
2.54,0.02160100435,0.01095981668
2.55,0.02380960619,0.004018194376
2.56,0.02384917115,-0.00325204242
2.57,0.02172085065,-0.010188636
2.58,0.01762440155,-0.01615850144
2.59,0.01194132099,-0.02061662565
2.6,0.005200538426,-0.02315764698
2.61,-0.001970491952,-0.02355488682
2.62,-0.008904843685,-0.02178266124
2.63,-0.01495963997,-0.01801927542
2.64,-0.01957771664,-0.0126300473
2.65,-0.02234112569,-0.006131807421
2.66,-0.02301091972,0.0008576670923
2.67,-0.02154905202,0.007680153952
2.68,-0.01812012376,0.01370117313
2.69,-0.01307289015,0.0183711956
2.7,-0.00690363613,0.02127755717
2.71,-0.0002054813581,0.02218183482
2.72,0.00639086526,0.02103910688
2.73,0.0122785808,0.01799756228
2.74,0.01693205719,0.01337908936
2.75,0.01995438083,0.007643495041
2.76,0.02111055258,0.001340639105
2.77,0.02034376352,-0.004944161816
2.78,0.01777396798,-0.01064569889
2.79,0.01367987823,-0.01526990229
2.8,0.008467121997,-0.01843568218
2.81,0.002626487972,-0.01990420227
2.82,-0.003313163737,-0.01959373045
2.83,-0.008832645373,-0.01757976955
2.84,-0.01346654912,-0.01408158359
2.85,-0.01684019993,-0.009437358722
2.86,-0.01869694358,-0.004070991601
2.87,-0.01891435362,0.001546138719
2.88,-0.01750898533,0.00693505107
2.89,-0.014630202,0.01164760163
2.9,-0.01054429405,0.0153008453
2.91,-0.005610595533,0.01760522809
2.92,-0.0002516009405,0.01838508099
2.93,0.005080756376,0.01759041613
2.94,0.009940434609,0.01529951117
2.95,0.01392197764,0.01171221945
2.96,0.01669234989,0.00713438968
2.97,0.01801775896,0.001954246461
2.98,0.01778346436,-0.003387914976
2.99,0.01600484554,-0.008434840555
3,0.01282844263,-0.01274984795
3.01,0.008522307787,-0.01595396273
3.02,0.003455806269,-0.01775958542
3.03,-0.00193006701,-0.01799759813
3.04,-0.00715982118,-0.01663510926
3.05,-0.01176512377,-0.01378165788
3.06,-0.01532734975,-0.009682636514
3.07,-0.01751702,-0.004699870215
3.08,-0.01812615097,0.000719404171
3.09,-0.01709001291,0.006082632789
3.1,-0.01449570188,0.01089749198
3.11,-0.01057619369,0.01471850797
3.12,-0.00569003425,0.01719006582
3.13,-0.0002883602973,0.01808133997
3.14,0.005127648544,0.01730941079
3.15,0.01005468754,0.014948011
3.16,0.01403576821,0.01122084216
3.17,0.01670422712,0.006480040693
3.18,0.01781879238,0.001171961748
3.19,0.01728615037,-0.004206202612
3.2,0.01516879884,-0.00915450313
3.21,0.01167754557,-0.01321809679
3.22,0.007149628916,-0.01603007997
3.23,0.002014909345,-0.01734509888
3.24,-0.003246252246,-0.01706060054
3.25,-0.008149072738,-0.01522394094
3.26,-0.01224977307,-0.01202505509
3.27,-0.01518598313,-0.007775844676
3.28,-0.01670843106,-0.002878699224
3.29,-0.01670123423,0.002212486557
3.3,-0.01518932643,0.007034879421
3.31,-0.01233283835,0.01115879799
3.32,-0.008409462879,0.0142255221
3.33,-0.003786869171,0.01597760723
3.34,0.001111998436,0.01627932905
3.35,0.005847435806,0.0151258688
3.36,0.01000185773,0.01264088096
3.37,0.01321573449,0.00906306977
3.38,0.01521767846,0.00472326715
3.39,0.01584636789,1.419849924E-05
3.4,0.01506272584,-0.004644386069
3.41,0.01295158002,-0.008842265117
3.42,0.009712858433,-0.01221397978
3.43,0.005643176698,-0.01446990013
3.44,0.001109402406,-0.01542062622
3.45,-0.003483602509,-0.01499274967
3.46,-0.007728394594,-0.01323467015
3.47,-0.0112505703,-0.01031193993
3.48,-0.01374158406,-0.00649245173
3.49,-0.01498592045,-0.002122635488
3.5,-0.01488018781,0.002403377739
3.51,-0.01344233694,0.006679002469
3.52,-0.01081003521,0.01032176742
3.53,-0.007228182691,0.01300790895
3.54,-0.003026560994,0.01450178229
3.55,0.001410438658,0.01467728602
3.56,0.005679255898,0.01352919043
3.57,0.009394456101,0.01117319387
3.58,0.01222432138,0.007834616802
3.59,0.01392129495,0.003826769577
3.6,0.01434431338,-0.0004789234835
3.61,0.01347086019,-0.004688115719
3.62,0.0113976124,-0.008420571114
3.63,0.008329718032,-0.0113453859
3.64,0.004559904851,-0.01321095927
3.65,0.0004396464811,-0.01386685592
3.66,-0.00365461457,-0.01327558644
3.67,-0.007356753627,-0.01151341044
3.68,-0.01034427467,-0.008760414773
3.69,-0.01236648486,-0.005281200366
3.7,-0.01326502364,-0.001398405051
3.71,-0.01298512505,0.002538098695
3.72,-0.01157700122,0.00618321717
3.73,-0.009187742743,0.009226817766
3.74,-0.006045022479,0.01141942189
3.75,-0.002434572486,0.01259137606
3.76,0.001326177714,0.01266424174
3.77,0.004915776862,0.01165396174
3.78,0.00803534175,0.009666125127
3.79,0.0104319959,0.006884288264
3.8,0.01191756585,0.003552767574
3.81,0.01238148028,-4.441484278E-05
3.82,0.01179734723,-0.003606665417
3.83,0.01022315613,-0.006840323185
3.84,0.007795436396,-0.009480977617
3.85,0.00471799796,-0.01131324765
3.86,0.001246096968,-0.01218688631
3.87,-0.002332962701,-0.01202828635
3.88,-0.005721636896,-0.01084666746
3.89,-0.008635063416,-0.008734441359
3.9,-0.01082366926,-0.005861501736
3.91,-0.01209391881,-0.002463497312
3.92,-0.01232559976,0.001175470837
3.93,-0.01148408373,0.004744837148
3.94,-0.009626181755,0.007932870397
3.95,-0.006898570106,0.01045344469
3.96,-0.003528297841,0.01207206944
3.97,0.000194423021,0.01262875677
3.98,0.003940157083,0.01205532942
3.99,0.007369131337,0.01038507368
4,0.01016258336,0.007753227631
4.01,0.01205359202,0.004387631012
4.02,0.01285421205,0.0005898715616
4.03,0.01247589407,-0.00329166858
4.04,0.01094070714,-0.006894468641
4.05,0.008381755598,-0.009877046248
4.06,0.005032308871,-0.01195302161
4.07,0.001204412976,-0.01292039276
4.08,-0.002741028926,-0.01268274434
4.09,-0.006429690428,-0.01125992118
4.1,-0.009511053792,-0.00878683003
4.11,-0.011693452,-0.005500352801
4.12,-0.01277313424,-0.001715699216
4.13,-0.0126542232,0.002205273997
