"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.189731700321393,-0.156511115539326
3.0175,-0.190581155363113,-0.149793620273694
3.035,-0.202716584311577,-0.143407008728135
3.0525,-0.213520402784528,-0.126277885287154
3.07,-0.220467260750973,-0.109883022870774
3.0875,-0.223548180542216,-0.0911762943523111
3.105,-0.225536012301493,-0.0774859258626729
3.1225,-0.230668948367642,-0.0589108221749398
3.14,-0.227263363381617,-0.0376719824508418
3.1575,-0.220245653476542,-0.02577414118733
3.175,-0.221985704269047,-0.0127499439973757
3.1925,-0.217272822856567,0.006897555783697
3.21,-0.207437987513643,0.0188823092668935
3.2275,-0.203809491728898,0.027775769104907
3.245,-0.201893545200488,0.0438715351215647
3.2625,-0.192010080284122,0.0618004868884738
3.28,-0.176591257761695,0.0716235612034707
3.2975,-0.170465856298446,0.0777730312600073
3.315,-0.162409605661238,0.0918388776177836
3.3325,-0.150331384603174,0.104077549469347
3.35,-0.13220307540653,0.116095765510248
3.3675,-0.113682920935088,0.117770339737012
3.385,-0.102133863528526,0.119379292787613
3.4025,-0.0880588843606052,0.123685041411757
3.42,-0.0731757853971445,0.123461176283361
3.4375,-0.0625935601820872,0.121701975428451
3.455,-0.0539467487120284,0.124159720813013
3.4725,-0.041032084199579,0.132032771084226
3.49,-0.0172157832597215,0.134368163989546
3.5075,0.0020358864945487,0.123771301146848
3.525,0.0133997042920739,0.118188420028772
3.5425,0.0329871074131429,0.111181222604134
3.56,0.0455621447503276,0.0918597649816442
3.5775,0.0466034962839105,0.0785167140265556
3.595,0.0468035402989724,0.0761462470785434
3.6125,0.061963337162613,0.0757749880705833
3.63,0.0745204119702797,0.060861480840455
3.6475,0.0813257050994567,0.0522564749921825
3.665,0.0945393372465196,0.0405523605472499
3.6825,0.105927887144876,0.0203745328302759
3.7,0.108526855641931,-0.00248310424504572
3.7175,0.105205223416053,-0.0227239198243002
3.735,0.0965125380867256,-0.0379743628191986
3.7525,0.0904661995613017,-0.0445910682574919
3.77,0.0926877225826299,-0.0507725780909587
3.7875,0.0974200836381248,-0.0668055591295199
3.805,0.0909742651560687,-0.0847151243922459
3.8225,0.0879060473310634,-0.093788343982711
3.84,0.0888913134203762,-0.114476413693784
3.8575,0.0722956621381956,-0.136628772044082
3.875,0.0573701015653063,-0.14251924600463
3.8925,0.0476915169170333,-0.1548545503483
3.91,0.0310826844162703,-0.163920860907277
3.9275,0.0168699696307426,-0.170629781179269
3.945,0.0018006272633108,-0.173414716782373
3.9625,-0.00763732995004431,-0.176751017307447
3.98,-0.018373510466502,-0.18424894646005
3.9975,-0.0342233985445682,-0.190889758132147
4.015,-0.0490846345961807,-0.193017262809408
4.0325,-0.061838804500359,-0.198218959492456
4.05,-0.0822305631185466,-0.205425428427086
4.0675,-0.108293613864123,-0.201733776477049
4.085,-0.125760366867618,-0.190233498900608
4.1025,-0.136178965001241,-0.181910524515202
4.12,-0.149405210745759,-0.177583890939821
4.1375,-0.163149901132726,-0.167646140383431
4.155,-0.170023435883065,-0.158399877318412
4.1725,-0.174900814261562,-0.155879946270485
4.19,-0.190300310438005,-0.16124075711446
4.2075,-0.216817110123315,-0.151600496920789
4.225,-0.231946697443167,-0.133521262573547
4.2425,-0.24433531117638,-0.115832374097886
4.26,-0.25243214636887,-0.0984467939335502
4.2775,-0.260637346225481,-0.077080485852592
4.295,-0.254562642179024,-0.0544577639740935
4.3125,-0.244284450399881,-0.0511526425630176
4.33,-0.252970250348705,-0.0536543424753655
4.3475,-0.266721474695056,-0.041427805752722
4.365,-0.273750244743581,-0.0254800676930522
4.3825,-0.28128286748843,-0.0100314664728918
4.4,-0.288674279420727,0.0135940314106782
4.4175,-0.284132782023044,0.0418645500776563
4.435,-0.267899557638116,0.0616399447653901
4.4525,-0.254182134666435,0.0674576155099779
4.47,-0.250871293184239,0.0731213717436535
4.4875,-0.246641710102216,0.0824576146958658
4.505,-0.242703511806207,0.0900176338171633
4.5225,-0.243537071273515,0.0969239870250541
4.54,-0.248763073343458,0.113804554568831
4.5575,-0.241133072702841,0.139546671932871
4.575,-0.221376684831566,0.15696702375168
4.5925,-0.203171086015067,0.162527624666228
4.61,-0.190922087805411,0.166086190997137
4.6275,-0.180852725731317,0.170600621314902
4.645,-0.169754170899872,0.176154566326599
4.6625,-0.158245852231147,0.176701586224165
4.68,-0.156220840977064,0.178091573187152
4.6975,-0.150263319580744,0.192560343535509
4.715,-0.132600207205839,0.199173634467153
4.7325,-0.122182560726118,0.201255641627432
4.75,-0.111169952831468,0.207936353003609
4.7675,-0.0950752527864555,0.215433235572773
4.785,-0.073623537134277,0.213074969880492
4.8025,-0.0625684891711192,0.204104498854443
4.82,-0.0557785084922895,0.201964935950483
4.8375,-0.0442569656805009,0.20012061245525
4.855,-0.0353126701970797,0.192543529299508
4.8725,-0.0348546478021133,0.188228983961945
4.89,-0.0331481588611593,0.194862336205687
4.9075,-0.0184143515227405,0.20462605066814
4.925,0.0032290843050934,0.203052061277067
4.9425,0.0209193283056301,0.192969863573452
4.96,0.0312630476122632,0.178969128403209
4.9775,0.0367684913920577,0.169510171155144
4.995,0.0435306685008626,0.159505748873487
5.0125,0.0452120487331308,0.148433237829735
5.03,0.0423486646282055,0.144186973055859
5.0475,0.0460519016393529,0.148010578299656
5.065,0.0582328337625996,0.148295941572011
5.0825,0.0733682500747459,0.142534451149224
5.1,0.0867763378156856,0.129496002568745
5.1175,0.0952714381711929,0.112289205103713
5.135,0.0959486869508779,0.0931351369490376
5.1525,0.0890547434853382,0.0802056820028158
5.17,0.0836542942323881,0.0766670638659518
5.1875,0.0860785343804432,0.0741416837438456
5.205,0.0892788922895545,0.067920403196402
5.2225,0.0925688935854245,0.0619805880245642
5.24,0.0988959765194786,0.0557672404471276
5.2575,0.108085410989232,0.041710979059098
5.275,0.108040243849163,0.0217085618893234
5.2925,0.100652350509507,0.00545071854728873
5.31,0.0897299842068538,-0.00453773040813489
5.3275,0.0821910770775827,-0.00793726533937303
5.345,0.0795034157854455,-0.0124028830374889
5.3625,0.0764276737414344,-0.0179032137480674
5.38,0.0758992076980566,-0.0234051711053153
5.3975,0.075413148892197,-0.03236418479298
5.415,0.0734859736127697,-0.0439556308967799
5.4325,0.0667434813955566,-0.0563917440071256
5.45,0.0578467412189112,-0.0662754279184465
5.4675,0.0479412383248184,-0.0744496038101214
5.485,0.0366111084198024,-0.0824240855066569
5.5025,0.0222909081361373,-0.0841069851150727
5.52,0.0158534106234837,-0.0826937079042703
5.5375,0.0106118807356005,-0.0871580002333017
5.555,0.00135438890245612,-0.0912350154518556
5.5725,-0.00697716100449108,-0.0911745211679362
5.59,-0.00921966901536771,-0.0926558081837783
5.6075,-0.0128588316626019,-0.103681849000661
5.625,-0.028214912780742,-0.114179585839096
5.6425,-0.0459783723856086,-0.117489563280251
5.66,-0.0647577732928226,-0.116167144978048
5.6775,-0.0791604643847964,-0.109723499697108
5.695,-0.0921408015186867,-0.102223969240483
5.7125,-0.0983203120948132,-0.0914348910697818
5.73,-0.0988473292979999,-0.0872108738100912
5.7475,-0.101524431741565,-0.0909093779868344
5.765,-0.113652444024691,-0.0956737470202316
5.7825,-0.127773117342145,-0.0952456969073394
5.8,-0.144368824082322,-0.0917514612843716
5.8175,-0.158962760368006,-0.0840533775268683
5.835,-0.175384356873893,-0.0742647698556766
5.8525,-0.187763861150472,-0.0555184300812676
5.87,-0.189588354794807,-0.0374301889919935
5.8875,-0.185604290471814,-0.0260761490149878
5.905,-0.184357100764953,-0.0253424564357854
5.9225,-0.193642556327443,-0.0232991627903432
5.94,-0.202742824325436,-0.0169276717951264
5.9575,-0.21521238599072,-0.00826533777467296
5.975,-0.226382713365146,0.00695511980544814
5.9925,-0.233540148265806,0.0257853875079522
6.01,-0.233451774015265,0.04499738912953
6.0275,-0.232258081224147,0.0596615411957622
6.045,-0.230515770968859,0.0758265167200283
6.0625,-0.223763936529567,0.0903619230731774
6.08,-0.215335850069494,0.0978566299117963
6.0975,-0.215923720901116,0.100698296748055
6.115,-0.221799963564495,0.111698393123457
6.1325,-0.224420999537825,0.128805304048443
6.15,-0.220140958863508,0.148489348994846
6.1675,-0.21215973377848,0.162516938474836
6.185,-0.207415137122381,0.177688526041777
6.2025,-0.196742090252651,0.195407688609513
6.22,-0.1818992682934,0.209200136382835
6.2375,-0.164462812441203,0.216624188388541
6.255,-0.153431468720575,0.218519353685906
6.2725,-0.146135546144957,0.223455537103642
6.29,-0.139647953625736,0.230582104837213
6.3075,-0.132007905932128,0.239845404048655
6.325,-0.124151772446799,0.251332903525327
6.3425,-0.110093471977867,0.266107285171787
6.36,-0.0900193057673586,0.276138897717556
6.3775,-0.0694657393192109,0.280741152106889
6.395,-0.0493228864221478,0.283376919041489
6.4125,-0.0256598992719966,0.280430880502555
6.43,-0.00974723167886653,0.267361339153866
6.4475,-0.00687445803571783,0.258877473796856
6.465,-0.00442019496964183,0.262338220948836
6.4825,0.00659819546163865,0.271180914800461
6.5,0.0252354519367054,0.276641393115988
6.5175,0.0465585567760139,0.276183439250494
6.535,0.0694586230831921,0.271116233954715
6.5525,0.0915152563978551,0.259964729955096
6.57,0.11026110256659,0.242188587144472
6.5875,0.119088468166648,0.220819502283647
6.605,0.119657363131225,0.205568766846186
6.6225,0.119463746149068,0.19896325463192
6.64,0.125821705582412,0.19741572118365
6.6575,0.137962765891874,0.194005491398874
6.675,0.154642904143175,0.186485298446489
6.6925,0.172151200966379,0.170578053275162
6.71,0.183310397383827,0.147419358676003
6.7275,0.184841838326092,0.125481006915239
6.745,0.185695387239845,0.1080774297077
6.7625,0.183597320029058,0.0889472748971974
6.78,0.176482656403852,0.0758275310463089
6.7975,0.173340514798342,0.0683738465495611
6.815,0.175256407234619,0.0605816616698632
6.8325,0.179958105449557,0.0489255186755727
6.85,0.182726892108892,0.0314635294709874
6.8675,0.179477803500962,0.0136962436792466
6.885,0.176168798324863,-0.00160359667423048
6.9025,0.171014384444284,-0.0202801136913602
6.92,0.160313227009951,-0.0372128440558151
6.9375,0.147619464233896,-0.0521667474618646
6.955,0.130541725644566,-0.0600730126574855
6.9725,0.1195875277604,-0.0617439170065988
6.99,0.112204945920978,-0.066449941976422
7.0075,0.105031018702724,-0.0712998077552591
7.025,0.0989691080908601,-0.0770045869064677
7.0425,0.0948916298672222,-0.085263408355099
7.06,0.0867626712930219,-0.0997739319681834
7.0775,0.0703082870272321,-0.111883156090255
7.095,0.0507853833960477,-0.118399055975119
7.1125,0.0315923164641339,-0.118892911942934
7.13,0.0142049386062505,-0.115582187306607
7.1475,0.00102832669713735,-0.106903653057721
7.165,-0.0037020462741072,-0.0999304812939774
7.1825,-0.00601637894307885,-0.0985418833880912
7.2,-0.0094477698923512,-0.103924673718834
7.2175,-0.0211806662403441,-0.111078843112105
7.235,-0.0353453053924095,-0.114708881352165
7.2525,-0.0555407310988132,-0.11642696601859
7.27,-0.0756707428866158,-0.10721245147451
7.2875,-0.090525583344152,-0.0945486526514793
7.305,-0.0984852515711235,-0.076454442127451
7.3225,-0.0967100422892059,-0.0651669471486166
7.34,-0.0960486942587853,-0.059743557142509
7.3575,-0.0962357162012244,-0.0599762993882372
7.375,-0.103469518452135,-0.0610932312341326
7.3925,-0.113002285179409,-0.0622583779496223
7.41,-0.12987955316089,-0.0602339644517168
7.4275,-0.146240384511028,-0.0474584243038337
7.445,-0.155473680503904,-0.0298493699753081
7.4625,-0.156923050758268,-0.0122918852367478
7.48,-0.153620906594991,0.000617877166885966
7.4975,-0.149432912626468,0.00901912081119351
7.515,-0.145479723515697,0.0133023379306188
7.5325,-0.144110722478218,0.0125775230908245
7.55,-0.15290056993984,0.0109335206606137
7.5675,-0.163934945956679,0.0203474600646073
7.585,-0.170193314916726,0.0306359966854763
7.6025,-0.177694634781736,0.0460556341840889
7.62,-0.176538266055827,0.064368802811796
7.6375,-0.170304612945596,0.0797104957189338
7.655,-0.159402126502672,0.0894429065286468
7.6725,-0.151334436915761,0.0918481392308262
7.69,-0.148129076093832,0.0923369010301602
7.7075,-0.149442340747688,0.0941981688585824
7.725,-0.152144322136449,0.0987353530533027
7.7425,-0.157128215817015,0.10559475798044
