"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.190852647341393,-0.165052686895326
3.0175,-0.193741914593113,-0.152056080426693
3.035,-0.204989763891577,-0.145402089638135
3.0525,-0.218927452567528,-0.127066393617154
3.07,-0.223207196832973,-0.105308538253774
3.0875,-0.222841542187216,-0.0892945406653111
3.105,-0.227613455282493,-0.0736173617596729
3.1225,-0.225201528798642,-0.0534128862529398
3.14,-0.219826511114517,-0.0411976411758418
3.1575,-0.221025187214542,-0.03149116311333
3.175,-0.225062830181947,-0.0134203292273757
3.1925,-0.214972965803567,0.008129422255697
3.21,-0.206571088551643,0.0119945668868935
3.2275,-0.213261905169898,0.026390553434907
3.245,-0.203871779094488,0.0511193922155647
3.2625,-0.188378611415122,0.0621659148934738
3.28,-0.181766732950695,0.0717431618494707
3.2975,-0.168877142600446,0.0871452939850073
3.315,-0.153629037666238,0.0940034959607836
3.3325,-0.141915986206174,0.0998152995293471
3.35,-0.13015173609953,0.105302035803248
3.3675,-0.120829833252088,0.110459085724012
3.385,-0.109190224695526,0.119330674097613
3.4025,-0.0943607755206052,0.124498423342757
3.42,-0.0807796788871445,0.129648981400361
3.4375,-0.0631928963020872,0.135352526987451
3.455,-0.0415861873950284,0.132834546837013
3.4725,-0.027418413554579,0.127417478916226
3.49,-0.0137225654997215,0.123007635668546
3.5075,-0.000214891334451295,0.116957751339848
3.525,0.0101240396920739,0.111372622565772
3.5425,0.0236056446691429,0.104524444450134
3.56,0.0294298549032276,0.0964230902516442
3.5775,0.0411307455579105,0.0971603112522556
3.595,0.0598456416559724,0.0891699475765434
3.6125,0.073917753568613,0.0734302856405833
3.63,0.0810027805332797,0.058373708650455
3.6475,0.0906134622494567,0.0458583791921825
3.665,0.0968278829985196,0.0234580163782499
3.6825,0.0913054025304762,0.00885760892427588
3.7,0.0921712206809312,0.000862008304954276
3.7175,0.0970739862290535,-0.0100018976123002
3.735,0.0976615335907256,-0.0250603451291986
3.7525,0.100170019753902,-0.0329782418074919
3.77,0.10914161602263,-0.0516606553509587
3.7875,0.106105450108125,-0.0784441498485199
3.805,0.0895978145760687,-0.0964645261462459
3.8225,0.0811981536310634,-0.101891055794711
3.84,0.0780792335503762,-0.116679089577784
3.8575,0.0642908031681956,-0.130656037124082
3.875,0.0543864715653063,-0.13627479961263
3.8925,0.0474253155170333,-0.1461574307363
3.91,0.0369447365262703,-0.157921232754277
3.9275,0.0251886137407426,-0.166944107174269
3.945,0.0125576972123108,-0.180761083258373
3.9625,-0.00881953794004431,-0.186103392811447
3.98,-0.022690237576502,-0.18990347771805
3.9975,-0.0401604717705682,-0.191917163092147
4.015,-0.0531111380491807,-0.192142535119408
4.0325,-0.065837780259359,-0.195759668552456
4.05,-0.0854151339135466,-0.201214754587086
4.0675,-0.108574753918123,-0.193889738237049
4.085,-0.118104400527618,-0.183260705035608
4.1025,-0.126468457538241,-0.183840255325202
4.12,-0.142835560677159,-0.184808565519821
