"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.186061036271393,-0.164872236440326
3.0175,-0.195156752593113,-0.156281617321694
3.035,-0.206138719249577,-0.142803433828135
3.0525,-0.214361849021528,-0.123931469712154
3.07,-0.216713677163973,-0.107464547136774
3.0875,-0.220326297097216,-0.0944151361543111
3.105,-0.225193610593493,-0.0752601051126729
3.1225,-0.221103002044642,-0.0603329020649398
3.14,-0.223504188240517,-0.0487683553218418
3.1575,-0.225738131715442,-0.03189333000333
3.175,-0.223013212134947,-0.0130794134473757
3.1925,-0.216347782889967,0.000947166983696996
3.21,-0.215327213265643,0.0150080679068935
3.2275,-0.205913693572898,0.034177421764907
3.245,-0.195444890660488,0.0425097495415647
3.2625,-0.191584018977122,0.0524067792504738
3.28,-0.185651017481695,0.0693628210984707
3.2975,-0.171607729258446,0.0813591005460073
3.315,-0.160439281011238,0.0922703943447836
3.3325,-0.145745724033174,0.0991572336413471
3.35,-0.13795703607653,0.105444565669248
3.3675,-0.120928262852088,0.118745539065012
3.385,-0.105339707565526,0.115543137724613
3.4025,-0.0986232196406052,0.120488519141757
3.42,-0.0857943386071445,0.133273339361361
3.4375,-0.0587027230820872,0.134880023023451
3.455,-0.0442493343020284,0.125094229303113
3.4725,-0.037483689529579,0.124008491025226
3.49,-0.0234123808897215,0.126108876062546
3.5075,-0.00641255827645129,0.125064309076848
3.525,0.00903394243207387,0.117325427248772
3.5425,0.0209034663791429,0.110452592554134
3.56,0.0323390787732276,0.107376712629644
3.5775,0.0543098439789105,0.0974144608222556
3.595,0.0600084241129724,0.0746264510175434
3.6125,0.057782813642613,0.0724992418805833
3.63,0.0764107413512797,0.068858327660455
3.6475,0.0879818446234567,0.0496757440621825
3.665,0.0914567133345196,0.0335586003972499
3.6825,0.0955459973008762,0.0227503966502759
3.7,0.102786033700931,0.00612823704495427
3.7175,0.103964008976053,-0.0110653796223002
3.735,0.100727902548726,-0.0254990823991986
3.7525,0.102477433913902,-0.0348929273374919
3.77,0.10840119396263,-0.0516418100809587
3.7875,0.103383612098125,-0.0758297168835199
3.805,0.0917850342360687,-0.0889270225462459
3.8225,0.0870731143410634,-0.098371324253711
3.84,0.0794487630603762,-0.113778766489784
3.8575,0.0740155882881956,-0.120744385949082
3.875,0.0708953874253063,-0.13980133139063
3.8925,0.0523914743970333,-0.1567456137133
3.91,0.0382707101962703,-0.160538888321277
3.9275,0.0279289866807426,-0.174275882525269
3.945,0.0068121732623108,-0.181504090748373
3.9625,-0.00595849893004431,-0.181821467758447
3.98,-0.017060455516502,-0.18814486221805
3.9975,-0.0306678603345682,-0.194524172522147
4.015,-0.0459436750161807,-0.201414695489408
4.0325,-0.069912964826359,-0.209973567842456
4.05,-0.0959882352925466,-0.196370467397086
4.0675,-0.0978014824371226,-0.187975331047049
4.085,-0.108706406223618,-0.197047217200608
4.1025,-0.134611226302241,-0.196244252945202
4.12,-0.150029919650759,-0.182789436419821
4.1375,-0.158631213071726,-0.179782219740431
4.155,-0.179223427242065,-0.177268658225412
4.1725,-0.198834238105562,-0.162149650780485
4.19,-0.206143269554005,-0.14292302896946
4.2075,-0.206689047011315,-0.139258950900789
4.225,-0.225402969483167,-0.138765932873547
4.2425,-0.24646854210638,-0.119327609664886
4.26,-0.25018908125887,-0.0972271059535502
4.2775,-0.251208671565481,-0.087705686838592
4.295,-0.265436210729024,-0.0782954158860934
4.3125,-0.271697293116881,-0.0536189976100176
4.33,-0.266114524018705,-0.0415837065933655
4.3475,-0.273254669115056,-0.035502411257182
4.365,-0.283592500903581,-0.0168989368380522
4.3825,-0.28545305555843,0.00998527142200819
4.4,-0.270088656310727,0.0272558523506782
4.4175,-0.266605236717044,0.0296978245176563
4.435,-0.274736975848116,0.0424325852553901
4.4525,-0.269797734380435,0.0654494707599779
4.47,-0.261045845761239,0.0762591029136535
4.4875,-0.259485354880216,0.0871924217158658
4.505,-0.255847581460207,0.106884703292163
4.5225,-0.239986821856515,0.123644134673054
4.54,-0.225596559983458,0.125341814117831
4.5575,-0.225863535610841,0.131123599012871
4.575,-0.221462256717566,0.14578796142168
4.5925,-0.210057818917067,0.161965851186228
4.61,-0.191960385845411,0.170760578077137
4.6275,-0.182207773831317,0.171584310054902
4.645,-0.172126431699872,0.182631806436599
4.6625,-0.158451606461147,0.183174486083165
4.68,-0.152109149157064,0.190036084321152
