"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.196857227084393,-0.168058218505326
3.0175,-0.199557162716113,-0.148166437398694
3.035,-0.204587371631577,-0.138356984211135
3.0525,-0.214155330688528,-0.124317298925154
3.07,-0.217931181786973,-0.105889817087774
3.0875,-0.221540441941216,-0.0937251179343111
3.105,-0.227871857866493,-0.0763198231726729
3.1225,-0.227744289747642,-0.0538309547109398
3.14,-0.218489237914517,-0.0432110169618418
3.1575,-0.226515283883542,-0.03351939939333
3.175,-0.227521181594947,-0.0088387921953757
3.1925,-0.213773558404567,0.009999306972697
3.21,-0.207302647712643,0.0144975615868935
3.2275,-0.208801759854898,0.029195257754907
3.245,-0.200124546755488,0.0495144809765647
3.2625,-0.187164614820122,0.0571648759104738
3.28,-0.183881141011695,0.0709662701524707
3.2975,-0.169690140173446,0.0856828399510073
3.315,-0.153336269295238,0.0928235302317836
3.3325,-0.147364636033174,0.0954265375283471
3.35,-0.13843626216653,0.112162493568248
3.3675,-0.115177923045088,0.121741390676012
3.385,-0.100511033304526,0.114788903148613
3.4025,-0.0963870397306052,0.123679116510757
3.42,-0.0755007822771445,0.130678527911361
3.4375,-0.0590044913620872,0.126565851322951
3.455,-0.0505095587120284,0.127493827719013
3.4725,-0.031647364669579,0.131375354289226
3.49,-0.0129441681477215,0.124782667193546
3.5075,-0.0045893479564513,0.115404414208848
3.525,0.00667286840207387,0.120101153758772
3.5425,0.0303003357011429,0.111911252874134
3.56,0.0410753263892276,0.0939581307456442
3.5775,0.0413157857179105,0.0879016672622556
3.595,0.0583934499989724,0.0862207356065434
3.6125,0.071536254993613,0.0691540933705833
3.63,0.0749232434092797,0.056066777630455
3.6475,0.0839443236764567,0.0486745748321825
3.665,0.0937769879225196,0.0315208554272499
3.6825,0.0954619666198762,0.0147023307902759
3.7,0.0980835120439312,0.00537150948495427
3.7175,0.106231246256053,-0.0148330613023002
3.735,0.0988342183567256,-0.0310925349791986
3.7525,0.0983566989679018,-0.0416046224474919
3.77,0.10014324089263,-0.0527302417909587
3.7875,0.101983486248125,-0.0752621799245199
3.805,0.0870005020460687,-0.0919718177912459
3.8225,0.0827538840210634,-0.096582028452711
3.84,0.0808931160903762,-0.114048473868784
3.8575,0.0708566145081956,-0.129272306350682
3.875,0.0569811546953063,-0.14217404971663
3.8925,0.0464220627270333,-0.1477911508098
3.91,0.0375939641362703,-0.159592882365277
3.9275,0.0239319628207426,-0.172343329945269
3.945,0.0055383424223108,-0.179528272438373
3.9625,-0.0108542116500443,-0.183769085201447
3.98,-0.023718018916502,-0.18257555577905
3.9975,-0.0325590769345682,-0.189813721532147
4.015,-0.0484399326861807,-0.197812906799408
4.0325,-0.072341853779359,-0.202074374642456
4.05,-0.0910900445445466,-0.192711432797086
4.0675,-0.0990418296841226,-0.188235554227049
4.085,-0.111354844624618,-0.192863974180608
4.1025,-0.133603129000241,-0.191355741495202
4.12,-0.150893959695759,-0.181237300269821
4.1375,-0.162935641270726,-0.171223020800431
4.155,-0.170865817025065,-0.164906735075412
4.1725,-0.187659647815562,-0.163910526000485
4.19,-0.204829386494005,-0.14804985432446
4.2075,-0.212271758593315,-0.136689840240789
4.225,-0.221935385393167,-0.127063558782547
4.2425,-0.23458082686638,-0.117237771484886
4.26,-0.24492859562887,-0.10135202590955
4.2775,-0.251345831065481,-0.086709500341592
4.295,-0.257680356529024,-0.0744441031990934
4.3125,-0.265124515006881,-0.0578969917570176
4.33,-0.265855227358705,-0.0440640495363655
4.3475,-0.271207417485056,-0.030973875622722
4.365,-0.274314070333581,-0.0134198551540522
4.3825,-0.27205399352843,0.00353014526200819
4.4,-0.269186675670727,0.0152112247406782
4.4175,-0.270295062203044,0.0272922255976563
4.435,-0.270303040398116,0.0418667822853901
4.4525,-0.270350044020435,0.0588451518999779
4.47,-0.262898857451239,0.0778140197936535
4.4875,-0.252734734899215,0.0909060812358658
4.505,-0.242355103496207,0.0979311288921633
4.5225,-0.241951591871115,0.103766209593054
4.54,-0.241987845212458,0.120796400427831
4.5575,-0.228376512810841,0.140611418002871
4.575,-0.212092079432566,0.14502516702168
4.5925,-0.206947036615067,0.149906953796228
4.61,-0.200819755945411,0.161446400577137
4.6275,-0.187691632451317,0.173239641444902
4.645,-0.173533964699872,0.177518020686599
4.6625,-0.166192610301147,0.181721929249165
4.68,-0.154807245077064,0.192312092442152
4.6975,-0.138684605492744,0.195832612630509
4.715,-0.127003323415839,0.197814004565153
4.7325,-0.113268615306118,0.198125530686832
4.75,-0.108544148351468,0.195673656946609
4.7675,-0.101607610146456,0.207945321204773
4.785,-0.081291239244277,0.212109125021492
4.8025,-0.0656622944611192,0.206733190280443
4.82,-0.0587365264222895,0.200729799390483
4.8375,-0.0526005817605009,0.20265733445825
4.855,-0.0398926167970797,0.205863181911508
4.8725,-0.0237432947351133,0.200895634201945
4.89,-0.0169168574281593,0.192893803395687
4.9075,-0.0111139083027405,0.19290893715014
4.925,0.0029599777430934,0.191956946190167
4.9425,0.0128743603266301,0.182892133697452
4.96,0.0196255938582632,0.178569389393209
4.9775,0.0278690923217577,0.174034164975144
4.995,0.0373252263273626,0.169660899333487
5.0125,0.0486145316981308,0.163196515829735
5.03,0.0577427903242055,0.150147927335859
5.0475,0.0578709024663528,0.140186321569656
5.065,0.0604916825425996,0.137949140102011
5.0825,0.0710292649007459,0.134880486812224
5.1,0.0818740551036856,0.122592354601745
5.1175,0.0838858835941929,0.108290990892713
5.135,0.0837239954231779,0.101444171261038
5.1525,0.0883945390253382,0.0942915169468158
5.17,0.0921786737123881,0.0856216811159518
5.1875,0.0966901097604432,0.0753969193578456
5.205,0.0982655874695545,0.063267610918402
5.2225,0.0977676135754245,0.0526543512245642
5.24,0.0961165539994786,0.0425378448111276
5.2575,0.0946461865832319,0.036271863090098
5.275,0.0969974914715632,0.0273246196749234
5.2925,0.0969006151725072,0.0160496739342887
5.31,0.0937409184218538,0.00420997819386511
5.3275,0.0895060529975827,-0.00446518089837303
