"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.1113587076,-0.04465725032
3.014,0.1075674303,-0.05241980889
3.028,0.1032390352,-0.05986801569
3.042,0.09839913302,-0.06696503882
3.056,0.09307583156,-0.07367610477
3.07,0.08729957177,-0.07996866504
3.084,0.08110295333,-0.08581254999
3.098,0.07452055031,-0.09118010906
3.112,0.06758871789,-0.09604633686
3.126,0.06034539143,-0.1003889845
3.14,0.05282987878,-0.1041886557
3.154,0.04508264715,-0.1074288878
3.168,0.0371451056,-0.110096216
3.182,0.02905938433,-0.1121802227
3.196,0.0208681119,-0.1136735701
3.21,0.01261419166,-0.1145720165
3.224,0.004340578409,-0.1148744169
3.238,-0.003909943454,-0.1145827077
3.252,-0.01209497922,-0.1137018749
3.266,-0.02017273947,-0.1122399079
3.28,-0.02810225093,-0.1102077373
3.294,-0.03584356155,-0.1076191585
3.308,-0.04335793868,-0.1044907413
3.322,-0.05060805965,-0.1008417257
3.336,-0.05755819354,-0.09669390477
3.35,-0.0641743735,-0.09207149553
3.364,-0.07042455878,-0.08700099841
3.378,-0.07627878559,-0.08151104595
3.392,-0.08170930635,-0.07563224184
3.406,-0.08669071654,-0.06939699107
3.42,-0.09120006865,-0.06283932221
3.434,-0.09521697279,-0.05599470271
3.448,-0.09872368358,-0.04889984824
3.462,-0.1017051729,-0.04159252714
3.476,-0.1041491882,-0.03411136087
3.49,-0.1060462968,-0.02649562167
3.504,-0.1073899146,-0.01878502836
3.518,-0.1081763214,-0.01101954139
3.532,-0.1084046604,-0.00323915807
3.546,-0.108076924,0.004516290837
3.56,-0.1071979251,0.01220734224
3.574,-0.1057752541,0.01979509858
3.588,-0.1038192228,0.02724142141
3.602,-0.1013427939,0.03450911979
3.616,-0.0983614992,0.04156213257
3.63,-0.09489334359,0.04836570374
3.644,-0.09095869887,0.05488654994
3.658,-0.0865801854,0.06109301948
3.672,-0.08178254369,0.06695524199
3.686,-0.07659249606,0.07244526813
