"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.08956891128,-0.02097448227
3.014,0.08771829688,-0.02723039503
3.028,0.085433275,-0.03333048401
3.042,0.08272652526,-0.03924478041
3.056,0.07961277913,-0.04494431906
3.07,0.07610874246,-0.05040127758
3.084,0.07223300862,-0.0555891098
3.098,0.06800596281,-0.06048267267
3.112,0.06344967782,-0.06505834614
3.126,0.05858780196,-0.06929414547
3.14,0.05344543949,-0.07316982538
3.154,0.04804902428,-0.07666697567
3.168,0.04242618721,-0.07976910769
3.182,0.03660561808,-0.08246173146
3.196,0.03061692245,-0.08473242298
3.21,0.02449047438,-0.08657088134
3.224,0.01825726556,-0.08796897555
3.238,0.01194875165,-0.08892078071
3.252,0.00559669653,-0.08942260342
3.266,-0.0007669847633,-0.08947299634
3.28,-0.007110383698,-0.08907276172
3.294,-0.01340175573,-0.08822494403
3.308,-0.01960967683,-0.08693481161
3.322,-0.02570319839,-0.0852098275
3.336,-0.03165199962,-0.0830596095
3.35,-0.03742653681,-0.08049587974
3.364,-0.04299818873,-0.077532404
3.378,-0.0483393974,-0.07418492096
3.392,-0.05342380357,-0.07047106179
3.406,-0.0582263763,-0.06641026056
3.42,-0.06272353592,-0.06202365563
3.434,-0.06689326979,-0.05733398283
3.448,-0.07071524041,-0.05236546067
3.462,-0.07417088506,-0.04714366825
3.476,-0.07724350686,-0.04169541649
3.49,-0.07991835639,-0.03604861321
3.504,-0.08218270376,-0.03023212281
3.518,-0.08402590065,-0.02427562118
3.532,-0.08543943197,-0.0182094465
3.546,-0.0864169569,-0.01206444686
3.56,-0.08695433917,-0.005871825163
3.574,-0.08704966621,0.0003370176907
3.588,-0.08670325735,0.006530640645
3.602,-0.0859176607,0.0126777206
3.616,-0.08469763899,0.01874720998
3.63,-0.08305014419,0.02470849291
3.644,-0.0809842812,0.03053153936
3.658,-0.07851126067,0.03618705633
3.672,-0.07564434118,0.04164663541
3.686,-0.07239876108,0.0468828959
3.7,-0.06879166035,0.05186962285
3.714,-0.06484199276,0.0565818992
3.728,-0.06057042884,0.06099623146
3.742,-0.05599925009,0.06509066819
3.756,-0.05115223504,0.06884491069
3.77,-0.04605453752,0.0722404154
3.784,-0.04073255807,0.07526048735
3.798,-0.03521380877,0.07789036427
3.812,-0.02952677247,0.08011729084
3.826,-0.02370075697,0.08193058279
3.84,-0.0177657449,0.08332168038
3.854,-0.01175224014,0.08428419103
3.868,-0.005691111502,0.08481392093
3.882,0.0003865655562,0.08490889527
3.896,0.00644966826,0.08456936721
3.91,0.01246718619,0.0837978153
3.924,0.01840838041,0.08259892949
3.938,0.0242429412,0.08097958577
3.952,0.02994114369,0.07894880945
3.966,0.03547400045,0.07651772743
3.98,0.04081341029,0.07369950957
3.994,0.04593230253,0.0705092994
4.008,0.05080477597,0.06696413474
4.022,0.05540623174,0.0630828584
4.036,0.05971349948,0.05888601952
4.05,0.06370495603,0.0543957661
4.064,0.06736063618,0.0496357291
4.078,0.07066233464,0.04463089899
4.092,0.07359369898,0.03940749509
4.106,0.07614031282,0.03399282858
4.12,0.07828976893,0.02841515988
4.134,0.0800317318,0.02270355097
4.148,0.08135798939,0.0168877137
4.162,0.08226249377,0.01099785469
4.176,0.0827413904,0.005064517622
4.19,0.08279303585,-0.0008815760273
4.204,0.08241800408,-0.006809687255
4.218,0.08161908088,-0.01268921974
4.232,0.08040124684,-0.01848987923
4.246,0.07877164877,-0.02418183126
4.26,0.07673955971,-0.02973585637
4.274,0.07431632778,-0.03512350193
4.288,0.07151531421,-0.04031722985
4.302,0.06835182074,-0.04529055937
4.316,0.06484300686,-0.0500182041
4.33,0.06100779737,-0.05447620272
4.344,0.05686678066,-0.05864204247
4.358,0.05244209831,-0.06249477492
4.372,0.04775732666,-0.06601512336
4.386,0.04283735085,-0.06918558117
4.4,0.03770823211,-0.07199050076
4.414,0.03239706903,-0.07441617256
4.428,0.02693185349,-0.07645089361
4.442,0.021341322,-0.07808502547
4.456,0.01565480342,-0.07931104106
4.47,0.009902063676,-0.0801235603
4.484,0.00411314841,-0.0805193742
4.498,-0.001681775559,-0.08049745753
4.512,-0.007452579196,-0.08005896974
4.526,-0.01316932971,-0.07920724438
4.54,-0.01880244771,-0.07794776694
4.554,-0.02432286213,-0.07628814131
4.568,-0.02970216228,-0.07423804503
4.582,-0.03491274591,-0.07180917363
4.596,-0.03992796283,-0.06901517434
4.61,-0.04472225307,-0.06587156953
4.624,-0.04927127897,-0.06239567041
4.638,-0.05355205042,-0.05860648134
4.652,-0.05754304276,-0.05452459536
4.666,-0.06122430644,-0.05017208156
4.68,-0.06457756815,-0.04557236478
4.694,-0.06758632268,-0.04075009848
4.708,-0.07023591523,-0.03573103134
4.722,-0.07251361352,-0.03054186838
4.736,-0.07440866957,-0.02521012741
4.75,-0.0759123707,-0.01976399149
4.764,-0.07701807953,-0.01423215827
4.778,-0.07772126281,-0.0086436871
4.792,-0.07801950899,-0.003027844542
4.806,-0.07791253438,0.002586050636
4.82,-0.07740217801,0.00816878233
4.834,-0.07649238514,0.01369139092
4.848,-0.07518917966,0.01912532521
4.862,-0.07350062546,0.02444259173
4.876,-0.07143677711,0.02961590051
4.89,-0.06900962006,0.03461880665
4.904,-0.06623300082,0.03942584691
4.918,-0.0631225474,0.04401267053
4.932,-0.05969558066,0.04835616372
4.946,-0.05597101691,0.05243456704
4.96,-0.05196926234,0.05622758521
4.974,-0.04771210006,0.05971648865
4.988,-0.0432225701,0.06288420632
5.002,-0.03852484333,0.06571540941
5.016,-0.03364408975,0.06819658534
5.03,-0.02860634213,0.07031610193
5.044,-0.0234383555,0.07206426121
5.058,-0.01816746347,0.07343334277
5.072,-0.01282143212,0.07441763645
5.086,-0.007428312059,0.07501346417
5.1,-0.00201628984,0.07521919091
5.114,0.003386460874,0.07503522479
5.128,0.008751927305,0.07446400635
5.142,0.01405240408,0.07350998702
5.156,0.01926063742,0.07217959713
5.17,0.02434996628,0.07048120354
5.184,0.02929445972,0.06842505723
5.198,0.03406904967,0.06602323113
5.212,0.03864965859,0.06328954867
5.226,0.04301332124,0.06023950338
5.24,0.04713829989,0.05689017012
5.254,0.05100419266,0.05326010827
5.268,0.05459203403,0.04936925776
5.282,0.05788438748,0.04523882816
5.296,0.06086542941,0.04089118176
5.31,0.06352102429,0.03634971116
5.324,0.06583879037,0.03163871201
5.338,0.06780815592,0.02678325178
5.352,0.06942040562,0.02180903505
5.366,0.07066871691,0.01674226627
5.38,0.07154818624,0.01160951056
5.394,0.07205584508,0.006437553465
5.408,0.07219066568,0.001253260227
5.422,0.07195355662,-0.003916564501
5.436,0.07134734827,-0.009045315882
5.45,0.07037676827,-0.01410672627
5.464,0.06904840711,-0.01907500005
5.478,0.06737067437,-0.02392494523
5.492,0.06535374548,-0.02863210115
5.506,0.06300949976,-0.03317286156
5.52,0.06035144979,-0.03752459264
5.534,0.0573946628,-0.04166574512
5.548,0.05415567429,-0.04557596022
5.562,0.05065239467,-0.04923616865
5.576,0.04690400915,-0.0526286824
5.59,0.04293087176,-0.05573727875
5.604,0.03875439381,-0.05854727619
5.618,0.03439692762,-0.06104560185
5.632,0.02988164604,-0.06322085023
5.646,0.02523241849,-0.0650633329
5.66,0.0204736841,-0.06656511902
5.674,0.01563032275,-0.0677200665
5.688,0.0107275246,-0.06852384377
5.702,0.005790658821,-0.06897394201
5.716,0.0008451422165,-0.069069678
5.73,-0.004083691547,-0.06881218741
5.744,-0.008970721495,-0.06820440889
5.758,-0.01379116698,-0.06725105892
5.772,-0.01852071278,-0.0659585977
5.786,-0.02313563097,-0.06433518632
5.8,-0.02761289909,-0.06239063544
5.814,-0.03193031388,-0.06013634586
5.828,-0.03606660012,-0.05758524137
5.842,-0.04000151407,-0.05475169414
5.856,-0.04371594093,-0.05165144327
