"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.1032610224,-0.02388902413
3.014,0.1012006782,-0.03114739363
3.028,0.09863096418,-0.03823606551
3.042,0.09556536897,-0.04511929884
3.056,0.09201989403,-0.05176239261
3.07,0.08801297594,-0.05813186334
3.084,0.08356539582,-0.06419561704
3.098,0.0787001765,-0.06992311459
3.112,0.07344246784,-0.0752855297
3.126,0.06781942081,-0.08025589849
3.14,0.06186005082,-0.0848092599
3.154,0.05559509109,-0.08892278623
3.168,0.04905683661,-0.09257590291
3.182,0.04227897964,-0.09575039702
3.196,0.03529643747,-0.0984305137
3.21,0.0281451733,-0.1006030401
3.224,0.02086201126,-0.1022573763
3.238,0.01348444639,-0.1033855924
3.252,0.006050450746,-0.1039824724
3.266,-0.001401723577,-0.1040455431
3.28,-0.008833743223,-0.1035750897
3.294,-0.01620739327,-0.1025741553
3.308,-0.02348477668,-0.1010485277
3.322,-0.03062851246,-0.09900671026
3.336,-0.03760193146,-0.09645987881
3.35,-0.04436926874,-0.09342182441
3.364,-0.05089585138,-0.08990888191
3.378,-0.05714828086,-0.08593984493
3.392,-0.06309460883,-0.08153586765
3.406,-0.06870450541,-0.0767203538
3.42,-0.07394941897,-0.07151883352
3.434,-0.07880272666,-0.06595882876
3.448,-0.08323987467,-0.06006970779
3.462,-0.08723850753,-0.05388252975
3.476,-0.09077858571,-0.04742987996
3.49,-0.09384249079,-0.04074569696
3.504,-0.09641511771,-0.03386509219
3.518,-0.09848395346,-0.02682416326
3.532,-0.1000391418,-0.01965980187
3.546,-0.1010735339,-0.01240949744
3.56,-0.1015827235,-0.005111137513
3.574,-0.1015650688,0.002197193952
3.588,-0.1010216976,0.009477419328
3.602,-0.0999564988,0.0166916699
3.616,-0.09837609824,0.02380248724
3.63,-0.09628981997,0.03077302219
3.644,-0.0937096329,0.03756723039
3.658,-0.0906500831,0.04415006327
3.672,-0.0871282122,0.05048765343
3.686,-0.08316346236,0.05654749334
3.7,-0.07877756829,0.06229860647
3.714,-0.07399443703,0.0677117098
3.728,-0.06884001602,0.07275936694
3.742,-0.0633421504,0.07741613081
3.756,-0.05753043022,0.08165867541
3.77,-0.05143602842,0.08546591564
3.784,-0.04509153062,0.08881911477
3.798,-0.03853075757,0.09170197884
3.812,-0.03178858131,0.09410073758
3.826,-0.02490073606,0.0960042114
3.84,-0.01790362496,0.0974038641
3.854,-0.01083412367,0.09829384104
3.868,-0.003729381962,0.09867099265
3.882,0.003373375505,0.09853488316
3.896,0.01043704829,0.09788778453
3.91,0.01742485786,0.09673465572
3.924,0.02430054293,0.09508310739
3.938,0.03102855124,0.09294335238
3.952,0.03757422682,0.0903281422
3.966,0.0439039917,0.08725269
3.98,0.04998552102,0.08373458055
3.994,0.05578791069,0.07979366757
4.008,0.06128183664,0.07545195941
4.022,0.06643970482,0.07073349336
4.036,0.07123579125,0.06566419962
4.05,0.07564637125,0.06027175569
4.064,0.07964983732,0.05458543183
4.078,0.08322680505,0.04863592885
4.092,0.08636020647,0.04245520879
4.106,0.08903537054,0.03607631972
4.12,0.09124009021,0.02953321559
4.134,0.09296467599,0.02286057206
4.148,0.09420199562,0.01609359946
4.162,0.09494749986,0.009267853875
4.176,0.09519923424,0.002419047392
4.19,0.09495783682,-0.004417141443
4.204,0.09422652212,-0.01120525591
4.218,0.09301105137,-0.01791024716
4.232,0.09131968925,-0.02449765693
4.246,0.08916314761,-0.03093379614
4.26,0.08655451647,-0.03718591824
4.274,0.08350918269,-0.04322238646
4.288,0.08004473706,-0.04901283425
4.302,0.07618087018,-0.05452831784
4.316,0.07193925786,-0.05974146038
4.33,0.06734343679,-0.06462658681
4.344,0.06241867111,-0.0691598489
4.358,0.05719181078,-0.07331933978
4.372,0.05169114249,-0.07708519753
4.386,0.045946234,-0.08043969722
4.4,0.03998777278,-0.08336733124
4.414,0.03384739987,-0.08585487727
4.428,0.02755753993,-0.08789145392
4.442,0.02115122825,-0.08946856373
4.456,0.01466193583,-0.09058012332
4.47,0.00812339345,-0.09122248085
4.484,0.001569415521,-0.09139442059
4.498,-0.004966275174,-0.09109715487
4.512,-0.01145022105,-0.09033430339
4.526,-0.0178494007,-0.08911186029
4.54,-0.02413139631,-0.08743814908
4.554,-0.03026455689,-0.08532376593
4.568,-0.03621815622,-0.08278151159
4.582,-0.04196254503,-0.07982631251
4.596,-0.04746929644,-0.07647513153
4.61,-0.05271134411,-0.07274686883
4.624,-0.05766311245,-0.06866225365
4.638,-0.06230063821,-0.06424372747
4.652,-0.06660168299,-0.05951531926
4.666,-0.07054583612,-0.05450251354
4.68,-0.07411460752,-0.0492321121
4.694,-0.07729151014,-0.04373208988
4.708,-0.08006213161,-0.03803144606
4.722,-0.08241419493,-0.03216005101
4.736,-0.08433760792,-0.02614848993
4.75,-0.08582450129,-0.020027904
4.764,-0.08686925527,-0.01382982993
4.778,-0.08746851473,-0.007586038564
4.792,-0.08762119287,-0.001328373528
4.806,-0.08732846351,0.004911409376
4.82,-0.08659374211,0.01110180122
4.834,-0.08542265581,0.01721169668
4.848,-0.08382300258,0.02321054763
4.862,-0.08180469991,0.02906851297
4.876,-0.07937972333,0.03475660389
4.89,-0.07656203509,0.04024682397
4.904,-0.07336750352,0.04551230342
4.918,-0.06981381354,0.05052742686
4.932,-0.0659203687,0.05526795413
4.946,-0.06170818546,0.05971113348
4.96,-0.0571997802,0.06383580681
4.974,-0.05241904952,0.06762250633
4.988,-0.04739114456,0.07105354242
5.002,-0.04214233993,0.0741130822
5.016,-0.03669989791,0.07678721854
5.03,-0.03109192864,0.07906402931
5.044,-0.02534724699,0.08093362656
5.058,-0.01949522679,0.08238819549
5.072,-0.01356565319,0.08342202318
5.086,-0.007588573763,0.08403151686
5.1,-0.001594149201,0.08421521186
5.114,0.004387495784,0.08397376914
5.128,0.01032642062,0.08330996253
5.142,0.01619301537,0.08222865587
5.156,0.02195814498,0.08073677002
5.17,0.02759329041,0.07884324018
5.184,0.03307068628,0.07655896369
5.198,0.03836345411,0.07389673848
5.212,0.04344573081,0.07087119272
5.226,0.04829279161,0.06749870591
5.24,0.05288116706,0.06379732184
5.254,0.05718875348,0.05978665391
5.268,0.0611949164,0.05548778325
5.282,0.06488058651,0.05092315011
5.296,0.06822834772,0.04611643919
5.31,0.07122251699,0.04109245931
5.324,0.07384921548,0.0358770181
5.338,0.07609643081,0.03049679233
5.352,0.07795407013,0.0249791944
5.366,0.07941400377,0.01935223575
5.38,0.08047009934,0.01364438775
5.394,0.08111824606,0.00788444079
5.408,0.08135636932,0.002101362159
5.422,0.08118443538,-0.003675846494
5.436,0.08060444617,-0.009418291582
5.45,0.07962042438,-0.01509732912
5.464,0.07823838868,-0.02068470474
5.478,0.07646631951,-0.02615269159
5.492,0.07431411528,-0.03147422533
