"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.06526557214,-0.02325658466
3.014,0.06327040733,-0.02778863401
3.028,0.06096216808,-0.03215342115
3.042,0.0583547082,-0.03632945229
3.056,0.05546334429,-0.0402963778
3.07,0.05230476074,-0.04403509034
3.084,0.04889690825,-0.04752781493
3.098,0.04525889677,-0.05075819074
3.112,0.04141088328,-0.05371134402
3.126,0.03737395542,-0.05637395218
3.14,0.03317001147,-0.0587342985
3.154,0.02882163756,-0.06078231762
3.168,0.02435198283,-0.06250963149
3.182,0.01978463317,-0.06390957587
3.196,0.01514348442,-0.06497721736
3.21,0.01045261564,-0.06570936104
3.224,0.005736163175,-0.06610454891
3.238,0.00101819611,-0.06616304921
3.252,-0.00367740608,-0.06588683697
3.266,-0.008327073242,-0.06527956596
3.28,-0.01290766094,-0.06434653246
3.294,-0.01739656304,-0.06309463106
3.308,-0.02177181989,-0.0615323031
3.322,-0.02601222176,-0.05966947791
3.336,-0.03009740697,-0.05751750749
3.35,-0.03400795443,-0.05508909502
3.364,-0.03772547014,-0.05239821764
3.378,-0.04123266745,-0.04946004416
3.392,-0.0445134407,-0.04629084796
3.406,-0.04755293212,-0.04290791586
3.42,-0.05033759174,-0.03932945332
3.434,-0.05285523019,-0.03557448651
3.448,-0.05509506426,-0.03166276188
3.462,-0.05704775521,-0.02761464358
3.476,-0.05870543973,-0.02345100944
3.49,-0.06006175357,-0.01919314581
3.504,-0.0611118479,-0.01486264194
3.518,-0.06185239846,-0.01048128423
3.532,-0.06228160756,-0.006070950964
3.546,-0.06239919906,-0.001653507802
3.56,-0.06220640652,0.002749295366
3.574,-0.06170595461,0.007115925883
3.588,-0.06090203407,0.01142516768
3.602,-0.05980027034,0.01565621815
3.616,-0.05840768606,0.01978878214
3.63,-0.05673265789,0.02380316281
3.644,-0.05478486757,0.02768034892
3.658,-0.05257524785,0.03140209832
3.672,-0.05011592327,0.03495101733
3.686,-0.04742014632,0.03831063579
3.7,-0.04450222906,0.04146547742
3.714,-0.04137747077,0.04440112538
3.728,-0.03806208166,0.0471042828
3.742,-0.03457310325,0.049562828
3.756,-0.03092832549,0.05176586434
3.77,-0.02714620123,0.05370376449
3.784,-0.02324575811,0.05536820894
3.798,-0.01924650845,0.05675221874
3.812,-0.01516835732,0.05785018228
3.826,-0.01103150935,0.05865787599
3.84,-0.006856374369,0.05917247908
3.854,-0.00266347251,0.05939258197
3.868,0.001526661008,0.05931818875
3.882,0.005693571004,0.05895071327
3.896,0.009816976989,0.0582929692
3.91,0.01387686697,0.05734915387
3.924,0.01785359005,0.05612482605
3.938,0.0217279474,0.05462687767
3.952,0.02548128128,0.05286349968
3.966,0.02909556172,0.05084414198
3.98,0.03255347045,0.04857946774
3.994,0.03583848178,0.0460813022
4.008,0.03893494,0.04336257604
4.022,0.04182813299,0.04043726371
4.036,0.04450436171,0.03732031675
4.05,0.04695100519,0.03402759255
4.064,0.04915658071,0.0305757786
4.078,0.05111079887,0.02698231278
4.092,0.05280461331,0.02326529982
4.106,0.0542302647,0.01944342434
4.12,0.05538131881,0.01553586087
4.134,0.05625269847,0.01156218121
4.148,0.05684070911,0.00754225953
4.162,0.05714305778,0.003496175634
4.176,0.0571588655,-0.0005558831133
4.19,0.05688867274,-0.004593720814
4.204,0.05633443799,-0.008597232494
4.218,0.05549952943,-0.01254650352
4.232,0.05438870953,-0.0164219085
4.246,0.05300811269,-0.02020420912
4.26,0.05136521596,-0.02387465049
4.274,0.04946880287,-0.02741505543
4.288,0.0473289206,-0.03080791625
4.302,0.04495683052,-0.03403648342
4.316,0.04236495241,-0.03708485087
4.33,0.03956680252,-0.03993803713
4.344,0.03657692579,-0.04258206216
4.358,0.03341082255,-0.04500401922
4.372,0.03008487001,-0.04719214144
4.386,0.02661623892,-0.04913586271
4.4,0.02302280585,-0.05082587243
4.414,0.01932306159,-0.05225416395
4.428,0.0155360159,-0.05341407622
4.442,0.01168109944,-0.05430032847
4.456,0.007778063197,-0.05490904766
4.47,0.003846875912,-0.0552377886
4.484,-9.237975031E-05,-0.05528554639
4.498,-0.004019611886,-0.05505276129
4.512,-0.007914824238,-0.05454131586
4.526,-0.0117582207,-0.0537545243
4.54,-0.01553030889,-0.05269711413
4.554,-0.01921200213,-0.05137520025
4.568,-0.02278471936,-0.04979625143
4.582,-0.02623048232,-0.04796904951
4.596,-0.02953200948,-0.04590364149
4.61,-0.03267280621,-0.04361128468
4.624,-0.03563725057,-0.04110438537
4.638,-0.03841067443,-0.03839643121
4.652,-0.04097943913,-0.0355019178
4.666,-0.04333100562,-0.03243626985
4.68,-0.04545399838,-0.02921575733
4.694,-0.04733826291,-0.0258574072
4.708,-0.04897491641,-0.02237891108
4.722,-0.05035639141,-0.01879852958
4.736,-0.05147647207,-0.01513499366
4.75,-0.05233032295,-0.01140740371
4.764,-0.0529145102,-0.00763512693
4.778,-0.05322701487,-0.003837693521
4.792,-0.05326723855,-3.469239735E-05
4.806,-0.05303600113,0.003754333055
4.82,-0.05253553077,0.007509988546
4.834,-0.05176944626,0.01121313118
4.848,-0.05074273181,0.01484496994
4.862,-0.04946170449,0.0183871637
4.876,-0.04793397456,0.02182191636
4.89,-0.04616839895,0.02513206843
4.904,-0.04417502815,0.0283011847
4.918,-0.04196504698,0.03131363734
4.932,-0.03955070946,0.03415468421
4.946,-0.03694526836,0.03681054183
4.96,-0.03416289974,0.03926845262
4.974,-0.03121862298,0.04151674619
4.988,-0.02812821688,0.04354489424
5.002,-0.02490813221,0.04534355901
5.016,-0.0215754013,0.04690463483
5.03,-0.01814754519,0.04822128282
5.044,-0.01464247893,0.04928795844
5.058,-0.0110784155,0.05010043194
5.072,-0.00747376894,0.05065580165
5.086,-0.003847057221,0.05095249996
5.1,-0.000216805441,0.05099029232
5.114,0.003398550201,0.05077026903
5.128,0.006980757076,0.05029483027
5.142,0.01051183897,0.04956766421
5.156,0.0139741866,0.04859371866
5.17,0.01735064538,0.04737916636
5.184,0.02062459996,0.04593136425
5.198,0.02378005509,0.04425880692
5.212,0.0268017126,0.04237107466
5.226,0.02967504386,0.04027877644
5.24,0.03238635768,0.03799348812
5.254,0.0349228632,0.03552768639
5.268,0.03727272746,0.03289467873
5.282,0.03942512765,0.03010852991
5.296,0.04137029758,0.02718398538
5.31,0.04309956841,0.02413639207
5.324,0.04460540343,0.02098161691
5.338,0.04588142679,0.01773596366
5.352,0.04692244619,0.01441608843
5.366,0.0477244694,0.01103891431
5.38,0.04828471476,0.007621545532
5.394,0.04860161557,0.004181181734
5.408,0.04867481844,0.0007350325269
5.422,0.04850517586,-0.002699767042
5.436,0.04809473289,-0.006106239832
5.45,0.04744670822,-0.009467648334
5.464,0.04656546985,-0.01276757444
5.478,0.04545650542,-0.01598999688
5.492,0.04412638751,-0.01911936603
5.506,0.04258273413,-0.02214067573
5.52,0.04083416459,-0.02503953185
5.534,0.03889025115,-0.02780221742
5.548,0.03676146651,-0.03041575382
5.562,0.03445912763,-0.03286795814
5.576,0.03199533611,-0.03514749623
5.59,0.02938291539,-0.03724393136
5.604,0.02663534514,-0.0391477684
5.618,0.02376669317,-0.04085049319
5.632,0.02079154512,-0.04234460717
5.646,0.01772493235,-0.04362365708
5.66,0.01458225825,-0.04468225965
5.674,0.01137922348,-0.04551612121
5.688,0.008131750177,-0.04612205228
5.702,0.004855905829,-0.04649797695
5.716,0.001567826815,-0.0466429373
5.73,-0.001716357863,-0.04655709257
5.744,-0.004980602417,-0.04624171339
5.758,-0.00820901934,-0.04569917104
5.772,-0.01138595341,-0.04493292167
5.786,-0.01449605428,-0.04394748588
5.8,-0.01752434746,-0.04274842346
5.814,-0.02045630328,-0.04134230355
5.828,-0.02327790359,-0.03973667049
5.842,-0.02597570604,-0.03794000521
5.856,-0.02853690547,-0.03596168265
5.87,-0.03094939232,-0.03381192517
5.884,-0.03320180784,-0.03150175229
5.898,-0.03528359563,-0.02904292688
5.912,-0.03718504967,-0.02644789813
5.926,-0.03889735825,-0.02372974141
5.94,-0.04041264393,-0.02090209541
5.954,-0.04172399915,-0.01797909672
5.968,-0.04282551742,-0.01497531217
5.982,-0.0437123199,-0.01190566926
5.996,-0.04438057731,-0.008785384832
6.01,-0.04482752701,-0.005629892515
6.024,-0.04505148515,-0.002454769011
6.038,-0.04505185384,0.0007243402712
6.052,-0.04482912333,0.003891796008
6.066,-0.04438486906,0.007032039805
6.08,-0.04372174367,0.01012966877
6.094,-0.04284346397,0.0131695095
6.108,-0.04175479282,0.01613669108
6.122,-0.04046151606,0.01901671681
6.136,-0.03897041454,0.02179553434
6.15,-0.03728923138,0.02445960381
6.164,-0.03542663448,0.02699596367
6.178,-0.03339217459,0.02939229396
6.192,-0.03119623894,0.03163697664
6.206,-0.02885000078,0.03371915259
6.22,-0.02636536491,0.03562877524
6.234,-0.02375490951,0.03735666024
6.248,-0.02103182456,0.03889453113
6.262,-0.01820984702,0.04023506068
6.276,-0.01530319316,0.0413719076
6.29,-0.01232648834,0.04229974859
6.304,-0.009294694545,0.04301430529
6.318,-0.006223036022,0.0435123662
6.332,-0.003126923444,0.04379180329
6.346,-2.187689031E-05,0.04385158321
6.36,0.003076551909,0.04369177303
6.374,0.006152857704,0.04331354042
6.388,0.009191659812,0.04271914826
6.402,0.01217777977,0.04191194365
6.416,0.01509631815,0.04089634141
6.43,0.01793273008,0.03967780199
6.444,0.0206728992,0.03826280408
6.458,0.02330320944,0.03665881179
6.472,0.0258106145,0.03487423681
6.486,0.02818270439,0.03291839549
6.5,0.03040776884,0.0308014612
6.514,0.03247485716,0.02853441219
6.528,0.03437383424,0.02612897512
6.542,0.03609543232,0.02359756461
6.556,0.03763129835,0.0209532192
6.57,0.0389740365,0.01820953384
6.584,0.04011724573,0.01538058957
6.598,0.04105555217,0.01248088043
6.612,0.04178463605,0.00952523829
6.626,0.04230125307,0.006528755774
