"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.7469685858,-0.05994018088
3.014,0.6772878392,-0.2533048827
3.028,0.5474732799,-0.400971655
3.042,0.3824654832,-0.4847656395
3.056,0.2117090271,-0.4988736131
3.07,0.06341397409,-0.4502698454
3.084,-0.04067488106,-0.3566246069
3.098,-0.08896183801,-0.2422241382
3.112,-0.08146097337,-0.1328272495
3.126,-0.02885270875,-0.05056738063
3.14,0.05052831491,-0.009947668938
3.154,0.1350161418,-0.01568997755
3.168,0.2042514093,-0.06275848156
3.182,0.2431312729,-0.1383901191
3.196,0.2442831815,-0.2255378969
3.21,0.2086528574,-0.3068629413
3.224,0.1442463557,-0.3683505033
3.238,0.06348018819,-0.4017789193
3.252,-0.0201220156,-0.4055930072
3.266,-0.09505362282,-0.384140564
3.28,-0.1540453816,-0.3456221974
3.294,-0.1949325481,-0.2993890544
3.308,-0.2200878044,-0.2533362323
3.322,-0.2347074551,-0.2120628798
3.336,-0.2445168816,-0.1762270196
3.35,-0.2535817174,-0.1431826893
3.364,-0.2628498738,-0.1086369334
3.378,-0.2698267292,-0.06879430387
3.392,-0.269462461,-0.02233334938
3.406,-0.2559912442,0.0283887234
3.42,-0.2251924935,0.07729511454
3.434,-0.1764143564,0.1157853989
3.448,-0.1137449447,0.1348987486
3.462,-0.04592623409,0.1278971417
3.476,0.01507316807,0.09258036723
3.49,0.05655675527,0.03267864604
3.504,0.06810386013,-0.04212779457
3.518,0.04434773805,-0.1176856188
3.532,-0.01318940404,-0.1780938219
3.546,-0.09572902066,-0.2091034496
3.56,-0.1885299071,-0.2014201868
3.574,-0.2736460413,-0.1531211566
3.588,-0.3335931253,-0.0705688953
3.602,-0.3551293314,0.0324697982
3.616,-0.3322944479,0.1373873499
3.63,-0.2679899951,0.2244753788
3.644,-0.1736921548,0.2770491002
3.658,-0.06730080749,0.2850538758
3.672,0.03045305237,0.2473447293
3.686,0.1002873726,0.1721084754
3.7,0.1284153641,0.07530146057
3.714,0.1094747977,-0.0225857639
3.728,0.04769432639,-0.100752069
3.742,-0.04396499636,-0.142390489
3.756,-0.1465106992,-0.138146482
3.77,-0.2388771258,-0.08798824855
3.784,-0.3022830551,-0.001097276111
3.798,-0.3240497847,0.1061779861
3.812,-0.300067551,0.213840194
3.826,-0.2354040679,0.3024525977
3.84,-0.1429630958,0.3571218412
3.854,-0.04052800584,0.3704039265
3.868,0.0531296529,0.3435373128
3.882,0.1222096627,0.2857881834
3.896,0.1570535383,0.2121119534
3.91,0.1558681206,0.1396979413
3.924,0.1246849322,0.08419019772
3.938,0.07563744034,0.05641951371
3.952,0.02400560428,0.06033634215
3.966,-0.01526894285,0.09254110844
3.98,-0.03080675509,0.1434367549
3.994,-0.01705742127,0.1996662769
4.008,0.0248390527,0.2472272241
4.022,0.08770681643,0.2745344612
4.036,0.1602678801,0.2747532274
4.05,0.2298424716,0.2469276522
4.064,0.2851592425,0.1957308354
4.078,0.3186325282,0.1299882434
4.092,0.3276266973,0.06039951427
4.106,0.3144933676,-0.002957636135
4.12,0.2854684692,-0.05274452858
4.134,0.2487801463,-0.08563212764
4.148,0.2124835256,-0.102490913
4.162,0.182570772,-0.1075429068
4.176,0.1618011386,-0.1067708066
4.19,0.149488433,-0.1060446767
4.204,0.1422278131,-0.1094699846
4.218,0.1353048589,-0.1183753549
4.232,0.1243671821,-0.1311714175
4.246,0.1068890255,-0.1440741749
4.26,0.08303161615,-0.1524577474
4.274,0.05567510523,-0.1524409215
4.288,0.02962444546,-0.1422574482
4.302,0.01021391506,-0.1230236961
4.316,0.001695928837,-0.0986813868
4.33,0.005858627881,-0.07511337884
4.344,0.02126095724,-0.05865108928
4.358,0.04331694103,-0.05435731784
4.372,0.06524299661,-0.06453619975
4.386,0.07965746554,-0.08787480318
4.4,0.08044775254,-0.1194700892
4.414,0.06444044847,-0.1517781465
4.428,0.03244377277,-0.1762924011
4.442,-0.01062733546,-0.1855702696
4.456,-0.05661810474,-0.1751293587
4.47,-0.09582967919,-0.144750239
4.484,-0.1191771511,-0.09885055136
4.498,-0.1203239186,-0.04580478567
4.512,-0.09729866337,0.003673599284
4.526,-0.0532084161,0.03875182118
4.54,0.004141090957,0.05081862688
4.554,0.06366335992,0.03542903672
4.568,0.1131591281,-0.006583676284
4.582,0.1417766087,-0.06908526427
4.596,0.142238954,-0.1417259869
4.61,0.1123630816,-0.211912295
4.624,0.05554721664,-0.2672516652
4.638,-0.01987283748,-0.2979576991
4.652,-0.1022562928,-0.2987159234
4.666,-0.1789287351,-0.2696319018
4.68,-0.2386138147,-0.2160842099
4.694,-0.2735247385,-0.1475387438
4.708,-0.2807000605,-0.07559614528
4.722,-0.2623391308,-0.01169493948
4.736,-0.2251093732,0.03505113826
4.75,-0.1786120859,0.05945105499
4.764,-0.1333587306,0.06097644121
4.778,-0.09869231481,0.04354285712
4.792,-0.08107498291,0.01443502224
4.806,-0.08306151785,-0.01735137261
4.82,-0.1031161155,-0.04297633009
4.834,-0.136244288,-0.0554391096
4.848,-0.1752449059,-0.05075491943
4.862,-0.2122746144,-0.02843320881
4.876,-0.2403794496,0.008771770067
4.89,-0.2546878215,0.05571322061
4.904,-0.2530602552,0.1060681039
4.918,-0.2361275376,0.153627057
4.932,-0.2067867076,0.1933845679
4.946,-0.1693323503,0.2222313078
4.96,-0.1284578581,0.2391621953
4.974,-0.0883583493,0.2450321679
4.988,-0.05211153639,0.2419886916
5.002,-0.0214229711,0.2327649824
5.016,0.003277208556,0.2200227092
5.03,0.0224827146,0.2058903668
5.044,0.03715026524,0.1917698829
5.058,0.04827971666,0.1784003302
5.072,0.05664911877,0.1660976934
5.086,0.06275560957,0.1550500402
5.1,0.0669412543,0.1455458235
5.114,0.06962341785,0.1380482935
5.128,0.07151791979,0.1330881556
5.142,0.0737474566,0.1310123957
5.156,0.07776615147,0.1316804681
5.17,0.0850912089,0.134223832
5.184,0.09689768587,0.1369750575
5.198,0.1135835888,0.1376299986
5.212,0.1344356424,0.1336423418
5.226,0.1575128743,0.1227811492
5.24,0.179818745,0.1037274682
5.254,0.1977629939,0.07656092978
5.268,0.2078398442,0.04299922376
5.282,0.2073872291,0.006300749476
5.296,0.1952592888,-0.02918548999
5.31,0.172250696,-0.05875681819
5.324,0.1411564559,-0.07824335046
5.338,0.1064253788,-0.08486383397
5.352,0.073452876,-0.07786712855
5.366,0.04763927937,-0.05881266995
5.38,0.03339571789,-0.03141436479
5.394,0.03329701315,-0.0009618584596
5.408,0.04755602469,0.02657798203
5.422,0.07393041664,0.04560854023
5.436,0.1080860265,0.05189706906
5.45,0.1443491915,0.04332154302
5.464,0.17670279,0.02022741603
5.478,0.1998334642,-0.01467041172
5.492,0.2100302046,-0.05681452224
5.506,0.2057677351,-0.1006509599
5.52,0.1878747805,-0.1406253443
5.534,0.1592710725,-0.1721370801
5.548,0.124340882,-0.1922754487
5.562,0.08807747266,-0.2002116179
5.576,0.05516951956,-0.1971928459
5.59,0.02920182579,-0.1861641473
5.604,0.01210953126,-0.1711118786
5.618,0.003967320016,-0.1562689872
5.632,0.003126324592,-0.1453369488
5.646,0.006645659309,-0.1408633728
5.66,0.0109158671,-0.1438732537
5.674,0.01234597686,-0.1537959659
5.688,0.007987406535,-0.1686714813
5.702,-0.004005873021,-0.1855708029
5.716,-0.02414026635,-0.2011357551
