"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.1373289312,-0.02125265786
3.014,0.1353098543,-0.0367399799
3.028,0.130348347,-0.05232429719
3.042,0.1223703043,-0.06703329518
3.056,0.1117140761,-0.07992449129
3.07,0.09907317108,-0.09026696882
3.084,0.08536210464,-0.09767461788
3.098,0.0715378163,-0.1021609282
3.112,0.05841879574,-0.1041047036
3.126,0.04654397121,-0.1041366114
3.14,0.03610377862,-0.1029756088
3.154,0.02695766065,-0.1012560352
3.168,0.0187311835,-0.09938753171
3.182,0.0109670332,-0.09748184323
3.196,0.00329041254,-0.09536421596
3.21,-0.004454132546,-0.09266550278
3.224,-0.01213057353,-0.08897128581
3.238,-0.01932442362,-0.08398896352
3.252,-0.02543970403,-0.07768871852
3.266,-0.02985769137,-0.07037978416
3.28,-0.03211889848,-0.06269828686
3.294,-0.03208217379,-0.05550419565
3.308,-0.03001853073,-0.04970777949
3.322,-0.02661175195,-0.04606393902
3.336,-0.0228583065,-0.04498258428
3.35,-0.01988369866,-0.04640249805
3.364,-0.01871313385,-0.04976290027
3.378,-0.02004703224,-0.05408568742
3.392,-0.02409302641,-0.05815652583
3.406,-0.03049625894,-0.0607696594
3.42,-0.038389104,-0.06098476121
3.434,-0.04655534516,-0.05833913693
3.448,-0.05367778132,-0.05296636808
3.462,-0.05861888852,-0.04559166199
3.476,-0.06067550483,-0.03739957644
3.49,-0.05975132798,-0.02979705391
3.504,-0.05640688016,-0.02411897677
3.518,-0.05177232254,-0.02133682405
3.532,-0.04733707838,-0.02183201046
3.546,-0.04465665733,-0.02528292648
3.56,-0.0450349608,-0.03069228254
3.574,-0.04924701082,-0.03655245451
3.588,-0.05735920278,-0.0411175216
3.602,-0.0686843403,-0.042728834
3.616,-0.08188167404,-0.04013010971
3.63,-0.09518311194,-0.03270998846
3.644,-0.1067014354,-0.02062452669
3.658,-0.1147600134,-0.004776683031
3.672,-0.1181803185,0.01334111272
3.686,-0.1164735142,0.03190839458
3.7,-0.1099024137,0.04908987138
3.714,-0.09940655896,0.06333939554
3.728,-0.08641059764,0.07363777439
3.742,-0.07255821825,0.07962355575
3.756,-0.0594254889,0.08159915829
3.77,-0.04826832424,0.08041953519
3.784,-0.03984864822,0.07729298142
3.798,-0.03436560319,0.07353913422
3.812,-0.0314943668,0.0703545829
3.826,-0.03051315835,0.0686296137
3.84,-0.0304834637,0.06884475642
3.854,-0.03044189215,0.07105656206
3.868,-0.02956388704,0.07496274651
3.882,-0.02727084375,0.08002029412
3.896,-0.02326881501,0.08558276811
3.91,-0.01752399268,0.09102367821
3.924,-0.01019388389,0.09582118788
3.938,-0.001541186568,0.0995922122
3.952,0.008141566465,0.102079292
3.966,0.01857565299,0.1031072628
3.98,0.02950055386,0.1025339997
3.994,0.04064528713,0.1002178771
4.008,0.05168297228,0.09601792158
4.022,0.06219161474,0.08983166565
4.036,0.07164376042,0.08166205468
4.05,0.07944006707,0.0716930675
4.064,0.08498860111,0.06034790844
4.078,0.08781806417,0.04830555131
4.092,0.08770159789,0.0364588005
4.106,0.08476008774,0.02581031646
4.12,0.07951403856,0.01731967335
4.134,0.07286260708,0.01172945272
4.148,0.06598377867,0.009405852081
4.162,0.06016606001,0.01022953542
4.176,0.05659815937,0.01356612776
4.19,0.05615572458,0.01833137674
4.204,0.05922863766,0.02314626408
4.218,0.06562628507,0.02655745233
4.232,0.07458388189,0.02728413201
4.246,0.08487442429,0.02444513326
4.26,0.09500987033,0.01772118087
4.274,0.103495662,0.007418105155
4.288,0.1090907179,-0.005583359809
4.302,0.1110239896,-0.01998335354
4.316,0.1091263222,-0.03429683575
4.33,0.1038512256,-0.04712255799
4.344,0.09617949198,-0.05739580266
4.358,0.08742603317,-0.06457645061
4.372,0.07898625472,-0.06873731419
4.386,0.07207008965,-0.07053715867
4.4,0.06747354651,-0.07108456015
4.414,0.06543031262,-0.07171949584
4.428,0.06556963177,-0.07375522293
4.442,0.06698556824,-0.07822908562
4.456,0.06840197849,-0.08570738547
4.47,0.06840069473,-0.09617823703
4.484,0.06566939726,-0.1090490611
4.498,0.05922359194,-0.1232449388
4.512,0.04856430653,-0.1373850367
4.526,0.0337478706,-0.150001593
4.54,0.01536135061,-0.159760923
4.554,-0.005585449832,-0.1656482574
4.568,-0.02782602427,-0.1670875419
4.582,-0.05002733168,-0.1639819396
4.596,-0.07096933286,-0.1566767987
4.61,-0.08968517884,-0.1458605273
4.624,-0.1055435518,-0.13242796
4.638,-0.1182674752,-0.1173349571
4.652,-0.127896913,-0.1014705304
4.666,-0.1347119422,-0.08556527145
4.68,-0.1391379598,-0.07014437606
4.694,-0.1416535283,-0.05552343111
4.708,-0.1427168963,-0.04183703972
4.722,-0.1427199373,-0.02908547205
4.736,-0.1419696324,-0.01718389455
4.75,-0.1406905582,-0.006002500426
4.764,-0.139038165,0.004608484009
4.778,-0.1371122032,0.01480861224
4.792,-0.1349625305,0.02476608641
4.806,-0.1325845922,0.03465712081
4.82,-0.1299076147,0.04465762385
4.834,-0.1267827612,0.05492258041
4.848,-0.1229801991,0.06555347722
4.862,-0.1182029554,0.07655938233
4.876,-0.1121215581,0.08782159829
4.89,-0.104427546,0.09907331275
