"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.6274168578,-0.1421233226
3.014,0.5420384887,-0.2973996539
3.028,0.412172016,-0.4087354087
3.042,0.2584930839,-0.4639980539
3.056,0.1042471947,-0.4601979827
3.07,-0.02859275366,-0.4035403117
3.084,-0.1227689436,-0.3079429299
3.098,-0.1682067299,-0.1923596618
3.112,-0.1631434651,-0.07744324417
3.126,-0.1138187076,0.01783495165
3.14,-0.03289066483,0.07903140215
3.154,0.06304463089,0.09810973727
3.168,0.1563315273,0.07413098001
3.182,0.2310128634,0.01276573109
3.196,0.2750322755,-0.07515622518
3.21,0.281597055,-0.1757048357
3.224,0.2496017863,-0.2741080694
3.238,0.1831896419,-0.356829501
3.252,0.09066201862,-0.4131822032
3.266,-0.01698418303,-0.4363295957
3.28,-0.1276113711,-0.4236589771
3.294,-0.2293624523,-0.376621489
3.308,-0.3118106636,-0.3001936263
3.322,-0.3667931232,-0.202124057
3.336,-0.3889547508,-0.0920952672
3.35,-0.3760643106,0.01912736542
3.364,-0.3291600081,0.1205430693
3.378,-0.2525470791,0.2017791261
3.392,-0.1536226889,0.2539911702
3.406,-0.0424661978,0.2707884871
3.42,0.06887591108,0.2491167846
3.434,0.1674515917,0.1899720103
3.448,0.2407861287,0.09877898841
3.462,0.2784713887,-0.01473225616
3.476,0.2737562334,-0.1372706909
3.49,0.2248693257,-0.2533709078
3.504,0.1357919225,-0.3473170734
3.518,0.01624752117,-0.4053680222
3.532,-0.1192136652,-0.4179436788
3.546,-0.2530011726,-0.3813855461
3.56,-0.366935436,-0.2989309743
3.574,-0.4450051631,-0.1806456872
3.588,-0.4759753828,-0.04222817554
3.602,-0.4553754348,0.0971966654
3.616,-0.386472805,0.2179789723
3.63,-0.2799985263,0.3030723821
3.644,-0.152607107,0.3408497911
3.658,-0.02428754325,0.3270963321
3.672,0.08485545075,0.2657992076
3.686,0.1579002874,0.168561305
3.7,0.183907084,0.05271316796
3.714,0.1597152055,-0.06156143044
3.728,0.09041590154,-0.1545861612
3.742,-0.0115837347,-0.2104469934
3.756,-0.1287322021,-0.2195686255
3.77,-0.2413430913,-0.1801674346
3.784,-0.3308980388,-0.09834647024
3.798,-0.3830560352,0.01315044487
3.812,-0.3898506978,0.1372652729
3.826,-0.3507216956,0.2555851085
3.84,-0.2722520028,0.3513897967
3.854,-0.1667225318,0.4122528398
3.868,-0.04980328425,0.4317697144
3.882,0.06216323246,0.4101709412
3.896,0.1547881933,0.353794878
3.91,0.2177284338,0.2736021593
3.924,0.2459336555,0.1830702781
3.938,0.2399184842,0.09588643241
3.952,0.2051167057,0.02385008461
3.966,0.1505323088,-0.02468686747
3.98,0.08700085982,-0.04565030857
3.994,0.02540200829,-0.03930805275
4.008,-0.02487757002,-0.009673069587
4.022,-0.05702474391,0.03654864307
4.036,-0.06733617732,0.09121631067
4.05,-0.05523634706,0.14598299
4.064,-0.02288927271,0.1933165363
4.078,0.0254398498,0.2272164398
4.092,0.08411671697,0.2436124408
4.106,0.1468425983,0.2404938727
4.12,0.2072644791,0.2178499966
4.134,0.2594767365,0.1774998489
4.148,0.2984373552,0.122863141
4.162,0.3203327305,0.05868526886
4.176,0.3229096269,-0.009303401697
4.19,0.3057603626,-0.07482735985
4.204,0.2705119677,-0.1316270986
4.218,0.2208461488,-0.1741299007
4.232,0.1622765696,-0.1981710016
4.246,0.1016389647,-0.2016602546
4.26,0.04630344287,-0.1850621885
4.274,0.003185128382,-0.1515598639
4.288,-0.02230708941,-0.1068101656
